"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report"
"237610",538,627,991,103,577,685,195,451,765,625,1456
"1301098",85,192,195,15,108,120,40,61,265,113,267
"1245526",325,474,664,54,452,405,102,268,559,421,956
"384676",157,174,319,41,222,161,90,119,227,186,384
"43306",260,356,540,52,360,387,95,206,437,307,862
"157782",237,321,452,52,293,284,112,189,329,274,534
"2599595",216,316,444,49,249,305,72,152,321,291,497
"487184",255,253,292,28,218,238,60,163,271,238,501
"104087",183,186,444,38,181,212,52,136,214,200,408
"237609",184,167,328,32,258,190,96,190,256,212,423
"216142",158,172,308,32,259,192,63,119,229,216,462
"1499686",269,210,267,36,305,191,144,200,286,227,562
"472181",205,173,307,31,189,204,77,133,279,210,442
"364197",158,131,285,28,229,166,62,138,191,183,374
"157783",176,198,315,31,261,214,53,126,211,189,464
"198618",150,148,268,27,170,156,59,124,149,158,283
"86264",2,3,7,2,3,3,3,3,5,0,3
"198620",162,141,250,38,123,167,40,75,194,164,323
"553151",190,109,177,20,125,134,40,144,217,139,295
"515393",151,160,241,28,151,149,54,90,198,184,362
"1395516",80,31,117,35,37,36,11,23,40,28,105
"797277",186,141,193,25,160,152,75,132,185,165,269
"95300",126,104,214,19,113,146,40,72,161,140,261
"702115",139,155,271,38,138,158,44,106,162,147,306
"437900",135,110,191,11,175,139,38,73,151,137,280
"1691904",601,109,182,14,248,91,44,89,178,108,463
"219572",82,112,183,16,107,104,41,82,129,108,240
"86265",116,92,187,44,93,124,23,90,125,100,249
"1148509",91,88,187,24,89,116,22,61,135,84,238
"359110",96,122,196,17,98,128,25,66,130,98,221
"1853130",88,116,198,26,94,105,35,67,111,91,218
"191390",110,110,190,27,128,102,40,78,112,132,197
"395598",92,108,194,21,88,130,30,81,97,95,196
"741155",626,69,120,17,129,64,49,65,123,84,263
"1434072",108,124,166,25,148,112,47,78,158,110,241
"244566",69,83,162,22,77,102,28,61,117,86,169
"321846",67,88,122,13,62,78,42,44,83,77,172
"46677",81,111,195,21,113,104,35,75,166,133,266
"1274359",547,81,92,8,136,61,39,44,96,71,201
"1421430",110,77,180,14,118,110,25,82,112,116,186
"2505979",98,79,126,35,47,97,16,66,74,75,125
"47884",92,83,128,9,75,87,29,75,92,102,165
"554344",341,59,96,9,357,74,42,55,146,128,627
"163011",91,64,675,18,54,75,28,57,81,81,148
"158627",82,53,105,20,70,55,24,56,91,82,171
"2774460",57,69,113,7,77,65,31,40,75,73,170
"2774461",56,29,106,9,51,48,19,21,56,50,121
"2502979",88,49,91,11,122,52,33,37,83,78,233
"1788301",67,88,84,4,52,67,25,47,95,82,108
"122355",61,78,134,9,68,73,6,54,84,70,149
"1628086",55,66,81,16,51,49,18,38,67,45,82
"53407",44,36,103,6,24,43,17,31,40,56,102
"1306993",27,27,45,5,31,25,35,19,28,31,50
"2565368",59,26,115,52,43,29,11,24,34,32,67
"1615674",23,28,39,1,29,39,8,13,30,10,41
"1785145",16,20,30,5,1,16,3,23,10,14,16
"2681983",16,4,25,4,30,8,5,7,12,20,31
"1583341",8,8,18,5,7,8,5,7,10,8,9
"2219225",45,0,12,0,34,4,1649,4,4,7,7
"1302376",4,4,6,3,6,11,2,6,7,5,17
"470150",3,1,6,1,5,0,261,4,1,3,5
"353",556,643,1120,100,641,611,179,447,702,779,1355
"69964",358,334,642,72,374,373,117,289,441,518,971
"354",361,440,626,73,377,416,108,252,562,450,880
"1510150",367,218,262,73,106,185,39,165,282,162,467
"1697053",33,22,40,3,10,18,6,20,22,15,21
"2213226",6,10,12,1,4,11,8,14,19,4,10
"2785331",8,9,23,0,2,3,2,8,14,8,13
"1879049",63,82,84,6,43,76,23,41,92,60,99
"2563897",15,12,17,3,6,11,6,10,13,18,12
"2798861",9,8,26,0,3,6,3,10,10,7,23
"2004646",4,9,2,1,2,7,1,3,12,0,6
"2714110",14,17,14,3,4,14,3,4,10,5,8
"2004647",5,2,16,1,1,3,0,2,4,2,5
"1407071",9,5,8,0,4,8,8,5,7,3,12
"2601122",10,10,11,1,6,13,4,1,12,10,6
"1646498",7,6,16,1,3,5,1,5,8,4,17
"1808001",13,13,12,1,5,9,5,7,14,9,11
"1608473",10,5,11,1,4,9,4,5,8,4,1
"1758189",12,13,16,1,1,8,3,10,10,4,8
"2079596",3,2,3,0,0,3,1,0,5,1,5
"1636603",7,5,2,0,1,6,1,0,2,1,2
"2545797",2,4,5,0,4,3,0,3,4,1,3
"1827285",1,1,7,0,4,1,0,3,5,3,12
"2609668",0,4,6,2,2,0,1,4,4,2,3
"2725684",1,1,2,0,0,1,1,3,2,0,0
"2004644",2,3,6,1,0,1,1,3,0,2,2
"2743575",1,0,1,1,0,3,0,0,3,0,4
"470",34,40,41,14,16,61,21,20,116,76,103
"48296",43,22,20,81,4,46,10,7,50,17,40
"471",10,4,23,9,3,22,2,8,17,19,14
"1530123",15,10,36,8,6,11,3,12,11,28,20
"106654",14,6,12,4,2,9,1,7,10,12,20
"1785128",7,3,12,19,2,8,0,3,4,3,7
"756892",91,49,70,8,17,59,23,41,44,55,66
"1789224",13,10,16,2,6,10,3,6,11,8,8
"108981",34,22,41,3,10,21,12,17,20,21,27
"29430",13,9,24,1,6,10,5,11,12,12,20
"40214",15,0,29,1,5,0,11,17,0,15,0
"981334",1,0,2,0,0,2,1,0,3,0,5
"487316",14,12,18,2,5,19,3,4,20,13,15
"106648",7,10,17,15,7,9,3,14,106,12,15
"1046625",0,0,3,0,0,0,2,0,0,0,0
"134534",13,7,5,0,2,8,4,3,4,8,13
"202954",11,9,16,0,7,6,3,7,12,10,12
"70348",2,5,10,1,1,5,4,4,11,6,17
"1197884",9,6,5,2,2,7,0,2,4,1,12
"1879050",6,18,23,0,4,18,3,3,18,10,17
"62977",10,9,22,3,6,5,5,5,23,9,16
"70346",16,2,12,0,5,4,4,2,10,4,6
"108980",20,11,27,2,5,11,6,10,19,11,19
"2006115",9,6,10,2,3,4,3,3,8,6,7
"1871111",7,6,6,2,2,1,2,3,6,6,8
"2715163",8,10,11,1,1,9,1,3,11,10,10
"40215",14,29,17,1,7,37,5,74,34,13,30
"202956",14,5,5,2,6,4,1,6,8,6,13
"2136182",3,9,18,2,4,6,4,4,14,6,5
"436717",2,3,5,3,2,3,1,2,7,0,5
"106649",3,4,7,1,1,1,1,4,3,2,6
"2662362",4,3,11,3,3,3,0,5,9,5,2
"2715164",6,3,9,2,3,10,1,8,5,2,7
"2004650",12,3,5,1,2,9,0,2,8,7,7
"1324350",9,8,10,2,3,8,0,0,8,5,7
"1699621",12,4,18,3,1,12,2,8,15,6,17
"1028416",8,14,26,4,2,16,5,12,9,6,21
"1699623",4,2,12,2,2,5,2,3,2,8,15
"1720344",4,7,13,2,1,3,1,4,6,5,5
"1699622",2,3,8,0,0,2,0,3,4,2,9
"2772254",10,3,9,3,3,8,2,4,8,7,9
"571800",5,5,9,0,5,3,3,1,11,5,11
"349106",6,3,1,0,2,2,2,0,5,2,4
"1699624",4,4,5,0,3,6,2,2,4,6,7
"56811",1,0,0,1,0,0,1,0,1,1,2
"2733866",5,1,6,2,2,8,1,4,4,5,3
"2203895",1,5,2,1,1,1,0,0,1,1,6
"1028419",0,0,0,0,0,0,0,0,0,0,0
"256326",19,20,31,3,6,33,5,17,23,21,29
"45610",17,13,16,2,9,16,5,24,14,17,23
"259536",12,15,13,2,2,11,2,3,24,7,14
"330922",8,7,4,0,4,3,0,5,7,6,11
"34062",40,54,62,5,26,49,11,30,68,47,64
"476",6,16,20,3,4,10,2,2,24,9,29
"480",0,9,8,0,1,6,1,5,9,8,21
"34061",21,12,17,5,7,13,4,14,29,13,16
"386891",9,14,23,2,4,12,2,7,15,8,21
"478",11,9,9,0,4,12,2,4,7,5,4
"29433",3,1,2,1,1,4,2,1,1,2,3
"2283318",33,38,42,3,14,37,4,27,44,23,44
"453783",5911,8198,8438,924,6235,10121,21875,18486,5458,5381,3747
"2290922",1477,2243,1860,236,1553,1844,1085,1508,2498,1309,1406
"2762611",1017,1033,1184,117,805,877,1241,1126,1914,826,911
"2781021",212,275,295,34,215,201,205,199,406,172,261
"2781022",218,242,263,29,123,217,226,206,377,185,231
"2714936",125,152,153,23,82,171,77,93,178,94,178
"2781024",150,131,158,15,96,108,150,126,230,123,147
"2781023",125,132,152,19,86,120,109,87,199,98,110
"69",3411,3691,4390,485,2718,3522,3152,3634,5383,2918,4435
"2763317",4010,5645,4481,651,6335,4203,3568,4077,6557,3507,5759
"2795387",2362,1810,2051,212,1570,2083,2845,3364,2318,1754,1494
"84531",1401,1358,1648,199,982,1259,1155,1321,1901,1115,1895
"435897",1238,1477,1563,198,930,1299,1121,1379,1954,977,1655
"1605891",1532,1564,1614,212,1134,1260,1494,1453,2640,1236,1424
"1324796",1260,1991,1418,223,1644,1617,1528,1022,4297,963,1186
"262324",996,958,1200,138,808,949,805,1024,1298,774,1237
"2591633",1160,1107,1332,147,852,973,1189,1205,2095,934,1076
"2698682",912,988,940,109,788,817,918,788,1515,667,765
"40324",3359,3424,4156,483,1888,2752,1945,2627,5109,2573,3670
"2072414",222,206,319,29,140,205,160,225,279,202,258
"2072413",226,252,309,22,134,188,125,207,314,176,248
"2072405",115,80,179,19,79,106,56,95,138,83,122
"2072407",77,62,96,5,43,59,35,65,114,54,75
"2072412",83,69,137,18,56,60,46,75,99,65,91
"2072406",61,43,104,12,30,63,28,60,71,31,50
"2072409",32,13,39,3,13,22,18,28,30,16,30
"2072408",26,16,41,3,11,20,11,12,24,21,27
"1904944",458,382,630,62,276,370,328,370,593,373,486
"2770322",433,392,467,45,251,339,281,335,494,285,378
"2691571",261,230,352,24,147,239,161,219,353,202,294
"2742129",175,165,210,40,102,154,132,135,222,113,166
"2303750",89,79,160,379,45,86,49,68,96,71,92
"2040586",110,90,100,10,64,76,47,158,234,55,106
"2005046",112,71,120,8,44,61,51,69,130,57,75
"2282124",33,24,24,3,15,20,18,18,30,21,33
"2682487",17,25,24,0,7,22,16,11,24,19,18
"2775920",19,26,30,4,17,14,27,29,54,10,28
"1827305",32,34,32,18,13,26,13,33,43,20,26
"216778",1415,1150,1529,179,785,1090,966,1157,1666,928,1414
"128780",1146,784,1049,113,447,693,1382,705,1237,655,1157
"2045451",31,20,27,19,20,24,14,18,39,28,24
"83617",1,0,0,0,1,0,3,3,0,1,0
"149696",181,177,208,23,110,147,118,174,237,133,234
"359385",104,87,122,17,50,68,48,78,114,84,87
"340",91,84,117,10,45,97,52,83,113,78,103
"92826",72,74,60,8,40,63,15,43,85,52,71
"2724122",131,130,145,16,102,103,73,93,170,104,142
"2724123",108,111,161,12,73,93,74,97,141,102,114
"2724121",138,146,186,19,65,96,74,106,165,97,125
"2775162",12,8,30,2,7,21,16,9,20,16,18
"2776703",2,3,4,0,0,2,0,1,0,0,4
"152263",227,258,290,11,132,230,139,159,300,156,197
"134875",166,162,247,21,76,130,85,124,219,137,187
"487909",45,60,66,4,19,43,17,42,62,32,59
"56458",831,772,930,97,487,688,516,608,1081,560,832
"64187",120,119,148,22,51,101,42,86,148,84,129
"129394",47,55,65,8,19,62,35,76,77,45,53
"56464",555,544,534,66,312,441,343,374,685,378,541
"346",395,463,602,77,240,377,215,366,524,344,494
"380358",1,0,3,1,1,1,1,1,1,2,1
"56455",418,370,477,52,235,349,251,270,527,264,469
"195709",68,74,98,6,43,62,47,70,100,40,81
"69929",54,61,65,9,35,26,21,43,54,28,57
"925775",54,38,60,9,19,38,19,51,40,36,48
"56453",288,280,320,36,166,281,185,229,378,156,286
"48664",229,251,414,46,140,251,163,229,344,232,282
"487904",90,88,111,4,49,62,32,65,103,66,83
"2754056",52,26,34,1,35,32,24,25,28,29,51
"707209",1,4,2,2,2,2,7,0,6,2,4
"454958",13,11,11,4,10,10,14,7,19,7,14
"325776",2,1,6,0,3,4,3,3,4,8,6
"487849",2,1,7,0,0,1,0,1,4,1,4
"1219375",192,198,274,25,90,175,85,144,296,161,212
"1982678",114,138,180,25,69,119,61,109,141,96,111
"1101443",8,5,15,1,5,6,4,9,15,3,13
"1304892",2,3,2,0,3,3,0,1,1,0,1
"2259622",128,140,128,21,78,106,77,109,183,100,158
"359387",16,11,24,0,7,6,11,5,15,12,17
"207721",5,9,16,0,8,9,0,10,22,9,10
"189396",4,9,22,2,6,13,8,4,9,16,16
"316273",1,1,0,0,0,2,0,0,7,0,0
"92828",59,61,83,7,57,65,36,74,96,48,66
"317013",1,0,3,0,1,1,24,1,2,0,2
"442694",6,11,8,4,0,21,4,13,30,27,11
"2799326",1246,1226,1261,153,837,1121,1267,875,2247,854,1102
"1896164",7483,1002,1110,108,855,859,1318,779,2084,747,954
"2508168",961,1089,966,114,675,863,974,675,2950,666,873
"2799325",908,927,1003,134,658,763,915,633,1575,713,840
"2761107",883,931,962,100,693,745,894,670,1566,670,842
"1176533",1249,1182,1298,145,869,1047,1214,916,2175,908,1099
"2006110",1014,1014,1084,114,685,862,807,733,1867,675,934
"2565782",956,983,942,104,669,830,808,812,2834,667,838
"743721",3548,1056,1231,107,725,885,1388,957,1835,733,1106
"128785",20652,2584,1976,592,2087,1281,7864,27917,6212,1176,2664
"1045855",894,675,828,91,480,610,641,651,1151,523,701
"2202149",1180,1348,1195,187,1225,1124,1039,1006,2122,872,1058
"2771436",5380,996,952,137,763,859,3278,3954,1551,677,865
"2714945",715,701,636,112,681,608,612,634,1123,457,588
"215691",2097,1524,1380,152,1183,1200,1207,1205,2244,914,1188
"1463158",1072,962,971,134,755,822,834,754,1421,631,905
"370777",5899,1247,2542,376,933,1261,1019,1520,2696,949,1730
"2511995",561,794,716,64,511,647,194,408,730,458,663
"698414",0,1,2,0,0,1,0,1,2,0,2
"1401256",2,2,5,0,1,5,0,0,0,1,0
"644357",2,1,0,0,0,1,0,1,3,0,0
"671135",1,1,5,1,0,2,1,2,1,5,1
"1444770",51,51,70,5,38,51,36,53,61,49,49
"445710",847,2313,1357,129,1262,1148,319,642,1884,776,1215
"2763498",443,953,652,78,498,572,219,432,785,334,540
"2501295",213,392,280,19,230,246,93,197,363,172,281
"1217721",502,1127,731,52,594,688,212,422,903,489,670
"1849581",283,601,376,38,332,342,105,276,539,224,351
"666685",881,2116,1295,130,1214,1070,424,646,1857,736,1075
"2778082",851,1797,1171,123,957,974,347,513,1522,741,944
"582702",527,1357,783,72,807,656,238,384,1021,410,645
"1300342",1760,2081,2398,213,1382,2077,727,1240,2422,1393,2275
"2589080",641,974,1006,80,602,732,260,482,980,602,860
"1440763",536,940,908,85,549,748,201,450,866,534,790
"2010829",805,1667,1109,104,928,1024,338,578,1481,726,1048
"2021234",406,521,604,77,274,510,114,406,710,394,667
"767434",290,439,420,39,249,341,107,249,406,258,382
"550",572,630,505,64,183,402,89,345,1581,674,539
"158836",138,131,200,21,61,127,40,76,171,161,189
"69218",62,73,121,13,32,81,18,60,87,92,96
"61645",59,58,101,9,26,62,22,84,81,61,124
"1812935",52,71,105,9,33,66,31,56,117,58,89
"2494701",36,52,61,6,24,47,8,20,61,30,71
"208224",29,27,34,3,74,22,5,15,39,23,49
"299767",24,15,34,1,7,21,52,12,31,30,31
"2071710",9,13,27,4,1,9,3,13,15,17,18
"2757714",6,8,31,0,8,21,11,16,14,17,22
"2724468",73,96,120,11,43,95,14,35,113,77,105
"2596949",50,118,134,11,48,67,24,43,95,45,91
"1914861",57,71,103,12,34,59,15,41,74,61,105
"2742676",20,12,53,2,16,27,6,27,28,24,25
"2742639",11,21,31,5,10,29,5,21,26,25,23
"399742",32,64,58,8,18,30,8,25,34,20,41
"2742619",9,10,24,0,4,17,7,7,14,10,25
"1166130",7,6,6,1,1,10,0,6,9,7,12
"2705458",6,13,12,1,3,13,1,8,7,4,4
"2500132",11,7,18,1,7,8,3,6,10,3,13
"1560339",7,3,28,1,3,6,2,11,6,3,9
"648691",0,0,0,1,1,1,0,1,0,1,1
"2565914",3,1,3,0,3,0,1,2,1,1,3
"1868135",1,1,1,0,1,0,3,4,4,3,2
"1827481",0,2,1,0,0,0,0,0,3,1,1
"2742673",1,2,2,0,1,0,1,0,2,1,3
"2742656",0,0,0,0,0,1,1,1,0,0,0
"2747372",0,0,0,0,0,2,1,0,2,1,1
"2051905",0,0,0,0,0,0,0,0,0,0,0
"881260",37,32,42,13,15,41,9,25,71,62,65
"2478464",12,32,52,5,10,35,13,27,32,27,41
"885040",16,26,38,2,24,25,12,11,24,35,24
"539813",2,4,3,0,1,3,0,3,2,1,3
"72407",6,6,12,1,4,9,1,4,5,8,8
"39831",3,1,2,0,1,2,0,3,2,2,3
"1328373",0,0,0,0,0,0,0,0,1,0,0
"1365186",0,0,0,0,0,0,0,0,0,0,0
"1420012",0,0,1,0,0,0,0,0,0,1,0
"548",140,217,290,24,89,184,44,116,209,199,315
"2681387",5,13,20,1,6,16,3,9,12,12,22
"2787706",3,1,4,0,0,2,0,0,4,2,7
"2675726",3,1,3,3,0,5,0,3,3,3,6
"2697371",3,1,3,0,0,0,0,4,1,1,5
"2015795",1,1,1,0,0,1,1,1,2,1,1
"2267618",0,0,0,0,1,0,2,0,0,2,1
"2675710",4,3,0,0,2,3,0,4,0,2,3
"571",119,143,195,17,56,145,43,92,172,120,195
"1134687",111,129,163,12,64,131,35,74,0,104,169
"1667327",4,4,9,1,4,5,1,2,5,3,6
"244366",0,0,0,9,0,0,15,0,80,81,0
"2026240",27,25,51,1,18,34,9,10,27,26,40
"2153354",21,43,41,5,15,33,2,21,46,23,42
"2489010",16,20,45,2,14,20,6,13,36,22,38
"2058152",15,15,26,1,5,15,11,12,22,26,24
"546",96,100,205,16,44,132,44,86,125,91,155
"67827",16,20,27,1,5,17,2,12,16,14,40
"1639133",7,9,10,6,1,15,71,9,13,9,14
"2816438",4,12,8,0,4,3,2,1,4,9,13
"57706",12,10,8,0,1,11,3,2,7,7,17
"133448",11,12,6,2,3,6,0,7,10,3,6
"1573676",34,45,56,7,29,44,9,25,35,29,59
"2742624",30,51,54,7,19,47,7,18,35,36,58
"2546350",14,3,19,2,9,11,5,12,17,16,15
"2781952",5,17,22,0,6,10,5,8,12,9,11
"1702170",2,2,0,0,2,3,1,2,2,2,2
"2742627",1,3,2,0,0,1,0,2,4,2,8
"1703250",2,1,0,0,4,1,0,2,1,0,4
"1920110",2,0,4,0,0,0,2,0,3,2,3
"2742675",0,6,0,0,1,1,0,0,1,3,2
"2742667",1,1,2,0,0,1,2,0,2,0,1
"2742626",1,1,0,0,1,0,0,1,1,6,2
"2742657",0,1,1,0,0,0,0,1,0,2,0
"2742625",2,3,1,0,0,0,2,1,2,6,0
"2742668",1,0,0,0,0,0,0,0,0,1,2
"2697370",0,0,0,0,1,1,1,0,0,0,2
"2742678",0,0,0,0,0,1,0,0,0,0,0
"637910",51,53,94,9,41,73,23,45,63,49,111
"67824",22,31,45,2,23,45,6,24,45,35,43
"1261127",28,23,42,3,16,26,10,29,39,26,38
"545",21,26,33,4,20,15,4,11,34,30,24
"2562449",29,32,32,2,9,19,10,14,36,21,22
"2653932",31,29,41,4,18,28,8,13,32,22,33
"1748967",2,3,4,0,0,7,2,3,3,8,14
"1563222",5,1,5,0,1,0,2,5,2,6,3
"1138308",8,8,11,1,7,13,1,4,13,7,18
"413498",61,90,151,14,51,84,13,64,94,79,147
"1074000",50,67,100,16,51,55,16,46,89,49,86
"1073999",37,79,102,9,48,85,14,43,78,58,88
"1159491",0,0,0,0,1,0,0,0,1,1,2
"1159613",12,7,19,3,4,14,3,8,10,13,11
"1906275",11,14,15,1,7,9,6,9,7,8,31
"2725560",44,67,61,9,16,54,19,33,140,51,61
"2492396",28,51,61,6,16,26,13,28,62,28,44
"2067958",19,27,41,7,10,30,6,17,30,38,39
"1300165",13,8,15,3,5,17,3,5,21,21,11
"1235834",6,6,9,3,9,8,4,7,10,1,11
"551989",28,42,54,4,16,32,9,27,35,17,45
"1177180",1,1,6,0,0,3,0,3,4,5,4
"497725",20,27,34,4,1,18,5,19,24,24,30
"1646340",16,20,45,8,8,27,7,45,26,19,35
"2714951",38,43,100,7,26,60,20,28,53,50,107
"2815358",51,45,75,5,25,58,12,27,72,58,76
"2282310",10,4,22,0,6,8,3,11,13,8,34
"2282309",13,10,21,3,4,9,2,5,16,18,24
"2681308",11,17,17,0,2,11,3,9,20,8,15
"2681309",2,5,3,1,0,1,3,4,7,4,8
"1920114",3,4,4,0,1,5,0,5,1,6,5
"2681307",7,17,21,3,9,16,2,5,11,13,24
"83655",79,109,203,15,61,114,25,69,121,96,156
"2822132",5,1,3,0,1,3,1,0,2,2,7
"83334",6,2,3,0,1,7,2,1,6,4,3
"696406",0,0,0,0,0,0,0,0,1,0,0
"2233553",0,0,0,0,0,0,0,0,1,0,0
"930406",0,1,0,0,0,1,0,1,1,0,0
"585034",1,0,1,0,0,0,0,0,0,0,0
"409438",1,1,2,1,0,0,0,0,0,2,0
"2048778",0,0,0,0,0,0,0,0,0,0,0
"2048781",0,0,0,0,0,0,0,0,0,0,1
"1392858",0,0,0,1,0,1,0,0,0,0,0
"2763104",0,0,0,0,1,0,0,0,0,18,6
"1045010",0,0,1,0,1,0,0,0,0,0,0
"244319",0,0,0,0,0,0,0,0,0,0,0
"1078034",1,0,0,0,0,0,0,0,1,0,2
"2810408",0,0,1,0,1,0,0,0,0,0,0
"2810404",0,0,0,0,0,2,0,0,0,1,4
"208962",27,25,60,6,18,36,10,35,33,24,40
"564",17,11,56,5,12,23,11,10,27,23,32
"1499973",12,16,26,4,5,16,4,16,21,21,29
"2044467",7,10,21,0,1,13,3,5,16,14,10
"575",49,64,87,6,25,47,8,25,60,55,66
"577",36,51,77,6,30,46,10,23,59,30,65
"54291",34,45,0,5,21,0,8,0,49,0,56
"1259973",13,16,17,1,6,12,4,12,11,22,21
"2259647",2,1,0,0,0,0,0,1,0,1,2
"61647",227,323,387,31,147,302,86,198,332,245,413
"701347",25,16,32,0,9,15,5,20,22,27,32
"59201",76,62,125,8,39,74,33,50,68,80,115
"59202",19,27,26,2,14,29,1,13,19,16,33
"59208",2,7,8,0,4,7,3,9,8,7,11
"59204",3,0,4,1,3,3,1,4,3,1,6
"59205",3,5,1,1,8,2,1,1,2,6,6
"59203",2,4,5,0,3,6,0,1,3,2,4
"41527",2,8,10,0,2,3,0,6,2,3,4
"1197719",0,2,1,1,0,2,0,0,0,1,1
"158822",147,188,268,26,67,202,52,128,207,146,286
"2545798",63,61,81,7,19,72,13,34,73,52,70
"158823",42,69,76,9,24,53,19,31,66,53,57
"61646",60,66,140,11,32,83,18,55,70,72,117
"2153385",21,15,20,1,7,14,4,13,24,16,27
"69220",14,12,22,2,6,18,2,11,8,15,21
"61648",26,38,54,9,18,42,9,28,49,30,56
"2774055",61,41,65,6,26,49,18,40,72,44,62
"51288",14,9,22,2,3,15,8,9,11,14,17
"566",62,76,118,17,26,99,27,53,76,72,112
"2579935",89,70,148,10,32,87,21,44,76,83,132
"158877",51,52,82,7,25,56,17,47,59,55,88
"1851514",53,59,89,9,26,68,16,41,63,64,66
"2479367",39,32,60,7,8,45,9,21,36,31,40
"82977",36,36,46,3,15,25,6,20,30,33,43
"146507",24,28,39,5,16,30,19,10,33,24,39
"84564",17,25,26,2,5,16,1,2,26,9,22
"1906659",7,3,7,0,2,10,2,5,7,6,4
"1906661",1,3,1,1,1,4,1,1,3,3,2
"1906657",9,8,7,1,2,14,4,7,10,6,10
"1682492",3,0,0,0,0,4,1,0,2,0,2
"472825",1,4,1,0,1,0,0,1,5,2,0
"199891",3,2,1,0,1,2,0,2,0,3,2
"1906660",0,2,3,0,0,2,2,0,2,1,1
"565",58,54,119,16,42,61,10,42,69,67,82
"1972431",19,40,60,2,14,28,4,19,49,29,50
"395631",1,2,4,0,2,6,2,6,3,6,8
"1756993",1,2,8,0,2,2,1,8,2,1,6
"563",59,52,110,4,21,48,13,42,74,64,85
"2675784",0,1,0,1,0,0,0,0,1,0,0
"2675785",0,3,1,0,1,1,0,0,1,2,1
"2675772",0,1,0,0,0,0,0,0,1,0,0
"2675775",1,1,0,0,0,0,0,2,0,2,1
"2675794",1,0,3,0,0,1,3,2,3,2,2
"2675793",2,0,1,0,1,1,0,0,3,3,3
"2675791",2,2,1,1,0,1,0,0,3,1,1
"2675789",0,0,4,1,0,0,0,2,0,2,1
"2675782",1,1,1,0,0,1,0,0,0,1,1
"2675783",0,0,1,0,0,0,0,1,1,0,0
"2675797",3,1,5,0,0,3,0,2,4,0,1
"2675795",0,0,0,0,0,1,0,0,1,0,1
"2675792",1,1,0,0,0,1,0,2,2,3,1
"2675788",0,0,0,0,0,0,0,1,0,0,0
"2675787",1,1,3,0,0,0,0,2,2,0,1
"2675786",0,0,1,0,0,3,0,1,0,0,0
"2675781",1,2,3,0,0,0,0,0,1,1,0
"2675780",2,0,1,0,0,0,0,0,0,2,2
"2675779",0,0,1,0,0,0,0,0,0,0,0
"2675778",2,1,1,0,0,1,0,0,1,0,0
"2675776",0,0,1,0,0,0,0,0,0,0,0
"1048758",13,19,25,3,3,26,2,0,14,0,39
"42897",0,1,0,0,0,0,0,0,0,0,0
"622",1,3,3,1,2,6,0,3,2,0,6
"621",0,0,3,0,0,0,0,0,0,0,4
"2487150",5,1,8,3,4,5,1,3,2,14,11
"401619",1,2,2,1,0,0,0,2,1,1,1
"428411",0,0,5,0,0,0,1,2,1,1,3
"476281",3,4,1,0,3,6,2,2,5,2,1
"911022",11,10,10,1,1,3,3,9,7,3,6
"1334564",8,2,7,3,5,6,1,0,9,6,4
"273526",0,4,16,2,3,5,3,3,4,9,13
"435998",4,3,7,0,1,2,3,3,2,3,2
"2420306",37,54,62,9,19,34,7,26,38,29,54
"104623",45,33,52,7,16,40,11,28,41,46,68
"671990",26,28,51,4,32,35,11,18,21,24,38
"2597702",23,38,44,4,14,27,6,13,43,37,33
"2033438",21,31,34,2,8,28,2,20,31,29,40
"2448483",6,10,19,0,2,8,5,12,7,14,13
"2447890",14,16,14,3,6,9,6,8,14,11,26
"2724469",2,2,7,1,0,0,1,7,3,5,1
"2773264",0,1,3,0,0,9,1,8,2,4,6
"2482769",3,1,4,2,2,10,2,1,2,9,3
"2785630",0,2,3,0,1,2,0,0,0,1,1
"1327989",6,1,15,0,2,4,2,4,7,13,2
"488142",2,9,6,0,4,10,0,4,3,2,9
"1758196",1,6,1,0,1,2,0,0,2,1,3
"2485839",2,2,2,0,0,0,0,1,1,1,5
"1154756",11,35,47,3,7,24,8,32,57,25,29
"682634",4,6,25,1,2,10,1,2,2,10,4
"1006598",0,0,1,0,4,1,2,0,3,2,2
"61652",71,101,157,17,59,108,23,53,115,137,166
"618",85,61,193,14,45,99,18,65,110,92,137
"47917",86,92,132,21,48,102,21,62,103,105,161
"2741499",42,46,97,5,26,65,18,23,60,44,79
"399741",5,3,10,0,4,7,2,3,15,3,13
"82995",47,52,74,6,20,41,14,27,40,40,57
"568817",1,3,10,1,0,1,1,4,7,2,9
"1346614",6,1,5,0,0,3,2,2,3,4,6
"137545",9,13,26,2,12,27,8,15,20,9,15
"61651",20,17,20,4,7,10,10,10,15,13,21
"300181",6,13,11,0,4,13,2,8,10,1,3
"458197",2,6,9,1,0,6,1,0,3,3,3
"1443113",5,1,10,2,0,2,1,3,4,6,6
"34053",1,0,4,0,1,1,1,1,0,2,3
