"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1788301",84,60,190,25,67,55,108,82,88,64,52
"122355",134,93,165,6,73,66,149,70,78,85,68
"1628086",81,53,140,18,49,41,82,45,66,70,51
"53407",103,56,113,17,43,52,102,56,36,45,24
"1306993",45,26,65,35,25,26,50,31,27,21,31
"2565368",115,29,77,11,29,28,67,32,26,25,43
"1615674",39,21,62,8,39,13,41,10,28,33,29
"1785145",30,16,50,3,16,11,16,14,20,5,1
"2681983",25,10,32,5,8,8,31,20,4,19,30
"1583341",18,14,16,5,8,10,9,8,8,10,7
"2219225",12,5,246,1649,4,5,7,7,0,11,34
"1302376",6,11,17,2,11,3,17,5,4,9,6
"470150",6,4,4,261,0,8,5,3,1,3,5
"353",1120,1051,1215,179,611,614,1355,779,643,762,641
"69964",642,492,647,117,373,429,971,518,334,458,374
"354",626,495,780,108,416,403,880,450,440,627,377
"1510150",262,180,5082,39,185,161,467,162,218,157,106
"1697053",40,39,93,6,18,23,21,15,22,11,10
"2213226",12,13,31,8,11,4,10,4,10,11,4
"2785331",23,9,42,2,3,6,13,8,9,4,2
"1879049",84,79,185,23,76,50,99,60,82,52,43
"2563897",17,18,43,6,11,10,12,18,12,3,6
"2798861",26,5,31,3,6,7,23,7,8,12,3
"2004646",2,7,26,1,7,6,6,0,9,3,2
"2714110",14,9,25,3,14,8,8,5,17,5,4
"2004647",16,4,11,0,3,3,5,2,2,1,1
"1407071",8,9,26,8,8,3,12,3,5,8,4
"2601122",11,10,18,4,13,5,6,10,10,7,6
"1646498",16,7,44,1,5,2,17,4,6,5,3
"1808001",12,8,30,5,9,10,11,9,13,12,5
"1608473",11,4,14,4,9,7,1,4,5,3,4
"1758189",16,3,36,3,8,4,8,4,13,3,1
"2079596",3,4,4,1,3,2,5,1,2,4,0
"1636603",2,2,24,1,6,1,2,1,5,1,1
"2545797",5,5,14,0,3,2,3,1,4,14,4
"1827285",7,0,17,0,1,3,12,3,1,1,4
"2609668",6,10,10,1,0,3,3,2,4,3,2
"2725684",2,0,3,1,1,0,0,0,1,0,0
"2004644",6,1,8,1,1,2,2,2,3,3,0
"2743575",1,1,3,0,3,1,4,0,0,3,0
"470",41,46,151,21,61,105,103,76,40,35,16
"48296",20,19,47,10,46,22,40,17,22,14,4
"471",23,8,41,2,22,10,14,19,4,12,3
"1530123",36,18,40,3,11,18,20,28,10,16,6
"106654",12,8,28,1,9,7,20,12,6,6,2
"1785128",12,11,22,0,8,3,7,3,3,3,2
"756892",70,43,189,23,59,29,66,55,49,34,17
"1789224",16,32,53,3,10,9,8,8,10,6,6
"108981",41,25,156,12,21,27,27,21,22,14,10
"29430",24,13,60,5,10,13,20,12,9,11,6
"40214",29,11,0,11,0,15,0,15,0,0,5
"981334",2,0,5,1,2,1,5,0,0,3,0
"487316",18,48,59,3,19,14,15,13,12,14,5
"106648",17,16,82,3,9,11,15,12,10,14,7
"1046625",3,1,1,2,0,3,0,0,0,1,0
"134534",5,11,35,4,8,8,13,8,7,8,2
"202954",16,10,57,3,6,6,12,10,9,9,7
"70348",10,8,39,4,5,4,17,6,5,5,1
"1197884",5,10,39,0,7,5,12,1,6,2,2
"1879050",23,11,63,3,18,4,17,10,18,10,4
"62977",22,7,30,5,5,5,16,9,9,3,6
"70346",12,7,18,4,4,2,6,4,2,2,5
"108980",27,12,68,6,11,7,19,11,11,9,5
"2006115",10,3,36,3,4,4,7,6,6,4,3
"1871111",6,7,15,2,1,2,8,6,6,5,2
"2715163",11,5,35,1,9,4,10,10,10,5,1
"40215",17,14,113,5,37,9,30,13,29,7,7
"202956",5,8,19,1,4,3,13,6,5,4,6
"2136182",18,8,22,4,6,5,5,6,9,4,4
"436717",5,9,18,1,3,2,5,0,3,3,2
"106649",7,6,8,1,1,2,6,2,4,3,1
"2662362",11,4,30,0,3,5,2,5,3,6,3
"2715164",9,10,25,1,10,5,7,2,3,4,3
"2004650",5,3,5,0,9,5,7,7,3,8,2
"1324350",10,4,18,0,8,4,7,5,8,4,3
"1699621",18,10,37,2,12,9,17,6,4,8,1
"1028416",26,21,37,5,16,8,21,6,14,7,2
"1699623",12,1,26,2,5,5,15,8,2,9,2
"1720344",13,8,27,1,3,3,5,5,7,1,1
"1699622",8,2,9,0,2,5,9,2,3,5,0
"2772254",9,6,25,2,8,11,9,7,3,5,3
"571800",9,5,16,3,3,5,11,5,5,4,5
"349106",1,3,11,2,2,5,4,2,3,3,2
"1699624",5,5,15,2,6,6,7,6,4,3,3
"56811",0,3,1,1,0,1,2,1,0,1,0
"2733866",6,2,21,1,8,4,3,5,1,3,2
"2203895",2,2,11,0,1,3,6,1,5,3,1
"1028419",0,0,0,0,0,0,0,0,0,0,0
"256326",31,32,33,5,33,19,29,21,20,18,6
"45610",16,15,58,5,16,18,23,17,13,14,9
"259536",13,8,19,2,11,16,14,7,15,12,2
"330922",4,5,18,0,3,9,11,6,7,2,4
"34062",62,56,105,11,49,37,64,47,54,39,26
"476",20,11,53,2,10,11,29,9,16,9,4
"480",8,0,103,1,6,8,21,8,9,8,1
"34061",17,11,70,4,13,14,16,13,12,9,7
"386891",23,14,40,2,12,4,21,8,14,5,4
"478",9,10,31,2,12,11,4,5,9,7,4
"29433",2,3,4,2,4,0,3,2,1,3,1
"2283318",42,43,100,4,37,22,44,23,38,20,14
"453783",8438,3279,6768,21875,10121,6055,3747,5381,8198,4123,6235
"2290922",1860,1029,3552,1085,1844,1388,1406,1309,2243,2159,1553
"2762611",1184,504,2730,1241,877,992,911,826,1033,1233,805
"2781021",295,183,552,205,201,195,261,172,275,334,215
"2781022",263,171,549,226,217,211,231,185,242,247,123
"2714936",153,129,370,77,171,72,178,94,152,150,82
"2781024",158,108,426,150,108,116,147,123,131,168,96
"2781023",152,78,320,109,120,94,110,98,132,141,86
"69",4390,2232,9089,3152,3522,3654,4435,2918,3691,4069,2718
"2763317",4481,1900,8889,3568,4203,4296,5759,3507,5645,6222,6335
"2795387",2051,879,3588,2845,2083,1833,1494,1754,1810,1914,1570
"84531",1648,928,3729,1155,1259,1421,1895,1115,1358,1444,982
"435897",1563,888,3514,1121,1299,1260,1655,977,1477,1329,930
"1605891",1614,718,3963,1494,1260,1451,1424,1236,1564,1886,1134
"1324796",1418,659,9430,1528,1617,1159,1186,963,1991,2664,1644
"262324",1200,680,2511,805,949,967,1237,774,958,1072,808
"2591633",1332,618,2983,1189,973,1208,1076,934,1107,1336,852
"2698682",940,439,2992,918,817,824,765,667,988,1335,788
"40324",4156,2440,8522,1945,2752,2490,3670,2573,3424,3210,1888
"2072414",319,169,547,160,205,186,258,202,206,231,140
"2072413",309,178,569,125,188,181,248,176,252,210,134
"2072405",179,110,294,56,106,80,122,83,80,101,79
"2072407",96,60,189,35,59,61,75,54,62,57,43
"2072412",137,71,192,46,60,78,91,65,69,60,56
"2072406",104,33,163,28,63,41,50,31,43,57,30
"2072409",39,22,56,18,22,14,30,16,13,18,13
"2072408",41,23,72,11,20,22,27,21,16,41,11
"1904944",630,317,1187,328,370,369,486,373,382,440,276
"2770322",467,258,945,281,339,308,378,285,392,412,251
"2691571",352,181,603,161,239,222,294,202,230,275,147
"2742129",210,128,349,132,154,126,166,113,165,139,102
"2303750",160,48,212,49,86,76,92,71,79,60,45
"2040586",100,54,174,47,76,50,106,55,90,112,64
"2005046",120,66,300,51,61,60,75,57,71,79,44
"2282124",24,27,76,18,20,13,33,21,24,23,15
"2682487",24,7,54,16,22,9,18,19,25,48,7
"2775920",30,13,49,27,14,24,28,10,26,11,17
"1827305",32,19,62,13,26,20,26,20,34,20,13
"216778",1529,945,3320,966,1090,972,1414,928,1150,1244,785
"128780",1049,565,2851,1382,693,677,1157,655,784,887,447
"2045451",27,25,85,14,24,20,24,28,20,25,20
"83617",0,0,2,3,0,0,0,1,0,0,1
"149696",208,151,523,118,147,166,234,133,177,179,110
"359385",122,78,239,48,68,73,87,84,87,89,50
"340",117,63,342,52,97,68,103,78,84,76,45
"92826",60,32,127,15,63,41,71,52,74,64,40
"2724122",145,90,276,73,103,112,142,104,130,143,102
"2724123",161,92,253,74,93,98,114,102,111,117,73
"2724121",186,123,257,74,96,92,125,97,146,130,65
"2775162",30,14,57,16,21,19,18,16,8,11,7
"2776703",4,1,1,0,2,0,4,0,3,0,0
"152263",290,165,463,139,230,148,197,156,258,240,132
"134875",247,118,308,85,130,136,187,137,162,211,76
"487909",66,35,104,17,43,38,59,32,60,65,19
"56458",930,472,1908,516,688,570,832,560,772,807,487
"64187",148,93,241,42,101,101,129,84,119,120,51
"129394",65,49,114,35,62,39,53,45,55,35,19
"56464",534,332,1201,343,441,398,541,378,544,463,312
"346",602,343,943,215,377,371,494,344,463,386,240
"380358",3,1,1,1,1,1,1,2,0,0,1
"56455",477,317,906,251,349,335,469,264,370,435,235
"195709",98,70,188,47,62,46,81,40,74,87,43
"69929",65,40,272,21,26,35,57,28,61,32,35
"925775",60,38,115,19,38,32,48,36,38,35,19
"56453",320,217,731,185,281,225,286,156,280,306,166
"48664",414,200,783,163,251,198,282,232,251,226,140
"487904",111,63,199,32,62,50,83,66,88,61,49
"2754056",34,23,93,24,32,26,51,29,26,28,35
"707209",2,2,14,7,2,3,4,2,4,1,2
"454958",11,9,44,14,10,8,14,7,11,9,10
"325776",6,8,6,3,4,1,6,8,1,2,3
"487849",7,2,4,0,1,3,4,1,1,3,0
"1219375",274,174,429,85,175,144,212,161,198,232,90
"1982678",180,116,343,61,119,108,111,96,138,142,69
"1101443",15,19,20,4,6,8,13,3,5,3,5
"1304892",2,2,0,0,3,0,1,0,3,0,3
"2259622",128,126,303,77,106,104,158,100,140,130,78
"359387",24,9,22,11,6,14,17,12,11,5,7
"207721",16,9,19,0,9,9,10,9,9,7,8
"189396",22,7,37,8,13,11,16,16,9,16,6
"316273",0,0,0,0,2,2,0,0,1,0,0
"92828",83,57,229,36,65,49,66,48,61,78,57
"317013",3,2,4,24,1,0,2,0,0,4,1
"442694",8,12,47,4,21,177,11,27,11,6,0
"2799326",1261,695,3374,1267,1121,997,1102,854,1226,1316,837
"1896164",1110,629,3174,1318,859,898,954,747,1002,1193,855
"2508168",966,590,2594,974,863,826,873,666,1089,1126,675
"2799325",1003,570,2358,915,763,719,840,713,927,1098,658
"2761107",962,547,2455,894,745,743,842,670,931,1081,693
"1176533",1298,738,3248,1214,1047,1032,1099,908,1182,1435,869
"2006110",1084,601,2825,807,862,804,934,675,1014,1049,685
"2565782",942,536,2340,808,830,740,838,667,983,1007,669
"743721",1231,718,3195,1388,885,922,1106,733,1056,1119,725
"128785",1976,1297,35363,7864,1281,3213,2664,1176,2584,4821,2087
"1045855",828,455,2448,641,610,609,701,523,675,806,480
"2202149",1195,563,5169,1039,1124,1034,1058,872,1348,1778,1225
"2771436",952,554,8817,3278,859,804,865,677,996,1308,763
"2714945",636,294,2782,612,608,601,588,457,701,977,681
"215691",1380,671,9951,1207,1200,1055,1188,914,1524,1786,1183
"1463158",971,558,3638,834,822,816,905,631,962,1214,755
"370777",2542,1220,18924,1019,1261,1839,1730,949,1247,1389,933
"2511995",716,572,1855,194,647,404,663,458,794,769,511
"698414",2,2,13,0,1,1,2,0,1,0,0
"1401256",5,2,0,0,5,0,0,1,2,1,1
"644357",0,4,6,0,1,0,0,0,1,1,0
"671135",5,2,1,1,2,0,1,5,1,2,0
"1444770",70,43,124,36,51,38,49,49,51,57,38
"445710",1357,820,35893,319,1148,780,1215,776,2313,5404,1262
"2763498",652,467,1635,219,572,357,540,334,953,2839,498
"2501295",280,207,724,93,246,168,281,172,392,848,230
"1217721",731,524,1866,212,688,425,670,489,1127,3161,594
"1849581",376,283,1118,105,342,218,351,224,601,1219,332
"666685",1295,848,6620,424,1070,734,1075,736,2116,5954,1214
"2778082",1171,693,4433,347,974,652,944,741,1797,3939,957
"582702",783,517,2305,238,656,424,645,410,1357,7623,807
"1300342",2398,1697,4685,727,2077,1368,2275,1393,2081,2622,1382
"2589080",1006,652,1891,260,732,510,860,602,974,1881,602
"1440763",908,590,1695,201,748,504,790,534,940,1417,549
"2010829",1109,832,2968,338,1024,678,1048,726,1667,3302,928
"2021234",604,617,1425,114,510,334,667,394,521,483,274
"767434",420,294,1010,107,341,239,382,258,439,548,249
"550",505,344,1620,89,402,326,539,674,630,233,183
"158836",200,120,324,40,127,136,189,161,131,92,61
"69218",121,71,153,18,81,63,96,92,73,51,32
"61645",101,66,138,22,62,77,124,61,58,59,26
"1812935",105,45,153,31,66,45,89,58,71,50,33
"2494701",61,26,78,8,47,24,71,30,52,27,24
"208224",34,28,73,5,22,27,49,23,27,27,74
"299767",34,26,60,52,21,20,31,30,15,25,7
"2071710",27,20,15,3,9,17,18,17,13,21,1
"2757714",31,20,39,11,21,25,22,17,8,16,8
"2724468",120,78,138,14,95,59,105,77,96,71,43
"2596949",134,65,158,24,67,64,91,45,118,55,48
"1914861",103,66,159,15,59,72,105,61,71,44,34
"2742676",53,46,62,6,27,28,25,24,12,23,16
"2742639",31,18,82,5,29,16,23,25,21,19,10
"399742",58,24,64,8,30,27,41,20,64,30,18
"2742619",24,9,42,7,17,8,25,10,10,12,4
"1166130",6,10,10,0,10,8,12,7,6,5,1
"2705458",12,10,28,1,13,7,4,4,13,8,3
"2500132",18,7,5,3,8,5,13,3,7,2,7
"1560339",28,11,8,2,6,9,9,3,3,6,3
"648691",0,1,2,0,1,0,1,1,0,0,1
"2565914",3,4,1,1,0,3,3,1,1,1,3
"1868135",1,1,10,3,0,1,2,3,1,2,1
"1827481",1,1,4,0,0,0,1,1,2,1,0
"2742673",2,0,1,1,0,1,3,1,2,4,1
"2742656",0,0,0,1,1,0,0,0,0,0,0
"2747372",0,1,1,1,2,1,1,1,0,0,0
"2051905",0,0,0,0,0,0,0,0,0,1,0
"881260",42,57,138,9,41,35,65,62,32,38,15
"2478464",52,29,59,13,35,25,41,27,32,20,10
"885040",38,23,62,12,25,22,24,35,26,21,24
"539813",3,4,5,0,3,2,3,1,4,2,1
"72407",12,12,13,1,9,7,8,8,6,7,4
"39831",2,1,4,0,2,4,3,2,1,3,1
"1328373",0,0,2,0,0,0,0,0,0,0,0
"1365186",0,0,0,0,0,0,0,0,0,0,0
"1420012",1,0,0,0,0,1,0,1,0,0,0
"548",290,211,477,44,184,144,315,199,217,123,89
"2681387",20,12,15,3,16,9,22,12,13,5,6
"2787706",4,5,5,0,2,1,7,2,1,5,0
"2675726",3,3,6,0,5,4,6,3,1,1,0
"2697371",3,5,0,0,0,2,5,1,1,1,0
"2015795",1,0,1,1,1,1,1,1,1,2,0
"2267618",0,0,1,2,0,0,1,2,0,0,1
"2675710",0,1,1,0,3,0,3,2,3,4,2
"571",195,116,368,43,145,94,195,120,143,114,56
"1134687",163,136,0,35,131,101,169,104,129,111,64
"1667327",9,5,11,1,5,0,6,3,4,3,4
"244366",0,0,121,15,0,0,0,81,0,0,0
"2026240",51,27,93,9,34,30,40,26,25,29,18
"2153354",41,23,49,2,33,21,42,23,43,19,15
"2489010",45,32,64,6,20,21,38,22,20,25,14
"2058152",26,11,63,11,15,18,24,26,15,8,5
"546",205,129,428,44,132,110,155,91,100,86,44
"67827",27,14,51,2,17,12,40,14,20,4,5
"1639133",10,14,30,71,15,8,14,9,9,5,1
"2816438",8,7,18,2,3,13,13,9,12,5,4
"57706",8,5,17,3,11,9,17,7,10,5,1
"133448",6,4,15,0,6,8,6,3,12,2,3
"1573676",56,41,95,9,44,40,59,29,45,30,29
"2742624",54,40,58,7,47,33,58,36,51,32,19
"2546350",19,18,31,5,11,2,15,16,3,6,9
"2781952",22,19,15,5,10,10,11,9,17,7,6
"1702170",0,0,20,1,3,0,2,2,2,4,2
"2742627",2,5,5,0,1,2,8,2,3,3,0
"1703250",0,1,3,0,1,1,4,0,1,2,4
"1920110",4,3,21,2,0,0,3,2,0,1,0
"2742675",0,1,1,0,1,2,2,3,6,1,1
"2742667",2,3,2,2,1,1,1,0,1,0,0
"2742626",0,0,0,0,0,1,2,6,1,3,1
"2742657",1,2,3,0,0,2,0,2,1,0,0
"2742625",1,3,0,2,0,1,0,6,3,1,0
"2742668",0,2,6,0,0,0,2,1,0,1,0
"2697370",0,1,2,1,1,1,2,0,0,0,1
"2742678",0,0,1,0,1,0,0,0,0,0,0
"637910",94,58,159,23,73,49,111,49,53,55,41
"67824",45,51,74,6,45,32,43,35,31,29,23
"1261127",42,35,66,10,26,22,38,26,23,14,16
"545",33,19,45,4,15,14,24,30,26,20,20
"2562449",32,23,115,10,19,17,22,21,32,14,9
"2653932",41,22,66,8,28,31,33,22,29,25,18
"1748967",4,6,11,2,7,1,14,8,3,5,0
"1563222",5,4,16,2,0,1,3,6,1,3,1
"1138308",11,13,12,1,13,10,18,7,8,8,7
"413498",151,88,159,13,84,71,147,79,90,76,51
"1074000",100,70,125,16,55,395,86,49,67,57,51
"1073999",102,54,144,14,85,61,88,58,79,61,48
"1159491",0,0,0,0,0,2,2,1,0,1,1
"1159613",19,10,24,3,14,12,11,13,7,9,4
"1906275",15,13,30,6,9,13,31,8,14,11,7
"2725560",61,48,97,19,54,42,61,51,67,31,16
"2492396",61,39,60,13,26,22,44,28,51,22,16
"2067958",41,48,104,6,30,23,39,38,27,19,10
"1300165",15,12,17,3,17,14,11,21,8,4,5
"1235834",9,8,16,4,8,4,11,1,6,3,9
"551989",54,30,58,9,32,13,45,17,42,22,16
"1177180",6,3,2,0,3,3,4,5,1,3,0
"497725",34,21,44,5,18,25,30,24,27,13,1
"1646340",45,35,59,7,27,25,35,19,20,24,8
"2714951",100,52,83,20,60,44,107,50,43,55,26
"2815358",75,46,83,12,58,55,76,58,45,31,25
"2282310",22,10,16,3,8,4,34,8,4,10,6
"2282309",21,12,17,2,9,21,24,18,10,25,4
"2681308",17,17,25,3,11,18,15,8,17,7,2
"2681309",3,1,15,3,1,1,8,4,5,2,0
"1920114",4,4,3,0,5,4,5,6,4,3,1
"2681307",21,12,19,2,16,8,24,13,17,7,9
"83655",203,124,265,25,114,93,156,96,109,98,61
"2822132",3,9,2,1,3,2,7,2,1,2,1
"83334",3,3,5,2,7,4,3,4,2,4,1
"696406",0,0,0,0,0,0,0,0,0,0,0
"2233553",0,0,0,0,0,0,0,0,0,0,0
"930406",0,0,0,0,1,1,0,0,1,0,0
"585034",1,0,1,0,0,3,0,0,0,0,0
"409438",2,1,0,0,0,2,0,2,1,1,0
"2048778",0,0,0,0,0,0,0,0,0,0,0
"2048781",0,0,0,0,0,0,1,0,0,0,0
"1392858",0,0,0,0,1,0,0,0,0,1,0
"2763104",0,0,0,0,0,8,6,18,0,12,1
"1045010",1,0,0,0,0,0,0,0,0,0,1
"244319",0,0,0,0,0,0,0,0,0,0,0
"1078034",0,0,1,0,0,0,2,0,0,0,0
"2810408",1,0,0,0,0,0,0,0,0,0,1
"2810404",0,0,0,0,2,1,4,1,0,2,0
"208962",60,30,69,10,36,23,40,24,25,18,18
"564",56,33,77,11,23,23,32,23,11,16,12
"1499973",26,18,42,4,16,16,29,21,16,14,5
"2044467",21,14,39,3,13,9,10,14,10,11,1
"575",87,48,100,8,47,47,66,55,64,39,25
"577",77,59,116,10,46,41,65,30,51,50,30
"54291",0,0,0,8,0,42,56,0,45,34,21
"1259973",17,8,16,4,12,12,21,22,16,9,6
"2259647",0,0,1,0,0,0,2,1,1,0,0
"61647",387,295,522,86,302,219,413,245,323,213,147
"701347",32,21,50,5,15,14,32,27,16,14,9
"59201",125,96,266,33,74,66,115,80,62,101,39
"59202",26,21,46,1,29,17,33,16,27,22,14
"59208",8,2,25,3,7,5,11,7,7,6,4
"59204",4,2,2,1,3,1,6,1,0,2,3
"59205",1,3,3,1,2,0,6,6,5,0,8
"59203",5,0,24,0,6,1,4,2,4,7,3
"41527",10,1,10,0,3,1,4,3,8,1,2
"1197719",1,2,0,0,2,1,1,1,2,0,0
"158822",268,193,415,52,202,162,286,146,188,145,67
"2545798",81,45,128,13,72,45,70,52,61,37,19
"158823",76,63,128,19,53,58,57,53,69,39,24
"61646",140,105,186,18,83,68,117,72,66,62,32
"2153385",20,18,28,4,14,19,27,16,15,20,7
"69220",22,16,49,2,18,6,21,15,12,12,6
"61648",54,47,89,9,42,25,56,30,38,34,18
"2774055",65,50,129,18,49,28,62,44,41,42,26
"51288",22,20,23,8,15,14,17,14,9,17,3
"566",118,80,244,27,99,67,112,72,76,67,26
"2579935",148,78,192,21,87,64,132,83,70,90,32
"158877",82,62,153,17,56,53,88,55,52,51,25
"1851514",89,61,114,16,68,61,66,64,59,66,26
"2479367",60,31,83,9,45,26,40,31,32,23,8
"82977",46,26,79,6,25,27,43,33,36,43,15
"146507",39,41,77,19,30,16,39,24,28,16,16
"84564",26,17,74,1,16,11,22,9,25,8,5
"1906659",7,3,11,2,10,7,4,6,3,6,2
"1906661",1,4,10,1,4,0,2,3,3,3,1
"1906657",7,4,26,4,14,6,10,6,8,4,2
"1682492",0,2,7,1,4,1,2,0,0,1,0
"472825",1,2,8,0,0,1,0,2,4,0,1
"199891",1,0,11,0,2,0,2,3,2,0,1
"1906660",3,0,4,2,2,1,1,1,2,3,0
"565",119,77,149,10,61,54,82,67,54,77,42
"1972431",60,34,96,4,28,28,50,29,40,18,14
"395631",4,5,8,2,6,3,8,6,2,2,2
"1756993",8,1,8,1,2,4,6,1,2,1,2
"563",110,67,152,13,48,56,85,64,52,47,21
"2675784",0,1,1,0,0,0,0,0,1,0,0
"2675785",1,6,2,0,1,1,1,2,3,0,1
"2675772",0,0,3,0,0,0,0,0,1,0,0
"2675775",0,1,8,0,0,0,1,2,1,1,0
"2675794",3,3,3,3,1,0,2,2,0,0,0
"2675793",1,2,1,0,1,4,3,3,0,0,1
"2675791",1,2,3,0,1,0,1,1,2,1,0
"2675789",4,0,7,0,0,0,1,2,0,0,0
"2675782",1,1,1,0,1,0,1,1,1,1,0
"2675783",1,1,1,0,0,0,0,0,0,0,0
"2675797",5,1,13,0,3,0,1,0,1,1,0
"2675795",0,0,2,0,1,1,1,0,0,0,0
"2675792",0,1,8,0,1,0,1,3,1,0,0
"2675788",0,0,2,0,0,0,0,0,0,1,0
"2675787",3,3,13,0,0,0,1,0,1,0,0
"2675786",1,0,0,0,3,1,0,0,0,0,0
"2675781",3,0,3,0,0,0,0,1,2,3,0
"2675780",1,0,1,0,0,0,2,2,0,0,0
"2675779",1,1,0,0,0,0,0,0,0,1,0
"2675778",1,1,3,0,1,4,0,0,1,0,0
"2675776",1,0,0,0,0,1,0,0,0,0,0
"1048758",25,11,37,2,26,23,39,0,19,13,3
"42897",0,1,1,0,0,0,0,0,1,0,0
"622",3,3,2,0,6,0,6,0,3,3,2
"621",3,1,0,0,0,3,4,0,0,0,0
"2487150",8,3,4,1,5,7,11,14,1,4,4
"401619",2,0,13,0,0,0,1,1,2,0,0
"428411",5,0,5,1,0,4,3,1,0,2,0
"476281",1,2,8,2,6,3,1,2,4,1,3
"911022",10,5,45,3,3,5,6,3,10,2,1
"1334564",7,3,57,1,6,4,4,6,2,6,5
"273526",16,8,11,3,5,5,13,9,4,6,3
"435998",7,1,1,3,2,1,2,3,3,1,1
"2420306",62,55,52,7,34,31,54,29,54,34,19
"104623",52,36,142,11,40,29,68,46,33,34,16
"671990",51,27,59,11,35,31,38,24,28,18,32
"2597702",44,34,66,6,27,41,33,37,38,22,14
"2033438",34,13,12,2,28,37,40,29,31,24,8
"2448483",19,11,24,5,8,5,13,14,10,7,2
"2447890",14,14,15,6,9,6,26,11,16,26,6
"2724469",7,3,5,1,0,3,1,5,2,2,0
"2773264",3,1,18,1,9,3,6,4,1,2,0
"2482769",4,4,14,2,10,4,3,9,1,3,2
"2785630",3,0,5,0,2,4,1,1,2,2,1
"1327989",15,7,12,2,4,3,2,13,1,7,2
"488142",6,7,15,0,10,1,9,2,9,1,4
"1758196",1,0,0,0,2,2,3,1,6,2,1
"2485839",2,1,6,0,0,1,5,1,2,4,0
"1154756",47,42,57,8,24,17,29,25,35,22,7
"682634",25,4,9,1,10,8,4,10,6,9,2
"1006598",1,0,6,2,1,1,2,2,0,0,4
"61652",157,113,254,23,108,131,166,137,101,111,59
"618",193,114,290,18,99,95,137,92,61,99,45
"47917",132,98,246,21,102,89,161,105,92,103,48
"2741499",97,81,138,18,65,41,79,44,46,52,26
"399741",10,8,11,2,7,3,13,3,3,4,4
"82995",74,53,108,14,41,28,57,40,52,30,20
"568817",10,5,21,1,1,2,9,2,3,2,0
"1346614",5,5,8,2,3,2,6,4,1,0,0
"137545",26,17,48,8,27,19,15,9,13,17,12
"61651",20,18,16,10,10,13,21,13,17,12,7
"300181",11,9,20,2,13,5,3,1,13,8,4
"458197",9,4,5,1,6,3,3,3,6,1,0
"1443113",10,6,3,1,2,4,6,6,1,10,0
"34053",4,1,10,1,1,6,3,2,0,3,1
"367190",14,5,26,4,14,9,16,6,8,8,2
"633",14,6,14,0,10,5,15,4,8,9,3
"632",10,11,13,2,4,6,2,3,4,6,3
"29486",42,27,79,10,29,15,29,22,28,14,16
"935293",34,27,73,8,29,26,40,22,13,21,10
"28152",18,12,33,2,16,14,27,10,11,4,8
"1453495",22,12,38,6,15,10,18,16,20,14,8
"29484",29,18,68,3,14,15,32,18,0,14,8
"349967",31,19,81,5,24,12,44,18,19,14,14
"29485",18,14,45,1,21,12,18,9,24,17,6
"263819",17,13,39,6,6,10,17,10,15,20,6
"2607663",11,11,25,5,10,16,20,7,12,15,4
"2339259",6,9,7,0,3,3,2,3,8,2,1
"349968",2,2,6,0,1,0,4,4,5,3,1
"419257",2,3,6,0,7,5,3,6,2,7,1
"1179669",4,4,1,0,0,3,3,3,2,2,7
"2126321",339,212,379,47,212,170,283,201,273,170,97
"745277",48,45,111,8,61,29,62,46,45,41,17
"1151116",1,0,3,1,1,1,3,0,1,2,0
"1805933",86,76,196,18,81,68,100,69,87,53,26
"741091",1,1,3,1,1,1,4,0,0,1,0
"2703885",11,3,26,1,6,6,5,3,10,6,1
"929813",189,111,177,28,139,104,207,121,124,124,50
"1646377",124,97,149,17,85,82,109,100,105,74,47
"41202",129,81,203,23,74,64,105,65,87,44,40
"1441930",55,56,99,9,38,34,57,35,24,16,24
"1878942",19,5,42,4,12,11,12,8,15,3,8
"2575375",103,87,153,26,95,49,88,76,91,50,28
"592316",95,57,160,20,66,41,94,69,71,63,41
"1484158",107,68,188,17,66,161,119,76,58,75,46
"2052056",87,53,177,12,51,40,53,50,58,33,28
"2490851",70,53,164,14,42,38,80,39,39,43,27
"2479547",38,26,58,5,31,16,45,23,35,22,16
"2768165",8,3,4,0,2,3,7,2,5,5,1
"2787629",11,3,8,0,10,9,10,6,10,0,0
"59814",302,160,466,51,207,180,286,246,211,174,102
"712898",8,8,13,0,3,5,12,6,6,1,3
"549",250,118,202,33,84,108,183,100,101,87,43
"932677",1,1,4,0,1,0,1,0,1,0,0
"1123863",0,0,5,0,1,1,4,0,0,0,0
"55209",108,69,173,14,56,55,94,71,66,50,24
"66271",11,5,27,1,3,9,15,8,4,9,4
"1891675",101,59,144,18,55,49,65,43,45,48,23
"1076550",94,51,97,25,38,23,51,30,40,39,21
"1235990",11,7,20,2,3,1,15,7,8,3,0
"470933",12,7,7,3,6,6,10,10,6,6,1
"1619313",141,91,242,28,88,92,111,70,102,52,43
