"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report"
"158823",70,57,24,69,76,76,57,46,19,63,58
"61646",98,117,32,66,144,140,64,59,18,105,68
"2153385",17,27,7,15,37,20,16,22,4,18,19
"69220",27,21,6,12,29,22,18,16,2,16,6
"61648",45,56,18,38,76,54,40,30,9,47,25
"2774055",57,62,26,41,71,65,43,58,18,50,28
"51288",20,17,3,9,32,22,12,25,8,20,14
"566",116,112,26,76,142,118,78,86,27,80,67
"2579935",107,132,32,70,137,148,72,60,21,78,64
"158877",67,88,25,52,113,82,61,56,17,62,53
"1851514",74,66,26,59,107,89,52,42,16,61,61
"2479367",37,40,8,32,57,60,25,25,9,31,26
"82977",36,43,15,36,35,46,21,24,6,26,27
"146507",31,39,16,28,34,39,26,15,19,41,16
"84564",22,22,5,25,20,26,9,13,1,17,11
"1906659",6,4,2,3,11,7,3,4,2,3,7
"1906661",5,2,1,3,8,1,3,3,1,4,0
"1906657",7,10,2,8,7,7,11,11,4,4,6
"1682492",3,2,0,0,5,0,2,4,1,2,1
"472825",0,0,1,4,4,1,2,3,0,2,1
"199891",2,2,1,2,3,1,1,2,0,0,0
"1906660",0,1,0,2,1,3,0,2,2,0,1
"565",79,82,42,54,93,119,45,51,10,77,54
"1972431",44,50,14,40,64,60,28,30,4,34,28
"395631",3,8,2,2,13,4,2,4,2,5,3
"1756993",2,6,2,2,8,8,4,3,1,1,4
"563",77,85,21,52,87,110,72,47,13,67,56
"2675784",0,0,0,1,5,0,0,1,0,1,0
"2675785",0,1,1,3,3,1,0,2,0,6,1
"2675772",1,0,0,1,2,0,0,0,0,0,0
"2675775",1,1,0,1,2,0,0,0,0,1,0
"2675794",0,2,0,0,2,3,0,0,3,3,0
"2675793",1,3,1,0,2,1,2,1,0,2,4
"2675791",0,1,0,2,2,1,0,0,0,2,0
"2675789",4,1,0,0,2,4,2,0,0,0,0
"2675782",0,1,0,1,2,1,0,0,0,1,0
"2675783",0,0,0,0,2,1,0,2,0,1,0
"2675797",2,1,0,1,1,5,0,0,0,1,0
"2675795",0,1,0,0,1,0,1,1,0,0,1
"2675792",0,1,0,1,1,0,1,2,0,1,0
"2675788",0,0,0,0,1,0,0,0,0,0,0
"2675787",2,1,0,1,1,3,0,0,0,3,0
"2675786",0,0,0,0,1,1,1,0,0,0,1
"2675781",1,0,0,2,1,3,2,0,0,0,0
"2675780",0,2,0,0,1,1,0,0,0,0,0
"2675779",0,0,0,0,1,1,0,1,0,1,0
"2675778",1,0,0,1,1,1,1,0,0,1,4
"2675776",0,0,0,0,1,1,0,0,0,0,1
"1048758",26,39,3,19,29,25,33,9,2,11,23
"42897",2,0,0,1,1,0,0,0,0,1,0
"622",1,6,2,3,4,3,2,2,0,3,0
"621",1,4,0,0,1,3,0,3,0,1,3
"2487150",14,11,4,1,8,8,5,5,1,3,7
"401619",1,1,0,2,3,2,0,2,0,0,0
"428411",1,3,0,0,2,5,1,0,1,0,4
"476281",4,1,3,4,4,1,2,1,2,2,3
"911022",3,6,1,10,8,10,6,4,3,5,5
"1334564",3,4,5,2,7,7,3,5,1,3,4
"273526",16,13,3,4,6,16,5,4,3,8,5
"435998",2,2,1,3,3,7,1,1,3,1,1
"2420306",45,54,19,54,79,62,36,36,7,55,31
"104623",71,68,16,33,59,52,46,29,11,36,29
"671990",21,38,32,28,52,51,24,27,11,27,31
"2597702",44,33,14,38,50,44,24,34,6,34,41
"2033438",31,40,8,31,28,34,32,32,2,13,37
"2448483",11,13,2,10,14,19,3,6,5,11,5
"2447890",11,26,6,16,14,14,13,8,6,14,6
"2724469",8,1,0,2,7,7,2,3,1,3,3
"2773264",6,6,0,1,6,3,1,3,1,1,3
"2482769",4,3,2,1,6,4,5,3,2,4,4
"2785630",3,1,1,2,4,3,3,2,0,0,4
"1327989",13,2,2,1,4,15,6,5,2,7,3
"488142",5,9,4,9,4,6,4,7,0,7,1
"1758196",1,3,1,6,3,1,1,3,0,0,2
"2485839",0,5,0,2,2,2,0,1,0,1,1
"1154756",36,29,7,35,64,47,28,40,8,42,17
"682634",5,4,2,6,10,25,3,4,1,4,8
"1006598",8,2,4,0,1,1,0,1,2,0,1
"61652",198,166,59,101,167,157,106,96,23,113,131
"618",117,137,45,61,153,193,87,81,18,114,95
"47917",120,161,48,92,150,132,75,99,21,98,89
"2741499",58,79,26,46,123,97,58,56,18,81,41
"399741",9,13,4,3,6,10,4,3,2,8,3
"82995",44,57,20,52,80,74,34,26,14,53,28
"568817",4,9,0,3,10,10,1,10,1,5,2
"1346614",1,6,0,1,5,5,5,3,2,5,2
"137545",23,15,12,13,29,26,15,4,8,17,19
"61651",14,21,7,17,22,20,4,12,10,18,13
"300181",7,3,4,13,11,11,6,5,2,9,5
"458197",7,3,0,6,9,9,1,3,1,4,3
"1443113",13,6,0,1,16,10,4,4,1,6,4
"34053",1,3,1,0,3,4,0,2,1,1,6
"367190",9,16,2,8,15,14,8,15,4,5,9
"633",10,15,3,8,9,14,8,5,0,6,5
"632",2,2,3,4,7,10,6,5,2,11,6
"29486",31,29,16,28,39,42,22,28,10,27,15
"935293",28,40,10,13,35,34,32,13,8,27,26
"28152",10,27,8,11,33,18,11,13,2,12,14
"1453495",16,18,8,20,28,22,16,8,6,12,10
"29484",10,32,8,0,25,29,8,8,3,18,15
"349967",32,44,14,19,25,31,11,16,5,19,12
"29485",12,18,6,24,20,18,17,8,1,14,12
"263819",8,17,6,15,19,17,9,14,6,13,10
"2607663",11,20,4,12,16,11,7,15,5,11,16
"2339259",6,2,1,8,9,6,0,2,0,9,3
"349968",2,4,1,5,3,2,1,1,0,2,0
"419257",9,3,1,2,3,2,4,4,0,3,5
"1179669",1,3,7,2,2,4,3,9,0,4,3
"2126321",233,283,97,273,342,339,195,205,47,212,170
"745277",59,62,17,45,82,48,42,51,8,45,29
"1151116",3,3,0,1,1,1,1,1,1,0,1
"1805933",63,100,26,87,94,86,58,58,18,76,68
"741091",2,4,0,0,3,1,1,0,1,1,1
"2703885",10,5,1,10,16,11,2,7,1,3,6
"929813",148,207,50,124,195,189,126,121,28,111,104
"1646377",115,109,47,105,126,124,85,82,17,97,82
"41202",91,105,40,87,110,129,60,72,23,81,64
"1441930",44,57,24,24,41,55,16,33,9,56,34
"1878942",13,12,8,15,21,19,8,10,4,5,11
"2575375",103,88,28,91,138,103,80,84,26,87,49
"592316",93,94,41,71,105,95,80,58,20,57,41
"1484158",112,119,46,58,101,107,67,54,17,68,161
"2052056",48,53,28,58,86,87,46,42,12,53,40
"2490851",66,80,27,39,83,70,41,52,14,53,38
"2479547",36,45,16,35,49,38,25,13,5,26,16
"2768165",5,7,1,5,7,8,4,0,0,3,3
"2787629",14,10,0,10,6,11,1,2,0,3,9
"59814",222,286,102,211,314,302,194,183,51,160,180
"712898",4,12,3,6,10,8,3,6,0,8,5
"549",110,183,43,101,168,250,93,104,33,118,108
"932677",1,1,0,1,1,1,1,0,0,1,0
"1123863",2,4,0,0,1,0,1,0,0,0,1
"55209",84,94,24,66,115,108,59,55,14,69,55
"66271",5,15,4,4,19,11,2,13,1,5,9
"1891675",51,65,23,45,93,101,36,41,18,59,49
"1076550",51,51,21,40,65,94,36,42,25,51,23
"1235990",3,15,0,8,13,11,7,1,2,7,1
"470933",7,10,1,6,4,12,4,6,3,7,6
"1619313",97,111,43,102,185,141,89,71,28,91,92
"55211",72,91,36,76,112,98,65,60,22,82,60
"2681984",47,60,32,58,66,77,50,35,15,53,40
"2547962",15,13,7,10,19,18,12,10,2,19,8
"215689",23,14,11,7,15,26,17,6,3,16,12
"465817",67,70,24,49,90,72,35,53,12,51,39
"634500",21,21,17,19,36,26,20,12,2,22,15
"1407064",0,1,0,5,3,2,0,1,0,0,1
"716540",1,1,1,0,1,0,1,1,0,0,0
"1922217",29,41,15,34,56,44,29,24,8,35,23
"79967",10,0,1,5,20,13,13,5,0,12,7
"665914",136,209,58,144,195,166,133,131,28,122,102
"665913",114,167,60,123,156,138,101,158,27,145,89
"1458355",104,129,53,93,151,145,75,99,19,102,86
"1615494",86,75,38,39,108,108,46,61,19,59,44
"1241869",3,4,0,3,10,5,3,3,0,7,4
"118103",3,3,2,5,8,2,1,2,0,3,1
"135842",3,4,9,18,8,1,8,0,2,2,2
"1315998",9,5,2,2,7,8,7,5,0,4,9
"2315800",11,7,2,10,7,8,6,8,0,5,7
"2518979",1,2,0,0,6,0,0,0,0,0,0
"98785",1,2,0,0,5,0,1,0,0,2,0
"2518977",0,1,0,1,4,1,0,0,1,0,0
"1660043",0,2,2,1,4,2,0,1,0,2,1
"1258543",3,0,0,5,3,3,1,1,0,0,0
"1241860",1,0,2,2,3,4,0,1,0,3,2
"1241836",3,2,1,2,3,3,1,0,0,3,0
"1241834",0,3,0,1,3,0,1,0,0,0,0
"911343",0,2,1,4,3,1,3,0,1,1,1
"2518976",7,2,2,1,3,11,3,0,1,5,2
"2173854",2,0,0,0,3,1,1,0,1,0,1
"118101",1,0,1,1,3,1,2,0,1,4,0
"2495405",2,3,7,1,3,2,1,1,0,1,1
"557993",1,2,4,0,2,0,0,2,0,0,0
"1241865",1,2,0,0,2,2,0,1,0,3,2
"1241859",0,2,0,2,2,1,2,2,0,0,2
"118110",0,3,0,4,2,10,3,5,0,1,0
"1660040",0,0,0,0,2,2,3,1,0,0,0
"655384",0,2,0,0,2,0,1,0,0,0,0
"571428",0,1,0,2,2,0,1,1,0,0,0
"1878935",1,1,0,0,2,5,1,2,1,2,0
"1507522",0,1,1,2,1,0,5,1,0,0,1
"2315802",2,0,1,2,1,4,0,0,0,3,1
"1265350",1,0,1,1,1,0,0,0,0,1,0
"1921549",1,2,0,1,1,1,1,3,0,0,1
"2518980",1,0,0,4,1,1,0,0,0,0,0
"98793",0,1,2,1,1,3,3,0,0,0,0
"1241878",2,0,3,1,1,0,0,0,0,0,3
"98794",1,2,0,2,1,2,0,0,2,1,1
"98804",0,0,0,1,1,1,0,0,0,0,2
"118118",1,1,0,3,1,1,0,1,0,1,0
"261318",0,1,1,1,1,0,0,0,0,0,2
"571430",0,1,0,0,1,1,0,0,0,2,2
"1241832",2,5,2,0,1,0,2,1,0,4,1
"1241833",0,4,0,0,1,1,4,1,1,2,1
"1241884",1,4,4,0,1,0,4,1,1,8,0
"53336",23,26,13,20,48,34,12,20,9,20,21
"82987",46,36,9,23,41,33,24,15,8,33,16
"2487345",22,29,13,26,41,38,18,19,5,24,14
"36868",4,4,0,1,5,7,5,4,0,0,8
"590409",14,15,10,8,25,26,15,7,1,9,14
"1427366",4,12,2,11,14,13,4,6,3,6,7
"1224147",4,6,4,3,13,6,4,3,0,7,3
"1224153",9,13,1,6,9,9,5,6,4,7,3
"1223567",9,1,0,1,8,4,5,4,0,6,2
"1223573",3,5,4,4,4,4,3,5,0,1,2
"1224146",3,5,2,4,3,5,4,1,1,2,5
"1223569",40,45,6,33,58,54,24,33,5,27,23
"1223571",47,21,8,11,35,55,18,21,3,21,18
"561229",0,0,0,0,1,0,0,0,0,0,0
"204040",28,30,12,26,33,36,24,22,5,26,28
"1224149",22,16,7,17,15,29,3,17,3,20,22
"198628",9,14,3,8,11,16,3,3,2,3,6
"1223572",0,0,0,0,1,0,0,0,0,0,0
"579405",0,0,1,0,4,1,0,0,0,1,0
"1226343",0,3,1,1,3,2,0,1,0,2,1
"1223570",3,4,1,1,1,0,0,0,0,1,0
"1225780",0,0,1,2,1,0,1,0,0,1,0
"1089444",46,60,28,30,67,0,40,34,15,40,55
"568766",23,26,13,22,46,55,19,16,7,33,22
"2037915",2,3,5,2,9,1,1,0,0,3,3
"1224145",3,5,2,4,5,6,4,6,1,7,3
"1778540",40,52,14,27,63,72,41,25,9,34,35
"568768",39,44,11,42,60,36,44,19,20,32,26
"180957",61,77,43,56,96,105,53,57,15,53,50
"555",58,67,15,52,61,74,41,31,7,75,39
"2042057",36,50,12,38,72,48,53,37,12,42,32
"218491",5,8,2,5,7,16,5,4,1,3,4
"1905730",39,45,15,31,35,0,26,21,9,0,15
"2108399",22,30,8,14,33,35,18,17,4,35,13
"1175631",23,26,4,14,32,26,13,14,3,16,12
"2488639",16,31,4,9,30,22,17,12,6,16,16
"78398",30,16,5,8,21,18,11,16,2,20,15
"1201031",6,8,3,3,6,5,3,5,3,4,3
"2722756",125,123,41,83,154,113,90,71,23,96,68
"1109412",82,108,35,76,105,98,63,56,15,82,50
"55213",51,68,26,48,91,69,55,51,13,68,37
"1172565",83,125,39,98,132,128,88,71,17,84,58
"1082704",89,108,41,87,112,100,67,62,15,85,49
"718251",0,0,0,3,1,0,0,5,1,0,0
"93378",85,106,30,82,103,107,78,68,15,84,50
"67780",75,0,43,66,92,83,0,61,13,0,48
"1288122",4,4,1,4,7,8,5,1,0,5,2
"1578828",7,4,1,6,6,9,2,5,3,6,6
"1650654",1,1,1,1,5,0,0,1,0,2,0
"667120",0,0,0,1,2,0,1,0,0,0,0
"1453496",6,5,5,6,3,3,3,10,0,6,1
"546367",48,45,11,25,27,34,30,22,3,23,19
"1848580",2,3,0,0,4,4,2,1,0,0,4
"82983",22,25,7,18,20,25,13,16,3,21,11
"1141663",24,1,0,0,4,2,0,0,0,1,0
"158850",26,30,11,4,19,12,10,13,2,12,10
"126385",12,14,2,8,18,30,7,12,1,12,4
"333962",14,12,4,10,16,18,6,8,2,12,4
"1141660",9,13,10,11,16,9,8,8,0,9,3
"333965",8,12,6,12,13,25,12,4,5,17,6
"588",0,6,0,4,4,4,7,2,0,1,2
"2791982",0,0,0,0,2,0,0,0,0,0,0
"406818",20,18,6,9,21,25,21,6,2,12,10
"351671",25,49,8,22,27,22,22,28,10,23,18
"351679",18,23,4,9,25,17,14,14,2,15,13
"628",22,25,4,16,23,15,15,12,1,14,14
"1354304",12,12,8,11,21,13,13,11,2,16,6
"290110",18,16,6,8,16,13,11,8,3,11,8
"180434",0,1,0,1,1,0,1,1,0,1,1
"584",0,0,0,170,54,56,110,43,6,0,0
"585",34,29,8,18,29,34,12,13,2,21,19
"183417",9,9,1,3,13,9,2,6,0,7,8
"102862",7,2,1,4,9,4,2,3,0,11,2
"2697019",3,5,3,3,5,4,1,1,0,1,3
"626774",3,0,1,1,1,2,2,2,0,0,2
"1987580",2,1,1,2,1,2,1,0,0,3,0
"230089",22,16,5,15,29,18,13,15,2,11,15
"141679",13,22,9,9,28,31,15,8,3,18,7
"291112",7,22,5,15,22,11,12,12,3,20,8
"235559",11,6,0,9,19,13,3,3,3,9,8
"1231049",6,7,2,4,6,13,5,3,3,6,4
"638",9,15,4,9,14,7,8,5,1,9,2
"634113",2,4,2,1,2,2,1,3,3,2,2
"1239307",91,126,41,92,124,128,61,90,25,96,71
"2342",49,58,40,54,65,66,54,60,5,39,35
"1929246",4,4,3,8,8,9,3,5,2,6,8
"158841",57,71,23,41,89,86,55,54,8,55,34
"82985",24,36,17,9,26,25,16,14,3,28,18
"2172103",14,15,9,11,15,14,13,9,1,14,9
"2498113",18,16,12,20,12,13,7,9,1,15,11
"703",75,86,20,55,122,81,62,47,20,77,53
"1255043",768,938,340,740,1202,969,648,554,191,837,544
"396588",801,934,356,625,1198,994,609,509,229,682,586
"713585",705,879,313,675,1057,893,580,487,179,720,485
"396595",592,665,260,407,695,699,484,372,151,474,401
"106634",545,666,207,507,686,735,411,365,154,505,459
"1765967",549,736,203,514,866,710,478,377,137,619,434
"2792603",601,763,266,617,846,701,541,451,161,591,455
"2819280",316,400,155,340,465,387,276,237,82,272,287
"1335757",402,472,156,344,577,478,330,287,99,393,258
"2666185",346,392,118,306,495,417,286,208,80,338,274
"1260251",259,322,95,221,335,307,207,165,63,222,173
"349124",757,871,295,690,955,919,633,514,185,594,539
"1052",99,127,41,115,163,129,90,89,21,111,78
"2740807",690,913,289,628,1030,835,571,495,181,638,509
"187272",733,831,318,536,984,929,587,506,201,649,553
"421628",297,307,103,231,358,347,180,170,83,241,179
"1442136",222,271,90,180,349,292,191,172,68,209,205
"1166950",1229,1417,391,921,1658,1531,942,858,223,1025,935
"765912",1200,1323,423,1026,1530,1429,894,794,242,1047,894
"765910",1106,1286,413,894,1444,1303,844,777,228,916,831
"572477",705,855,289,681,1047,933,600,477,168,681,503
"765911",692,870,263,562,953,804,533,468,132,621,451
"316276",440,549,190,431,667,579,376,334,108,426,320
"472759",91,76,25,54,122,94,72,46,24,76,57
"1814290",90,99,33,70,104,108,79,53,25,57,56
"323261",46,70,15,43,72,63,46,44,92,42,31
"105559",52,60,13,46,69,67,50,38,26,42,33
"2699430",365,421,131,257,460,449,294,202,58,283,220
"1763998",57,71,24,55,59,75,38,34,16,46,46
"2498451",30,36,5,97,44,45,20,8,6,24,17
"2545632",20,38,8,17,16,19,17,9,8,13,14
"553981",7,11,4,9,35,12,13,5,3,21,7
"1630141",21,25,6,12,23,23,19,7,4,11,8
"1579979",814,948,301,652,981,905,656,516,177,639,555
"2771012",435,537,175,431,676,555,396,361,153,421,349
"2795687",146,211,86,144,312,247,134,109,48,204,147
"585455",119,153,48,88,159,155,87,69,52,121,85
"1972068",623,843,340,608,1075,783,552,418,199,680,485
"47960",896,904,272,619,1033,922,611,607,185,701,581
"1860122",306,397,154,325,405,381,278,223,70,266,191
"555778",122,137,65,95,191,142,109,80,36,115,79
"1548547",304,440,122,284,576,444,276,189,133,368,200
"1811807",133,232,77,156,269,213,163,110,33,167,128
"1192854",190,236,53,147,229,206,151,108,32,178,127
"2587844",565,718,218,550,784,787,414,477,158,475,449
"2773308",398,475,159,342,546,543,308,302,129,374,322
"2587849",420,485,126,295,546,438,286,286,112,346,243
"1883416",405,475,162,323,546,513,290,310,131,362,313
"2733488",362,433,132,304,541,540,256,245,101,314,279
"2733487",422,456,139,365,537,484,313,266,118,339,307
"2497861",406,466,156,309,528,500,288,272,110,355,290
"1609967",341,444,150,282,485,548,273,298,116,337,252
"2306583",388,398,116,297,411,514,248,192,83,295,267
"2730360",245,304,102,206,311,375,175,192,54,202,216
"2562282",141,163,62,127,231,173,138,116,49,134,97
"2749040",131,145,61,104,166,159,97,70,34,113,99
"2785909",148,156,53,74,145,159,92,97,39,122,89
"1504981",74,75,35,64,104,93,47,38,19,74,54
"2136172",68,90,38,57,95,79,49,47,26,67,55
"2733484",54,63,19,51,75,54,51,33,10,41,26
"1118153",41,55,14,63,71,75,29,24,17,43,35
"2014541",14,15,4,13,32,23,8,12,6,14,7
"1971364",15,12,7,23,31,18,13,15,4,27,12
"1666906",24,20,11,14,31,20,15,8,7,25,17
"1761789",15,27,7,11,24,21,17,9,12,21,12
"1346287",5,10,1,4,18,8,1,3,3,7,5
"1250400",0,0,0,1,3,0,0,0,3,0,0
"475662",589,726,224,523,786,927,475,513,160,521,473
"1897729",492,610,172,432,637,696,384,348,126,406,352
"1081866",378,518,125,357,477,553,316,264,129,360,327
"768066",412,448,147,346,468,463,258,212,118,347,272
"507626",298,320,116,244,412,447,231,217,90,266,216
"115561",242,222,90,157,296,277,162,95,52,201,155
"29571",188,218,91,184,284,237,131,118,52,163,123
"1178482",229,240,88,165,272,234,160,142,60,179,137
"29570",266,310,102,189,270,278,169,153,73,179,181
"2609667",101,124,45,99,141,144,86,47,25,100,68
"664683",53,72,22,44,91,90,53,36,13,64,30
"74661",53,55,31,55,60,49,31,24,18,41,33
"44935",31,40,5,21,33,16,30,24,9,28,27
"213554",9,13,1,9,23,5,4,6,0,11,6
"272774",2,7,1,2,5,0,2,6,1,5,4
"2686360",118,155,64,150,204,193,101,92,52,130,98
"2609415",84,109,40,48,109,98,57,50,23,77,71
"2661553",70,80,22,55,87,62,50,38,16,51,54
"2053669",0,3,0,5,7,2,0,1,1,0,1
"1055101",53,81,28,62,94,53,43,51,10,73,35
"28258",6,3,3,3,7,12,4,4,0,7,2
"376489",602,653,250,593,860,853,429,480,147,520,482
"1771309",638,725,283,530,824,827,499,495,174,581,499
"657387",157,220,72,138,208,191,136,120,34,142,117
"698828",111,149,59,128,196,175,96,101,33,92,86
"157779",133,190,56,152,191,177,108,104,45,141,88
"290398",439,504,177,362,576,544,291,288,217,376,322
"1883414",295,338,126,296,436,398,231,232,98,234,216
"33074",94,104,27,62,90,109,76,69,19,79,47
"91844",14,11,2,6,12,8,7,7,0,9,2
"114186",0,2,1,9,4,3,3,10,0,5,1
"2014542",463,590,222,435,656,619,389,378,134,415,379
"1113728",3,3,2,3,3,7,6,2,3,3,3
"391936",547,542,200,377,501,472,287,281,1384,364,302
"930169",233,290,82,211,318,317,179,176,52,213,142
"1094342",220,273,79,180,290,274,184,147,67,196,141
"393595",8,2,0,1,6,3,5,2,1,3,1
"1917421",75,102,30,76,106,83,53,47,28,64,67
"1821621",251,341,106,218,395,385,203,181,73,249,224
"48076",106,109,48,103,153,156,84,73,36,102,70
"2668067",22,24,18,23,31,34,14,17,14,29,19
"400668",17,16,11,14,29,16,16,9,4,22,16
"2071621",8,14,5,8,20,21,12,7,3,10,4
"178399",20,41,16,34,40,28,26,29,3,30,16
"383750",20,18,7,14,37,35,18,13,1,20,14
"717774",25,18,9,16,27,18,8,11,4,15,10
"491952",20,18,6,10,24,28,12,22,3,15,15
"2773454",21,14,3,11,19,21,9,18,2,15,14
"491950",12,19,3,9,8,27,17,8,2,13,11
"1031538",27,34,12,17,33,25,16,16,5,22,20
"1572645",23,24,11,18,29,26,13,14,8,22,7
"1441457",21,35,10,17,18,20,17,10,6,17,28
"1249553",73,75,20,49,82,92,51,48,25,74,44
"2614693",56,55,23,47,69,55,37,25,13,28,34
"1298593",4,3,1,2,4,6,1,0,0,1,1
"1208320",6,1,1,2,3,3,0,2,1,1,0
"1278309",28,34,9,44,43,44,27,23,8,29,20
"207949",12,15,9,17,18,22,10,8,4,15,7
"1628392",195,171,82,156,224,220,156,147,36,175,117
"349521",176,225,81,145,219,174,116,119,31,131,98
"2683272",20,23,7,16,39,37,13,16,3,22,20
"2161747",191,251,101,199,300,249,166,114,55,223,126
"1336806",102,104,44,91,140,124,73,69,23,78,65
"1445510",59,83,39,58,82,72,56,45,29,60,43
"418701",119,99,56,115,131,146,68,72,32,97,82
"523791",23,26,18,12,26,23,11,7,6,18,19
"1561924",16,18,10,16,23,24,13,13,7,14,12
"914150",17,16,3,15,19,14,8,9,7,9,10
"1144748",7,15,9,8,13,14,7,12,4,11,7
"141451",47,61,17,41,62,77,39,37,8,46,44
"570277",26,38,16,24,49,55,32,33,9,38,28
"2304594",167,234,67,151,270,211,157,158,53,161,113
"2769486",154,191,49,147,221,216,129,120,46,167,108
"2488665",143,173,53,126,193,202,117,113,51,129,102
"1749259",65,81,34,52,137,111,55,58,30,69,53
"1761794",48,65,42,43,110,102,35,32,16,52,46
"1415568",74,110,35,45,100,89,74,51,22,72,51
"2547598",51,67,12,70,90,54,46,29,16,56,41
"1671721",46,72,32,41,74,60,32,48,15,52,37
"490759",47,62,15,43,69,59,40,24,7,35,17
"2603215",265,293,116,211,332,290,212,172,146,226,149
"1163748",68,67,12,34,69,101,43,34,14,51,34
"351348",44,81,25,42,66,64,45,41,14,48,30
"1420917",182,214,79,168,206,229,129,149,46,174,132
"418719",123,155,37,91,168,199,100,101,34,113,86
"1874317",111,112,33,96,159,157,83,65,34,120,66
"225937",51,62,24,38,75,77,22,27,16,52,60
"330734",39,55,13,32,46,28,30,26,9,28,28
"2267264",43,55,12,29,36,56,20,36,12,47,25
"1714845",7,15,2,9,15,12,7,7,0,8,6
"2358187",7,12,5,5,10,11,7,6,1,13,4
"1917158",1,1,2,2,5,1,3,1,1,1,3
"2058133",4,4,1,3,3,3,3,3,1,7,1
"1004787",5,9,3,4,9,3,3,4,0,6,1
"1004785",4,15,2,9,8,16,9,3,2,7,12
"529120",3,1,0,0,2,3,3,2,0,1,0
"1004788",0,2,1,4,1,0,3,2,0,0,0
"1774373",0,2,0,6,5,2,1,1,0,4,1
"1300254",6,1,0,4,2,1,0,1,0,1,1
"1858656",36,26,12,25,37,34,24,19,13,22,17
"589873",5,9,3,13,9,11,8,7,1,6,4
"715451",8,6,3,4,7,10,4,6,1,6,6
"233316",4,7,0,2,1,3,1,1,0,1,2
"287094",2,0,0,1,1,0,0,0,0,0,1
"2259620",206,214,87,144,265,254,128,120,57,192,173
"2785918",51,56,8,37,48,61,34,25,8,36,39
"2572577",29,33,5,27,39,43,24,20,13,24,25
"914153",45,49,13,32,51,44,38,31,9,30,21
"2303538",33,43,14,25,44,26,25,19,17,35,18
"2686358",7,15,3,10,20,17,8,13,4,9,4
"2686359",9,14,2,6,19,17,10,17,5,18,8
"1129794",23,16,5,20,25,26,15,11,9,15,7
"197222",14,19,2,13,23,15,18,7,6,20,9
"2489595",34,39,30,65,69,43,27,15,64,27,16
"1085623",18,16,1,8,17,22,9,7,3,23,10
"1526571",59,60,22,37,82,66,41,27,15,51,37
"2183582",76,74,22,43,79,82,49,35,26,33,51
"2172099",24,30,5,21,24,21,10,13,8,16,11
"1740262",22,19,9,15,21,40,16,21,5,21,12
"680279",24,25,11,14,33,36,19,15,6,25,15
"2814293",54,34,19,22,46,40,24,17,10,33,24
"2814294",27,46,15,22,45,44,24,21,10,22,19
"2814292",27,28,14,18,40,30,15,34,3,23,28
"2593655",20,21,6,10,28,24,21,15,8,23,14
"2803864",11,17,5,19,27,24,9,6,4,12,4
"2589987",11,21,5,14,27,43,11,6,3,12,10
"2590015",18,23,11,10,26,16,12,8,3,10,9
"94122",17,16,3,8,25,19,11,7,2,13,6
"2814295",17,27,7,16,24,31,17,17,3,19,8
"2059264",35,34,11,7,20,19,21,11,0,13,7
"2029986",19,21,8,10,20,11,12,15,3,12,10
"2487742",17,18,6,13,16,14,10,5,2,15,3
"2698686",6,9,3,11,11,10,7,2,1,10,4
"60480",5,13,4,5,9,12,7,7,2,10,3
"1930557",2,4,2,4,8,4,1,2,1,4,1
"2589790",1,4,0,4,6,1,1,2,1,4,0
"2575361",1,10,4,5,5,5,2,4,2,4,0
"60481",11,3,4,2,4,10,9,9,1,5,2
"2806008",4,3,2,8,3,2,4,3,5,5,5
"2593656",0,4,0,1,1,0,0,1,4,0,0
"2601269",0,0,0,0,1,0,0,1,0,1,0
"2775245",4,3,0,3,1,8,1,0,0,0,2
"351745",3,0,0,0,1,1,0,1,0,1,0
"323850",141,125,48,108,164,161,86,91,33,94,88
"1965282",95,93,31,44,116,122,58,46,13,80,56
"38313",110,100,29,94,110,114,77,57,24,70,66
"407976",2,4,2,1,4,3,4,1,2,1,0
"693971",0,0,0,0,2,1,0,0,0,0,0
"399804",3,9,2,1,3,6,1,3,0,3,2
"260364",42,60,20,35,72,88,40,25,13,37,45
"1173586",65,54,25,56,69,106,49,42,17,54,47
"326297",37,63,9,27,68,64,26,23,13,54,25
"425104",27,29,2,23,42,50,30,26,17,33,15
"318161",20,15,10,20,37,12,12,19,4,18,10
"458817",14,25,7,18,37,18,21,17,2,12,7
"2520507",14,12,2,13,35,28,12,15,0,19,13
"637905",12,16,6,19,34,26,16,10,3,18,14
"256839",21,20,7,14,33,22,17,13,1,10,10
"392500",21,30,5,23,32,29,11,15,4,20,8
"43661",19,35,9,24,32,25,19,13,6,15,17
"225848",17,24,5,14,30,25,7,20,6,14,21
"150120",11,15,10,6,27,12,5,5,1,15,8
"398579",15,14,8,14,24,26,17,12,6,21,15
