"","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"459858",608,742,376,124,422,350,491,483,417,299,103
"590652",596,731,376,95,374,271,422,430,394,302,141
"1789",562,680,392,107,405,356,410,507,451,290,115
"386911",530,658,346,88,370,276,359,411,449,263,122
"2094119",465,600,292,99,311,239,304,375,319,209,108
"1769",141,139,85,17,43,44,70,81,88,46,29
"1781",133,196,103,26,103,68,139,137,100,70,26
"2492438",64,116,57,431,47,44,56,62,55,33,14
"1809",62,74,32,4,30,43,44,48,43,29,14
"133549",42,50,31,5,33,22,22,36,35,24,9
"265949",17,24,12,1,4,17,5,14,14,8,5
"261524",13,21,14,0,12,6,10,10,11,9,2
"28045",1,2,2,0,1,1,2,2,1,0,2
"36809",952,1193,634,205,658,564,644,724,725,527,208
"1578165",378,598,240,86,306,212,254,307,295,188,82
"1774",371,690,232,82,285,196,243,288,279,192,97
"83262",361,547,242,67,292,228,263,334,392,226,104
"404941",329,498,236,71,214,186,202,250,237,156,71
"1520670",195,281,131,39,114,109,115,170,164,103,42
"1788",665,1080,471,235,553,378,513,581,602,354,121
"29314",624,925,426,162,466,376,491,516,553,336,136
"1118379",493,689,337,118,366,307,374,343,423,233,125
"875328",86,93,40,351,56,61,45,54,60,57,14
"1069220",740,1117,578,211,652,463,660,647,741,456,165
"639313",419,685,290,61,333,267,259,391,373,201,80
"192944",12005,21192,8563,2649,9086,6927,8362,10284,9456,6185,2645
"37919",2223,3528,1381,278,1692,1198,1576,1763,1691,1102,476
"1830",1661,2702,969,736,1583,1041,1096,1396,1322,772,321
"43767",1343,1839,905,29142,986,813,1017,1380,1111,736,322
"1829",1136,1796,830,2276,1443,895,753,1056,1720,664,296
"99653",924,1242,606,124,635,551,680,775,714,411,186
"1828",844,1188,590,157,637,513,518,776,739,433,193
"300028",805,1258,585,151,706,503,636,725,712,457,177
"132919",701,1078,488,98,564,394,484,653,588,344,144
"38310",659,970,448,130,533,398,401,584,543,320,158
"103816",323,388,162,340,305,225,222,264,356,166,48
"1833",192,221,111,39,148,109,137,169,137,96,49
"334542",183,353,111,22,106,118,117,133,116,74,33
"262776",138,194,85,21,88,62,66,85,108,56,15
"191292",102,127,85,21,81,51,73,93,70,37,28
"1500843",73,83,61,66,68,45,64,67,56,44,24
"37326",3264,5220,2370,517,2781,2176,2540,3015,2740,1732,806
"2637762",2630,4084,1740,411,2465,1982,2053,2344,2209,1516,607
"455432",2276,3378,1537,336,1894,1473,1841,2157,1935,1302,501
"135487",2228,3594,1463,496,2527,1519,1730,2107,1991,1237,543
"37329",1798,2684,1181,384,2325,1075,1347,1601,1957,975,377
"1824",1453,2513,992,274,1148,874,1051,1239,1084,739,306
"228602",1429,2021,963,208,1201,1070,1163,1359,1267,776,343
"480035",1397,2069,916,254,1172,864,1104,1164,1210,726,332
"37332",1220,1802,859,185,1040,741,839,1169,1076,632,256
"2382165",1218,1680,770,177,944,661,925,1088,953,625,288
"1823",1192,1713,759,202,1003,775,934,1175,1084,690,298
"37330",1155,1548,744,228,865,691,834,1064,1001,612,303
"2213200",1116,1754,718,200,809,667,755,839,873,517,245
"2624378",2046,2658,1411,385,1423,1200,1337,1660,1669,977,457
"191493",813,1281,577,140,660,541,563,725,804,459,200
"1725",796,1151,499,226,606,458,541,653,622,396,245
"1230998",683,997,441,113,544,409,536,599,557,333,167
"36808",658,1016,460,86,533,382,441,570,562,392,163
"1032851",558,733,377,89,419,299,367,462,440,282,109
"225326",519,761,383,104,437,324,374,483,501,293,114
"38305",430,662,292,74,333,254,288,388,365,201,117
"575200",429,562,292,67,298,289,328,366,382,237,98
"1727",424,599,283,82,273,246,241,376,369,258,93
"1223514",392,588,276,94,334,249,290,324,319,196,95
"2079535",354,404,227,45,222,221,222,323,259,165,89
"1072256",350,410,224,46,228,207,245,231,273,185,97
"2080740",348,440,206,80,227,186,262,307,291,175,60
"349751",347,534,239,68,342,218,267,318,332,196,77
"1121358",338,563,239,87,292,240,266,367,286,198,89
"89154",328,408,207,53,200,167,216,223,230,155,63
"441500",316,408,206,50,274,201,242,321,262,192,102
"38302",308,427,201,47,214,216,229,228,247,169,74
"191610",306,439,226,53,249,191,210,296,277,181,73
"1737425",289,406,202,63,239,206,207,312,242,145,71
"1404244",283,382,164,65,219,171,192,237,216,165,57
"2594913",280,381,199,43,213,167,201,232,225,156,80
"156978",280,330,209,46,189,179,167,234,292,157,76
"38289",277,324,173,78,206,148,174,220,233,130,74
"43771",251,281,154,90,163,155,173,201,173,131,63
"152794",223,261,138,45,143,153,143,189,180,110,57
"401472",221,291,167,54,181,159,177,180,185,129,56
"187491",212,266,124,23,176,128,158,209,198,126,54
"169292",205,225,120,32,115,84,156,127,124,78,37
"1231000",203,300,144,26,106,107,120,143,176,106,39
"161879",188,217,129,26,118,99,100,146,151,78,49
"43770",178,200,135,49,116,97,120,128,154,104,36
"136857",177,335,155,39,147,110,130,154,201,123,53
"39791",175,251,128,33,129,102,121,133,179,98,72
"38288",164,248,116,24,134,108,101,170,131,83,33
"38304",160,197,93,35,99,84,113,116,128,90,31
"203263",155,175,84,18,97,79,93,96,102,87,25
"146827",146,256,103,17,117,97,107,127,155,77,28
"156976",146,191,130,30,82,58,101,125,123,58,33
"43768",142,222,103,28,107,105,74,123,147,80,31
"2488819",135,160,98,26,84,76,104,120,133,78,44
"28028",131,262,85,20,97,79,109,120,147,56,17
"1050174",113,157,81,25,75,78,85,96,94,58,26
"1724",106,138,73,26,77,67,83,84,77,74,24
"161896",105,138,77,20,52,50,73,70,89,55,30
"1705",102,526,62,1739,113,42,43,47,286,27,15
"65058",98,104,66,12,50,65,53,57,83,41,20
"43990",96,141,62,16,96,62,58,89,99,52,27
"1471400",91,100,67,19,82,35,58,80,102,44,22
"35757",91,74,54,8,43,46,36,54,69,40,14
"161899",90,133,53,14,79,52,51,71,66,55,29
"38301",90,107,67,15,46,46,53,66,57,51,27
"161895",83,101,53,15,56,65,57,67,70,49,28
"43769",83,106,55,16,39,44,67,56,71,46,13
"258224",75,84,52,14,53,42,39,56,46,47,30
"42817",71,94,50,12,42,36,63,44,54,36,12
"2079234",70,105,75,13,64,39,58,57,65,48,40
"2080757",65,85,42,9,52,47,43,47,52,32,17
"1862358",64,82,53,6,44,44,44,58,63,36,17
"1979527",64,66,48,15,59,37,49,52,41,39,15
"1408191",58,65,35,15,32,44,60,59,48,36,12
"160386",56,404,33,81,66,85,32,53,620,34,20
"1717",56,75,51,15,37,31,51,54,44,41,22
"1697",48,56,29,27,34,31,25,39,41,15,9
"38290",47,92,51,14,45,35,28,42,48,39,10
"571915",47,66,48,8,28,45,43,36,49,34,15
"1719",45,45,31,6,33,12,33,31,27,21,16
"1718",41,56,31,40,23,37,30,29,51,40,11
"1721",37,31,20,4,13,11,10,17,17,14,5
"43765",35,39,23,12,13,11,10,18,20,7,7
"2684406",35,47,32,3,22,9,15,17,27,20,7
"2506452",33,43,28,16,30,17,24,27,47,20,8
"1652495",30,31,14,2,16,12,18,23,24,19,6
"2719119",18,22,14,1,9,10,14,17,13,4,4
"35755",8,24,10,1,10,10,15,6,15,8,6
"2657482",3094,4077,2051,536,2177,1772,2067,2436,2397,1448,762
"84595",1341,1744,914,233,926,736,1016,1092,1064,650,317
"2420509",1156,1325,652,166,652,548,685,844,752,532,226
"2055",927,1911,624,174,772,672,706,833,797,481,225
"1136941",818,1218,571,189,662,462,607,753,695,463,181
"2054",737,1045,484,118,513,414,535,595,579,381,163
"1004901",713,1104,508,133,540,397,543,608,552,385,181
"36822",650,1159,465,97,478,337,437,515,475,353,154
"84096",159,206,93,29,88,77,98,123,109,111,28
"1292359",122,135,76,18,81,64,68,78,102,55,25
"158898",3,0,1,1,1,3,1,2,3,1,1
"2617939",1211,1740,755,247,915,708,876,1020,1000,641,255
"139021",677,1036,480,114,576,454,482,608,632,359,141
"546160",619,852,426,129,494,378,444,520,497,347,116
"499555",471,644,318,97,337,278,332,397,342,261,89
"2061",1622,2465,1133,274,1260,1126,1210,1382,1230,862,404
"57704",1378,2391,955,206,1020,801,1087,1187,1108,770,310
"2645312",1985,3079,1336,368,1756,1335,1520,1820,1775,1135,488
"286802",539,722,388,78,356,311,395,492,438,280,121
"1528099",65,68,58,12,59,55,55,55,72,37,14
"2617518",10718,17681,7930,2562,21931,10195,10480,17799,14399,20369,9000
"47872",7082,7443,5113,341,4755,2177,2902,4646,2274,7920,2792
"47865",3464,5271,2741,349,6411,3175,5503,7852,2752,19388,5384
"47857",2986,6046,2220,549,7872,3055,3068,5791,4104,7570,3816
"1914461",2736,4423,2156,487,4014,2208,3485,4535,2453,9453,5123
"47853",2588,4640,1909,635,3878,2139,2752,3891,2627,4312,1685
"1881",2575,3878,1940,347,4075,2182,3283,4358,2293,7449,2557
"307121",2542,4492,1916,458,4743,2409,2724,4439,2725,4590,1960
"47858",2397,5623,1814,1327,5567,2902,2543,4326,3447,4447,2209
"356852",2292,3873,1649,373,4168,2065,2350,3639,2299,5386,1772
"1877",2229,4765,1745,327,3315,1872,1893,3262,2403,2662,1126
"299152",2161,3510,1653,335,3351,1799,2619,3489,1957,5709,2000
"285665",2103,3397,1626,461,3796,1942,2343,3566,2017,4661,1777
"261654",2049,3115,1513,292,2813,1563,2669,3404,1843,6541,2335
"1003110",2013,3159,1582,433,3126,1731,1813,2921,1780,2679,1269
"299146",1957,2837,1424,293,2964,1549,2503,3641,1556,6508,2249
"47875",1923,3427,1338,295,2862,1612,1781,2910,1877,2788,1070
"356851",1856,3033,1370,484,2606,1408,1645,2555,1641,2364,939
"709883",1642,2832,1339,574,2657,1371,1794,2608,1611,2581,1084
"291594",1624,2709,1188,287,2179,1212,1624,2340,1571,2442,982
"2294034",1324,2377,1001,233,1937,1200,1331,1962,1309,1698,792
"479978",1011,1646,716,1456,1396,779,991,1355,891,1724,876
"47850",581,882,378,489,827,483,582,750,590,844,416
"2626549",12423,25413,11384,3165,15052,8954,14648,17550,10742,8215,3305
"196914",4718,14177,4605,895,5532,3155,5465,6286,3883,3016,1308
"113562",4152,6454,3648,1146,3980,2455,3452,4803,2945,2064,853
"1867",3923,7242,3524,1161,4988,3000,4979,5936,3314,2647,1102
"1866",3736,6636,3470,1242,4311,2855,3989,5595,3243,2134,956
"624315",5758,9734,4369,859,9127,6726,4823,8152,7095,3980,2555
"1076124",4695,8147,3809,721,7713,5334,4178,6779,5866,3585,2065
"2631981",8127,14282,6119,1666,11011,6942,8105,12514,7928,6828,3813
"227318",3634,5627,2570,472,3547,2516,3663,4516,3006,2286,1199
"168697",1258,2074,868,205,2097,1104,1181,1790,1198,1214,584
"168695",1165,1983,894,205,1748,995,1089,1604,1175,1177,573
"2630859",1610,2635,1165,269,1975,1266,1330,2104,1494,1387,662
"2619320",32655,29786,12731,2207,11027,8936,11105,14650,13277,9694,2625
"2736640",6004,10348,4309,685,3801,2758,3551,5218,4610,3352,811
"240495",5135,9838,4156,615,3579,2699,3715,4734,4355,3711,1239
"2074",3918,5419,2225,415,2192,1801,2195,2868,2503,1804,524
"2618356",12604,19962,8766,1829,18642,8338,13411,16575,13779,11068,3389
"1814",3018,4515,2018,483,3278,1968,3793,3244,3210,2027,790
"33910",2758,4467,2062,394,2669,1847,4006,2866,2708,3966,929
"1804986",2188,3325,1623,323,7918,1548,2156,3577,3018,1513,582
"129921",1818,3518,1178,211,1734,1197,1261,1479,1782,1454,419
"31958",1497,2616,1016,237,2142,1052,1307,1605,1681,1025,365
"208439",943,1777,563,128,915,600,677,802,927,694,221
"1852",10092,1347,2173,2280,918,1777,609,847,808,737,237
"632569",1729,2661,1179,329,1636,1147,1411,1801,1797,1003,360
"40988",1551,1971,889,1691,1161,897,970,1218,1313,794,340
"40989",1092,1827,818,4275,1412,1183,806,1214,1444,891,266
"75294",986,1611,694,476,931,623,742,990,970,574,231
"40990",876,1228,589,855,814,705,715,795,831,608,170
"103733",3521,6394,2543,542,3648,2766,3210,4069,4130,2141,896
"2593673",3192,9654,2193,532,3588,3287,2879,4326,4025,1997,871
"103731",3017,5115,1999,422,3067,2057,2532,3167,3130,1748,744
"1836",3137,4951,2052,669,7108,2227,2727,3723,4173,2399,687
"2665642",1293,2016,899,367,1481,913,1055,1408,1221,890,288
"60894",1169,1714,729,146,1251,719,980,1104,1123,759,233
"333966",1053,1588,655,120,1028,637,885,1224,903,625,205
"2646250",698,1597,481,79,741,414,562,785,614,466,122
"543886",3,1,0,0,0,1,4,1,1,1,0
"211114",5995,4172,1753,371,7578,12735,7944,32364,21173,5622,2581
"1470176",1404,2204,916,248,1311,855,1155,1395,1304,795,308
"340345",1104,1730,714,217,983,710,794,1051,1006,663,230
"2644606",57,78,43,20,42,42,44,56,47,32,13
"1612552",50,69,32,5,36,28,42,55,49,31,6
"42197",1098,1616,681,142,937,699,814,997,973,606,284
"40567",89,146,70,12,81,79,72,98,108,63,23
"1586287",3356,18474,2545,540,8456,4540,2886,4292,4927,1801,2425
"43357",3049,4593,2078,410,2879,1942,2823,3268,2818,1772,828
"860235",2965,4665,1907,423,3108,2571,2660,3587,3567,1718,685
"2636053",2343,3496,1510,301,2293,1436,1781,2253,2620,1288,576
"530584",1549,2184,1063,254,1403,965,1145,1496,1535,809,321
"2615069",38890,83977,23033,19724,33659,19951,27206,28896,29544,17956,7467
"2589074",3902,3585,1174,852,1657,1106,1502,1613,1622,1086,383
"2518370",3253,6816,1668,1105,2182,1416,1768,1930,2271,1140,441
"2712223",3036,6159,2001,1307,2435,1576,2416,2534,2549,1629,638
"433659",2972,7829,2217,2039,3936,2329,3430,3198,3353,1982,684
"449461",2894,4847,1755,1539,2336,1623,2095,2299,2186,1387,640
"1643322",2855,5529,1877,1262,2471,1527,2512,2312,2291,1340,563
"200618",2571,4333,1451,1132,2019,1318,1832,1847,1964,1238,609
"2558918",2331,4517,1463,847,1943,1172,2424,2023,1722,1178,491
"419476",2024,3771,1240,869,1591,937,1277,1438,1530,889,365
"450734",1785,3573,1063,893,1642,1004,1266,1524,1373,881,391
"2045452",1643,3347,1058,683,1446,966,1166,1301,1358,819,311
"2518371",1605,4231,1066,758,1546,881,1094,1259,1381,746,341
"402297",1182,2376,777,482,1061,701,865,976,994,604,238
"1804624",738,1190,476,234,615,462,686,619,556,410,187
"2633570",2154,3378,1323,528,1831,1271,1528,1825,1687,1094,441
"1736691",1554,2341,927,350,1173,872,933,1264,1225,753,278
"2041",1543,2375,928,380,1257,911,1158,1261,1321,811,415
"2079793",1238,2159,879,335,1123,742,1050,1144,1119,713,280
"2662028",1223,2080,801,276,1073,735,917,1111,1091,663,289
"219314",1134,1913,738,355,1012,699,962,1076,1025,662,304
"2045",2608,4095,1556,1062,1853,1311,1804,2003,2034,1205,589
"546871",2478,6024,1974,372,1919,1451,1846,2287,2263,1380,444
"642780",2196,4331,1444,796,1808,1264,1748,1837,1828,1175,589
"2621872",1716,2731,1088,411,1626,1134,1292,1568,1491,853,368
"75385",1371,1896,838,191,941,693,813,1093,1023,584,246
"2619695",2638,4859,1915,397,2221,1571,2156,2493,2466,1387,567
"546874",2200,4610,1628,353,1832,1362,1611,2143,2083,1273,477
"29405",1734,3756,1233,226,1313,1005,1240,1574,1422,853,261
"630515",1478,2804,1077,222,1175,929,1183,1529,1453,841,331
"1285901",1110,1661,754,155,826,655,745,918,836,566,238
"1332264",820,1235,516,176,644,532,625,759,705,456,223
"399497",798,1165,532,152,653,425,588,723,655,393,183
"2635419",716,1017,471,102,498,418,551,637,574,362,178
"1610493",697,1105,470,115,555,454,495,627,559,362,148
"2161816",486,603,343,90,318,284,307,365,329,236,107
"556499",875,1139,530,152,639,551,717,730,717,455,218
"1744",775,1073,497,275,629,476,535,693,603,414,168
"119981",739,877,481,91,498,388,532,558,516,358,157
"2608905",116,169,61,18,78,77,73,92,94,59,27
"1748",898,1311,583,165,654,476,639,764,783,440,194
"1749",777,1242,597,123,674,501,629,805,736,420,163
"2057246",494,806,347,89,382,350,372,418,465,296,104
"675864",1741,2992,1211,338,1434,1127,1464,1699,1648,975,367
"2642922",1326,2007,869,283,1104,844,992,1128,1214,732,268
"2717326",1307,1971,889,222,924,774,1049,1161,1017,690,289
"2662260",1073,1959,741,173,930,731,925,1120,1027,644,240
"33010",465,793,352,68,410,297,326,396,460,267,107
"33011",306,383,206,53,260,199,245,301,331,196,84
"1747",253,271,121,74,193,181,169,361,229,175,79
"1750",769,1188,507,137,501,437,551,639,717,397,138
"2633994",37,45,26,3,34,26,31,33,41,30,9
"182640",4695,8552,2946,658,6924,3931,4867,8805,3265,3050,921
"1544730",3695,6200,2372,358,4752,2813,3764,6224,2300,2268,688
"117157",2796,4675,1899,510,2806,2018,2842,3369,2654,1804,603
"2593643",5967,10959,4528,3268,9471,7054,26479,8336,7021,4374,5076
"2656914",5869,12002,4421,2895,7520,5540,7095,6843,6021,22822,13131
"93944",7,11,7,0,5,8,3,2,3,4,3
"2001",3945,8054,2859,1478,4371,3108,3667,5357,3957,2633,1230
"2632669",3743,6092,2650,1110,4184,2818,3773,4814,3600,2618,1148
"2006",2475,4174,1798,631,2320,1719,2501,2457,2393,1541,726
"35762",1,0,0,0,0,0,0,0,1,0,0
"2626254",11893,28696,8243,11229,15538,12238,15082,17611,17527,13036,6810
"46165",3838,6219,2626,2737,3805,3269,5060,4300,4181,3115,1245
"2020",2523,3951,1758,1028,2253,1853,2359,2562,2385,1603,595
"2014",2712,12656,1699,2552,8812,2715,2694,3315,6722,1976,586
"280236",1744,2746,1239,356,1579,1090,1462,1772,1532,938,352
"53437",1307,1966,824,847,1660,766,930,1077,1136,629,257
"2649073",3,7,2,0,0,1,0,3,1,0,0
"2021",5857,1351,1659,311,791,894,716,837,819,560,205
"2635841",1967,2914,1349,499,1722,1261,1774,2050,1860,1164,462
"1861",14464,26861,16794,1953,6282,3831,4581,6603,7276,5521,874
"477641",5843,12481,5958,1360,4517,3011,4220,4957,4307,3396,836
"138336",5689,13060,6047,1657,4080,2830,3300,4814,4133,3293,661
"2632575",5426,7616,3534,701,4124,2982,4268,4860,4094,2717,1072
"298654",4676,6022,3268,539,3322,2445,3385,3943,3440,2190,867
"1859",2040,2784,1306,239,1555,1119,1551,1748,1556,1058,442
"2716812",1729,2530,1266,232,1450,1118,1602,1821,1541,1002,388
"106370",1552,2357,1075,175,1360,1011,1309,1507,1342,884,357
"2609248",3832,5336,2454,612,2908,2156,2570,3257,3331,1913,832
"52771",625,941,421,92,533,397,505,599,535,329,117
"111015",576,960,423,114,530,417,474,603,540,347,167
"2560010",473,628,267,59,319,252,252,433,413,255,88
"52774",449,685,313,79,346,273,295,347,363,233,100
"2057800",320,468,241,48,240,214,254,265,283,149,61
"675090",285,593,202,52,211,219,267,313,305,172,79
"1656",283,358,172,29,214,162,222,199,224,177,55
"2057743",253,313,138,44,194,145,159,238,215,111,36
"2737173",250,321,165,29,155,98,131,163,161,99,54
"2321394",219,291,133,38,136,117,152,163,188,91,41
"1655",212,286,159,41,146,95,155,178,180,107,47
"1960083",199,293,138,41,145,116,141,160,161,114,37
"1659",175,238,146,16,114,93,126,134,178,94,33
"544580",152,269,131,31,117,102,104,128,154,101,51
"1852377",64,84,29,13,40,46,32,53,62,28,12
"1660",462,555,330,66,357,257,283,391,303,211,115
"52773",219,285,164,26,186,130,194,246,216,120,45
"2691889",190,228,130,39,138,139,137,193,151,100,49
"181487",125,195,99,40,116,96,76,134,113,77,35
"1282737",441,603,292,93,356,299,329,422,321,220,101
"2623556",348,518,189,170,283,216,230,320,320,225,110
"2630174",367,412,228,52,220,236,242,294,271,214,94
"1661",222,279,148,51,164,144,139,151,166,114,46
"312285",182,270,123,27,113,113,116,182,156,101,49
"2692119",370,453,212,94,233,217,229,322,288,169,82
"178339",336,514,244,59,256,251,286,329,292,181,113
"2631020",105,133,73,31,55,70,76,83,91,63,22
"28264",37,51,12,9,13,29,35,32,51,20,8
"1302235",28,23,21,7,13,19,38,35,25,17,10
"131112",20,19,16,4,16,6,16,21,14,8,5
"2609299",162,193,111,28,143,113,121,135,130,64,48
"59505",150,149,85,21,70,71,94,114,112,57,42
"2051",79,110,57,11,59,43,63,62,63,45,20
"1912795",32,46,26,12,33,18,31,31,31,25,18
"82135",16,11,8,2,9,11,7,10,5,6,1
"2624397",4171,7930,2407,711,6758,3812,3068,5660,4878,2174,930
"419479",4061,6612,2628,570,5069,2804,3053,4514,4946,2083,802
"53461",3137,4173,1778,312,1928,1336,2085,2332,1919,1320,428
"2618968",1433,2293,1020,195,1247,874,1182,1360,1081,731,329
"1090615",1340,2303,966,192,1151,789,1130,1227,1212,735,279
"35760",483,578,272,60,295,278,290,343,344,211,100
"158787",439,591,271,52,340,243,312,384,371,247,124
"216816",434,544,328,60,283,281,331,371,355,222,106
"1694",371,487,277,61,232,194,250,245,301,175,97
"77635",329,393,206,53,254,189,238,276,268,178,61
"28025",318,351,184,38,250,178,196,254,219,133,46
"1681",279,368,181,45,188,159,187,230,219,138,73
"78448",249,284,198,47,199,158,163,216,189,128,71
"1680",211,214,123,26,108,103,106,149,145,93,56
"1689",180,164,108,15,102,100,79,149,112,93,43
"1685",175,208,112,28,129,110,125,151,136,96,46
"1765219",153,169,103,22,104,84,94,103,128,82,40
"33905",151,181,94,28,148,79,99,103,111,60,33
"638619",146,143,93,23,98,97,110,105,110,69,43
"1683",143,141,90,16,94,60,103,115,107,80,43
"1603886",141,190,78,25,96,91,89,85,107,71,40
"1684",129,168,97,19,126,73,95,122,101,51,24
"1686",125,123,84,13,86,71,49,103,82,54,44
"28026",56,71,45,7,30,32,30,31,37,28,14
"762210",46,54,15,4,19,12,22,26,26,18,12
"2020965",43,46,18,6,16,24,27,17,17,8,9
"1691",11,22,11,5,8,12,9,14,5,5,6
"1687",10,5,7,1,15,10,6,10,12,6,1
"78258",121,194,75,14,105,75,86,104,101,80,35
"2702",24,18,7,6,9,15,11,13,11,6,2
"2792978",2,3,4,1,0,1,3,1,1,2,0
"78259",16,11,11,3,24,9,17,8,16,9,2
"304895",3140,4584,2114,484,2559,1968,2773,3037,2578,1765,753
"283811",2072,3077,1402,305,2012,1533,1761,2375,1771,1227,528
"131568",1746,3122,1405,340,1641,1241,1475,1790,1740,1142,412
"2629395",1235,2101,911,188,1060,805,1313,1395,1049,821,291
"414996",1187,1862,787,423,1142,793,982,1222,1131,710,253
"1891644",1174,1718,824,191,910,760,969,1111,925,728,282
"28049",855,1359,598,101,846,579,863,908,734,589,181
"1884913",46,73,30,2,31,26,24,30,37,15,11
"1884905",39,49,32,8,36,20,22,27,38,26,12
"1884914",26,33,13,4,15,14,20,14,11,9,8
"1884907",12,26,11,1,10,8,10,14,11,7,8
"1884904",11,24,6,0,12,8,12,5,5,6,1
"573600",9,8,14,1,8,17,9,18,21,10,5
"1884915",12,15,5,1,8,3,2,5,4,2,0
"1884634",5,6,2,1,4,6,7,20,6,12,1
"1884916",5,3,5,0,3,1,6,5,6,7,0
"2637691",13185,34370,11924,461,14771,7213,7925,16007,16334,9052,1367
"49319",6778,16287,5848,394,8632,4218,5070,9140,8869,4925,875
"42256",1933,4267,1622,130,2290,1194,1496,2350,2343,1365,292
"2051957",1127,2318,857,68,1290,670,725,1401,1295,717,162
"496014",10588,13801,6130,978,8154,3768,12530,9895,5738,3913,1733
"191495",16468,21641,8839,2024,12644,5294,13964,12878,8664,5387,2263
"2627773",11600,15707,6640,1230,8845,3906,12186,10311,6358,3830,1653
"2789776",9827,13458,5586,2513,8504,5926,4671,7904,7756,4483,1543
"467094",4139,5098,2372,609,2881,1964,1863,2830,2764,1566,661
"53635",1378,1531,816,147,1230,1002,828,1212,1203,616,291
"2648737",762,813,440,84,454,424,449,548,547,372,225
"84112",383,411,262,46,238,232,278,293,308,226,121
"1335613",313,464,225,39,238,214,219,259,294,196,116
"471189",290,309,180,30,174,132,213,206,215,175,77
"446660",306,328,182,23,202,177,195,247,242,142,84
"2636013",156,170,92,18,94,105,78,105,136,82,50
"1870985",646,603,399,59,391,369,444,422,472,309,161
"1531429",361,355,216,51,234,226,262,267,243,208,96
"84110",277,278,170,18,167,146,189,229,215,128,65
"79604",193,177,128,16,117,139,112,115,152,88,46
"1944646",54,72,29,0,52,47,59,75,42,19,2
"84163",34,51,22,3,17,19,19,23,24,16,6
"2638792",954,994,608,106,604,553,592,681,712,498,247
"1805478",553,619,338,66,355,309,350,410,464,298,151
"604330",488,536,272,47,303,260,316,326,345,192,123
"133926",317,345,176,41,216,190,198,270,238,129,75
"1871022",301,337,195,20,195,189,194,244,197,170,94
"2003188",249,255,153,18,125,124,127,154,185,122,53
"1382",37,12,14,1,10,11,13,6,13,9,10
"74426",488,530,317,46,316,274,311,376,390,219,124
"33871",267,325,197,21,181,168,180,228,225,134,75
"2649358",3035,4397,1923,329,2524,1856,1975,2677,2756,1628,587
"1670831",2947,4045,1859,326,2476,1811,2248,2740,2536,1578,555
"1670830",2892,4001,1902,312,2339,1779,1983,2710,2726,1600,571
"185979",2826,6560,1956,5349,3862,2300,1811,3111,3467,2808,934
"33932",1930,59,977,154,87,41,31,25,45,64,21
"86661",857,1847,665,944,489,423,600,437,671,495,179
"653685",774,2202,522,2508,3754,933,1012,867,1424,1778,851
"450367",616,3394,554,26,17,22,20,19,34,39,2
"189381",158,212,87,255,117,90,116,94,111,106,46
"1408",130,223,50,88,229,38,54,51,85,51,29
"561879",118,730,162,176,384,66,141,101,345,114,50
"1664069",116,116,67,67,74,80,81,90,73,57,22
"1670641",91,298,57,447,79,55,79,36,60,91,22
"1742359",78,162,56,170,65,75,91,48,71,93,31
"1397",74,154,42,863,356,82,145,65,123,125,53
"324767",71,116,45,113,57,101,68,65,65,67,33
"632773",71,79,54,21,37,33,43,56,50,22,9
"1783501",58,45,26,61,27,24,38,28,33,29,15
"1471",48,112,33,101,40,42,49,30,72,54,24
"79883",46,63,52,61,30,23,43,30,50,32,20
"218284",44,64,27,68,14,27,29,36,28,33,23
"46224",43,45,19,110,19,27,28,14,28,31,11
"38875",42,68,30,680,83,44,56,18,56,66,49
"1441095",41,119,28,55,34,39,38,28,55,46,19
"1413",41,41,23,50,14,15,15,16,15,17,2
"1547283",36,112,21,132,33,22,29,18,40,34,15
"1476025",35,56,19,91,29,24,32,20,23,34,14
"1792192",31,81,30,59,2821,25,30,35,155,53,6
"1479",31,28,33,33,23,23,21,21,34,28,11
"1925021",27,27,16,14,14,17,19,10,20,8,10
"1404",5478,24157,4976,10741,2168,2440,11912,2101,3214,5152,1670
"1402861",288,21347,208,7613,3720,1901,116,156,4486,3382,918
"412384",102,539,103,34,46,38,170,35,40,68,19
"86664",42,127,33,167,2604,39,72,24,43,55,17
"2675274",2313,14413,1264,1540,313,220,140,176,589,792,147
"152268",61,166,39,399,61,41,44,40,108,94,29
"79885",769,50,305,52,54,22,19,14,30,20,11
"199441",338,49,33,66,32,20,28,12,26,22,7
"79880",223,467,313,676,1215,653,194,140,816,733,134
"86665",78,66,36,68,48,66,33,36,55,52,23
"300825",15,24,12,22,36,18,17,19,26,27,4
"2598861",14,35,10,20,18,27,11,6,31,29,6
"129338",261,225,176,31,117,144,168,184,148,110,55
"2642459",184,190,137,42,102,148,117,141,134,105,51
"1422",114,126,77,17,56,85,90,76,82,45,20
"1505648",111,91,73,19,46,74,54,53,71,34,22
