"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"2109913",154,782,949,2239,242,710,592,839,877,658,879
"2116657",114,615,817,2030,190,639,466,662,709,514,774
"2109915",108,519,633,1758,122,480,345,435,570,377,525
"1678128",64,261,350,1311,49,228,201,266,255,194,285
"1678129",24,89,106,317,19,79,66,103,116,90,105
"1844971",44,268,330,1057,66,213,158,257,275,180,317
"946483",39,245,194,479,41,199,205,201,262,163,277
"87883",209,1472,865,2426,326,1514,1207,1501,1642,2202,1714
"95486",150,1270,726,1997,216,1216,991,1211,1251,1243,1305
"292",156,1169,678,2050,231,1164,894,1086,1263,1101,1201
"101571",114,815,521,1187,141,779,605,780,830,876,840
"482957",90,659,353,1149,114,624,504,634,725,700,637
"488447",83,651,416,1030,105,635,491,618,702,656,739
"179879",67,609,317,916,113,478,443,468,545,564,566
"1503054",76,566,325,774,113,531,446,578,643,516,577
"95485",61,464,271,834,113,466,347,508,481,496,534
"60550",44,377,251,639,84,464,323,383,443,407,447
"1503055",61,419,263,545,64,419,296,405,413,397,431
"152480",50,422,244,533,68,317,261,332,416,372,378
"488731",48,335,231,449,64,337,255,295,348,321,337
"60552",30,254,166,434,53,259,205,246,291,349,258
"488729",26,241,141,395,40,218,203,215,241,209,249
"488732",18,199,100,271,36,199,179,153,210,188,193
"1207504",22,141,76,225,29,165,129,133,166,101,153
"488446",12,102,56,174,15,124,87,78,101,100,104
"2571746",125,1037,549,1446,179,901,773,1009,1069,1996,940
"758782",99,787,505,1277,144,772,599,671,761,873,806
"1740163",66,475,295,870,110,556,416,503,564,775,516
"640512",69,434,325,979,88,492,393,436,576,615,552
"1855726",40,274,158,457,69,239,184,217,261,317,296
"2217913",36,208,165,347,38,204,182,198,223,224,217
"1637853",22,208,114,276,59,196,157,207,181,218,211
"758796",21,193,104,220,30,198,134,161,213,147,202
"1637862",26,178,98,296,33,176,143,209,183,231,177
"2811789",20,208,112,291,32,185,134,174,215,177,225
"1637869",24,144,86,306,44,202,161,169,196,179,254
"1097668",22,175,104,277,34,178,146,160,180,164,184
"1795043",33,134,84,252,35,150,130,122,153,167,149
"2811788",32,169,109,280,30,163,147,172,168,199,168
"1795874",15,84,53,191,17,102,73,85,96,92,96
"1705310",20,97,65,179,14,106,80,130,111,81,99
"1179675",4,60,28,88,11,58,35,55,53,53,44
"2732364",2,28,10,21,8,16,12,23,22,18,13
"416344",1,9,18,40,6,9,26,23,18,16,17
"326454",0,3,3,7,2,4,2,6,9,3,1
"28450",109,685,458,1309,153,730,670,730,785,1063,748
"57975",74,569,359,778,99,576,423,477,520,749,638
"342113",55,381,230,524,81,356,310,341,413,407,403
"1385592",27,243,133,303,46,238,177,201,250,255,265
"1385591",28,210,126,292,40,226,153,207,200,369,246
"1637837",4,31,23,55,11,47,40,31,50,27,28
"1636423",6,38,17,52,12,35,35,40,37,96,34
"1637841",8,28,15,37,14,36,29,30,32,40,34
"1637831",1,20,10,29,5,16,16,21,18,44,20
"13373",3,14,5,22,4,18,12,18,22,21,17
"999541",17,146,99,224,25,130,96,168,151,170,156
"32009",26,115,104,229,41,138,110,132,141,137,138
"41899",118,975,647,1517,189,927,782,1013,1113,934,1047
"1176514",1,9,9,17,2,17,11,15,14,16,12
"626418",0,23,11,10,1,9,7,10,9,17,7
"977880",6,45,46,92,12,53,54,50,37,51,58
"82633",339,2332,1503,4400,551,2073,1662,1977,2229,1746,2241
"1042878",56,374,240,704,71,365,269,370,367,280,337
"96344",239,3463,983,4946,438,1587,1621,1478,1667,3168,1484
"68895",192,1478,944,3146,382,1363,1182,1398,1530,1191,1558
"151783",132,955,666,1937,236,836,687,849,925,709,929
"119219",98,902,614,1968,234,803,658,716,919,697,0
"264198",91,792,535,1556,194,701,549,685,789,677,829
"1267562",7,78,91,1082,29,102,125,119,107,384,105
"876364",18,82,66,139,20,71,86,142,94,82,83
"2771360",14,75,44,879,29,86,82,130,116,273,78
"1389192",6,57,54,105,19,72,70,73,87,71,76
"1040979",41,324,194,681,76,276,243,311,328,334,300
"1796606",37,264,157,822,55,256,217,326,238,376,268
"367825",3,63,39,109,15,69,49,73,68,55,81
"2547399",147,1106,676,1669,229,1090,877,1039,1144,1170,1127
"1926494",109,871,549,1390,171,840,676,808,943,1243,937
"2735433",43,382,255,568,63,379,272,408,397,478,332
"2735434",54,381,196,590,60,304,276,332,417,398,366
"2604047",27,286,156,497,54,233,189,202,224,315,305
"2026199",106,913,559,1428,188,837,714,850,972,1052,936
"1323664",40,282,177,432,57,234,180,219,294,248,276
"2571748",108,844,479,1359,141,777,610,762,844,916,900
"92647",100,831,466,1306,172,736,635,751,809,954,850
"2571747",91,644,433,1130,149,697,570,638,711,999,759
"1417228",52,331,175,779,87,312,236,282,411,452,362
"398527",45,293,195,586,74,290,235,294,288,381,329
"2654982",78,639,339,918,113,651,479,547,657,779,620
"391038",83,601,411,1026,108,718,458,582,601,948,641
"134537",92,517,321,1037,123,550,615,541,650,920,717
"754502",67,604,375,970,139,553,401,496,550,739,627
"420953",87,511,338,886,114,506,363,517,536,790,548
"1229205",79,526,394,989,134,533,459,544,565,782,619
"169427",87,487,323,871,97,494,389,488,549,1124,575
"60548",68,461,293,743,104,501,341,440,545,602,547
"134536",54,526,294,733,94,456,365,419,486,550,525
"311231",66,439,266,733,91,452,339,432,437,572,603
"2211211",47,415,246,687,85,349,332,343,433,458,401
"169430",49,420,242,663,90,397,317,412,437,507,399
"1761016",72,411,277,678,86,376,313,429,469,527,372
"266265",57,396,265,708,93,429,314,415,410,724,388
"265293",55,406,177,504,68,339,267,362,352,323,378
"311230",30,248,155,441,51,254,166,217,260,218,268
"859655",16,91,86,138,22,105,90,126,119,81,98
"859657",3,15,15,29,4,19,12,15,15,12,16
"1394180",2,14,14,24,5,29,20,16,22,23,27
"1457195",2,6,2,19,6,12,12,10,14,4,10
"859656",2,10,4,14,4,7,4,9,8,9,5
"1262456",0,0,0,0,0,0,0,1,3,0,0
"1130829",0,0,0,0,0,0,0,2,0,0,0
"402626",15,150,115,311,50,177,114,129,199,300,195
"428406",15,82,76,151,27,99,62,68,85,139,104
"190721",68,537,455,1453,162,528,444,526,633,515,612
"105219",56,398,302,872,106,520,308,342,417,369,412
"1310165",8,40,25,63,12,37,34,41,47,31,29
"1944648",0,7,1,8,1,1,4,5,3,5,6
"1310168",0,1,1,2,0,1,2,0,0,0,0
"1416914",2,11,5,17,1,9,11,10,12,9,11
"93221",83,628,357,1018,143,593,431,546,561,494,670
"445709",75,581,435,1258,160,552,470,507,595,1017,690
"2518599",49,488,351,873,114,466,362,355,435,437,484
"656178",69,437,306,941,213,442,351,467,520,423,472
"93219",59,458,300,930,110,407,328,388,391,428,492
"656179",52,441,292,742,92,471,357,381,445,390,478
"93218",51,443,260,691,77,352,294,368,383,300,364
"1891094",52,314,219,667,91,331,280,288,363,279,361
"573737",36,351,233,557,75,306,273,290,321,288,334
"93222",35,290,177,503,89,276,224,280,308,293,329
"2814653",75,585,418,1014,129,655,472,588,663,879,737
"2705547",4,48,30,39,5,37,29,32,32,47,40
"2705548",5,43,23,42,9,20,17,38,46,26,18
"758793",91,635,427,997,140,719,476,616,678,736,764
"47671",80,653,479,1155,182,580,476,570,692,516,677
"2594795",44,429,323,1141,79,400,327,335,429,304,420
"882378",73,430,272,733,98,372,335,330,589,689,651
"452638",3,12,5,66,3,14,10,7,8,7,14
"556054",8,36,32,75,15,27,38,35,60,20,36
"576611",4,29,34,0,11,36,0,24,31,19,0
"1743162",1,13,14,82,3,21,17,29,17,10,17
"1743174",2,14,12,35,3,12,13,5,24,24,19
"556053",23,33,20,124,15,42,47,31,39,16,78
"2527775",3,23,18,80,6,12,22,15,23,12,24
"1835254",1,12,9,120,4,10,10,9,17,16,14
"1743168",2,18,14,38,4,13,14,5,14,8,10
"2732163",21,85,66,4266,22,67,41,71,79,65,124
"1553431",6,50,33,81,5,34,35,32,43,35,38
"2651972",1,15,20,127,5,24,17,13,22,22,35
"2268024",7,34,39,133,7,37,31,35,26,27,20
"2753607",607,5592,3311,14022,514,2499,1898,2486,2737,1571,3972
"946333",524,2972,2765,4949,454,2215,1758,2176,2586,1475,2820
"420662",259,1148,814,2118,149,806,642,805,915,603,978
"2082386",247,1178,819,1807,143,847,628,759,829,534,846
"1430884",1,0,3,44,0,0,0,0,0,0,1
"983917",513,3608,2400,5343,446,2316,1909,2301,2623,1651,3175
"395495",388,2523,1729,3820,336,1594,1330,1734,1798,1158,1978
"1050370",93,813,592,1593,179,736,601,686,764,656,931
"75379",10,97,61,226,175,110,97,101,126,132,99
"426114",16,93,130,200,27,106,107,89,148,125,127
"639200",327,1878,1650,3411,321,1441,1098,1379,1498,978,1740
"1658665",618,1937,1520,3356,300,1539,2891,1426,1643,1471,2758
"2697032",225,1178,1304,2984,287,1115,950,1298,1351,890,1283
"1296669",183,944,958,2231,207,766,684,884,946,578,1084
"76731",220,875,937,2029,198,807,800,752,817,615,1063
"392593",131,692,651,2132,107,519,434,560,577,386,751
"1768242",112,532,603,1544,124,427,355,420,451,321,591
"1746199",95,710,474,1426,189,706,559,662,739,548,835
"1697043",95,738,547,1441,200,689,541,670,749,810,905
"463014",112,847,864,1655,237,818,636,785,898,823,913
"463025",132,954,687,1794,264,914,770,876,1676,1187,1178
"463040",163,898,1075,1869,292,907,793,880,1016,1126,1293
"1416806",112,815,594,1587,229,885,711,817,920,807,1050
"1416803",98,831,570,1449,210,741,547,732,809,861,937
"103855",91,700,496,1483,213,629,558,646,645,493,880
"94624",84,673,623,5116,462,652,495,504,730,610,3065
"123899",67,505,367,1217,189,469,383,464,602,418,668
"1331258",57,382,261,979,125,363,312,397,439,316,554
"1208658",1,13,2,9,1,8,3,6,2,3,3
"568707",0,0,0,2,0,0,2,1,0,2,0
"35814",32,265,172,547,84,236,196,223,235,183,303
"521",26,195,186,553,0,197,145,0,228,169,0
"463024",13,114,81,198,64,105,100,123,136,84,152
"520",10,83,46,107,14,58,41,46,67,48,67
"1208660",2,28,15,66,8,20,14,20,13,19,14
"762376",74,400,264,870,252,359,318,391,450,335,520
"1167634",7,35,51,73,13,31,36,54,39,28,36
"1758194",104,678,483,1639,232,659,608,648,789,530,897
"1881016",127,667,515,14128,5717,552,535,626,720,624,1584
"2282475",68,351,268,819,167,386,301,382,446,268,578
"217203",288,1115,985,2781,1169,1120,946,1117,1327,964,1653
"32002",177,1124,814,2247,569,1091,920,1108,1229,773,1395
"217204",92,661,420,1712,613,526,446,537,693,479,740
"1353889",60,413,271,865,205,391,328,355,402,294,457
"1353891",39,286,194,619,89,248,216,293,289,206,311
"72557",0,4,5,48,52,8,5,8,9,6,5
"2488560",191,1530,911,2986,370,1347,1202,1359,1572,1054,1494
"1940612",62,514,314,1167,117,384,370,449,465,291,450
"1437824",137,856,685,1849,303,864,740,864,1012,748,1058
"1851544",115,800,578,1559,205,730,639,723,826,557,1014
"2028345",31,296,208,656,179,222,191,217,292,190,353
"1007105",28,159,104,536,128,123,116,139,162,126,189
"2716226",16,87,70,218,44,65,66,69,68,71,104
"511",67,342,289,1288,200,292,252,295,423,252,401
"2813780",9,61,36,139,21,55,44,58,72,32,62
"323284",2,27,25,75,22,26,15,18,20,22,23
"206506",42,278,181,907,77,226,186,201,237,207,283
"1036672",22,149,89,421,41,112,100,116,130,113,147
"1247726",17,127,103,377,43,86,77,83,107,82,123
"2163011",17,108,64,298,63,121,106,93,104,102,132
"90245",3,16,12,113,4,15,14,19,25,23,20
"90244",2,21,21,84,12,11,7,10,17,9,20
"1072685",2,29,13,33,6,18,16,10,28,5,12
"643674",4,19,12,56,19,40,14,20,20,19,35
"29575",1,7,4,18,1,10,4,2,2,3,8
"1008459",0,14,7,41,0,4,4,3,2,4,3
"2652177",3,6,5,47,5,7,7,5,14,9,14
"1707785",381,1114,1274,2598,1150,1345,860,1238,1378,1059,1731
"2769491",404,926,1013,2147,893,888,740,820,1144,685,1185
"1678028",319,749,884,2813,371,704,581,740,959,576,1239
"1593482",235,721,746,1589,328,746,562,720,891,606,918
"2765360",155,641,695,1649,341,609,541,680,754,536,746
"2709302",2,22,17,23,6,13,8,13,23,11,15
"2709303",4,11,18,29,11,14,12,22,15,13,15
"1141883",314,1446,2211,6472,759,1517,1113,1394,1596,1546,1983
"871742",291,1115,1229,2449,369,1278,955,1343,1390,951,1634
"945844",391,919,1198,2271,2402,999,796,1099,1300,950,1553
"864828",370,858,876,1916,301,879,783,913,969,629,1034
"321985",345,782,793,1863,292,764,610,819,881,636,970
"321983",290,828,830,1876,320,798,686,838,888,654,1032
"2072590",185,709,701,1795,283,650,612,791,882,546,899
"321984",191,712,679,1673,275,710,563,729,845,571,900
"2045208",220,664,648,1671,285,629,594,687,753,555,853
"2014887",133,778,702,2163,278,729,585,769,808,574,855
"964",0,552,478,2107,185,533,459,551,0,435,679
"1262470",103,592,525,1628,188,509,445,518,572,446,589
"1235827",35,181,180,564,55,133,117,135,178,103,175
"1078773",4,29,19,74,6,19,15,22,30,12,20
"863372",75,385,312,2306,131,333,262,360,385,319,422
"92645",76,386,351,1337,131,381,286,367,417,286,444
"2025949",64,289,287,1197,99,250,245,238,303,245,333
"2497863",109,532,660,2088,215,472,352,406,511,375,572
"1644131",133,375,332,954,144,391,339,417,487,326,490
"1938606",36,210,138,487,86,180,173,178,217,163,234
"375286",42,154,205,1162,78,153,98,127,139,122,222
"1537274",24,95,66,308,25,85,63,101,116,69,83
"2808899",20,55,64,139,24,57,43,80,93,81,74
"1236179",9,45,32,199,11,44,40,51,60,49,34
"1349767",197,546,487,1613,228,528,425,458,489,416,605
"2590869",50,157,162,482,47,159,98,133,196,105,225
"368607",45,130,152,418,50,167,126,145,181,122,184
"29581",29,162,106,412,48,153,115,168,180,119,146
"2728020",296,1149,1171,2519,781,1141,877,1117,1182,889,1450
"2728021",678,715,695,2059,289,706,541,666,858,572,842
"1005048",40,254,185,884,80,224,188,209,247,186,261
"279058",101,577,488,2187,191,475,377,464,536,419,593
"279113",84,461,413,1583,180,449,353,464,489,410,474
"2601898",197,1060,1554,4707,499,1133,857,994,1191,945,1349
"2058624",9,41,57,341,13,43,43,47,43,28,57
"2058625",10,67,61,352,28,52,50,66,72,49,75
"401471",15,70,96,429,35,66,58,66,65,49,95
"1809410",17,125,145,919,68,99,76,88,84,60,134
"2807626",15,110,86,549,33,79,55,101,94,76,108
"556269",0,0,0,0,0,0,0,0,0,0,0
"2494234",30,328,225,530,72,335,257,309,305,207,347
"2584944",22,267,155,469,50,236,181,203,242,166,259
"40545",9,90,84,198,19,88,77,85,113,54,96
"1796652",7,79,50,117,17,54,38,44,55,46,40
"748247",176,1451,1339,2335,254,1375,1184,1280,1441,981,1417
"2016596",175,1214,924,2125,276,1058,913,1019,1246,816,1155
"356837",141,1101,1177,2092,220,1155,897,997,1288,840,1270
"2027405",208,1026,860,2089,257,960,775,848,1089,701,1143
"198107",110,1007,1049,1577,212,936,788,899,1047,655,958
"418699",170,1164,1123,2322,278,1060,918,1081,1179,773,1306
"2067960",119,958,725,1837,268,942,812,821,1009,652,1053
"41977",125,929,801,2051,208,805,688,725,848,575,915
"85643",160,1349,1116,2167,281,1228,1085,1109,1368,932,1373
"2005884",152,1336,1044,2366,255,1160,982,1070,1274,851,1303
"1134435",138,931,779,1614,216,905,638,816,942,574,917
"96773",64,585,499,1341,158,594,416,506,620,422,589
"44139",73,530,425,1128,133,542,383,456,522,327,622
"2184083",44,344,330,925,125,392,290,297,407,243,431
"76116",133,1091,1075,1706,205,1013,863,933,1119,732,1149
"76115",120,892,995,1484,191,819,724,858,913,606,908
"76114",96,948,1018,1352,184,839,689,831,966,657,991
"404405",275,2374,2706,3620,496,2202,1936,2035,2565,1565,2347
"1765049",21,192,228,386,60,164,147,144,171,126,177
"640081",20,178,261,334,41,176,138,156,154,109,205
"2811415",100,912,605,1549,164,833,608,724,854,542,930
"1735038",67,633,711,1410,148,604,510,573,667,420,658
"1565605",25,162,134,679,26,143,119,94,135,146,132
"2231055",37,276,3468,776,75,267,256,220,313,200,399
"2654218",43,282,2483,711,66,280,209,240,289,193,316
"159087",51,419,5691,971,80,390,323,392,423,301,473
"1751046",15,89,116,342,31,101,75,101,113,92,97
"2732067",539,4696,2598,4120,795,4904,2908,3224,4511,2947,3859
"2732487",453,3979,2330,3773,759,4104,2504,2762,3782,2504,3191
"1981880",89,824,718,1915,183,793,627,717,835,553,948
"311182",53,445,444,988,123,389,356,415,482,292,448
"1223802",135,1067,923,2467,248,1076,777,823,1096,689,1094
"1842540",224,906,982,3517,232,854,691,755,976,648,1049
"157592",86,669,573,1768,156,695,577,546,739,452,835
"44574",535,1570,1209,3977,3428,1035,2070,686,582,274,188
"44577",16,1518,13576,23221,12,46,70,44,65,44,98
"261292",14,81,2746,17685,10,64,73,49,63,55,130
"153948",11,262,2154,14494,1,9,14,15,9,13,40
"228410",12,61,160,727,22,76,60,41,79,49,118
"335283",2,47,82,346,23,61,42,35,53,30,67
"1444684",4,19,39,198,6,16,18,16,19,17,35
"323848",1694,2563,3368,1078,1450,486,2049,2346,1694,759,2496
"1288494",80,254,319,1008,101,219,200,231,264,203,364
"1266925",82,229,402,853,107,163,200,211,284,170,369
"292415",4000,1358,808,5659,446,1375,1053,1093,1344,4498,1446
"1914471",118,1001,686,2293,241,908,749,763,987,625,960
"171865",46,433,358,1681,136,423,300,322,393,257,492
"1985873",35,238,156,737,53,221,156,144,201,137,272
"2675298",8,39,35,180,10,49,35,41,38,18,45
"2715678",99,742,471,1601,138,702,486,577,731,484,729
"1163617",46,383,276,855,77,348,264,283,354,201,410
"580332",54,445,377,974,93,482,365,381,450,273,494
"1188319",18,242,192,539,73,208,169,184,227,149,242
"395494",21,151,120,584,32,128,95,138,157,85,142
"2559597",8,99,539,303,22,104,80,98,118,70,131
"887061",14,57,53,176,24,46,46,40,54,28,88
"582744",11,62,58,173,20,51,54,44,52,50,79
"265072",50,251,149,706,59,157,139,146,151,115,389
"2588534",10,58,47,699,13,43,43,36,45,32,61
"1662285",29,53,136,7847,12,128,61,54,53,55,435
"2588536",1,15,16,71,2,14,10,13,15,11,28
"1581557",1,11,16,49,8,9,7,9,4,5,24
"1581680",3,5,14,134,2,10,10,18,17,11,33
"2588535",2,10,1,37,3,4,10,8,14,7,46
"583345",20,26,55,372,13,37,16,14,22,12,56
"666681",8,21,23,198,2,21,17,17,31,16,30
"2641838",82,687,461,1313,149,668,561,674,778,479,716
"1108595",73,485,389,1076,123,585,464,492,599,433,608
"536",70,480,365,1175,150,517,432,515,614,417,578
"2202141",59,301,216,627,70,320,249,277,370,243,330
"2605945",54,292,193,563,51,272,193,262,349,197,328
"1778675",7,96,50,231,12,60,64,80,63,42,69
"394935",5,29,24,42,7,18,19,25,32,22,31
"235634",2,44,35,138,8,41,30,41,59,34,48
"537",6,39,29,167,1,29,30,27,48,21,50
"1906741",105,887,534,1829,184,858,656,722,1015,601,885
"1009682",43,405,250,822,77,281,282,326,419,209,364
"748280",101,803,592,1529,162,748,649,765,985,651,808
"1537400",24,157,110,425,51,132,138,137,181,134,219
"332411",21,105,84,346,37,110,97,108,100,77,119
"1590041",13,108,104,274,22,89,77,94,113,96,121
"519081",8,103,86,264,15,88,87,120,111,78,126
"57480",65,636,405,1052,158,573,499,548,630,481,627
"1192162",89,595,394,1283,132,537,456,474,622,441,646
"557598",16,59,60,173,25,78,84,85,93,66,90
"1938604",41,301,226,730,70,243,200,224,282,192,327
"1737446",4,68,44,248,12,49,30,50,69,43,76
"2739434",6,61,42,185,14,61,39,63,78,35,70
"2739061",4,33,37,85,9,25,33,32,44,29,26
"655307",20,110,82,227,34,114,91,115,113,80,130
"641148",4,45,23,59,6,38,44,56,46,34,47
"2709396",5,40,18,84,7,31,27,34,18,18,34
"1853276",4,27,25,70,3,30,24,15,35,21,37
"267212",21,145,81,239,30,132,110,132,141,97,149
"194197",9,89,49,291,28,87,81,81,93,47,91
"607712",15,83,75,323,26,107,88,101,121,87,126
"88719",3,10,12,36,3,8,7,11,16,11,15
"1853278",9,81,59,252,13,108,50,65,93,58,81
"135720",0,2,3,6,0,7,2,2,2,3,3
"662598",0,2,3,5,0,3,3,3,0,1,1
"1386087",0,0,0,1,0,0,0,1,1,0,0
"1815583",10,64,51,193,14,47,57,51,61,45,78
"492",9,49,35,98,14,45,31,42,50,29,50
"28091",4,51,49,109,8,62,33,47,48,31,33
"490",15,36,28,84,2,34,38,30,34,17,26
"326522",3,31,24,88,6,29,29,27,45,24,40
"485",6,0,13,73,9,35,26,19,0,18,34
"326523",1,43,22,76,6,44,26,27,30,15,55
"489653",1,7,4,8,0,3,5,6,3,1,8
"2666100",1,27,19,75,9,24,17,24,25,23,26
"493",4,25,11,112,8,15,16,12,24,16,30
"488",5,33,19,102,7,30,33,42,47,31,41
"640030",2,18,15,163,5,19,16,11,25,14,32
"607711",3,28,17,80,12,25,17,14,24,16,32
"28449",4,26,10,35,1,14,19,10,15,12,27
"483",1,7,11,37,2,15,5,6,8,8,12
"484",4,9,9,13,3,16,13,15,18,12,20
"489",2,4,8,12,2,6,3,3,6,4,12
"2290923",122,1015,640,1775,211,935,773,854,1042,709,1020
"682798",80,592,455,1362,150,682,487,514,660,454,668
"63",63,369,369,929,65,324,268,345,408,278,392
"96942",2,13,13,175,4,15,7,8,12,9,17
"539",22,112,86,272,27,135,70,83,106,83,138
"2528037",2,58,12,106,6,37,34,39,42,25,43
"505",13,64,37,126,11,64,54,44,56,53,77
"502",9,82,47,160,14,66,60,60,61,47,83
"504",3,22,24,52,3,30,32,20,25,10,29
"153493",4,22,28,71,9,33,32,22,35,25,38
"1196094",3,21,16,109,9,29,24,14,20,16,25
"194196",3,30,17,72,3,23,22,9,24,13,25
"641147",1,13,4,26,4,10,7,8,13,5,20
"522306",121,1066,868,1822,177,959,854,977,1081,733,1040
"2591109",115,842,522,1301,151,766,540,628,847,535,814
"1208921",0,2,2,15,1,4,2,0,4,2,2
"1208920",1,3,1,46,1,1,1,2,3,2,1
"233181",0,2,2,12,2,4,1,2,5,2,4
"1576550",0,8,2,9,1,3,2,0,2,4,4
"33056",1,5,1,8,0,0,2,0,2,3,4
"1208919",0,3,2,10,0,8,1,3,0,1,2
"1381133",0,0,0,0,0,0,0,0,0,0,0
"1755504",38,1470,187,558,105,300,262,220,676,533,375
"1856685",52,1817,217,629,99,249,292,296,939,793,380
"2725477",93,854,408,1083,147,514,585,560,1705,1111,722
"2320867",64,652,281,1044,147,434,466,433,1503,975,648
"2731681",109,554,250,777,105,270,282,202,1049,686,605
"2614442",43,344,204,776,94,316,342,299,1105,700,397
"2653853",36,381,202,625,82,435,284,289,679,601,394
"1294143",38,356,180,1193,345,320,279,255,666,470,337
"2811422",43,312,206,572,74,291,268,251,595,372,340
"1930532",42,299,194,1339,90,252,317,262,1064,706,361
"2748080",30,252,138,576,83,225,215,204,501,303,324
"2054914",24,224,127,361,123,212,185,186,266,188,210
"658630",23,220,121,336,57,183,158,189,304,225,174
"1028989",33,192,106,402,70,182,155,197,347,228,236
"2724470",35,176,118,353,53,170,146,175,282,172,191
"1931241",26,165,120,560,57,162,172,171,314,184,206
"1881017",220,143,216,438,53,146,155,182,321,188,215
"2729423",75,147,242,325,282,202,237,173,288,925,2576
"2735906",25,190,96,444,62,137,141,141,485,279,219
"2706126",25,157,142,408,52,159,142,135,218,142,211
"1573704",27,193,103,288,42,144,109,145,258,170,179
"2518644",16,161,71,305,63,119,117,118,281,173,158
"2498848",16,159,85,278,33,111,129,126,209,166,138
"143813",21,141,78,288,40,124,130,108,233,191,180
"2726956",19,177,99,369,35,116,140,112,359,277,206
"2726989",18,158,119,331,56,133,114,147,233,131,173
"1573718",17,130,59,168,21,99,80,102,171,107,89
"2749999",27,140,104,244,61,126,117,107,188,144,128
"2049589",21,145,98,302,44,116,103,109,260,180,121
"1736226",52,112,75,343,218,120,121,154,185,117,131
"2320270",12,136,76,184,36,88,91,90,183,106,108
"2054919",17,105,66,217,30,99,94,125,162,110,127
"2774873",24,129,65,210,30,98,150,114,215,166,119
"1283291",18,112,78,222,36,95,107,93,127,104,129
"2201356",20,100,46,147,27,82,86,104,134,91,121
"2804761",19,112,66,212,34,109,100,96,162,131,124
"2730847",13,134,59,250,18,106,109,124,178,109,106
"1573719",19,93,48,176,26,76,79,106,126,85,98
"1649877",23,97,63,215,87,98,84,107,142,95,122
"1981174",10,93,63,325,22,92,79,75,178,135,123
"2073078",9,104,51,206,30,74,80,77,117,98,81
"2730848",12,90,33,139,21,68,61,72,113,83,91
"2823875",31,85,50,144,23,83,80,83,132,95,100
"2219057",16,84,44,146,21,59,61,88,90,72,79
"2052956",6,74,33,248,15,69,64,65,119,80,76
"658644",15,101,49,146,31,86,69,91,130,93,77
"1898684",10,68,55,167,28,55,50,38,227,102,91
"253237",8,64,24,176,18,46,47,40,169,102,59
"1611770",6,60,40,220,24,54,49,54,150,62,60
"1573712",11,81,50,169,14,62,46,73,77,55,65
"1207075",4,49,38,82,7,43,23,53,78,42,35
"1534110",20,62,27,137,14,45,49,49,77,43,35
"2590776",9,53,29,111,16,66,38,52,86,52,48
"2213057",7,67,242,134,296,46,52,51,123,102,69
"2662033",14,57,39,128,63,41,34,42,82,55,67
"2774459",9,64,43,131,17,82,44,74,82,88,80
"2025658",12,57,45,112,20,55,58,68,125,84,59
"2812000",11,44,39,103,14,52,34,47,71,61,56
"1259844",60,55,33,370,921,43,41,47,85,77,49
"1702250",11,61,28,122,4,53,46,59,88,61,46
"2587845",10,50,189,136,195,42,48,50,138,96,73
"2604941",1,32,33,115,14,27,31,32,57,39,30
"1573711",7,34,27,56,10,40,34,53,62,52,50
"1855380",8,43,17,63,13,30,40,55,48,37,46
"2479392",4,41,29,129,11,33,33,35,50,53,49
"2597770",7,27,18,56,38,31,30,14,42,31,28
"1758730",5,33,18,85,10,22,29,28,85,43,36
"1500686",4,35,17,42,6,40,39,47,64,41,31
"2559074",3,32,28,66,8,27,24,26,45,33,24
"2054915",2,34,14,39,6,14,19,20,123,60,25
"118613",9,49,24,50,12,45,33,34,57,43,43
"658629",3,26,17,54,6,22,24,25,40,19,36
"2018067",8,27,22,49,6,30,28,46,67,39,27
"1500687",7,28,18,59,15,24,26,19,58,35,35
"1573720",1,26,12,58,7,23,14,29,29,17,15
"1636610",3,32,23,164,37,23,22,23,56,33,38
"2067572",4,38,14,50,7,14,22,17,21,18,24
"2126069",2,26,17,52,8,18,24,33,31,9,21
"1827300",4,24,23,45,14,29,20,16,34,35,33
"2005388",3,27,19,54,12,24,29,31,43,22,28
"2605424",0,14,14,27,4,21,13,13,25,10,24
"1855331",0,13,5,53,79,11,16,10,21,17,16
"676210",6,26,11,55,2,16,23,28,47,33,31
"1173283",1,17,11,17,1,14,9,13,28,10,15
"2730851",4,26,15,23,3,15,23,17,54,22,22
"2069256",5,12,9,35,171,8,11,8,18,11,13
"2045200",4,12,12,21,69,14,9,21,21,42,17
"2169583",2,16,16,24,2,15,11,13,13,22,16
"1659194",4,18,10,46,6,23,16,11,30,22,17
"2083055",1,13,12,18,4,11,10,14,15,14,11
"76885",7,14,15,30,3,10,4,12,8,6,4
"2083054",2,23,4,17,5,14,8,16,20,14,15
"2777367",0,11,9,27,11,11,11,9,12,5,6
