"","X9JUZM2TOMPOOB100355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"28025",21,160,123,244,230,180,254,184,133,264,183
"1681",27,132,126,296,241,177,230,184,138,269,195
"78448",23,152,107,269,243,149,216,153,128,266,180
"1680",25,102,77,211,168,129,149,104,93,175,130
"1689",12,66,68,148,102,120,149,106,93,138,110
"1685",19,90,64,242,151,109,151,100,96,166,137
"1765219",15,62,57,121,150,92,103,121,82,162,98
"33905",21,65,63,135,112,90,103,96,60,136,99
"638619",9,64,59,148,90,88,105,99,69,124,85
"1683",17,67,62,131,89,84,115,104,80,123,77
"1603886",16,81,73,132,118,94,85,78,71,117,99
"1684",16,49,62,139,116,76,122,91,51,111,84
"1686",8,53,49,115,85,72,103,52,54,87,84
"28026",7,36,29,79,59,41,31,34,28,46,41
"762210",2,13,7,28,36,28,26,18,18,36,17
"2020965",4,11,14,41,28,30,17,11,8,27,27
"1691",1,7,5,20,6,8,14,8,5,15,16
"1687",3,16,9,14,15,10,10,14,6,5,8
"78258",9,47,45,110,89,57,104,83,80,141,60
"2702",2,7,7,19,24,8,13,9,6,16,10
"2792978",0,1,4,9,4,3,1,4,2,2,4
"78259",1,7,9,20,16,17,8,9,9,21,14
"304895",334,1482,1528,2443,2658,2120,3037,2069,1765,3394,2161
"283811",268,1111,1113,1535,1540,1358,2375,1540,1227,2317,1265
"131568",226,983,1082,1585,1541,1160,1790,1527,1142,2106,1312
"2629395",131,547,616,994,1047,837,1395,826,821,1669,751
"414996",157,713,767,2066,955,733,1222,963,710,1321,1109
"1891644",103,635,682,1125,927,760,1111,731,728,1336,900
"28049",82,365,366,504,626,583,908,627,589,867,514
"1884913",6,13,7,34,29,32,30,18,15,31,26
"1884905",3,17,14,55,29,33,27,38,26,38,23
"1884914",2,11,4,44,16,9,14,7,9,18,12
"1884907",1,9,6,11,8,6,14,4,7,11,7
"1884904",4,6,8,12,10,9,5,9,6,13,13
"573600",0,6,3,26,7,17,18,14,10,21,14
"1884915",1,7,2,15,2,5,5,1,2,8,5
"1884634",0,3,1,18,11,3,20,4,12,5,16
"1884916",0,1,0,9,5,2,5,5,7,7,8
"2637691",2053,3880,3755,2745,4478,5655,16007,14609,9052,12266,3862
"49319",1016,2155,1933,1820,3046,3616,9140,8206,4925,6922,2418
"42256",250,734,626,637,950,1106,2350,2012,1365,2030,889
"2051957",162,409,364,469,542,564,1401,1089,717,1083,521
"496014",1096,4965,6815,5829,8684,7149,9895,5149,3913,8289,8338
"191495",1640,7527,8861,7682,11094,9184,12878,7541,5387,10975,10985
"2627773",1250,5826,8293,6337,9033,6914,10311,5527,3830,8459,8842
"2789776",863,4753,4474,12352,4999,4249,7904,6568,4483,8432,5605
"467094",352,1719,1305,3282,2240,1800,2830,2348,1566,2907,2077
"53635",118,600,524,938,843,805,1212,993,616,1247,781
"2648737",69,330,284,503,538,547,548,445,372,745,480
"84112",35,212,158,300,310,250,293,224,226,368,252
"1335613",39,140,102,251,285,229,259,203,196,395,259
"471189",28,138,101,229,230,179,206,151,175,249,238
"446660",24,130,114,244,238,194,247,201,142,261,191
"2636013",17,72,69,149,153,123,105,105,82,145,93
"1870985",38,286,257,450,461,410,422,359,309,596,429
"1531429",31,220,154,320,286,229,267,249,208,348,254
"84110",22,118,96,215,175,160,229,168,128,225,170
"79604",18,96,65,198,127,135,115,130,88,130,151
"1944646",5,21,12,13,18,50,75,53,19,20,36
"84163",3,8,9,41,20,25,23,15,16,30,15
"2638792",91,501,396,752,785,624,681,588,498,912,664
"1805478",43,300,210,464,448,376,410,356,298,594,433
"604330",36,203,177,428,396,290,326,251,192,395,343
"133926",22,139,131,212,230,191,270,178,129,290,180
"1871022",31,146,106,265,223,172,244,175,170,295,186
"2003188",24,118,90,178,193,153,154,170,122,232,139
"1382",2,7,5,15,11,11,6,11,9,16,7
"74426",40,229,194,418,412,296,376,381,219,411,345
"33871",28,129,85,169,224,203,228,189,134,224,189
"2649358",298,1436,1118,2124,2061,1721,2677,2455,1628,2882,1774
"1670831",286,1402,1091,1655,2062,1819,2740,2152,1578,2752,1675
"1670830",262,1323,1118,2087,2121,1742,2710,2427,1600,2931,1608
"185979",1065,3040,2262,28720,2770,1542,3111,3208,2808,3176,2034
"33932",19,61,109,671,51,22,25,41,64,56,55
"86661",203,640,968,5818,748,442,437,593,495,1857,943
"653685",245,921,1583,6890,1075,905,867,1016,1778,1387,3265
"450367",385,133,76,153,33,11,19,39,39,46,19
"189381",13,134,139,1244,127,97,94,113,106,145,220
"1408",13,58,87,641,62,50,51,75,51,76,98
"561879",48,120,548,5540,68,72,101,300,114,199,307
"1664069",8,66,41,280,151,112,90,66,57,104,77
"1670641",39,159,117,1415,86,77,36,63,91,109,107
"1742359",18,99,122,878,111,85,48,70,93,100,98
"1397",41,148,142,2402,176,172,65,101,125,199,279
"324767",7,80,127,888,86,88,65,52,67,73,80
"632773",7,36,18,114,59,39,56,42,22,43,37
"1783501",7,112,82,354,48,39,28,39,29,46,82
"1471",13,70,63,508,84,46,30,60,54,52,66
"79883",9,53,39,392,51,39,30,33,32,44,56
"218284",9,44,40,608,45,42,36,19,33,54,36
"46224",7,49,50,499,45,25,14,20,31,38,44
"38875",10,93,44,1709,119,72,18,55,66,161,423
"1441095",14,50,40,378,44,30,28,55,46,58,65
"1413",4,23,34,293,33,21,16,14,17,28,26
"1547283",23,82,103,538,57,29,18,39,34,46,57
"1476025",2,49,55,491,49,26,20,28,34,52,41
"1792192",15,18,77,822,24,21,35,96,53,84,247
"1479",10,19,46,244,37,25,21,23,28,33,29
"1925021",1,20,10,65,34,10,10,16,8,16,19
"1404",3810,5144,4927,93254,10992,5877,2101,2505,5152,12851,36661
"1402861",2753,5206,5085,52471,599,155,156,3351,3382,3595,7771
"412384",82,17,23,353,114,82,35,58,68,185,400
"86664",13,75,76,836,83,46,24,114,55,80,148
"2675274",2504,1556,2417,5815,225,150,176,468,792,440,737
"152268",21,189,233,1494,93,45,40,121,94,43,97
"79885",4,33,29,282,27,22,14,61,20,33,31
"199441",6,31,54,352,46,24,12,25,22,27,38
"79880",45,287,226,1643,1418,373,140,461,733,1165,3088
"86665",5,57,38,291,77,31,36,48,52,74,41
"300825",2,20,16,113,32,31,19,14,27,122,126
"2598861",3,10,15,98,42,45,6,16,29,26,51
"129338",22,109,76,230,187,175,184,136,110,211,121
"2642459",17,93,63,366,186,196,141,100,105,188,148
"1422",5,64,33,154,96,85,76,57,45,105,72
"1505648",7,47,35,99,61,43,53,50,34,64,73
"1921421",25,116,93,249,134,86,100,87,62,119,93
"33940",1,8,3,27,12,6,16,14,9,16,6
"213419",0,5,2,9,4,7,6,9,7,5,2
"1478",253,101,79,433,91,65,65,85,123,129,111
"228899",60,132,110,1900,688,273,114,226,237,482,512
"421767",39,43,42,452,65,49,53,50,38,77,79
"264697",18,28,36,191,47,43,28,32,41,78,60
"1407",9,48,51,430,34,26,32,22,26,62,52
"2502791",8,38,26,127,51,49,55,49,43,61,38
"2698411",7,64,81,384,71,62,46,46,45,85,118
"2099786",2,22,9,113,22,16,27,17,18,32,16
"129985",47,381,530,15819,171,106,50,131,145,97,83
"279826",64,161,1171,1544,198,114,363,451,418,364,196
"1740721",31,168,389,831,2954,2066,89,143,569,758,2222
"1193713",29,116,151,772,233,155,53,79,143,164,175
"1215031",0,8,14,61,13,10,8,8,10,10,13
"2636778",47,168,112,1908,190,98,54,116,89,116,254
"28031",10,51,26,396,34,15,18,15,26,33,43
"1421",6,29,23,208,20,18,20,26,19,31,31
"2086577",8,101,66,3586,109,29,14,63,46,39,81
"1145276",0,1,1,20,1,2,0,1,5,2,2
"746691",2,175,278,946,117,41,15,154,176,34,582
"182710",22,249,243,5022,187,161,40,61,53,57,219
"2052660",10,39,49,626,45,35,28,34,33,56,69
"2620237",14,117,122,1526,79,61,50,59,59,78,106
"163877",8,73,43,679,27,23,18,18,20,24,52
"1482",6,47,41,1212,32,24,11,21,12,21,26
"2017483",5,98,66,789,27,26,9,11,17,35,50
"302167",2,23,15,132,13,9,5,8,5,7,10
"1473",1,10,5,263,9,10,1,4,2,0,6
"1398",17,102,110,537,147,136,174,108,102,188,152
"665099",93,4062,1762,33705,492,376,560,1589,1138,901,1583
"859143",10,85,63,712,69,39,17,29,39,26,49
"2639704",4,40,32,244,59,33,32,37,33,44,34
"247480",2,39,30,230,46,48,43,23,18,41,56
"294699",4,27,22,194,33,35,32,29,26,31,41
"33934",6,16,13,136,31,12,12,10,13,24,35
"198467",0,5,4,22,3,0,2,2,2,7,1
"196180",1,5,3,16,5,4,3,3,3,11,1
"255247",34,97,56,286,46,38,49,92,56,38,177
"1221500",10,35,28,208,25,40,39,26,26,29,67
"386490",166,136,116,3944,798,450,957,740,346,583,784
"402384",4,103,43,564,32,19,13,18,18,28,32
"45668",2,100,33,586,32,25,12,24,17,15,30
"1570",5,77,33,622,30,17,11,24,12,26,34
"2614679",3,72,60,512,46,30,35,48,37,62,35
"1472767",7,127,64,713,32,31,24,14,15,40,43
"35841",3,37,41,355,49,28,23,31,59,52,37
"1230341",7,65,40,291,41,38,41,56,27,49,60
"1295642",6,21,24,118,45,56,32,31,26,33,28
"1426",2,10,6,43,11,14,8,20,15,26,9
"153151",0,6,1,24,4,8,4,2,1,3,6
"2625209",13,258,189,1100,35,28,23,28,32,41,143
"2628296",2,75,71,619,45,31,39,49,30,51,52
"2651280",9,27,40,321,33,17,12,13,15,33,27
"2283160",10,63,60,366,35,29,26,28,26,42,47
"2636677",1,8,5,98,8,4,3,4,2,4,7
"2636913",2,55,36,504,37,22,40,28,20,51,74
"33936",9,35,37,276,52,37,18,21,33,58,41
"1532552",7,48,44,329,39,31,17,28,46,42,47
"1449",1,81,17,705,19,13,5,6,13,20,24
"2594883",1,58,40,387,22,13,10,14,18,21,40
"1467",8,53,35,520,25,31,26,19,30,44,42
"2213194",4,43,34,390,26,13,14,15,11,19,37
"1028381",0,1,0,1,2,1,0,0,0,0,0
"185978",795,3853,3015,15576,5443,4170,4362,3579,3705,6168,5629
"61624",219,529,510,1305,777,693,876,732,739,1186,771
"2704462",53,280,232,762,555,426,439,310,283,586,435
"44251",54,161,105,418,249,214,187,168,166,293,185
"2704463",23,185,124,452,252,234,225,185,171,303,252
"49283",33,185,159,491,294,280,259,248,183,361,238
"562959",30,204,137,629,369,380,253,212,1159,349,521
"1126833",37,167,120,432,263,204,214,166,148,250,228
"79263",28,136,101,436,239,196,175,174,136,248,212
"375489",26,140,91,408,189,143,142,137,116,174,204
"1870820",30,134,68,1300,264,159,134,114,134,317,348
"169760",28,131,97,390,212,158,129,164,120,267,211
"1406",49,190,117,632,147,115,132,80,113,157,105
"248903",93,105,116,867,187,238,218,98,171,181,280
"2495582",19,102,84,344,138,132,122,126,91,175,141
"365617",19,85,66,235,179,124,138,124,90,168,127
"682956",11,50,45,155,49,53,45,32,51,78,49
"414771",17,82,55,254,114,105,107,80,85,147,107
"162209",17,73,91,448,146,125,107,110,92,169,98
"2509456",11,57,50,344,115,73,77,70,80,127,108
"2044880",11,159,59,276,103,94,97,77,66,130,86
"2707005",7,55,41,226,67,61,74,96,65,103,47
"1619311",16,47,35,171,103,81,90,87,59,132,83
"1462996",8,69,42,255,75,77,67,61,70,120,86
"160799",2,60,42,173,77,63,90,42,65,98,58
"1178515",12,77,43,247,98,65,97,54,64,72,69
"1473112",15,54,53,206,75,78,56,49,50,100,56
"44250",12,51,41,242,87,64,52,54,35,62,60
"189425",6,37,25,126,60,48,47,30,52,95,53
"1616788",8,42,36,198,95,73,54,62,58,76,65
"1338368",12,48,49,247,71,36,30,34,29,45,45
"1401",11,80,72,1745,193,99,136,174,218,350,270
"683737",10,50,43,195,65,72,43,47,45,122,82
"1778678",11,24,27,208,48,30,54,34,38,68,36
"1464",6,51,32,214,49,38,40,25,31,49,32
"189426",9,23,17,130,35,31,34,23,17,39,34
"172713",15,48,30,116,45,41,52,34,37,73,72
"198119",8,38,31,132,57,35,41,31,33,42,49
"1712516",7,47,41,246,42,36,39,36,35,61,61
"528191",11,60,16,85,28,23,26,37,31,55,36
"159743",4,42,18,99,24,31,21,17,22,46,27
"253703",4,10,17,131,17,22,22,11,15,20,30
"128574",7,24,25,85,35,29,37,27,30,76,35
"1763538",9,26,18,137,17,19,27,25,34,53,27
"59893",2,25,3,28,10,8,4,9,5,16,14
"59843",2,10,3,94,12,10,3,3,7,14,8
"2684853",171,404,283,1103,582,509,592,482,518,740,524
"51101",28,176,116,703,236,229,222,195,162,312,230
"1393",29,104,73,1268,181,140,151,127,120,185,109
"54911",15,152,54,4706,408,307,143,126,362,190,143
"1465",6,45,54,263,35,27,26,31,24,40,48
"54913",4,20,10,188,35,17,24,18,12,25,27
"2636738",65,482,349,1748,684,523,572,455,398,739,539
"2674991",38,256,225,768,523,415,387,337,324,584,384
"2507935",8,44,35,169,40,39,39,25,24,48,23
"377615",80,460,324,1101,742,607,621,466,457,788,620
"2583377",50,289,229,721,493,438,485,378,361,597,429
"55079",9,152,148,579,176,119,123,110,131,182,127
"1471761",78,257,223,300,5798,5081,120,122,328,340,236
"714067",16,90,65,222,577,377,163,104,147,204,110
"1380685",3,21,19,135,70,41,29,16,17,36,31
"2490858",17,150,111,210,233,188,211,171,171,262,162
"2026",13,49,32,1127,140,144,42,60,107,73,70
"37482",15,117,94,234,149,111,116,74,151,105,98
"405212",98,599,437,876,884,847,924,700,624,1166,837
"471514",20,102,102,301,200,202,214,137,175,209,160
"2622400",8,71,45,166,92,85,90,70,80,78,95
"1903704",57,342,258,1149,569,494,580,401,353,664,451
"1214604",21,162,132,465,227,212,207,144,131,254,202
"2055160",14,88,77,151,163,156,153,118,101,164,121
"33943",11,58,57,120,109,56,86,78,66,93,71
"2677223",6,51,34,119,82,68,54,60,50,83,75
"2662419",15,78,91,444,118,103,100,112,87,142,94
"1038856",7,60,43,214,89,87,55,54,59,93,96
"1499687",16,29,33,169,54,48,38,41,31,63,151
"200991",10,30,16,90,37,38,32,38,31,50,30
"1176255",3,28,16,85,36,23,29,28,21,41,52
"192421",1,21,13,99,32,23,25,19,18,31,18
"161360",3,12,6,135,16,21,21,13,13,26,19
"414778",2,16,11,123,7,16,9,12,13,20,16
"1302659",3,16,13,94,13,9,9,9,11,17,10
"1215089",2,12,10,79,11,14,15,13,8,12,13
"1374",2,4,6,16,8,4,5,0,6,11,1
"1598147",1,4,4,28,5,4,3,3,2,4,4
"2647733",15,89,76,823,92,79,68,63,61,91,84
"1571",8,59,57,438,77,54,64,53,56,95,62
"298596",6,26,24,170,22,11,10,9,20,14,16
"1474",1,26,17,130,16,8,7,10,6,17,24
"1476",3,10,6,42,2,6,4,1,16,3,4
"76853",55,136,24,607,61,41,18,49,29,16,57
"2637870",6,25,31,251,41,10,10,8,15,29,34
"51173",1,31,22,305,42,18,9,11,22,14,19
"367743",2,22,18,225,26,17,10,24,23,20,16
"459472",21,39,39,207,63,55,51,44,34,68,46
"417367",8,30,33,252,40,41,23,37,30,39,21
"2642018",0,17,19,196,21,10,13,11,16,16,22
"2644826",4,281,14,142,13,8,20,21,11,17,15
"1650",1,12,6,139,19,11,7,1,16,11,12
"1508404",3,31,26,208,34,26,29,24,27,34,28
"241244",7,19,15,201,23,15,15,8,20,23,21
"2617942",5,25,23,258,19,10,16,12,19,18,20
"1282",1,28,26,143,26,34,32,36,37,37,29
"1280",5,68,34,378,40,42,31,35,36,64,65
"1283",6,22,14,93,21,15,15,9,13,34,19
"214473",1,31,26,1068,8,10,6,7,8,8,10
"1288",0,204,5,72,8,6,4,110,6,10,20
"91994",1,18,19,129,17,11,13,13,9,25,8
"2815305",4,12,20,106,19,13,34,24,19,28,22
"170573",1,6,7,73,12,8,4,11,8,6,6
"155085",0,10,4,43,8,9,8,11,5,10,10
"45972",2,7,1,45,3,8,8,8,11,9,15
"2044912",1,5,8,49,7,9,6,5,8,17,12
"29388",1,11,5,64,11,5,8,5,8,8,10
"1290",2,9,10,91,6,11,6,4,7,7,13
"29378",1,198,10,132,4,6,5,3,7,8,90
"28035",1,8,6,53,8,6,9,7,4,5,20
"70255",1,1,3,22,5,4,4,3,4,10,6
"1294",4,7,3,38,12,2,4,7,7,2,7
"33028",1,6,3,58,8,2,5,3,1,7,2
"46126",2,6,3,65,7,6,8,7,3,10,11
"2282419",0,40,10,40,7,9,6,12,4,6,9
"1292",1,2,4,22,3,5,5,4,4,6,8
"985762",2,5,6,37,8,6,1,1,5,8,5
"29385",1,70,14,153,7,7,13,6,10,10,5
"1295",3,5,3,22,5,7,8,2,6,8,5
"1286",3,13,7,73,19,6,3,7,2,4,7
"308354",1,8,10,92,14,3,8,1,9,9,14
"29379",1,3,3,49,3,6,1,5,0,9,12
"1284",2,5,54,245,10,8,6,3,1,3,7
"46127",0,15,8,64,5,1,3,4,6,3,13
"29382",1,9,7,110,5,5,3,5,1,6,5
"29384",0,7,5,31,4,7,3,5,4,5,4
"985002",0,1,1,7,2,0,1,1,1,1,2
"29380",1,8,2,37,8,6,3,2,2,4,7
"2781774",0,2,9,31,4,7,2,0,1,4,5
"1654388",0,0,5,19,1,0,1,2,1,4,6
"1281",2,10,4,42,4,6,6,4,1,8,4
"61015",5,6,5,26,7,5,3,2,3,11,6
"246432",1,3,3,47,8,1,4,3,2,3,6
"1461582",3,64,15,199,38,26,33,26,18,28,19
"946432",1,29,8,101,3,8,5,11,5,9,8
"69966",1,11,14,71,5,7,9,4,6,10,5
"1855823",2,14,16,105,18,18,12,20,18,27,17
"2619255",0,1,2,8,1,1,0,1,0,1,1
"1903056",0,2,0,38,0,2,1,1,1,1,0
"1296",7,855,36,368,18,12,6,192,30,22,39
"71237",1,13,5,74,5,4,5,4,4,12,3
"42858",0,228,18,297,4,10,3,3,5,8,6
"150056",1,3,3,25,6,7,4,0,8,3,1
"643214",2,5,1,54,6,4,5,6,6,5,8
"407035",0,44,17,377,19,27,33,17,27,26,36
"1817405",1,12,9,110,6,4,3,5,3,6,12
"33986",51,254,200,851,375,321,299,276,235,411,384
"1378",5,29,23,167,21,23,29,27,29,24,30
"1639",5,101,72,1671,67,44,39,36,24,54,61
"1638",1,8,12,117,13,15,11,10,2,13,11
"1006155",2,6,10,69,12,13,10,7,12,12,13
"1640",1,11,6,39,13,7,7,4,6,10,7
"1641",2,12,8,95,11,12,9,10,14,16,5
"1642",4,9,37,277,7,5,4,5,5,5,5
"2642072",1,9,12,114,5,9,6,9,7,17,26
"1643",1,7,9,107,22,6,11,3,2,12,8
"2756",1,10,12,84,5,11,5,5,6,9,12
"269673",8,41,37,158,49,49,45,51,31,59,59
"1584",3,54,35,110,67,50,103,75,69,123,60
"2620435",4,21,15,71,32,24,18,13,13,22,15
"47770",2,184,7,251,10,7,7,5,6,10,6
"227945",0,5,8,21,3,0,2,1,2,6,3
"83683",0,6,3,9,8,0,1,3,3,4,1
"1579",0,11,5,12,4,4,1,2,4,7,6
"33959",0,158,4,115,10,8,7,9,7,12,11
"1600",1,9,0,31,0,5,7,6,8,9,6
"109790",1,8,3,30,10,5,8,3,6,10,7
"147802",0,5,4,27,12,8,5,4,11,10,7
"303541",2,1,3,14,3,4,2,3,8,1,5
"1587",2,121,6,35,4,6,6,4,2,13,5
"1604",1,78,6,27,8,5,7,6,5,8,8
"1218494",0,0,0,13,2,2,1,6,1,2,2
"267818",1,9,4,7,4,4,4,2,3,6,8
"1218493",0,2,1,12,6,1,1,2,2,1,5
"2269374",0,0,1,12,7,8,3,5,3,3,8
"1596",2,4,1,12,5,1,8,4,2,2,6
"508451",0,5,2,13,4,4,1,1,1,1,1
"2107999",0,1,1,1,2,2,2,3,0,1,1
"267363",13,50,40,79,85,63,66,51,51,79,80
"1580",5,43,17,70,49,44,42,46,45,100,45
"2292255",2,27,15,32,28,21,22,17,16,28,23
"637971",2,12,7,38,22,13,26,12,11,26,17
"1613",4,43,40,74,73,54,68,125,35,84,72
"35787",6,58,32,75,44,52,64,60,33,60,58
"97478",5,18,12,36,34,27,39,28,22,47,23
"1598",5,93,12,169,15,20,15,11,13,23,20
"227942",0,4,3,18,6,10,3,8,10,6,3
"1633",1,31,5,37,8,4,6,2,2,4,6
"104955",0,6,5,13,2,6,2,5,2,3,4
"1582",1,14,10,43,33,12,12,18,11,33,28
"47715",6,17,10,68,45,34,27,34,27,59,29
"88233",5,16,7,43,41,25,21,14,8,19,15
"1597",2,15,9,34,16,16,23,13,9,21,13
"57037",1,7,6,21,9,14,13,10,4,23,12
"1583",4,13,5,329,21,11,16,155,12,10,13
"137591",3,28,6,114,15,12,17,41,8,8,13
"2506420",6,10,11,30,16,15,13,8,9,18,14
"155866",4,7,3,22,12,8,13,8,6,12,11
"1631871",0,4,2,30,3,2,5,0,1,2,4
"46256",3,3,3,14,2,3,2,2,4,3,6
"1162633",2,1,2,16,5,7,1,0,1,7,8
"759620",1,2,5,21,3,5,5,8,4,4,9
"1629",0,4,5,22,6,5,7,0,6,5,12
"1249",7,5,6,61,10,0,4,13,5,12,4
"2683241",0,4,2,5,4,4,0,1,2,10,1
"304207",7,53,40,127,87,69,85,44,61,70,62
"1589",6,32,15,75,29,31,28,22,29,60,33
"1590",0,42,46,107,18,37,23,39,48,64,26
"60520",6,8,1,26,9,12,8,10,7,8,7
"1245",0,3,3,34,11,3,5,8,8,13,13
"1244",2,7,2,26,10,3,7,6,4,16,11
"1246",2,4,4,23,9,10,11,3,8,13,15
"1252",1,0,2,8,5,4,1,2,2,5,3
"33964",4,3,0,3,4,3,4,2,3,5,1
"1511761",1,3,1,6,6,7,0,4,3,13,1
"33968",0,4,3,24,2,2,1,5,4,10,2
"136609",0,0,0,1,1,0,0,0,0,0,0
"1622",1,7,1,20,5,5,8,7,12,8,8
"1623",5,10,7,37,24,15,10,8,12,22,22
"1624",3,125,17,105,18,9,8,13,12,12,19
"1605",1,6,5,12,5,4,8,16,6,10,7
"228229",0,7,3,25,3,7,10,3,8,9,5
"89059",2,5,2,22,17,9,17,5,5,10,5
"1601",1,19,7,20,6,2,13,8,2,3,10
"1581",3,8,5,26,14,12,23,12,5,24,11
"152331",1,10,5,18,15,13,3,11,3,10,9
"1588",3,10,7,42,11,5,11,2,6,15,10
"33962",0,6,3,16,8,7,3,6,7,5,5
"1138822",0,5,3,8,8,6,2,5,3,3,7
"1255",3,6,8,22,21,7,4,1,4,9,10
"1670797",2,12,4,40,16,20,25,14,8,34,24
"114090",0,5,4,23,7,4,2,3,3,8,10
"51663",1,3,2,19,5,10,7,2,4,20,9
"187452",0,4,10,14,8,9,6,1,3,6,4
"1599",3,7,11,72,20,12,17,12,3,18,20
"164393",0,5,10,19,6,6,11,5,1,4,3
"28038",2,8,4,24,12,16,13,6,15,7,14
"60519",0,2,3,22,5,7,4,5,3,10,7
"2203724",1,10,6,16,6,10,1,12,2,12,4
"1247",1,11,2,15,13,9,8,6,4,20,7
"336988",0,5,5,17,6,12,14,6,4,8,7
"2636988",0,4,4,22,0,3,5,0,6,14,6
"1847728",0,3,1,17,0,1,5,2,4,6,3
"938155",2,5,0,4,6,5,5,2,3,3,3
"1612",0,2,0,7,7,4,2,4,4,3,4
"2304606",1,1,3,14,2,3,3,2,3,9,6
"1602",0,1,3,11,3,6,7,4,3,4,4
"83526",1,4,4,10,9,9,4,2,6,4,2
"392416",1,4,1,20,3,1,6,1,1,9,4
"2714036",0,4,2,9,3,4,0,4,4,5,5
"1007676",3,4,3,37,5,8,5,2,1,7,5
"1074467",0,2,2,13,6,6,3,1,2,9,5
"1607",0,17,11,38,13,9,9,16,4,15,6
"1610",4,16,11,47,17,17,19,16,10,28,17
"375175",4,3,4,16,8,9,8,12,5,13,10
"240427",2,11,20,30,26,15,33,26,10,23,19
"176292",0,0,3,18,3,3,7,5,4,18,5
"231049",2,4,5,58,27,18,17,18,9,25,17
"468911",5,2,6,26,6,5,5,5,3,6,5
"82688",1,7,2,26,7,6,6,7,2,1,3
"1618",0,5,6,37,10,3,3,1,4,1,4
"1720083",0,8,11,30,8,7,8,5,4,5,11
"1296540",1,3,5,9,17,5,8,6,5,9,4
"293371",0,1,2,20,9,3,7,0,4,1,6
"1193095",0,3,1,15,10,3,3,2,1,7,3
"1614",0,1,5,16,9,1,1,0,4,1,6
"53444",1,2,4,12,7,2,1,1,3,3,3
"1625",0,3,0,11,7,1,1,0,1,1,1
"51664",0,12,1,48,11,5,4,0,1,5,3
"148814",0,2,0,14,5,1,1,1,1,3,2
"2419772",1,7,3,25,4,0,4,2,3,3,6
"1603",3,16,3,29,7,10,10,7,8,13,4
"1303590",3,1,5,21,8,8,2,5,2,2,8
"2608887",4,27,22,104,39,39,30,37,24,48,28
"1307",4,32,25,142,40,36,49,25,31,60,49
"119603",4,20,16,83,24,23,35,20,19,30,25
"2173853",5,8,8,32,8,17,7,15,14,18,9
"1305",6,18,16,73,32,23,29,27,22,35,25
"1303",5,7,5,71,14,13,13,12,10,18,19
"671232",1,6,15,35,10,7,13,5,15,21,19
"1302",2,7,4,40,19,16,6,8,8,12,16
"1308",1,3,5,17,8,8,7,2,6,15,6
"1310",0,6,10,20,10,6,6,1,7,26,5
"1313",2,5,4,44,11,14,9,9,9,18,12
"1309",0,7,1,30,4,8,2,7,6,14,8
"1811193",0,11,1,25,11,10,5,3,2,4,7
"28037",0,10,12,26,12,9,3,6,12,6,8
"1335",1,5,6,37,13,3,5,6,6,9,7
"1340",0,2,4,22,10,5,7,8,4,10,2
"1329",0,2,3,17,2,0,6,6,2,6,3
"1341",2,7,7,17,9,7,2,5,3,13,9
"1304",2,3,3,20,12,9,7,10,6,9,9
"1314",1,15,8,44,9,15,12,12,9,13,20
"1318",0,4,2,25,4,5,4,5,0,9,7
"1326",0,5,8,12,6,3,1,4,4,5,3
"45634",1,7,2,40,10,10,10,12,12,14,8
"82348",1,5,3,21,7,10,8,6,6,7,12
"315405",0,2,1,8,8,9,10,0,6,7,7
"1888195",0,2,2,19,5,3,3,1,3,11,6
"1825069",1,1,1,6,1,5,1,0,3,3,2
"1349",0,3,6,34,5,6,0,5,1,11,5
"1348",0,1,5,19,3,5,9,5,3,9,2
"1111760",1,1,2,10,3,0,0,1,0,6,1
"400065",1,0,2,17,5,5,4,2,8,6,3
"361101",1,5,3,18,4,4,7,5,7,5,5
"149016",0,1,2,32,4,5,5,0,0,1,6
"257758",0,3,0,4,0,2,1,3,2,0,1
"113107",1,4,1,13,4,5,7,4,4,3,2
"2021971",1,4,3,24,1,3,6,2,7,6,3
"1345",0,10,7,31,5,11,16,18,17,16,15
"2490633",0,1,0,2,1,1,0,1,1,1,0
"1814128",0,6,1,14,7,4,4,1,1,5,0
"102684",0,2,0,5,0,1,0,1,1,1,2
"2382163",0,1,0,4,3,1,0,0,1,0,0
"1343",0,3,2,7,3,2,2,1,1,2,1
"1917441",0,0,0,0,0,0,3,2,0,1,0
"33040",0,1,0,1,0,1,0,0,4,0,0
"1311",0,5,3,50,1,4,0,0,1,4,7
"1346",0,8,3,24,6,1,7,1,3,3,1
"197614",0,0,0,1,0,0,0,0,0,0,0
"1363",1,11,10,42,24,10,201,6,9,16,12
"1359",0,15,8,31,14,9,9,16,9,24,9
"1358",5,12,11,58,13,12,17,17,8,8,22
"1366",2,13,7,23,12,12,15,8,5,13,18
"2419773",2,6,0,23,4,6,8,7,3,4,5
