"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"683042",12,105,126,133,136,117,84,135,145,114,33
"2632331",358,1490,2259,1890,1909,1867,1440,1828,2010,1626,628
"2079791",33,206,215,243,228,226,139,191,270,215,81
"2419774",135,654,2380,839,770,810,599,667,866,941,345
"2680006",160,654,2752,903,728,820,565,761,774,863,304
"2649013",78,374,373,476,492,530,422,519,563,331,149
"670052",70,380,272,393,404,458,372,424,484,340,114
"2220095",43,292,309,392,369,433,293,401,431,310,109
"2626248",212,1138,1033,1371,1333,1389,1190,1327,1597,1255,404
"412690",215,1126,1076,1333,1431,1486,1074,1386,1712,1142,428
"2624265",98,488,421,530,603,625,445,580,685,525,188
"150123",43,214,207,239,253,310,228,251,316,248,77
"2635918",144,753,756,957,953,977,788,909,1138,877,336
"2627005",132,704,733,865,812,894,697,855,1015,801,267
"2618217",143,723,704,927,915,938,783,915,1102,806,267
"2642974",23,147,148,141,156,161,134,163,190,137,50
"2750620",12,106,119,137,124,130,100,145,131,110,32
"2419771",112,682,603,790,805,836,746,788,901,750,250
"2079792",52,240,259,272,299,324,252,362,331,268,99
"2685235",43,281,255,339,336,352,224,361,366,251,81
"674079",88,457,486,602,537,519,429,519,610,505,186
"2621488",125,440,1380,706,510,571,442,574,605,564,223
"279828",96,495,483,444,478,503,410,503,669,495,188
"2643261",94,384,463,509,561,512,425,515,541,376,134
"2645362",75,358,376,403,440,399,341,480,444,357,150
"2641148",74,375,313,432,411,402,367,426,482,360,125
"1619308",57,284,254,358,337,401,315,342,404,286,105
"1655489",24,158,90,150,158,161,140,223,196,127,29
"2623385",11,54,55,53,66,72,58,47,65,55,21
"708131",2,5,16,16,14,20,21,14,9,16,4
"1159327",5,32,40,62,56,59,48,53,54,51,13
"235627",8098,11317,8035,9958,19765,9669,8530,19750,12378,6914,2309
"37921",223,1004,798,1099,1206,1163,1076,1222,1373,944,319
"37928",3864,781,924,916,1367,957,782,1254,1185,1180,231
"2211210",116,381,271,471,473,466,479,513,600,393,121
"156980",102,377,282,460,512,494,480,521,631,403,156
"656366",94,266,226,273,296,358,249,394,361,270,92
"1670",13,25,51,54,24,24,41,30,39,41,11
"1275",675,895,702,1004,1205,1188,794,1083,1277,866,230
"388357",363,742,621,791,1120,1020,741,1011,1101,689,192
"446860",333,757,667,890,1145,1193,805,963,1147,817,213
"2649579",70,450,365,537,471,544,451,520,633,937,164
"71999",74,420,346,501,482,570,425,578,625,459,131
"1272",49,267,233,349,341,337,289,362,428,322,101
"72000",65,211,202,269,335,328,246,358,354,283,76
"1049583",8,54,48,70,76,58,69,54,95,66,26
"2647000",1204,1913,1142,2584,3236,2058,3460,2781,2252,1672,706
"361575",596,481,389,493,1293,540,561,786,445,283,122
"85085",308,377,240,435,764,435,499,607,425,329,101
"728066",286,299,195,363,675,379,441,462,354,307,120
"121292",110,243,135,199,317,252,186,287,243,175,53
"37927",201,1017,647,1051,1330,1221,1302,1431,1473,972,447
"2646595",194,731,582,935,1085,937,906,947,1060,808,248
"1270",172,923,786,1116,1115,1291,1019,1253,1455,962,339
"2620948",5,31,23,27,29,34,22,28,41,33,10
"162496",62,349,366,320,356,354,352,434,445,294,102
"37930",42,246,215,265,253,326,238,282,320,238,80
"1933880",36,140,142,168,171,215,162,193,214,149,60
"1775880",19,165,116,121,161,158,128,166,168,138,47
"256701",19,81,181,107,123,140,110,104,154,91,19
"37929",16,68,100,88,99,176,94,129,113,91,33
"2627139",8,24,40,31,48,68,23,50,40,30,11
"37923",94,508,411,647,635,678,562,663,844,608,167
"43675",32,162,113,219,219,167,182,182,206,144,51
"85336",16,50,66,82,88,84,65,75,92,84,30
"2047",8,40,44,48,51,63,33,48,43,43,19
"172042",9,49,37,83,53,55,57,73,77,61,24
"396015",4,30,48,35,38,45,29,45,47,29,6
"169480",7,22,24,26,32,37,17,28,25,15,9
"2689056",8,39,34,37,33,51,27,37,40,32,3
"2634190",168,282,230,339,434,380,279,367,379,348,82
"37931",118,122,124,157,269,128,131,193,150,270,36
"43663",40,95,56,70,178,85,90,166,100,81,12
"29320",1,2,0,4,8,1,1,4,1,1,1
"2632435",152,652,561,902,851,958,843,972,1165,744,256
"2629769",53,288,212,338,369,347,253,349,350,306,88
"2626589",43,220,219,295,276,347,225,272,420,321,105
"1618207",33,147,96,152,215,178,140,196,224,156,33
"556325",25,105,62,132,141,105,81,107,110,124,44
"2634694",6,75,70,98,80,104,74,101,104,77,24
"1646",10,66,49,58,86,69,68,97,77,46,25
"372663",153,1474,788,974,1203,1174,885,1233,1346,937,314
"139208",200,957,842,1186,2196,1406,1087,1412,1514,1069,343
"2624466",251,1386,1520,1548,1906,1772,1474,1611,2045,1793,527
"1710",180,926,1531,1065,1277,1146,870,1159,1292,1061,378
"186189",114,685,601,940,916,978,815,912,1172,770,282
"2509459",129,702,603,890,904,978,738,950,1169,791,236
"2626399",134,854,634,1070,1060,1049,905,1062,1250,859,287
"2620175",813,4264,3597,5202,5202,5466,4648,5331,6363,4482,1415
"1708",210,1149,898,1252,1293,1339,1132,1366,1562,1131,347
"1711",172,874,721,1110,1016,1061,967,1131,1464,1089,396
"2566013",165,863,744,1015,1058,1154,911,1131,1310,1003,323
"11",125,775,638,889,764,873,792,1012,1060,798,242
"2729175",125,656,496,738,709,820,710,840,982,678,212
"2638618",199,1016,956,1183,1172,1255,1049,1270,1507,1085,390
"2619021",125,817,630,917,1037,985,893,984,1056,818,258
"2649176",115,691,578,833,854,913,805,891,1110,736,278
"545619",85,524,511,604,705,657,612,650,846,577,198
"262209",202,988,762,1298,1247,1266,1116,1365,1553,1111,349
"53458",121,643,636,776,740,785,684,790,921,774,220
"857417",82,377,325,524,439,455,377,529,561,434,122
"2649294",43,223,176,245,235,269,242,272,374,282,72
"2637926",299,1162,860,1440,1436,1412,1347,1561,1697,1310,373
"1690220",193,1131,846,1278,1254,1282,1122,1495,1599,1170,338
"53358",515,1716,1112,1592,2777,2005,1576,2428,2196,1328,481
"443156",335,1269,913,2125,1498,1397,1766,1672,1858,1716,372
"2643346",225,899,720,1579,1153,1107,1361,1332,1422,1452,282
"2663846",203,964,777,1295,1048,1179,1104,1208,1430,1040,296
"2615080",432,2408,2102,2854,3354,3091,2786,3389,3681,2550,731
"1288636",169,858,721,871,1064,999,933,1182,1268,866,275
"2593973",103,514,419,653,588,659,563,702,745,572,191
"767452",119,732,588,904,978,944,815,1084,1134,745,237
"1078471",128,702,551,736,695,794,690,793,1002,709,223
"247333",124,659,501,767,736,788,677,839,881,603,218
"1758689",107,633,538,785,856,826,772,954,1073,663,229
"2614124",638,1697,3671,1737,1557,1828,1515,1716,2026,1567,445
"33889",214,1222,983,1383,1405,1505,1307,1566,1768,1248,407
"1703",61,377,4281,436,438,625,331,475,510,456,138
"199591",62,376,309,443,437,486,387,458,513,433,116
"273384",53,289,352,396,321,384,299,368,431,305,115
"629680",28,285,180,246,243,292,215,302,317,228,82
"358099",42,222,227,297,212,289,213,241,338,226,68
"1136497",24,136,352,146,149,200,143,187,231,136,54
"2623841",193,1195,1500,1479,1463,1617,1289,1573,2039,1468,495
"556288",97,521,1054,653,618,810,594,749,851,655,195
"1331682",110,561,893,645,632,729,564,758,841,560,209
"43669",73,497,1187,656,553,767,586,660,880,615,204
"2017484",79,393,630,476,473,537,439,580,649,422,149
"2017485",58,397,669,427,453,509,416,484,679,426,125
"1630135",21,220,125,240,154,277,155,210,247,220,63
"1667168",18,153,133,189,191,234,184,218,287,200,56
"472569",15,86,90,108,146,165,96,152,146,123,44
"2626815",379,1957,1877,2449,2867,2578,2359,2885,3119,2140,673
"2483799",143,860,683,1032,1205,1129,941,1160,1339,920,258
"1274",111,637,599,795,757,773,640,770,909,727,250
"2643059",89,472,376,545,530,601,444,558,651,528,167
"571913",159,893,728,1082,1096,1052,1139,1237,1407,1067,337
"2649892",86,448,376,607,615,560,496,595,713,587,156
"84757",243,1402,1096,1582,1624,1652,1533,1840,1958,1391,434
"2626367",152,905,767,1114,959,1160,927,1111,1322,1021,286
"2648503",378,2323,2147,2710,2914,2861,2732,3137,3480,2456,761
"60920",157,776,658,925,971,1086,792,1043,1225,842,293
"2645534",120,611,540,848,742,850,744,807,898,827,230
"1133546",175,919,734,1173,1093,1189,1061,1226,1434,1014,306
"2649508",70,373,289,425,462,477,430,496,564,373,127
"100225",36,259,206,280,322,272,328,356,370,246,80
"1863",15,76,62,91,99,85,90,109,104,101,32
"1276",112,624,518,843,793,791,631,895,1026,760,198
"43674",8,47,74,50,71,68,52,50,82,43,22
"2039",6,38,30,48,56,37,53,60,47,44,4
"1797",130,1503,588,865,735,854,753,873,1021,790,251
"1791",352,1286,1279,1551,1683,1444,1348,1412,1853,1505,376
"758802",211,1334,1121,1601,1412,1456,1398,1505,1928,1582,448
"2636767",188,1100,842,1212,1282,1232,1130,1361,1526,1305,334
"1772",152,963,941,1501,1355,1136,1333,1160,2454,2891,347
"36813",151,812,2039,1562,1060,1178,906,982,1356,1232,339
"36814",141,916,618,750,640,670,692,656,824,992,180
"46351",146,918,696,1037,917,987,965,1069,1279,1065,278
"370526",165,874,1205,1066,1078,969,963,942,1349,2049,313
"117567",418,741,534,639,868,685,629,686,912,716,200
"1771",150,934,1009,974,950,978,886,968,1321,1148,289
"212765",134,850,617,968,970,1002,924,1119,1299,961,257
"1286181",134,863,606,906,819,839,853,906,1182,908,256
"53462",146,845,758,1012,996,964,882,993,1326,1014,262
"39691",146,808,714,953,691,753,669,661,1109,1077,227
"1800",129,801,677,946,878,850,782,966,1157,1104,286
"1286180",128,905,604,969,919,936,893,984,1066,885,285
"216929",145,774,624,1218,860,858,827,940,1191,948,233
"1792",146,781,9366,847,870,904,747,905,1098,874,235
"1804",141,716,649,769,760,928,710,764,970,875,232
"1810",122,760,602,817,786,839,735,888,1049,834,239
"39692",129,732,555,827,851,867,654,834,1183,1150,256
"134601",104,629,657,1057,1161,947,1449,2255,4807,6229,249
"1249101",119,672,910,835,740,694,759,770,987,1257,231
"39695",103,675,520,660,799,819,643,841,1014,758,213
"146017",198,620,648,671,739,700,561,643,821,669,177
"39688",112,598,518,801,775,762,690,791,997,777,225
"258505",130,639,451,788,823,726,687,817,968,713,213
"28047",114,651,494,708,665,677,660,717,929,636,194
"1793",119,597,472,720,682,747,682,776,909,649,184
"1794",108,535,404,536,442,483,422,431,677,646,156
"444597",89,514,413,665,570,631,521,612,792,657,161
"1534349",73,481,362,528,515,499,453,513,640,456,160
"56689",103,463,394,578,577,618,571,617,700,516,156
"1431246",82,513,404,591,526,577,534,614,719,578,156
"319706",127,439,353,572,559,534,488,586,655,495,132
"126673",61,421,364,489,520,503,493,539,707,441,150
"319707",91,428,356,452,462,527,446,514,633,462,151
"1766",139,401,3145,5802,1322,1378,1709,1154,1787,3713,536
"67081",125,363,490,438,490,441,373,457,480,456,114
"1799",68,347,259,570,352,432,374,411,525,440,132
"1534348",56,354,227,349,315,341,303,325,424,338,106
"39694",31,203,196,209,191,206,204,195,242,214,51
"110539",18,136,146,163,153,160,126,144,217,143,43
"39687",22,135,114,131,152,159,135,168,199,121,34
"85693",23,134,99,139,132,144,161,140,160,160,32
"2487344",30,114,87,107,92,96,73,101,122,80,22
"2642494",1069,5747,4377,18354,5002,5311,6489,5612,7260,6408,2284
"2249310",671,4229,3153,4913,4336,5122,4472,5083,6089,4516,1384
"120793",450,3066,2274,5848,3207,3611,4439,3877,4492,5024,1130
"1778",157,874,702,1067,1000,1111,918,1096,1247,966,307
"1552759",151,904,665,1129,977,1050,976,1110,1420,1029,300
"482462",125,734,558,937,887,804,821,987,1126,828,244
"77643",78,586,414,632,662,671,564,723,782,535,144
"39689",131,584,416,497,483,544,423,551,642,613,140
"43348",98,577,489,744,615,735,697,737,947,689,206
"1389713",91,590,470,750,616,747,592,664,804,546,184
"44010",89,561,470,666,546,725,544,676,835,605,204
"1768",68,546,389,545,531,630,585,668,792,547,164
"1775",83,565,372,590,551,619,510,635,692,527,179
"486698",60,457,268,498,476,485,440,551,533,381,125
"169765",49,462,279,446,449,486,456,520,633,348,112
"110505",71,423,318,455,431,495,474,475,611,436,144
"398694",65,386,301,501,447,464,432,508,566,419,135
"29311",29,225,282,259,224,258,206,240,306,211,70
"459858",72,376,318,451,422,495,491,483,567,446,103
"590652",52,376,258,468,374,475,422,430,497,433,141
"1789",54,392,261,360,405,459,410,507,587,383,115
"386911",34,346,253,464,370,432,359,411,515,338,122
"2094119",44,292,253,374,311,380,304,375,464,315,108
"1769",13,85,59,69,43,89,70,81,88,52,29
"1781",16,103,59,122,103,112,139,137,129,115,26
"2492438",10,57,2702,52,47,69,56,62,80,43,14
"1809",6,32,33,43,30,49,44,48,62,29,14
"133549",1,31,30,25,33,35,22,36,35,18,9
"265949",3,12,6,25,4,14,5,14,15,7,5
"261524",4,14,5,19,12,16,10,10,10,8,2
"28045",0,2,1,1,1,1,2,2,5,1,2
"36809",84,634,1270,673,658,769,644,724,926,697,208
"1578165",51,240,219,275,306,351,254,307,365,254,82
"1774",47,232,226,278,285,261,243,288,338,274,97
"83262",53,242,185,270,292,331,263,334,415,314,104
"404941",33,236,183,235,214,247,202,250,314,225,71
"1520670",38,131,101,136,114,163,115,170,201,106,42
"1788",73,471,1715,541,553,610,513,581,801,526,121
"29314",73,426,590,515,466,539,491,516,730,474,136
"1118379",44,337,464,353,366,444,374,343,530,360,125
"875328",8,40,2705,73,56,57,45,54,66,61,14
"1069220",72,578,505,604,652,702,660,647,808,577,165
"639313",44,290,216,247,333,377,259,391,413,290,80
"192944",3958,8563,6358,8916,9086,9701,8362,10284,11720,8371,2645
"37919",317,1381,940,1481,1692,1720,1576,1763,2050,1292,476
"1830",342,969,1577,1572,1583,1428,1096,1396,1599,1168,321
"43767",194,905,3186,1187,986,1122,1017,1380,1308,1005,322
"1829",188,830,640,1316,1443,1056,753,1056,1209,2271,296
"99653",115,606,435,647,635,716,680,775,907,552,186
"1828",404,590,457,625,637,723,518,776,840,581,193
"300028",86,585,432,627,706,643,636,725,877,602,177
"132919",137,488,262,488,564,493,484,653,722,377,144
"38310",65,448,349,447,533,508,401,584,658,514,158
"103816",38,162,186,282,305,297,222,264,303,420,48
"1833",18,111,143,111,148,178,137,169,152,107,49
"334542",86,111,516,117,106,142,117,133,144,118,33
"262776",12,85,64,92,88,98,66,85,99,61,15
"191292",19,85,59,81,81,82,73,93,152,56,28
"1500843",16,61,43,47,68,49,64,67,85,77,24
"37326",428,2370,1642,2671,2781,2949,2540,3015,3418,2581,806
"2637762",289,1740,1247,2242,2465,2569,2053,2344,2593,2277,607
"455432",273,1537,1102,1938,1894,2066,1841,2157,2508,1498,501
"135487",291,1463,1549,1904,2527,2013,1730,2107,2461,2131,543
"37329",186,1181,944,1497,2325,1501,1347,1601,2093,1821,377
"1824",187,992,767,1109,1148,1178,1051,1239,1442,1021,306
"228602",150,963,737,1200,1201,1285,1163,1359,1650,1075,343
"480035",140,916,763,1148,1172,1190,1104,1164,1400,1074,332
"37332",135,859,556,991,1040,930,839,1169,1261,791,256
"2382165",120,770,583,1020,944,1028,925,1088,1213,915,288
"1823",124,759,658,943,1003,1026,934,1175,1373,937,298
"37330",129,744,578,1066,865,961,834,1064,1311,919,303
"2213200",149,718,535,800,809,941,755,839,1097,812,245
"2624378",199,1411,1007,1504,1423,1669,1337,1660,1839,1310,457
"191493",86,577,409,646,660,785,563,725,900,594,200
"1725",89,499,484,616,606,755,541,653,866,590,245
"1230998",72,441,342,569,544,582,536,599,709,468,167
"36808",75,460,337,495,533,595,441,570,681,444,163
"1032851",61,377,248,397,419,467,367,462,493,348,109
"225326",48,383,286,406,437,460,374,483,584,385,114
"38305",46,292,265,344,333,367,288,388,491,331,117
"575200",51,292,198,319,298,395,328,366,458,252,98
"1727",38,283,250,293,273,328,241,376,345,256,93
"1223514",46,276,228,338,334,328,290,324,410,280,95
"2079535",32,227,165,266,222,290,222,323,341,204,89
"1072256",42,224,165,253,228,268,245,231,331,215,97
"2080740",41,206,171,272,227,270,262,307,315,199,60
"349751",40,239,197,300,342,350,267,318,437,255,77
"1121358",40,239,194,335,292,348,266,367,377,253,89
"89154",39,207,145,250,200,252,216,223,300,195,63
"441500",38,206,216,288,274,314,242,321,361,283,102
"38302",33,201,166,285,214,278,229,228,310,202,74
"191610",31,226,151,235,249,266,210,296,356,175,73
"1737425",20,202,129,220,239,229,207,312,253,192,71
"1404244",37,164,134,184,219,254,192,237,289,190,57
"2594913",20,199,158,267,213,246,201,232,271,233,80
"156978",32,209,126,211,189,247,167,234,293,191,76
"38289",23,173,121,197,206,227,174,220,273,200,74
"43771",33,154,134,161,163,194,173,201,256,174,63
"152794",31,138,108,193,143,185,143,189,186,135,57
"401472",17,167,126,187,181,203,177,180,230,163,56
"187491",33,124,100,175,176,238,158,209,255,142,54
"169292",25,120,74,128,115,146,156,127,181,101,37
"1231000",18,144,85,144,106,160,120,143,189,97,39
"161879",15,129,75,116,118,150,100,146,164,123,49
"43770",22,135,108,119,116,161,120,128,158,96,36
"136857",20,155,106,169,147,174,130,154,225,143,53
"39791",18,128,105,133,129,170,121,133,197,115,72
"38288",20,116,74,138,134,165,101,170,148,141,33
"38304",16,93,90,127,99,118,113,116,140,109,31
"203263",26,84,67,82,97,116,93,96,126,81,25
"146827",18,103,53,100,117,98,107,127,149,93,28
"156976",16,130,78,110,82,103,101,125,117,87,33
"43768",17,103,92,119,107,125,74,123,118,127,31
"2488819",11,98,74,109,84,124,104,120,136,81,44
"28028",18,85,57,83,97,108,109,120,111,87,17
"1050174",11,81,54,80,75,88,85,96,83,60,26
"1724",13,73,55,88,77,112,83,84,118,70,24
"161896",13,77,50,80,52,88,73,70,79,67,30
"1705",13,62,1676,64,113,63,43,47,64,58,15
"65058",7,66,55,68,50,69,53,57,75,57,20
"43990",11,62,44,59,96,62,58,89,96,67,27
"1471400",7,67,41,79,82,67,58,80,84,59,22
"35757",3,54,41,41,43,70,36,54,62,50,14
"161899",1,53,51,67,79,75,51,71,90,78,29
"38301",9,67,44,49,46,70,53,66,78,66,27
"161895",7,53,30,49,56,69,57,67,95,60,28
"43769",10,55,51,52,39,83,67,56,71,58,13
"258224",7,52,43,59,53,87,39,56,57,56,30
"42817",11,50,41,49,42,63,63,44,68,37,12
"2079234",9,75,53,53,64,62,58,57,103,65,40
"2080757",5,42,27,56,52,59,43,47,64,42,17
"1862358",7,53,37,46,44,74,44,58,63,46,17
"1979527",5,48,39,72,59,50,49,52,59,46,15
"1408191",6,35,54,52,32,58,60,59,71,38,12
"160386",1,33,164,59,66,196,32,53,90,216,20
"1717",8,51,26,57,37,59,51,54,59,51,22
"1697",7,29,43,31,34,55,25,39,34,32,9
"38290",7,51,40,60,45,52,28,42,59,43,10
"571915",10,48,33,60,28,51,43,36,70,60,15
"1719",2,31,23,30,33,33,33,31,34,52,16
"1718",2,31,48,41,23,56,30,29,38,43,11
"1721",4,20,15,11,13,28,10,17,24,19,5
"43765",5,23,21,38,13,25,10,18,38,30,7
"2684406",7,32,23,29,22,31,15,17,30,19,7
"2506452",1,28,33,35,30,23,24,27,29,35,8
"1652495",2,14,15,15,16,38,18,23,17,18,6
"2719119",0,14,9,25,9,15,14,17,24,18,4
"35755",4,10,9,8,10,8,15,6,18,11,6
"2657482",349,2051,1552,2392,2177,2509,2067,2436,2966,2114,762
"84595",157,914,638,975,926,1099,1016,1092,1393,925,317
"2420509",110,652,507,760,652,763,685,844,1050,656,226
"2055",759,624,533,829,772,858,706,833,957,872,225
"1136941",77,571,426,677,662,743,607,753,815,587,181
"2054",72,484,346,564,513,615,535,595,694,557,163
"1004901",90,508,391,583,540,583,543,608,722,530,181
"36822",92,465,332,453,478,521,437,515,631,496,154
"84096",10,93,88,99,88,145,98,123,131,94,28
"1292359",16,76,45,80,81,109,68,78,110,73,25
"158898",1,1,0,2,1,1,1,2,1,1,1
"2617939",147,755,678,958,915,1042,876,1020,1257,859,255
"139021",76,480,387,505,576,548,482,608,688,444,141
"546160",58,426,338,492,494,543,444,520,640,515,116
"499555",53,318,244,384,337,375,332,397,467,317,89
"2061",191,1133,987,1361,1260,1443,1210,1382,1684,8561,404
"57704",178,955,832,1099,1020,1204,1087,1187,1396,1033,310
"2645312",236,1336,1038,1651,1756,1912,1520,1820,2224,1486,488
"286802",62,388,284,700,356,479,395,492,501,386,121
"1528099",5,58,44,48,59,75,55,55,57,60,14
"2617518",1161,7930,8894,9001,21931,12218,10480,17799,16523,6063,9000
"47872",530,5113,1477,1891,4755,2585,2902,4646,4617,1255,2792
"47865",325,2741,1491,2419,6411,3406,5503,7852,8054,1367,5384
"47857",366,2220,5341,2327,7872,3367,3068,5791,5078,1780,3816
"1914461",288,2156,2506,2983,4014,2616,3485,4535,5013,1663,5123
"47853",293,1909,3586,2150,3878,2552,2752,3891,3973,1709,1685
"1881",275,1940,1427,2279,4075,2414,3283,4358,4365,1515,2557
"307121",291,1916,1916,2205,4743,2819,2724,4439,4009,1691,1960
"47858",516,1814,2732,2318,5567,3055,2543,4326,3650,1652,2209
"356852",231,1649,1472,2030,4168,2493,2350,3639,3492,1227,1772
"1877",307,1745,1404,1716,3315,2301,1893,3262,2963,1569,1126
"299152",236,1653,1290,1811,3351,2171,2619,3489,3738,1233,2000
"285665",226,1626,1861,1721,3796,2190,2343,3566,3411,1194,1777
"261654",208,1513,1260,2040,2813,1894,2669,3404,3738,1297,2335
"1003110",195,1582,1386,1606,3126,1995,1813,2921,2748,1147,1269
"299146",207,1424,1170,1864,2964,1969,2503,3641,3573,1164,2249
"47875",249,1338,1250,1544,2862,2002,1781,2910,2934,1001,1070
"356851",201,1370,2002,1326,2606,1775,1645,2555,2450,979,939
"709883",203,1339,2203,1353,2657,1690,1794,2608,2386,1101,1084
"291594",152,1188,1013,1340,2179,1627,1624,2340,2270,968,982
"2294034",160,1001,961,1053,1937,1344,1331,1962,1885,807,792
"479978",102,716,998,872,1396,1004,991,1355,1572,590,876
"47850",41,378,498,473,827,594,582,750,857,389,416
"2626549",1424,11384,8645,13950,15052,10333,14648,17550,18275,8464,3305
"196914",590,4605,4055,5388,5532,3758,5465,6286,6457,3100,1308
"113562",358,3648,2555,3548,3980,2779,3452,4803,4624,2132,853
"1867",464,3524,2814,4584,4988,3265,4979,5936,6565,2673,1102
"1866",413,3470,2780,4082,4311,3195,3989,5595,5355,2269,956
"624315",559,4369,6540,4399,9127,6680,4823,8152,7826,3182,2555
"1076124",478,3809,5300,3516,7713,5585,4178,6779,6677,2580,2065
"2631981",835,6119,6515,6561,11011,8497,8105,12514,10961,4942,3813
"227318",372,2570,1614,2848,3547,3171,3663,4516,4297,2306,1199
"168697",124,868,856,1081,2097,1356,1181,1790,1615,693,584
"168695",131,894,717,854,1748,1252,1089,1604,1572,602,573
"2630859",143,1165,948,1232,1975,1547,1330,2104,2072,930,662
"2619320",2045,12731,8215,10416,11027,12000,11105,14650,18764,13193,2625
"2736640",759,4309,2654,3295,3801,3871,3551,5218,6635,4466,811
"240495",628,4156,2516,6427,3579,3867,3715,4734,6348,4775,1239
"2074",353,2225,1575,2164,2192,2330,2195,2868,3642,2378,524
"2618356",1456,8766,6660,11684,18642,11538,13411,16575,16890,10704,3389
"1814",363,2018,1544,3425,3278,2515,3793,3244,3763,2705,790
"33910",293,2062,1367,2980,2669,2396,4006,2866,4911,2548,929
"1804986",257,1623,1291,1906,7918,2382,2156,3577,2758,1902,582
"129921",192,1178,1010,1443,1734,1590,1261,1479,1805,1248,419
"31958",164,1016,977,1299,2142,1386,1307,1605,1744,1129,365
"208439",111,563,490,722,915,752,677,802,901,610,221
"1852",116,2173,762,1993,918,1457,609,847,1056,1107,237
"632569",160,1179,939,1375,1636,1545,1411,1801,1916,1478,360
"40988",193,889,3608,1277,1161,1161,970,1218,1420,2696,340
"40989",128,818,2445,3553,1412,1157,806,1214,1633,60129,266
"75294",113,694,812,866,931,905,742,990,1049,1909,231
"40990",97,589,879,840,814,826,715,795,978,3388,170
"103733",512,2543,2033,3472,3648,3426,3210,4069,4191,2622,896
"2593673",1535,2193,2310,3993,3588,3094,2879,4326,3672,2592,871
"103731",400,1999,1501,2457,3067,2938,2532,3167,3357,2132,744
"1836",442,2052,1707,3379,7108,2926,2727,3723,4050,3992,687
"2665642",165,899,781,1154,1481,1235,1055,1408,1600,1445,288
"60894",142,729,581,1084,1251,979,980,1104,1297,1333,233
"333966",106,655,447,727,1028,850,885,1224,1156,836,205
"2646250",93,481,362,642,741,581,562,785,764,665,122
"543886",0,0,0,2,0,0,4,1,1,1,0
"211114",497,1753,8473,3832,7578,30798,7944,32364,6756,9135,2581
"1470176",140,916,720,1142,1311,1281,1155,1395,1540,1050,308
"340345",119,714,640,793,983,918,794,1051,1161,997,230
"2644606",9,43,35,66,42,72,44,56,59,50,13
"1612552",4,32,19,31,36,48,42,55,50,38,6
"42197",131,681,537,912,937,1060,814,997,1263,802,284
"40567",11,70,77,93,81,110,72,98,117,67,23
"1586287",659,2545,4205,2904,8456,6103,2886,4292,3874,2941,2425
"43357",335,2078,1472,2547,2879,2611,2823,3268,3423,2097,828
"860235",337,1907,1990,2563,3108,3249,2660,3587,3322,2275,685
"2636053",240,1510,1277,1763,2293,1966,1781,2253,2371,1786,576
"530584",152,1063,767,1381,1403,1188,1145,1496,1614,1234,321
"2615069",8402,23033,32608,38477,33659,24966,27206,28896,31254,35613,7467
"2589074",314,1174,1500,1871,1657,1407,1502,1613,1841,1828,383
"2518370",579,1668,2299,2908,2182,1701,1768,1930,2067,2675,441
"2712223",545,2001,2071,3227,2435,2123,2416,2534,2936,2843,638
"433659",698,2217,4276,6246,3936,2774,3430,3198,3377,5746,684
"449461",524,1755,1979,2721,2336,2146,2095,2299,2584,2334,640
"1643322",523,1877,2278,3523,2471,1864,2512,2312,2351,2942,563
"200618",682,1451,1975,2242,2019,1766,1832,1847,2010,2207,609
"2558918",396,1463,1752,3036,1943,1480,2424,2023,2213,2706,491
"419476",367,1240,1475,1937,1591,1368,1277,1438,1571,1798,365
"450734",309,1063,1569,1864,1642,1327,1266,1524,1590,1733,391
"2045452",294,1058,1323,1576,1446,1169,1166,1301,1397,1444,311
"2518371",382,1066,1482,1575,1546,1087,1094,1259,1391,1420,341
"402297",209,777,885,1180,1061,877,865,976,1069,1079,238
"1804624",99,476,544,747,615,586,686,619,735,722,187
"2633570",294,1323,1334,1728,1831,1779,1528,1825,1956,1805,441
"1736691",200,927,822,1124,1173,1104,933,1264,1178,1224,278
"2041",244,928,1100,1353,1257,1264,1158,1261,1540,1418,415
"2079793",215,879,828,1093,1123,1029,1050,1144,1335,1071,280
"2662028",187,801,747,1113,1073,1066,917,1111,1267,953,289
"219314",183,738,841,959,1012,999,962,1076,1165,1100,304
"2045",428,1556,1731,2214,1853,1963,1804,2003,2271,1986,589
"546871",359,1974,1104,1724,1919,1988,1846,2287,2608,1516,444
"642780",391,1444,1627,2413,1808,1599,1748,1837,2205,2167,589
"2621872",226,1088,1104,1484,1626,1404,1292,1568,1624,1438,368
"75385",126,838,540,769,941,892,813,1093,1230,786,246
"2619695",323,1915,1257,2052,2221,2003,2156,2493,2716,2107,567
"546874",328,1628,1120,1606,1832,1893,1611,2143,2383,1380,477
