"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"86665",66,78,77,5,38,36,74,57,55,33,41
"300825",18,15,32,2,16,19,122,20,26,17,126
"2598861",27,14,42,3,15,6,26,10,31,11,51
"129338",144,261,187,22,76,184,211,109,148,168,121
"2642459",148,184,186,17,63,141,188,93,134,117,148
"1422",85,114,96,5,33,76,105,64,82,90,72
"1505648",74,111,61,7,35,53,64,47,71,54,73
"1921421",87,106,134,25,93,100,119,116,99,82,93
"33940",7,13,12,1,3,16,16,8,6,11,6
"213419",11,10,4,0,2,6,5,5,9,8,2
"1478",90,734,91,253,79,65,129,101,104,113,111
"228899",216,144,688,60,110,114,482,132,269,212,512
"421767",49,98,65,39,42,53,77,43,68,68,79
"264697",33,58,47,18,36,28,78,28,43,35,60
"1407",33,40,34,9,51,32,62,48,27,27,52
"2502791",36,469,51,8,26,55,61,38,58,36,38
"2698411",52,152,71,7,81,46,85,64,55,54,118
"2099786",22,74,22,2,9,27,32,22,17,17,16
"129985",178,250,171,47,530,50,97,381,117,83,83
"279826",299,139,198,64,1171,363,364,161,493,208,196
"1740721",120,155,2954,31,389,89,758,168,108,3173,2222
"1193713",102,121,233,29,151,53,164,116,91,232,175
"1215031",13,19,13,0,14,8,10,8,10,8,13
"2636778",65,127,190,47,112,54,116,168,123,118,254
"28031",16,54,34,10,26,18,33,51,38,31,43
"1421",19,23,20,6,23,20,31,29,29,17,31
"2086577",25,23,109,8,66,14,39,101,64,23,81
"1145276",0,1,1,0,1,0,2,1,2,0,2
"746691",130,136,117,2,278,15,34,175,497,10,582
"182710",221,63,187,22,243,40,57,249,120,34,219
"2052660",30,41,45,10,49,28,56,39,41,30,69
"2620237",68,73,79,14,122,50,78,117,69,63,106
"163877",14,33,27,8,43,18,24,73,14,13,52
"1482",26,32,32,6,41,11,21,47,24,18,26
"2017483",17,26,27,5,66,9,35,98,23,19,50
"302167",7,9,13,2,15,5,7,23,6,2,10
"1473",2,2,9,1,5,1,0,10,2,2,6
"1398",161,215,147,17,110,174,188,102,158,136,152
"665099",1048,143,492,93,1762,560,901,4062,2068,755,1583
"859143",30,39,69,10,63,17,26,85,31,37,49
"2639704",38,48,59,4,32,32,44,40,37,29,34
"247480",27,38,46,2,30,43,41,39,29,34,56
"294699",31,35,33,4,22,32,31,27,45,23,41
"33934",22,25,31,6,13,12,24,16,13,20,35
"198467",2,5,3,0,4,2,7,5,2,2,1
"196180",0,3,5,1,3,3,11,5,1,1,1
"255247",31,86,46,34,56,49,38,97,61,30,177
"1221500",26,44,25,10,28,39,29,35,24,28,67
"386490",548,128,798,166,116,957,583,136,732,674,784
"402384",15,27,32,4,43,13,28,103,19,20,32
"45668",15,26,32,2,33,12,15,100,20,20,30
"1570",13,24,30,5,33,11,26,77,21,9,34
"2614679",36,41,46,3,60,35,62,72,51,37,35
"1472767",24,31,32,7,64,24,40,127,36,23,43
"35841",44,71,49,3,41,23,52,37,25,37,37
"1230341",36,70,41,7,40,41,49,65,63,25,60
"1295642",38,47,45,6,24,32,33,21,38,38,28
"1426",15,11,11,2,6,8,26,10,14,12,9
"153151",3,5,4,0,1,4,3,6,2,3,6
"2625209",35,54,35,13,189,23,41,258,55,22,143
"2628296",36,51,45,2,71,39,51,75,42,26,52
"2651280",25,48,33,9,40,12,33,27,27,30,27
"2283160",30,36,35,10,60,26,42,63,55,22,47
"2636677",2,8,8,1,5,3,4,8,7,4,7
"2636913",25,42,37,2,36,40,51,55,35,26,74
"33936",37,39,52,9,37,18,58,35,27,29,41
"1532552",34,39,39,7,44,17,42,48,24,25,47
"1449",20,37,19,1,17,5,20,81,19,5,24
"2594883",13,31,22,1,40,10,21,58,21,12,40
"1467",22,25,25,8,35,26,44,53,33,23,42
"2213194",15,23,26,4,34,14,19,43,31,16,37
"1028381",0,1,2,0,0,0,0,1,0,0,0
"185978",3742,5743,5443,795,3015,4362,6168,3853,4776,4459,5629
"61624",623,1135,777,219,510,876,1186,529,883,792,771
"2704462",336,586,555,53,232,439,586,280,438,386,435
"44251",167,507,249,54,105,187,293,161,234,168,185
"2704463",199,358,252,23,124,225,303,185,230,198,252
"49283",222,351,294,33,159,259,361,185,287,246,238
"562959",220,330,369,30,137,253,349,204,254,510,521
"1126833",185,296,263,37,120,214,250,167,185,181,228
"79263",138,256,239,28,101,175,248,136,159,155,212
"375489",125,253,189,26,91,142,174,140,166,161,204
"1870820",132,226,264,30,68,134,317,134,175,132,348
"169760",129,226,212,28,97,129,267,131,184,136,211
"1406",78,196,147,49,117,132,157,190,101,86,105
"248903",131,194,187,93,116,218,181,105,112,257,280
"2495582",98,188,138,19,84,122,175,102,156,137,141
"365617",92,184,179,19,66,138,168,85,137,127,127
"682956",49,183,49,11,45,45,78,50,47,41,49
"414771",98,164,114,17,55,107,147,82,114,94,107
"162209",103,154,146,17,91,107,169,73,142,104,98
"2509456",71,142,115,11,50,77,127,57,98,69,108
"2044880",85,142,103,11,59,97,130,159,97,78,86
"2707005",67,107,67,7,41,74,103,55,97,59,47
"1619311",70,100,103,16,35,90,132,47,88,72,83
"1462996",59,99,75,8,42,67,120,69,68,67,86
"160799",75,94,77,2,42,90,98,60,69,56,58
"1178515",60,93,98,12,43,97,72,77,67,54,69
"1473112",44,91,75,15,53,56,100,54,83,52,56
"44250",39,90,87,12,41,52,62,51,57,48,60
"189425",59,79,60,6,25,47,95,37,44,42,53
"1616788",30,79,95,8,36,54,76,42,78,65,65
"1338368",39,74,71,12,49,30,45,48,44,55,45
"1401",192,72,193,11,72,136,350,80,233,233,270
"683737",37,69,65,10,43,43,122,50,46,61,82
"1778678",29,67,48,11,27,54,68,24,57,37,36
"1464",34,63,49,6,32,40,49,51,37,40,32
"189426",25,59,35,9,17,34,39,23,24,35,34
"172713",24,58,45,15,30,52,73,48,47,40,72
"198119",41,50,57,8,31,41,42,38,36,50,49
"1712516",31,50,42,7,41,39,61,47,46,44,61
"528191",24,39,28,11,16,26,55,60,30,33,36
"159743",19,38,24,4,18,21,46,42,17,22,27
"253703",15,33,17,4,17,22,20,10,14,10,30
"128574",23,28,35,7,25,37,76,24,39,35,35
"1763538",23,27,17,9,18,27,53,26,24,13,27
"59893",12,18,10,2,3,4,16,25,8,11,14
"59843",4,12,12,2,3,3,14,10,5,8,8
"2684853",473,1023,582,171,283,592,740,404,601,458,524
"51101",191,320,236,28,116,222,312,176,253,196,230
"1393",127,210,181,29,73,151,185,104,195,90,109
"54911",271,146,408,15,54,143,190,152,144,177,143
"1465",22,43,35,6,54,26,40,45,34,21,48
"54913",13,30,35,4,10,24,25,20,23,34,27
"2636738",468,776,684,65,349,572,739,482,553,460,539
"2674991",365,523,523,38,225,387,584,256,381,365,384
"2507935",27,57,40,8,35,39,48,44,29,30,23
"377615",552,903,742,80,324,621,788,460,603,552,620
"2583377",359,557,493,50,229,485,597,289,462,378,429
"55079",118,145,176,9,148,123,182,152,156,96,127
"1471761",4250,11585,5798,78,223,120,340,257,134,113,236
"714067",375,221,577,16,65,163,204,90,129,104,110
"1380685",46,52,70,3,19,29,36,21,24,19,31
"2490858",180,267,233,17,111,211,262,150,210,143,162
"2026",172,156,140,13,32,42,73,49,49,36,70
"37482",301,131,149,15,94,116,105,117,108,87,98
"405212",662,1126,884,98,437,924,1166,599,907,787,837
"471514",163,234,200,20,102,214,209,102,211,157,160
"2622400",56,119,92,8,45,90,78,71,92,92,95
"1903704",444,662,569,57,258,580,664,342,539,479,451
"1214604",135,213,227,21,132,207,254,162,161,182,202
"2055160",124,181,163,14,77,153,164,88,132,132,121
"33943",67,115,109,11,57,86,93,58,101,83,71
"2677223",71,95,82,6,34,54,83,51,76,54,75
"2662419",98,165,118,15,91,100,142,78,134,124,94
"1038856",72,115,89,7,43,55,93,60,92,80,96
"1499687",40,66,54,16,33,38,63,29,50,48,151
"200991",41,64,37,10,16,32,50,30,67,26,30
"1176255",41,52,36,3,16,29,41,28,38,25,52
"192421",28,44,32,1,13,25,31,21,18,21,18
"161360",17,27,16,3,6,21,26,12,13,10,19
"414778",6,21,7,2,11,9,20,16,18,8,16
"1302659",13,14,13,3,13,9,17,16,15,5,10
"1215089",11,13,11,2,10,15,12,12,16,8,13
"1374",6,5,8,2,6,5,11,4,5,3,1
"1598147",3,2,5,1,4,3,4,4,1,3,4
"2647733",65,129,92,15,76,68,91,89,63,102,84
"1571",60,95,77,8,57,64,95,59,87,37,62
"298596",12,19,22,6,24,10,14,26,19,9,16
"1474",4,15,16,1,17,7,17,26,9,19,24
"1476",2,5,2,3,6,4,3,10,1,4,4
"76853",50,122,61,55,24,18,16,136,28,23,57
"2637870",14,29,41,6,31,10,29,25,16,21,34
"51173",35,57,42,1,22,9,14,31,22,11,19
"367743",17,43,26,2,18,10,20,22,15,12,16
"459472",48,84,63,21,39,51,68,39,45,37,46
"417367",44,41,40,8,33,23,39,30,44,29,21
"2642018",9,17,21,0,19,13,16,17,17,11,22
"2644826",27,32,13,4,14,20,17,281,41,6,15
"1650",6,20,19,1,6,7,11,12,11,10,12
"1508404",46,48,34,3,26,29,34,31,28,20,28
"241244",8,22,23,7,15,15,23,19,18,9,21
"2617942",8,19,19,5,23,16,18,25,23,13,20
"1282",31,43,26,1,26,32,37,28,36,17,29
"1280",41,39,40,5,34,31,64,68,36,38,65
"1283",11,22,21,6,14,15,34,22,20,16,19
"214473",1,22,8,1,26,6,8,31,14,5,10
"1288",10,18,8,0,5,4,10,204,217,8,20
"91994",11,17,17,1,19,13,25,18,14,19,8
"2815305",17,16,19,4,20,34,28,12,25,21,22
"170573",5,15,12,1,7,4,6,6,9,10,6
"155085",4,14,8,0,4,8,10,10,8,4,10
"45972",7,13,3,2,1,8,9,7,7,7,15
"2044912",10,13,7,1,8,6,17,5,7,8,12
"29388",4,13,11,1,5,8,8,11,8,6,10
"1290",8,13,6,2,10,6,7,9,12,7,13
"29378",8,12,4,1,10,5,8,198,7,5,90
"28035",7,12,8,1,6,9,5,8,8,5,20
"70255",7,12,5,1,3,4,10,1,1,3,6
"1294",1,12,12,4,3,4,2,7,4,4,7
"33028",4,11,8,1,3,5,7,6,9,3,2
"46126",5,11,7,2,3,8,10,6,9,6,11
"2282419",5,10,7,0,10,6,6,40,16,3,9
"1292",0,10,3,1,4,5,6,2,0,3,8
"985762",1,9,8,2,6,1,8,5,4,5,5
"29385",5,9,7,1,14,13,10,70,11,9,5
"1295",3,9,5,3,3,8,8,5,7,7,5
"1286",4,9,19,3,7,3,4,13,6,2,7
"308354",9,8,14,1,10,8,9,8,8,5,14
"29379",13,7,3,1,3,1,9,3,10,3,12
"1284",2,7,10,2,54,6,3,5,4,4,7
"46127",1,7,5,0,8,3,3,15,0,5,13
"29382",6,7,5,1,7,3,6,9,6,5,5
"29384",3,6,4,0,5,3,5,7,4,5,4
"985002",0,5,2,0,1,1,1,1,1,1,2
"29380",3,5,8,1,2,3,4,8,4,8,7
"2781774",2,5,4,0,9,2,4,2,3,3,5
"1654388",3,4,1,0,5,1,4,0,1,1,6
"1281",2,4,4,2,4,6,8,10,3,4,4
"61015",3,3,7,5,5,3,11,6,3,7,6
"246432",6,3,8,1,3,4,3,3,7,4,6
"1461582",19,78,38,3,15,33,28,64,42,25,19
"946432",2,6,3,1,8,5,9,29,8,6,8
"69966",7,24,5,1,14,9,10,11,12,6,5
"1855823",14,23,18,2,16,12,27,14,19,11,17
"2619255",0,3,1,0,2,0,1,1,0,0,1
"1903056",2,1,0,0,0,1,1,2,0,2,0
"1296",50,20,18,7,36,6,22,855,520,15,39
"71237",1,14,5,1,5,5,12,13,5,4,3
"42858",4,10,4,0,18,3,8,228,8,3,6
"150056",1,5,6,1,3,4,3,3,3,1,1
"643214",1,5,6,2,1,5,5,5,4,5,8
"407035",30,32,19,0,17,33,26,44,37,14,36
"1817405",3,11,6,1,9,3,6,12,6,6,12
"33986",286,449,375,51,200,299,411,254,307,313,384
"1378",22,33,21,5,23,29,24,29,19,25,30
"1639",32,44,67,5,72,39,54,101,35,45,61
"1638",7,18,13,1,12,11,13,8,12,8,11
"1006155",7,18,12,2,10,10,12,6,9,11,13
"1640",5,13,13,1,6,7,10,11,9,5,7
"1641",14,13,11,2,8,9,16,12,12,14,5
"1642",5,10,7,4,37,4,5,9,5,6,5
"2642072",7,10,5,1,12,6,17,9,14,2,26
"1643",5,5,22,1,9,11,12,7,7,6,8
"2756",5,14,5,1,12,5,9,10,5,4,12
"269673",44,81,49,8,37,45,59,41,43,31,59
"1584",61,118,67,3,35,103,123,54,75,68,60
"2620435",8,38,32,4,15,18,22,21,20,19,15
"47770",6,16,10,2,7,7,10,184,9,7,6
"227945",3,13,3,0,8,2,6,5,5,2,3
"83683",7,11,8,0,3,1,4,6,0,4,1
"1579",5,10,4,0,5,1,7,11,7,1,6
"33959",11,10,10,0,4,7,12,158,11,6,11
"1600",1,9,0,1,0,7,9,9,7,5,6
"109790",8,9,10,1,3,8,10,8,5,6,7
"147802",0,8,12,0,4,5,10,5,6,13,7
"303541",5,8,3,2,3,2,1,1,1,1,5
"1587",3,8,4,2,6,6,13,121,10,3,5
"1604",3,6,8,1,6,7,8,78,12,4,8
"1218494",1,6,2,0,0,1,2,0,1,2,2
"267818",3,5,4,1,4,4,6,9,2,4,8
"1218493",2,5,6,0,1,1,1,2,2,3,5
"2269374",0,5,7,0,1,3,3,0,2,5,8
"1596",4,4,5,2,1,8,2,4,3,5,6
"508451",0,2,4,0,2,1,1,5,2,3,1
"2107999",2,1,2,0,1,2,1,1,1,3,1
"267363",60,101,85,13,40,66,79,50,92,64,80
"1580",43,73,49,5,17,42,100,43,66,46,45
"2292255",20,27,28,2,15,22,28,27,24,8,23
"637971",10,26,22,2,7,26,26,12,25,19,17
"1613",53,69,73,4,40,68,84,43,95,49,72
"35787",62,69,44,6,32,64,60,58,83,49,58
"97478",16,40,34,5,12,39,47,18,34,19,23
"1598",10,24,15,5,12,15,23,93,19,10,20
"227942",10,8,6,0,3,3,6,4,9,7,3
"1633",4,6,8,1,5,6,4,31,1,4,6
"104955",4,6,2,0,5,2,3,6,2,0,4
"1582",19,52,33,1,10,12,33,14,20,16,28
"47715",23,42,45,6,10,27,59,17,20,33,29
"88233",8,29,41,5,7,21,19,16,21,15,15
"1597",15,26,16,2,9,23,21,15,22,14,13
"57037",17,16,9,1,6,13,23,7,9,15,12
"1583",7,39,21,4,5,16,10,13,173,9,13
"137591",7,22,15,3,6,17,8,28,29,7,13
"2506420",11,22,16,6,11,13,18,10,16,6,14
"155866",11,14,12,4,3,13,12,7,12,23,11
"1631871",4,14,3,0,2,5,2,4,8,4,4
"46256",1,13,2,3,3,2,3,3,1,0,6
"1162633",1,12,5,2,2,1,7,1,4,4,8
"759620",3,7,3,1,5,5,4,2,6,4,9
"1629",14,6,6,0,5,7,5,4,5,3,12
"1249",10,4,10,7,6,4,12,5,9,2,4
"2683241",2,1,4,0,2,0,10,4,2,1,1
"304207",53,100,87,7,40,85,70,53,68,62,62
"1589",20,52,29,6,15,28,60,32,24,19,33
"1590",25,26,18,0,46,23,64,42,30,14,26
"60520",7,18,9,6,1,8,8,8,14,6,7
"1245",11,18,11,0,3,5,13,3,22,5,13
"1244",2,10,10,2,2,7,16,7,11,1,11
"1246",6,8,9,2,4,11,13,4,9,8,15
"1252",4,8,5,1,2,1,5,0,2,4,3
"33964",2,7,4,4,0,4,5,3,14,1,1
"1511761",6,5,6,1,1,0,13,3,2,2,1
"33968",7,3,2,0,3,1,10,4,41,4,2
"136609",0,1,1,0,0,0,0,0,1,0,0
"1622",3,13,5,1,1,8,8,7,6,6,8
"1623",14,13,24,5,7,10,22,10,16,12,22
"1624",12,12,18,3,17,8,12,125,7,7,19
"1605",1,11,5,1,5,8,10,6,14,9,7
"228229",8,9,3,0,3,10,9,7,4,7,5
"89059",9,7,17,2,2,17,10,5,12,14,5
"1601",2,4,6,1,7,13,3,19,5,10,10
"1581",15,26,14,3,5,23,24,8,13,17,11
"152331",9,11,15,1,5,3,10,10,10,11,9
"1588",7,10,11,3,7,11,15,10,8,9,10
"33962",8,8,8,0,3,3,5,6,11,7,5
"1138822",5,7,8,0,3,2,3,5,3,6,7
"1255",6,19,21,3,8,4,9,6,10,4,10
"1670797",9,17,16,2,4,25,34,12,13,16,24
"114090",4,11,7,0,4,2,8,5,1,2,10
"51663",6,9,5,1,2,7,20,3,8,5,9
"187452",5,4,8,0,10,6,6,4,4,1,4
"1599",12,27,20,3,11,17,18,7,15,9,20
"164393",7,14,6,0,10,11,4,5,10,5,3
"28038",11,10,12,2,4,13,7,8,11,9,14
"60519",4,3,5,0,3,4,10,2,3,4,7
"2203724",5,22,6,1,6,1,12,10,5,4,4
"1247",6,16,13,1,2,8,20,11,2,9,7
"336988",4,14,6,0,5,14,8,5,12,6,7
"2636988",4,3,0,0,4,5,14,4,5,3,6
"1847728",4,10,0,0,1,5,6,3,7,4,3
"938155",1,6,6,2,0,5,3,5,10,2,3
"1612",1,5,7,0,0,2,3,2,4,7,4
"2304606",5,5,2,1,3,3,9,1,5,5,6
"1602",3,4,3,0,3,7,4,1,2,1,4
"83526",5,4,9,1,4,4,4,4,5,2,2
"392416",4,4,3,1,1,6,9,4,4,5,4
"2714036",3,4,3,0,2,0,5,4,5,2,5
"1007676",1,2,5,3,3,5,7,4,5,8,5
"1074467",0,2,6,0,2,3,9,2,7,5,5
"1607",8,21,13,0,11,9,15,17,11,4,6
"1610",9,18,17,4,11,19,28,16,12,16,17
"375175",11,12,8,4,4,8,13,3,6,7,10
"240427",23,26,26,2,20,33,23,11,27,18,19
"176292",2,13,3,0,3,7,18,0,11,2,5
"231049",10,30,27,2,5,17,25,4,17,16,17
"468911",5,11,6,5,6,5,6,2,14,6,5
"82688",1,8,7,1,2,6,1,7,6,7,3
"1618",4,2,10,0,6,3,1,5,1,4,4
"1720083",1,15,8,0,11,8,5,8,7,6,11
"1296540",8,7,17,1,5,8,9,3,7,4,4
"293371",4,4,9,0,2,7,1,1,3,3,6
"1193095",2,3,10,0,1,3,7,3,8,3,3
"1614",1,4,9,0,5,1,1,1,2,4,6
"53444",4,3,7,1,4,1,3,2,0,1,3
"1625",4,1,7,0,0,1,1,3,3,2,1
"51664",6,10,11,0,1,4,5,12,2,1,3
"148814",3,4,5,0,0,1,3,2,1,2,2
"2419772",7,3,4,1,3,4,3,7,2,2,6
"1603",9,8,7,3,3,10,13,16,8,4,4
"1303590",2,5,8,3,5,2,2,1,3,3,8
"2608887",20,55,39,4,22,30,48,27,31,25,28
"1307",35,42,40,4,25,49,60,32,41,20,49
"119603",11,40,24,4,16,35,30,20,12,18,25
"2173853",10,24,8,5,8,7,18,8,14,21,9
"1305",19,24,32,6,16,29,35,18,42,9,25
"1303",13,23,14,5,5,13,18,7,14,13,19
"671232",2,22,10,1,15,13,21,6,12,12,19
"1302",12,21,19,2,4,6,12,7,13,13,16
"1308",8,20,8,1,5,7,15,3,10,7,6
"1310",8,14,10,0,10,6,26,6,6,10,5
"1313",10,14,11,2,4,9,18,5,20,10,12
"1309",1,14,4,0,1,2,14,7,7,7,8
"1811193",12,12,11,0,1,5,4,11,0,3,7
"28037",12,12,12,0,12,3,6,10,10,8,8
"1335",7,11,13,1,6,5,9,5,8,9,7
"1340",3,11,10,0,4,7,10,2,5,3,2
"1329",4,10,2,0,3,6,6,2,2,3,3
"1341",10,10,9,2,7,2,13,7,10,10,9
"1304",7,10,12,2,3,7,9,3,12,7,9
"1314",13,10,9,1,8,12,13,15,11,8,20
"1318",4,9,4,0,2,4,9,4,3,8,7
"1326",6,8,6,0,8,1,5,5,4,3,3
"45634",12,8,10,1,2,10,14,7,10,17,8
"82348",1,8,7,1,3,8,7,5,6,4,12
"315405",4,7,8,0,1,10,7,2,2,6,7
"1888195",7,7,5,0,2,3,11,2,9,4,6
"1825069",3,7,1,1,1,1,3,1,3,2,2
"1349",0,7,5,0,6,0,11,3,6,6,5
"1348",2,7,3,0,5,9,9,1,1,4,2
"1111760",0,6,3,1,2,0,6,1,5,5,1
"400065",6,6,5,1,2,4,6,0,9,2,3
"361101",8,6,4,1,3,7,5,5,11,5,5
"149016",0,6,4,0,2,5,1,1,3,2,6
"257758",0,5,0,0,0,1,0,3,2,3,1
"113107",6,5,4,1,1,7,3,4,5,10,2
"2021971",3,5,1,1,3,6,6,4,5,3,3
"1345",17,5,5,0,7,16,16,10,19,5,15
"2490633",0,4,1,0,0,0,1,1,0,0,0
"1814128",2,3,7,0,1,4,5,6,3,6,0
"102684",1,2,0,0,0,0,1,2,0,0,2
"2382163",2,2,3,0,0,0,0,1,1,0,0
"1343",2,2,3,0,2,2,2,3,1,0,1
"1917441",2,2,0,0,0,3,1,0,1,0,0
"33040",0,2,0,0,0,0,0,1,0,0,0
"1311",0,2,1,0,3,0,4,5,1,2,7
"1346",1,2,6,0,3,7,3,8,5,1,1
"197614",0,1,0,0,0,0,0,0,1,0,0
"1363",20,25,24,1,10,201,16,11,16,13,12
"1359",12,24,14,0,8,9,24,15,9,5,9
"1358",12,19,13,5,11,17,8,12,41,8,22
"1366",15,16,12,2,7,15,13,13,12,10,18
"2419773",3,9,4,2,0,8,4,6,2,8,5
"1151742",8,8,8,3,2,2,6,2,8,4,3
"2643510",7,8,3,1,1,12,7,5,5,6,6
"1364",4,2,4,0,2,7,4,2,4,2,3
"2749961",0,1,3,0,1,2,0,1,0,0,1
"33945",19,38,30,4,15,16,17,15,20,15,20
"160453",13,26,12,2,4,10,13,7,19,13,17
"1351",17,25,31,2,20,20,37,5,42,21,44
"37734",35,20,13,4,8,18,26,23,87,12,21
"1352",6,19,16,3,20,11,13,96,16,22,13
"1354",13,17,11,2,11,10,19,13,11,13,16
"53346",7,17,14,3,5,10,17,10,13,11,13
"53345",6,16,13,4,4,6,12,9,10,5,9
"118060",8,16,4,0,4,7,10,8,8,3,15
"1805431",8,13,7,1,3,3,6,8,9,5,2
"44008",8,10,9,1,9,2,13,191,15,10,15
"2005703",6,8,7,1,11,10,11,8,7,11,5
"417368",5,7,8,2,1,8,8,7,6,2,5
"2608891",2,7,0,0,3,1,3,1,7,5,3
"1353",1,6,0,0,0,1,1,1,3,2,0
"357441",0,1,0,0,0,2,0,0,0,1,0
"2571750",4,11,6,0,3,6,12,8,8,3,7
"218144",4,10,7,2,7,6,11,6,6,4,8
"2714946",2,9,3,2,3,0,8,1,6,7,3
"2648499",5,7,2,1,2,2,9,3,7,3,4
"519472",3,6,5,0,3,2,5,2,5,4,6
"2714947",1,6,12,1,6,11,9,9,4,3,2
"633807",0,4,4,0,6,5,2,6,8,2,5
"51669",6,11,8,2,14,9,12,11,7,15,8
"290335",3,9,11,0,5,9,9,4,3,8,7
"526944",3,4,6,1,4,1,7,2,6,3,8
"33970",22,9,17,3,5,6,25,7,10,35,5
"119206",16,28,27,3,16,27,30,24,26,23,22
"1376",8,22,7,1,12,10,18,4,22,6,20
"51665",6,20,8,1,3,6,10,18,10,3,6
"1377",1,18,9,0,2,4,7,5,10,1,6
"87541",6,11,4,1,3,4,8,5,6,5,5
"128944",8,4,11,0,1,16,12,3,10,6,7
"46125",10,21,16,0,12,9,17,23,12,4,18
"2036206",3,17,9,0,6,2,14,6,16,7,18
"2748",9,19,16,2,12,8,12,9,12,9,21
"257487",12,18,12,2,12,18,20,18,17,10,21
"2751",5,8,17,2,8,9,19,13,9,8,22
"147709",4,7,4,1,4,1,1,2,4,2,8
"1868793",6,13,9,4,6,3,3,26,3,3,5
"2496265",8,11,14,1,3,4,6,21,5,4,12
"1868794",7,10,10,0,3,2,5,17,1,1,4
"708126",3,4,9,2,3,2,14,7,3,5,20
"2621505",4,3,1,1,2,3,2,8,1,5,6
"29394",13,23,27,4,6,10,17,16,28,14,21
"2632303",11,9,12,1,8,5,3,14,2,6,9
"73918",2531,3383,2873,311,1409,3247,3714,1801,3227,2646,2378
"28033",2,1,0,0,2,1,0,0,2,0,1
"1297617",194,259,273,22,96,252,285,130,270,162,173
"2610894",106,139,178,21,82,128,171,98,149,109,104
"2086584",79,113,96,10,51,81,116,68,90,67,88
"2060094",54,67,74,9,26,59,80,37,73,39,60
"86331",26,19,15,0,15,12,15,10,21,8,10
"178898",43,57,54,6,19,39,82,33,46,46,46
"1981510",6,24,10,0,4,10,8,4,4,5,7
"853",402,747,578,44,290,547,651,378,648,436,492
"292800",336,438,443,34,177,447,488,276,413,382,341
"2643836",199,374,306,24,120,210,322,166,266,198,252
"2629304",131,211,190,21,84,208,243,125,194,179,153
"351091",92,159,140,10,58,112,145,86,113,94,132
"253239",151,297,243,28,106,220,271,172,205,189,215
"1550024",164,264,228,29,105,234,297,125,261,195,200
"1677857",66,142,60,1,6,15,20,8,4,7,16
"288965",22,34,21,1,7,8,22,7,13,12,17
"1515",30,33,24,3,9,14,24,13,17,11,15
"1796620",111,163,122,12,66,172,170,81,175,107,117
"1161942",38,73,59,5,28,56,82,31,55,47,56
"1264",14,30,19,0,20,24,10,20,23,19,18
"1160721",7,15,16,0,4,11,13,11,11,8,8
"2608920",9,13,9,2,6,3,10,2,12,7,14
"1521",13,40,8,33,3,13,12,9,7,6,9
"2488810",8,36,13,1,4,6,27,9,16,17,10
"84032",28,70,34,3,15,33,45,23,25,20,27
"1510",28,37,34,2,8,22,27,15,23,17,23
"884684",5,23,12,3,8,30,18,5,5,19,6
"236753",6,12,9,0,6,6,8,2,8,1,11
"2093857",3,9,10,1,7,17,13,7,13,8,8
"2614128",100,339,156,26,129,143,167,150,150,109,138
"36745",12,120,26,2,19,14,24,16,22,12,30
"1491",53,95,56,6,70,53,122,86,55,46,76
"1520",22,65,24,3,95,31,42,36,33,20,43
"1502",25,58,49,9,32,31,68,58,39,28,38
"1501",14,57,25,4,38,26,23,27,25,44,27
"1534",12,46,24,2,19,10,33,17,20,14,23
"169679",10,36,10,1,16,9,16,10,10,9,16
"1492",13,30,25,4,18,15,30,29,22,13,25
"1716543",20,28,15,2,50,18,19,52,22,12,26
"36845",13,26,15,1,6,17,25,18,27,14,30
"84022",10,22,19,1,4,6,3,12,11,14,9
"238834",8,21,15,0,15,14,18,10,10,9,13
"1497",12,19,15,3,5,13,12,9,12,11,14
"223919",14,19,4,0,3,12,6,4,11,1,5
"1513",9,18,12,1,12,7,15,9,10,13,7
"1488",9,17,11,1,5,6,10,7,4,7,8
"1493",10,17,12,2,49,8,22,47,18,9,12
"217159",4,17,10,3,14,18,20,21,9,9,4
"1542",2,17,9,0,5,0,10,5,9,2,9
"1519",4,17,9,0,7,16,10,11,15,8,17
"29341",21,16,42,1,26,22,19,16,23,20,25
"1561",9,13,13,1,8,7,12,9,6,6,12
"332101",3,13,7,0,5,4,5,8,3,9,8
"94869",2,13,4,3,14,6,15,14,12,9,9
"1494",2,12,5,0,7,2,7,6,1,4,8
"394958",1,12,7,0,0,9,12,4,5,8,7
"46867",2,11,5,2,7,2,6,12,5,4,4
"1548",3,9,7,5,6,4,12,2,6,9,3
"1216932",4,9,8,6,10,4,11,14,4,8,6
"1509",8,8,9,1,6,11,12,5,5,11,6
"1504",6,8,4,2,6,5,4,13,5,3,11
"182773",4,7,7,0,4,3,16,7,7,5,5
"2068654",5,7,9,0,10,5,7,4,1,7,12
"1538",1,2,0,0,3,1,11,3,2,2,4
