"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1471",48,33,508,101,46,44,49,60,54,66,24
"79883",46,52,392,61,39,40,43,33,45,56,20
"218284",44,27,608,68,42,51,29,19,33,36,23
"46224",43,19,499,110,25,34,28,20,56,44,11
"38875",42,30,1709,680,72,51,56,55,636,423,49
"1441095",41,28,378,55,30,41,38,55,51,65,19
"1413",41,23,293,50,21,19,15,14,29,26,2
"1547283",36,21,538,132,29,39,29,39,37,57,15
"1476025",35,19,491,91,26,29,32,28,57,41,14
"1792192",31,30,822,59,21,15,30,96,240,247,6
"1479",31,33,244,33,25,25,21,23,40,29,11
"1925021",27,16,65,14,10,20,19,16,27,19,10
"1404",5478,4976,93254,10741,5877,1657,11912,2505,38262,36661,1670
"1402861",288,208,52471,7613,155,1272,116,3351,4053,7771,918
"412384",102,103,353,34,82,26,170,58,405,400,19
"86664",42,33,836,167,46,44,72,114,129,148,17
"2675274",2313,1264,5815,1540,150,236,140,468,233,737,147
"152268",61,39,1494,399,45,39,44,121,83,97,29
"79885",769,305,282,52,22,27,19,61,34,31,11
"199441",338,33,352,66,24,32,28,25,33,38,7
"79880",223,313,1643,676,373,509,194,461,2926,3088,134
"86665",78,36,291,68,31,71,33,48,43,41,23
"300825",15,12,113,22,31,36,17,14,60,126,4
"2598861",14,10,98,20,45,34,11,16,33,51,6
"129338",261,176,230,31,175,192,168,136,167,121,55
"2642459",184,137,366,42,196,181,117,100,115,148,51
"1422",114,77,154,17,85,111,90,57,78,72,20
"1505648",111,73,99,19,43,93,54,50,46,73,22
"1921421",106,76,249,47,86,105,82,87,94,93,43
"33940",13,6,27,4,6,17,11,14,4,6,2
"213419",10,6,9,1,7,6,8,9,4,2,0
"1478",734,530,433,72,65,89,113,85,90,111,24
"228899",144,44,1900,288,273,128,212,226,505,512,67
"421767",98,62,452,49,49,61,68,50,65,79,15
"264697",58,42,191,22,43,51,35,32,58,60,11
"1407",40,14,430,70,26,35,27,22,54,52,10
"2502791",469,113,127,31,49,69,36,49,38,38,14
"2698411",152,67,384,101,62,54,54,46,101,118,20
"2099786",74,33,113,18,16,28,17,17,21,16,12
"129985",250,126,15819,510,106,194,83,131,118,83,60
"279826",139,92,1544,191,114,315,208,451,162,196,108
"1740721",155,118,831,170,2066,100,3173,143,5720,2222,570
"1193713",121,87,772,122,155,75,232,79,290,175,59
"1215031",19,4,61,11,10,14,8,8,5,13,1
"2636778",127,86,1908,610,98,95,118,116,176,254,36
"28031",54,29,396,58,15,20,31,15,45,43,13
"1421",23,12,208,41,18,25,17,26,35,31,10
"2086577",23,15,3586,900,29,55,23,63,73,81,36
"1145276",1,5,20,3,2,3,0,1,1,2,0
"746691",136,101,946,202,41,57,10,154,201,582,27
"182710",63,26,5022,944,161,96,34,61,111,219,15
"2052660",41,26,626,103,35,36,30,34,46,69,9
"2620237",73,41,1526,342,61,100,63,59,111,106,32
"163877",33,18,679,109,23,25,13,18,31,52,11
"1482",32,16,1212,216,24,28,18,21,30,26,2
"2017483",26,20,789,142,26,18,19,11,43,50,12
"302167",9,6,132,37,9,11,2,8,7,10,6
"1473",2,0,263,78,10,6,2,4,0,6,2
"1398",215,153,537,71,136,175,136,108,122,152,55
"665099",143,91,33705,2447,376,1081,755,1589,1150,1583,430
"859143",39,20,712,332,39,31,37,29,75,49,14
"2639704",48,38,244,37,33,45,29,37,53,34,15
"247480",38,31,230,44,48,43,34,23,39,56,10
"294699",35,23,194,33,35,40,23,29,35,41,5
"33934",25,24,136,28,12,32,20,10,26,35,8
"198467",5,0,22,2,0,2,2,2,4,1,1
"196180",3,2,16,2,4,4,1,3,3,1,1
"255247",86,45,286,44,38,41,30,92,42,177,18
"1221500",44,28,208,42,40,44,28,26,26,67,14
"386490",128,115,3944,346,450,535,674,740,581,784,53
"402384",27,22,564,100,19,21,20,18,19,32,13
"45668",26,22,586,105,25,23,20,24,26,30,10
"1570",24,30,622,122,17,28,9,24,27,34,8
"2614679",41,46,512,160,30,40,37,48,27,35,10
"1472767",31,17,713,283,31,24,23,14,26,43,6
"35841",71,49,355,70,28,29,37,31,52,37,27
"1230341",70,35,291,61,38,39,25,56,70,60,11
"1295642",47,26,118,21,56,45,38,31,27,28,11
"1426",11,15,43,15,14,12,12,20,4,9,4
"153151",5,2,24,4,8,5,3,2,5,6,0
"2625209",54,33,1100,256,28,51,22,28,71,143,9
"2628296",51,26,619,92,31,36,26,49,57,52,15
"2651280",48,20,321,57,17,24,30,13,26,27,5
"2283160",36,18,366,65,29,29,22,28,36,47,7
"2636677",8,3,98,12,4,6,4,4,5,7,1
"2636913",42,15,504,65,22,32,26,28,35,74,13
"33936",39,32,276,46,37,35,29,21,33,41,8
"1532552",39,18,329,62,31,25,25,28,38,47,10
"1449",37,10,705,126,13,23,5,6,22,24,6
"2594883",31,16,387,76,13,19,12,14,28,40,9
"1467",25,14,520,67,31,23,23,19,47,42,8
"2213194",23,12,390,65,13,21,16,15,19,37,4
"1028381",1,0,1,0,1,0,0,0,0,0,0
"185978",5743,3879,15576,3694,4170,5264,4459,3579,6090,5629,1707
"61624",1135,818,1305,345,693,929,792,732,1089,771,314
"2704462",586,399,762,149,426,529,386,310,458,435,161
"44251",507,310,418,75,214,267,168,168,180,185,88
"2704463",358,251,452,86,234,298,198,185,243,252,88
"49283",351,202,491,63,280,293,246,248,302,238,120
"562959",330,240,629,108,380,344,510,212,989,521,254
"1126833",296,213,432,88,204,265,181,166,235,228,63
"79263",256,179,436,74,196,195,155,174,205,212,59
"375489",253,156,408,226,143,192,161,137,186,204,55
"1870820",226,135,1300,525,159,215,132,114,458,348,60
"169760",226,141,390,81,158,171,136,164,222,211,79
"1406",196,114,632,113,115,95,86,80,117,105,40
"248903",194,157,867,386,238,100,257,98,204,280,35
"2495582",188,117,344,54,132,167,137,126,128,141,47
"365617",184,114,235,39,124,156,127,124,145,127,52
"682956",183,98,155,22,53,68,41,32,52,49,14
"414771",164,90,254,49,105,153,94,80,102,107,40
"162209",154,106,448,63,125,154,104,110,114,98,24
"2509456",142,72,344,60,73,104,69,70,78,108,29
"2044880",142,109,276,48,94,104,78,77,87,86,38
"2707005",107,70,226,55,61,100,59,96,51,47,31
"1619311",100,68,171,32,81,92,72,87,109,83,24
"1462996",99,72,255,53,77,91,67,61,91,86,28
"160799",94,70,173,30,63,93,56,42,48,58,21
"1178515",93,70,247,29,65,71,54,54,80,69,32
"1473112",91,67,206,51,78,88,52,49,65,56,18
"44250",90,46,242,28,64,69,48,54,73,60,21
"189425",79,62,126,24,48,65,42,30,57,53,31
"1616788",79,48,198,28,73,78,65,62,54,65,23
"1338368",74,42,247,46,36,57,55,34,52,45,27
"1401",72,52,1745,331,99,200,233,174,380,270,68
"683737",69,39,195,40,72,54,61,47,85,82,31
"1778678",67,50,208,30,30,60,37,34,44,36,11
"1464",63,41,214,25,38,45,40,25,52,32,15
"189426",59,19,130,44,31,44,35,23,34,34,10
"172713",58,34,116,16,41,62,40,34,69,72,23
"198119",50,33,132,30,35,41,50,31,44,49,15
"1712516",50,40,246,47,36,31,44,36,57,61,18
"528191",39,44,85,14,23,21,33,37,40,36,13
"159743",38,36,99,13,31,37,22,17,25,27,10
"253703",33,23,131,23,22,18,10,11,20,30,6
"128574",28,30,85,24,29,32,35,27,33,35,19
"1763538",27,21,137,30,19,22,13,25,27,27,12
"59893",18,12,28,5,8,9,11,9,8,14,5
"59843",12,8,94,23,10,4,8,3,9,8,2
"2684853",1023,693,1103,176,509,651,458,482,525,524,184
"51101",320,193,703,79,229,286,196,195,267,230,106
"1393",210,119,1268,98,140,185,90,127,127,109,45
"54911",146,110,4706,298,307,358,177,126,184,143,299
"1465",43,35,263,46,27,44,21,31,58,48,6
"54913",30,22,188,23,17,29,34,18,23,27,9
"2636738",776,526,1748,468,523,651,460,455,576,539,190
"2674991",523,370,768,123,415,523,365,337,432,384,149
"2507935",57,33,169,38,39,54,30,25,34,23,13
"377615",903,595,1101,132,607,744,552,466,683,620,277
"2583377",557,451,721,98,438,535,378,378,477,429,193
"55079",145,71,579,121,119,150,96,110,156,127,57
"1471761",11585,5132,300,89,5081,3548,113,122,372,236,90
"714067",221,133,222,73,377,346,104,104,127,110,64
"1380685",52,25,135,28,41,48,19,16,26,31,7
"2490858",267,191,210,21,188,238,143,171,239,162,98
"2026",156,141,1127,77,144,67,36,60,64,70,67
"37482",131,108,234,42,111,155,87,74,108,98,29
"405212",1126,715,876,143,847,1024,787,700,829,837,354
"471514",234,174,301,28,202,259,157,137,174,160,56
"2622400",119,76,166,29,85,83,92,70,91,95,32
"1903704",662,422,1149,137,494,634,479,401,523,451,194
"1214604",213,132,465,64,212,259,182,144,183,202,81
"2055160",181,109,151,22,156,185,132,118,141,121,56
"33943",115,73,120,7,56,90,83,78,64,71,26
"2677223",95,59,119,20,68,90,54,60,53,75,14
"2662419",165,112,444,54,103,155,124,112,106,94,46
"1038856",115,68,214,16,87,107,80,54,91,96,47
"1499687",66,49,169,22,48,71,48,41,47,151,17
"200991",64,36,90,13,38,69,26,38,28,30,18
"1176255",52,33,85,8,23,48,25,28,36,52,14
"192421",44,28,99,10,23,26,21,19,16,18,9
"161360",27,15,135,16,21,16,10,13,14,19,2
"414778",21,10,123,14,16,19,8,12,13,16,5
"1302659",14,12,94,22,9,10,5,9,10,10,2
"1215089",13,13,79,6,14,19,8,13,18,13,4
"1374",5,5,16,1,4,5,3,0,4,1,2
"1598147",2,3,28,2,4,2,3,3,7,4,0
"2647733",129,100,823,111,79,85,102,63,114,84,38
"1571",95,65,438,64,54,78,37,53,48,62,22
"298596",19,11,170,19,11,10,9,9,24,16,4
"1474",15,5,130,14,8,12,19,10,18,24,6
"1476",5,5,42,4,6,5,4,1,7,4,1
"76853",122,51,607,244,41,33,23,49,59,57,8
"2637870",29,13,251,50,10,16,21,8,26,34,4
"51173",57,50,305,79,18,16,11,11,16,19,13
"367743",43,39,225,57,17,27,12,24,22,16,8
"459472",84,55,207,22,55,71,37,44,54,46,33
"417367",41,41,252,46,41,35,29,37,31,21,4
"2642018",17,9,196,36,10,20,11,11,19,22,5
"2644826",32,5,142,48,8,30,6,21,13,15,6
"1650",20,6,139,20,11,16,10,1,15,12,5
"1508404",48,20,208,32,26,37,20,24,26,28,7
"241244",22,12,201,31,15,16,9,8,25,21,5
"2617942",19,14,258,55,10,19,13,12,23,20,4
"1282",43,39,143,30,34,56,17,36,21,29,13
"1280",39,25,378,111,42,45,38,35,43,65,9
"1283",22,6,93,20,15,19,16,9,17,19,8
"214473",22,4,1068,123,10,11,5,7,4,10,3
"1288",18,7,72,32,6,45,8,110,8,20,3
"91994",17,10,129,56,11,17,19,13,16,8,5
"2815305",16,20,106,28,13,24,21,24,7,22,3
"170573",15,9,73,10,8,18,10,11,14,6,2
"155085",14,9,43,7,9,7,4,11,8,10,2
"45972",13,8,45,15,8,11,7,8,9,15,1
"2044912",13,7,49,7,9,12,8,5,14,12,4
"29388",13,5,64,9,5,13,6,5,4,10,4
"1290",13,9,91,13,11,7,7,4,6,13,8
"29378",12,6,132,161,6,9,5,3,6,90,5
"28035",12,7,53,9,6,9,5,7,9,20,4
"70255",12,0,22,6,4,6,3,3,2,6,1
"1294",12,2,38,11,2,7,4,7,4,7,1
"33028",11,7,58,8,2,2,3,3,5,2,5
"46126",11,5,65,13,6,4,6,7,5,11,4
"2282419",10,3,40,38,9,18,3,12,7,9,1
"1292",10,7,22,2,5,7,3,4,2,8,1
"985762",9,5,37,3,6,8,5,1,3,5,2
"29385",9,5,153,53,7,10,9,6,11,5,5
"1295",9,6,22,8,7,10,7,2,7,5,3
"1286",9,8,73,12,6,12,2,7,9,7,1
"308354",8,11,92,14,3,8,5,1,8,14,5
"29379",7,4,49,7,6,9,3,5,8,12,2
"1284",7,7,245,86,8,8,4,3,5,7,3
"46127",7,1,64,8,1,6,5,4,10,13,1
"29382",7,2,110,31,5,3,5,5,7,5,7
"29384",6,3,31,22,7,6,5,5,3,4,0
"985002",5,3,7,0,0,3,1,1,1,2,2
"29380",5,3,37,6,6,5,8,2,2,7,3
"2781774",5,5,31,9,7,3,3,0,1,5,0
"1654388",4,2,19,6,0,1,1,2,5,6,1
"1281",4,2,42,8,6,3,4,4,6,4,3
"61015",3,3,26,7,5,4,7,2,10,6,2
"246432",3,3,47,6,1,11,4,3,2,6,2
"1461582",78,38,199,72,26,35,25,26,29,19,12
"946432",6,2,101,34,8,9,6,11,6,8,2
"69966",24,5,71,9,7,5,6,4,13,5,2
"1855823",23,24,105,23,18,21,11,20,14,17,6
"2619255",3,0,8,0,1,0,0,1,0,1,0
"1903056",1,0,38,19,2,0,2,1,1,0,1
"1296",20,15,368,239,12,43,15,192,34,39,4
"71237",14,2,74,12,4,15,4,4,9,3,2
"42858",10,3,297,412,10,6,3,3,9,6,3
"150056",5,4,25,3,7,4,1,0,6,1,0
"643214",5,6,54,6,4,8,5,6,6,8,2
"407035",32,19,377,185,27,39,14,17,26,36,9
"1817405",11,3,110,28,4,4,6,5,10,12,2
"33986",449,274,851,132,321,374,313,276,371,384,116
"1378",33,22,167,24,23,32,25,27,35,30,14
"1639",44,27,1671,447,44,50,45,36,63,61,13
"1638",18,10,117,16,15,9,8,10,13,11,6
"1006155",18,15,69,8,13,9,11,7,10,13,5
"1640",13,3,39,16,7,13,5,4,10,7,0
"1641",13,9,95,18,12,20,14,10,10,5,3
"1642",10,3,277,81,5,10,6,5,7,5,1
"2642072",10,9,114,12,9,12,2,9,18,26,0
"1643",5,12,107,13,6,6,6,3,9,8,1
"2756",14,5,84,8,11,11,4,5,5,12,6
"269673",81,46,158,21,49,59,31,51,44,59,12
"1584",118,75,110,27,50,92,68,75,67,60,32
"2620435",38,24,71,9,24,17,19,13,17,15,4
"47770",16,9,251,76,7,8,7,5,10,6,3
"227945",13,4,21,5,0,4,2,1,2,3,2
"83683",11,3,9,2,0,3,4,3,3,1,1
"1579",10,3,12,3,4,5,1,2,1,6,0
"33959",10,3,115,47,8,6,6,9,6,11,4
"1600",9,7,31,5,5,12,5,6,5,6,1
"109790",9,2,30,2,5,8,6,3,1,7,1
"147802",8,8,27,7,8,11,13,4,13,7,5
"303541",8,10,14,2,4,3,1,3,1,5,0
"1587",8,0,35,39,6,13,3,4,8,5,1
"1604",6,6,27,30,5,7,4,6,12,8,2
"1218494",6,0,13,0,2,3,2,6,0,2,0
"267818",5,2,7,1,4,5,4,2,5,8,1
"1218493",5,3,12,5,1,2,3,2,3,5,1
"2269374",5,6,12,1,8,3,5,5,5,8,1
"1596",4,1,12,0,1,6,5,4,1,6,1
"508451",2,1,13,2,4,5,3,1,0,1,3
"2107999",1,5,1,0,2,0,3,3,1,1,0
"267363",101,60,79,13,63,101,64,51,76,80,22
"1580",73,52,70,14,44,76,46,46,39,45,18
"2292255",27,16,32,8,21,32,8,17,26,23,7
"637971",26,13,38,2,13,18,19,12,19,17,7
"1613",69,48,74,15,54,72,49,125,71,72,23
"35787",69,57,75,19,52,89,49,60,40,58,22
"97478",40,15,36,7,27,23,19,28,16,23,14
"1598",24,10,169,52,20,23,10,11,18,20,4
"227942",8,5,18,4,10,17,7,8,5,3,3
"1633",6,2,37,19,4,7,4,2,2,6,1
"104955",6,6,13,1,6,3,0,5,3,4,4
"1582",52,24,43,4,12,33,16,18,31,28,6
"47715",42,16,68,5,34,45,33,34,17,29,11
"88233",29,25,43,6,25,17,15,14,14,15,4
"1597",26,14,34,3,16,24,14,13,17,13,7
"57037",16,12,21,1,14,21,15,10,11,12,2
"1583",39,15,329,45,11,18,9,155,6,13,2
"137591",22,20,114,8,12,28,7,41,7,13,7
"2506420",22,12,30,7,15,13,6,8,12,14,8
"155866",14,9,22,2,8,15,23,8,11,11,2
"1631871",14,4,30,7,2,2,4,0,2,4,2
"46256",13,4,14,3,3,3,0,2,2,6,2
"1162633",12,3,16,0,7,3,4,0,5,8,3
"759620",7,4,21,6,5,4,4,8,5,9,1
"1629",6,4,22,6,5,13,3,0,3,12,0
"1249",4,5,61,8,0,6,2,13,5,4,1
"2683241",1,2,5,4,4,5,1,1,1,1,1
"304207",100,62,127,12,69,78,62,44,59,62,29
"1589",52,29,75,10,31,44,19,22,27,33,10
"1590",26,18,107,2,37,47,14,39,20,26,10
"60520",18,12,26,3,12,7,6,10,4,7,1
"1245",18,10,34,3,3,7,5,8,12,13,4
"1244",10,10,26,3,3,13,1,6,10,11,3
"1246",8,7,23,0,10,15,8,3,7,15,3
"1252",8,6,8,1,4,7,4,2,2,3,3
"33964",7,1,3,1,3,7,1,2,1,1,1
"1511761",5,4,6,1,7,6,2,4,1,1,0
"33968",3,0,24,0,2,12,4,5,3,2,2
"136609",1,0,1,0,0,0,0,0,0,0,1
"1622",13,3,20,1,5,14,6,7,6,8,2
"1623",13,13,37,6,15,12,12,8,14,22,7
"1624",12,9,105,94,9,19,7,13,8,19,2
"1605",11,4,12,1,4,10,9,16,11,7,2
"228229",9,4,25,5,7,7,7,3,6,5,2
"89059",7,13,22,4,9,14,14,5,5,5,1
"1601",4,11,20,9,2,10,10,8,11,10,2
"1581",26,22,26,6,12,19,17,12,11,11,2
"152331",11,3,18,1,13,8,11,11,6,9,1
"1588",10,10,42,2,5,18,9,2,12,10,4
"33962",8,2,16,4,7,9,7,6,9,5,4
"1138822",7,3,8,1,6,7,6,5,2,7,1
"1255",19,6,22,6,7,11,4,1,12,10,4
"1670797",17,18,40,7,20,16,16,14,12,24,7
"114090",11,4,23,1,4,5,2,3,6,10,2
"51663",9,2,19,6,10,6,5,2,4,9,1
"187452",4,7,14,5,9,5,1,1,5,4,1
"1599",27,11,72,9,12,20,9,12,9,20,6
"164393",14,1,19,3,6,6,5,5,5,3,1
"28038",10,8,24,4,16,23,9,6,15,14,4
"60519",3,2,22,2,7,5,4,5,5,7,0
"2203724",22,10,16,0,10,9,4,12,5,4,1
"1247",16,13,15,2,9,15,9,6,8,7,5
"336988",14,12,17,4,12,6,6,6,4,7,2
"2636988",3,2,22,2,3,8,3,0,6,6,1
"1847728",10,4,17,0,1,3,4,2,1,3,1
"938155",6,4,4,2,5,5,2,2,2,3,1
"1612",5,2,7,1,4,3,7,4,4,4,0
"2304606",5,8,14,1,3,2,5,2,9,6,0
"1602",4,3,11,1,6,4,1,4,3,4,1
"83526",4,2,10,0,9,9,2,2,1,2,1
"392416",4,5,20,1,1,3,5,1,1,4,7
"2714036",4,2,9,0,4,2,2,4,2,5,3
"1007676",2,3,37,2,8,10,8,2,6,5,2
"1074467",2,2,13,2,6,5,5,1,4,5,3
"1607",21,7,38,3,9,12,4,16,11,6,5
"1610",18,12,47,7,17,17,16,16,23,17,9
"375175",12,8,16,3,9,15,7,12,5,10,3
"240427",26,24,30,4,15,15,18,26,14,19,5
"176292",13,10,18,1,3,3,2,5,7,5,1
"231049",30,17,58,4,18,33,16,18,16,17,9
"468911",11,1,26,2,5,7,6,5,3,5,1
"82688",8,2,26,4,6,5,7,7,3,3,1
"1618",2,6,37,5,3,5,4,1,7,4,4
"1720083",15,4,30,5,7,6,6,5,13,11,6
"1296540",7,5,9,1,5,8,4,6,2,4,4
"293371",4,5,20,4,3,1,3,0,3,6,2
"1193095",3,3,15,1,3,5,3,2,8,3,3
"1614",4,4,16,4,1,8,4,0,3,6,3
"53444",3,1,12,1,2,7,1,1,3,3,0
"1625",1,4,11,2,1,4,2,0,0,1,0
"51664",10,2,48,2,5,1,1,0,7,3,1
"148814",4,2,14,3,1,2,2,1,4,2,0
"2419772",3,0,25,3,0,1,2,2,1,6,5
"1603",8,9,29,4,10,18,4,7,7,4,7
"1303590",5,3,21,6,8,7,3,5,6,8,0
"2608887",55,31,104,8,39,51,25,37,28,28,21
"1307",42,38,142,19,36,62,20,25,33,49,16
"119603",40,25,83,9,23,28,18,20,17,25,7
"2173853",24,18,32,2,17,20,21,15,22,9,6
"1305",24,17,73,11,23,35,9,27,20,25,4
"1303",23,9,71,10,13,24,13,12,17,19,4
"671232",22,7,35,3,7,21,12,5,11,19,3
"1302",21,13,40,2,16,26,13,8,7,16,1
"1308",20,6,17,2,8,11,7,2,12,6,3
"1310",14,7,20,1,6,9,10,1,6,5,0
"1313",14,7,44,2,14,17,10,9,7,12,3
"1309",14,8,30,1,8,10,7,7,10,8,3
"1811193",12,9,25,2,10,9,3,3,3,7,1
"28037",12,7,26,3,9,12,8,6,13,8,1
"1335",11,4,37,3,3,7,9,6,6,7,3
"1340",11,6,22,0,5,7,3,8,5,2,0
"1329",10,1,17,1,0,6,3,6,2,3,1
"1341",10,8,17,4,7,6,10,5,4,9,1
"1304",10,10,20,2,9,15,7,10,6,9,8
"1314",10,7,44,3,15,16,8,12,18,20,7
"1318",9,3,25,1,5,3,8,5,6,7,4
"1326",8,2,12,3,3,8,3,4,1,3,2
"45634",8,13,40,1,10,9,17,12,10,8,4
"82348",8,8,21,3,10,4,4,6,4,12,1
"315405",7,6,8,0,9,11,6,0,7,7,5
"1888195",7,2,19,1,3,12,4,1,0,6,1
"1825069",7,5,6,1,5,1,2,0,2,2,1
"1349",7,4,34,4,6,7,6,5,4,5,0
"1348",7,2,19,3,5,6,4,5,4,2,1
"1111760",6,1,10,1,0,5,5,1,3,1,0
"400065",6,6,17,2,5,9,2,2,1,3,1
"361101",6,3,18,2,4,7,5,5,3,5,1
"149016",6,1,32,5,5,7,2,0,2,6,4
"257758",5,3,4,0,2,4,3,3,2,1,0
"113107",5,2,13,0,5,9,10,4,3,2,1
"2021971",5,7,24,3,3,5,3,2,4,3,0
"1345",5,7,31,2,11,9,5,18,10,15,1
"2490633",4,0,2,0,1,1,0,1,0,0,0
"1814128",3,5,14,4,4,7,6,1,4,0,1
"102684",2,1,5,1,1,2,0,1,1,2,1
"2382163",2,3,4,1,1,1,0,0,1,0,1
"1343",2,3,7,0,2,1,0,1,1,1,2
"1917441",2,0,0,0,0,3,0,2,2,0,0
"33040",2,1,1,0,1,0,0,0,0,0,0
"1311",2,3,50,28,4,2,2,0,3,7,4
"1346",2,2,24,3,1,5,1,1,4,1,3
"197614",1,0,1,0,0,0,0,0,0,0,0
"1363",25,14,42,4,10,19,13,6,16,12,6
"1359",24,14,31,5,9,13,5,16,6,9,3
"1358",19,8,58,7,12,24,8,17,10,22,3
"1366",16,10,23,4,12,25,10,8,14,18,3
"2419773",9,4,23,1,6,3,8,7,2,5,1
"1151742",8,8,22,3,5,10,4,2,3,3,0
"2643510",8,4,12,4,6,6,6,5,6,6,1
"1364",2,6,10,1,1,0,2,1,3,3,0
"2749961",1,0,2,0,1,0,0,2,2,1,0
"33945",38,20,91,14,19,25,15,34,26,20,9
"160453",26,11,46,5,20,17,13,12,14,17,6
"1351",25,8,138,18,23,26,21,24,16,44,10
"37734",20,11,122,10,17,21,12,65,8,21,4
"1352",19,10,216,83,16,11,22,4,13,13,2
"1354",17,10,96,25,9,12,13,6,15,16,8
"53346",17,8,71,6,13,17,11,8,13,13,4
"53345",16,4,44,7,9,12,5,5,8,9,4
"118060",16,8,73,5,7,9,3,14,5,15,3
"1805431",13,6,37,3,8,12,5,7,5,2,2
"44008",10,10,83,78,9,13,10,10,14,15,4
"2005703",8,5,40,9,8,18,11,12,8,5,3
"417368",7,5,36,6,6,2,2,4,5,5,3
"2608891",7,5,13,2,2,2,5,8,5,3,1
"1353",6,5,4,0,0,1,2,1,3,0,1
"357441",1,0,0,0,0,0,1,0,0,0,0
"2571750",11,1,41,7,3,8,3,4,9,7,3
"218144",10,2,31,6,4,6,4,10,4,8,4
"2714946",9,3,41,6,5,6,7,1,2,3,0
"2648499",7,1,37,4,3,3,3,3,9,4,2
"519472",6,7,68,10,3,5,4,5,5,6,3
"2714947",6,3,27,6,8,4,3,8,8,2,5
"633807",4,3,31,10,3,11,2,2,3,5,2
"51669",11,7,60,19,6,16,15,4,6,8,3
"290335",9,8,30,3,5,8,8,6,7,7,0
"526944",4,6,42,3,6,13,3,8,1,8,3
"33970",9,4,50,6,12,36,35,14,12,5,4
"119206",28,13,78,8,20,16,23,22,26,22,7
"1376",22,6,48,1,15,13,6,14,9,20,4
"51665",20,2,145,51,12,26,3,11,2,6,1
"1377",18,5,34,4,5,12,1,7,7,6,2
"87541",11,4,26,4,9,10,5,8,6,5,2
"128944",4,3,26,3,4,9,6,4,7,7,1
"46125",21,10,40,4,10,15,4,17,18,18,8
"2036206",17,15,28,2,6,13,7,4,13,18,3
"2748",19,8,66,9,12,13,9,6,8,21,5
"257487",18,16,99,18,10,25,10,11,19,21,5
"2751",8,7,71,15,13,21,8,6,12,22,3
"147709",7,4,28,4,5,3,2,5,3,8,2
"1868793",13,10,308,152,9,9,3,8,11,5,5
"2496265",11,10,86,10,6,7,4,4,11,12,3
"1868794",10,7,170,26,3,3,1,0,5,4,5
"708126",4,3,50,8,3,8,5,2,11,20,1
"2621505",3,6,60,9,5,4,5,0,2,6,0
"29394",23,20,91,8,16,18,14,6,20,21,11
"2632303",9,7,112,8,8,8,6,2,5,9,6
"73918",3383,2278,2718,404,2569,3601,2646,2716,2511,2378,917
"28033",1,1,0,0,2,2,0,2,1,1,0
"1297617",259,196,239,42,204,269,162,237,161,173,79
"2610894",139,99,192,20,99,171,109,150,101,104,45
"2086584",113,58,90,16,90,98,67,63,83,88,31
"2060094",67,54,130,20,51,66,39,49,53,60,28
"86331",19,11,41,4,14,28,8,12,11,10,10
"178898",57,41,74,6,39,71,46,38,54,46,26
"1981510",24,5,26,2,8,10,5,6,6,7,3
"853",747,455,741,96,458,640,436,514,447,492,187
"292800",438,290,393,63,347,496,382,354,334,341,140
"2643836",374,237,372,44,263,303,198,216,235,252,78
"2629304",211,166,212,32,149,225,179,147,168,153,59
"351091",159,103,137,14,82,132,94,95,93,132,34
"253239",297,194,302,31,205,269,189,195,199,215,80
"1550024",264,172,221,27,187,274,195,201,173,200,87
"1677857",142,249,42,6,40,62,7,8,10,16,18
"288965",34,35,43,13,26,35,12,5,7,17,13
"1515",33,30,34,6,26,28,11,12,14,15,6
"1796620",163,94,141,20,120,148,107,165,118,117,40
"1161942",73,43,69,6,43,60,47,39,41,56,18
"1264",30,17,57,4,28,39,19,18,14,18,12
"1160721",15,9,17,0,8,5,8,9,14,8,7
"2608920",13,9,24,4,7,4,7,7,7,14,1
"1521",40,18,344,22,18,17,6,5,11,9,6
"2488810",36,12,90,10,21,10,17,9,12,10,4
"84032",70,48,46,9,50,40,20,27,27,27,12
"1510",37,32,39,3,23,37,17,21,36,23,7
"884684",23,17,41,4,10,28,19,2,12,6,3
"236753",12,1,16,5,1,7,1,3,5,11,2
"2093857",9,16,13,3,10,16,8,14,9,8,3
"2614128",339,163,596,69,157,169,109,101,131,138,42
"36745",120,62,55,11,37,11,12,15,15,30,4
"1491",95,41,236,17,62,68,46,44,47,76,13
"1520",65,37,72,15,30,32,20,26,45,43,5
"1502",58,38,204,39,45,53,28,28,48,38,12
"1501",57,28,83,8,29,26,44,27,27,27,7
"1534",46,22,107,15,20,25,14,14,22,23,4
"169679",36,11,41,2,21,10,9,7,14,16,2
"1492",30,24,67,23,20,16,13,11,13,25,6
"1716543",28,10,49,8,21,12,12,17,23,26,4
"36845",26,11,138,10,32,11,14,18,17,30,4
"84022",22,14,61,2,13,18,14,4,14,9,6
