"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"1980928",0,0,0,0,1,0,3,0,0,0,1
"2175602",0,0,0,0,0,0,0,0,0,0,1
"2733979",0,0,0,0,0,0,1,0,0,0,1
"2732016",1,0,0,0,0,0,0,1,0,0,1
"62098",0,0,0,0,1,1,0,0,1,0,2
"97195",1,0,0,1,0,0,0,0,0,0,1
"10537",0,0,0,0,0,0,0,0,0,0,1
"1273747",4,0,5,2,2,0,3,1,0,1,1
"2560252",0,0,1,0,0,0,0,0,0,0,1
"332096",0,0,0,0,0,0,0,0,0,0,1
"10454",0,0,0,0,0,19,1,1,0,4,1
"58094",1,0,0,0,1,0,0,1,1,0,1
"1986291",0,0,1,0,0,0,0,0,0,1,1
"935650",1,0,0,0,0,0,1,0,0,1,1
"1507984",0,0,0,0,0,0,0,0,0,0,1
"512792",0,0,0,0,0,1,0,0,0,0,1
"71253",0,0,0,0,0,0,0,0,0,0,0
"122866",0,0,0,0,1,0,0,0,0,0,0
"1178537",8,0,2,4,0,3,5,2,1,1,0
"271881",22,0,1,0,1,0,1,2,0,0,0
"2685106",0,0,0,3,0,0,2,0,0,0,0
"150055",4,0,2,0,1,0,3,0,1,4,0
"1433513",2,0,2,1,0,1,2,0,2,0,0
"2633649",0,0,0,1,0,0,2,0,0,0,0
"29323",4,0,0,0,0,0,0,0,2,0,0
"413888",8,0,2,7,2,3,5,3,2,1,0
"1287640",2,0,3,0,0,1,3,0,0,3,0
"1541975",0,0,0,0,0,0,0,0,0,0,0
"171632",5,0,1,1,1,1,1,0,1,1,0
"92401",1,0,2,1,0,0,6,0,4,0,0
"538220",6,0,3,0,0,2,2,3,0,0,0
"33923",12,0,1,0,0,2,2,1,0,1,0
"2133",0,0,1,1,1,2,3,0,2,2,0
"216936",6,0,4,0,2,0,3,0,2,0,0
"1114980",0,0,0,0,0,1,4,0,0,0,0
"215578",6,0,2,1,1,0,0,0,1,2,0
"1120045",5,0,1,0,0,0,1,0,0,0,0
"34021",16,0,7,7,2,0,0,1,4,0,0
"281",1,0,0,0,0,0,2,0,1,0,0
"1933911",0,0,5,0,0,0,0,4,0,0,0
"803",16,0,5,0,0,0,7,10,2,0,0
"190650",0,0,0,0,0,0,0,1,0,0,0
"1179817",1,0,0,0,0,1,3,0,0,0,0
"543891",4,0,0,3,1,2,0,2,1,1,0
"1840323",0,0,0,0,0,0,0,0,0,0,0
"152500",1,0,0,1,1,3,0,1,0,3,0
"312153",2,0,4,0,1,0,1,1,0,0,0
"1449778",16,0,0,0,14,1,0,0,0,0,0
"935588",2,0,2,0,0,1,2,5,2,2,0
"2661583",6,0,11,5,3,1,3,4,1,2,0
"669502",9,0,3,0,2,1,0,2,0,0,0
"545908",0,0,0,1,0,0,0,0,2,1,0
"1329969",0,0,0,0,0,0,0,0,0,1,0
"2730846",0,0,0,0,0,0,0,0,0,0,0
"1848517",0,0,2,2,0,0,6,0,1,1,0
"2742646",0,0,0,0,0,0,0,1,0,0,0
"1905288",0,0,0,1,0,0,0,1,0,2,0
"640131",0,0,0,0,1,1,4,2,1,0,0
"2807631",2,0,0,1,2,0,0,1,1,1,0
"2742662",1,0,0,0,0,0,0,0,0,0,0
"2742653",9,0,2,3,1,0,0,0,0,0,0
"184912",4,0,1,1,0,1,1,2,1,1,0
"2683822",14,0,3,0,1,2,1,1,0,1,0
"2742659",0,0,0,0,0,0,0,0,0,0,0
"290339",0,0,0,1,1,0,1,1,0,0,0
"1286170",2,0,0,0,0,0,0,0,2,2,0
"2577118",0,0,0,0,0,0,0,0,0,0,0
"2603836",3,0,0,0,0,1,0,1,2,0,0
"1358422",1,0,0,0,0,0,0,0,0,1,0
"1446701",0,0,0,0,0,0,0,0,0,0,0
"2778655",0,0,2,1,0,0,0,0,1,2,0
"2778657",0,0,0,0,0,0,0,0,0,0,0
"2027293",0,0,0,0,0,0,0,0,0,0,0
"1050617",0,0,0,0,0,0,0,0,0,0,0
"1302410",4,0,0,0,0,0,0,0,0,1,0
"2675774",0,0,0,1,0,1,0,0,0,0,0
"2675773",91,0,13,5,5,18,42,3,15,9,0
"1401254",0,0,0,1,0,0,0,1,1,0,0
"631",13,0,3,4,2,4,3,5,1,1,0
"706191",1,0,0,1,0,1,5,0,2,1,0
"1095774",1,0,3,0,0,2,2,3,0,0,0
"98795",3,0,4,1,1,0,1,2,0,1,0
"2315801",7,0,1,2,0,0,0,1,1,1,0
"1241835",1,0,1,0,0,0,0,0,0,1,0
"118109",5,0,1,0,0,0,3,4,0,1,0
"2518974",3,0,2,0,0,0,0,0,0,1,0
"668607",8,0,1,2,0,1,0,5,1,1,0
"1224152",0,0,0,0,0,0,0,0,0,0,0
"561231",4,0,1,0,0,1,2,0,1,3,0
"598467",0,0,0,0,1,0,0,1,0,0,0
"2027290",0,0,1,0,0,1,0,0,0,0,0
"2633465",1,0,0,0,1,0,0,0,0,1,0
"63612",1,0,0,0,0,0,0,0,0,0,0
"2661587",8,0,0,0,0,0,5,1,0,1,0
"1416915",1,0,0,0,0,0,0,1,0,0,0
"693970",1,0,0,0,0,0,1,4,2,0,0
"399599",1,0,0,0,0,0,1,1,0,0,0
"693973",0,0,0,1,0,0,0,0,0,0,0
"316275",0,0,0,0,0,0,2,1,0,0,0
"80852",0,0,0,0,0,0,0,0,0,0,0
"434270",0,0,0,0,0,0,1,2,1,0,0
"716",22,0,1,2,0,3,11,3,2,0,0
"1433287",2,0,2,0,0,0,2,0,1,0,0
"1222034",5,0,0,0,0,1,0,0,0,0,0
"1275971",1,0,0,0,0,0,0,0,1,0,0
"1263829",3,0,0,1,0,0,0,1,0,0,0
"97084",0,0,0,10,4,0,0,0,0,0,0
"999434",2,0,1,2,0,0,2,1,0,0,0
"545776",0,0,1,5,1,2,1,2,0,0,0
"142",0,0,2,2,0,1,1,0,1,2,0
"1155096",1,0,2,0,0,0,0,1,0,0,0
"412418",0,0,0,0,0,0,1,0,0,0,0
"498738",0,0,0,0,0,1,0,0,0,0,0
"445984",0,0,1,0,0,0,0,0,0,0,0
"445985",1,0,0,0,0,0,0,0,0,0,0
"176",5,0,0,0,1,0,0,1,0,0,0
"44275",0,0,0,0,0,0,0,0,0,0,0
"338215",4,0,0,0,0,0,0,1,0,0,0
"126738",0,0,1,1,0,0,0,0,1,1,0
"590168",11,0,0,2,0,0,2,1,1,2,0
"1307443",1,0,0,0,0,0,0,0,0,0,0
"157688",19,0,4,2,1,0,2,1,0,2,0
"2703941",0,0,0,0,0,0,2,0,0,0,0
"58024",0,0,0,0,0,0,0,0,0,0,0
"2510508",2,0,0,0,1,0,1,1,0,0,0
"2794946",1,0,1,1,0,0,1,1,0,0,0
"10704",4,0,1,0,0,1,2,0,5,1,0
"2301621",3,0,1,1,1635,335,0,7,0,0,0
"1873985",0,0,0,0,0,1,0,1,1,0,0
"2713262",0,0,0,1,1,0,0,2,0,0,0
"2662138",1,0,0,0,1,0,2,1,1,1,0
"754070",0,0,0,0,0,0,1,0,0,0,0
"994601",0,0,0,0,0,0,0,0,0,0,0
"2283267",0,0,0,0,8,0,1,8,0,1,0
"2041344",2,0,0,1,1,2,2,1,0,1,0
"2026102",0,0,0,3,0,1,1,0,0,0,0
"641487",0,0,0,0,0,0,0,0,0,0,0
"2656529",0,0,0,0,0,0,0,0,0,0,0
"1414739",0,0,0,0,0,0,0,0,0,0,0
"1131316",2,0,3,0,1,4,3,0,0,2,0
"1587907",0,0,0,0,0,0,0,0,0,0,0
"573591",1,0,0,0,0,0,0,0,0,1,0
"1582151",0,0,0,0,0,0,0,0,0,0,0
"1126885",0,0,0,0,0,0,0,0,0,0,0
"1105171",0,0,0,0,0,0,0,0,0,0,0
"2662295",0,0,2,0,0,0,0,0,0,1,0
"294382",0,0,0,0,0,0,1,0,0,0,0
"741942",1,0,0,0,0,0,1,0,0,0,0
"2599849",0,0,0,1,0,0,0,0,1,0,0
"2059855",0,0,0,0,0,0,0,0,0,0,0
"2079417",3,0,0,0,0,0,0,0,0,0,0
"1500757",2,0,0,1,0,1,3,0,1,0,0
"1161901",0,0,0,0,0,0,0,0,0,0,0
"2725616",0,0,0,3,0,0,1,0,0,0,0
"1718278",0,0,0,0,0,2,0,0,0,0,0
"437329",1,0,0,1,0,0,0,0,0,0,0
"1051143",0,0,0,0,0,0,1,3,0,0,0
"1225862",0,0,1,1,1,0,0,0,0,1,0
"540068",1,0,0,4,0,1,1,1,0,0,0
"540065",0,0,0,0,0,0,0,0,0,0,0
"1993876",0,0,0,0,0,0,0,0,0,0,0
"1993867",0,0,1,0,0,0,2,1,0,0,0
"2560512",2,0,0,2,1,0,1,0,0,1,0
"205876",0,0,0,0,0,0,1,1,0,1,0
"2306284",0,0,2,4,2,0,0,1,1,1,0
"2560783",12,0,2,0,3,0,0,9,2,0,0
"2049886",1,0,1,1,0,1,0,0,1,1,0
"2560594",1,0,0,0,0,1,0,0,0,0,0
"861047",0,0,0,0,0,1,0,0,0,0,0
"466051",0,0,0,0,0,0,1,0,0,0,0
"1954378",0,0,0,0,0,1,0,0,0,0,0
"1954380",0,0,0,0,0,0,0,0,0,0,0
"2734223",0,0,0,1,0,1,1,0,0,1,0
"2733202",0,0,0,0,0,0,0,0,0,1,0
"1982251",0,0,0,0,0,1,0,1,0,0,0
"1982093",2,0,0,0,0,0,0,0,0,0,0
"2560496",0,0,1,0,1,0,0,0,1,0,0
"2169812",3,0,1,1,1,3,4,1,0,1,0
"1982751",0,0,1,2,0,1,1,0,0,0,0
"1982562",2,0,0,0,1,0,1,0,0,5,0
"1920751",0,0,0,1,0,0,2,2,0,0,0
"2560589",0,0,1,0,1,0,0,1,0,1,0
"1636203",0,0,0,0,0,0,0,0,0,0,0
"2734283",0,0,0,0,1,0,4,0,0,0,0
"2560683",0,0,0,0,0,0,0,0,0,1,0
"2560787",4,0,6,0,0,0,0,0,0,1,0
"2560788",3,0,0,0,0,0,0,0,0,1,0
"2560842",0,0,0,1,0,0,3,0,0,0,0
"2560720",0,0,0,0,0,0,0,0,0,0,0
"1982229",0,0,1,0,0,0,0,0,0,0,0
"2734274",3,0,4,1,1,2,6,0,1,0,0
"1982368",1,0,0,0,0,0,0,1,0,0,0
"2560499",1,0,0,0,0,0,0,1,1,0,0
"1982378",0,0,0,0,0,0,0,0,0,0,0
"1982078",0,0,0,1,0,0,0,0,0,0,0
"2734290",0,0,0,0,0,0,1,0,0,0,0
"1406788",0,0,0,0,0,0,0,0,0,0,0
"329254",1,0,1,1,0,0,0,1,0,0,0
"2733205",0,0,0,0,1,0,0,1,0,0,0
"1982106",0,0,0,0,0,0,0,0,0,0,0
"1982239",0,0,0,0,0,0,0,0,0,0,0
"2560486",3,0,0,39,0,0,0,1,1,2,0
"2734261",2,0,0,0,0,2,0,0,0,0,0
"1982554",0,0,0,0,0,0,0,0,0,0,0
"1982557",4,0,0,0,0,1,0,0,0,0,0
"2734246",1,0,0,2,0,0,2,0,1,0,0
"2448213",0,0,0,1,0,0,0,2,0,0,0
"2169655",0,0,0,0,0,0,0,1,1,0,0
"2560703",0,0,1,0,0,0,0,0,0,1,0
"1910992",0,0,1,0,0,2,1,0,0,1,0
"2560656",0,0,0,0,0,0,0,0,0,0,0
"2115965",0,0,0,0,0,0,0,0,0,0,0
"1498228",3,0,0,0,0,0,1,0,2,0,0
"1173297",0,0,0,1,0,0,1,0,0,0,0
"1129194",1,0,0,0,0,0,0,0,0,0,0
"2023998",1,0,1,0,0,0,0,0,0,0,0
"1150991",0,0,0,1,0,0,0,1,0,0,0
"754074",0,0,0,0,0,0,0,0,0,0,0
"754058",1,0,0,0,0,0,0,0,0,0,0
"699370",0,0,0,0,0,0,0,0,0,1,0
"1278479",0,0,0,0,0,0,1,2,0,0,0
"1279082",13,0,2,1,1,3,0,1,2,0,0
"1567014",0,0,0,0,0,0,0,0,0,0,0
"1880590",1,0,0,1,0,0,1,0,1,0,0
"536453",0,0,0,0,0,0,0,0,0,0,0
"536444",0,0,0,0,0,0,0,0,0,0,0
"2588094",0,0,0,0,0,0,0,0,0,0,0
"33771",0,0,0,0,0,0,0,0,0,0,0
"55884",0,0,0,0,0,0,0,0,0,0,0
"2767579",0,0,1,1,0,0,1,1,0,0,0
"137511",0,0,0,0,0,0,0,0,0,0,0
"1560342",0,0,1,0,0,0,0,0,0,0,0
"1458861",0,0,0,0,0,0,0,0,1,0,0
"1913650",1,0,0,0,1,0,1,0,0,1,0
"279006",0,0,0,0,0,1,0,0,0,0,0
"2006136",0,0,0,0,0,0,0,0,0,0,0
"1914851",1,0,1,3,0,1,5,0,1,1,0
"2201163",1,0,0,0,0,0,0,0,0,0,0
"1980950",3,0,0,1,0,0,0,0,2,1,0
"2560301",0,0,0,0,0,0,0,1,0,0,0
"2733083",0,0,0,0,0,1,2,2,0,0,0
"2733081",0,0,0,0,0,0,0,0,0,0,0
"2732975",0,0,0,0,0,0,0,0,0,0,0
"2732985",0,0,1,0,0,0,0,0,0,0,0
"2169990",0,0,0,0,0,0,0,0,1,0,0
"1985292",0,0,0,0,0,1,1,0,0,0,0
"417280",2,0,0,1,0,2,1,1,0,0,0
"2006171",0,0,0,0,0,0,0,0,0,0,0
"1636618",0,0,1,0,0,1,0,2,0,1,0
"2560802",1,0,0,0,0,2,2,0,0,9,0
"2734078",1,0,0,0,0,0,0,0,0,0,0
"1984787",1,0,0,0,0,1,0,0,1,0,0
"2560849",3,0,0,0,1,0,2,2,0,0,0
"1984779",0,0,0,0,0,0,0,0,0,0,0
"2560269",0,0,0,0,0,0,0,0,0,0,0
"1921525",1,0,0,0,0,1,0,0,0,0,0
"2734116",0,0,4,0,0,2,0,3,0,0,0
"115987",0,0,0,0,0,0,0,0,0,0,0
"1231361",2,0,1,0,0,0,1,1,0,1,0
"2734128",1,0,0,0,0,0,0,0,1,1,0
"2752521",0,0,0,1,0,0,1,1,0,1,0
"2734101",0,0,0,0,0,0,0,0,0,0,0
"2734083",0,0,0,0,0,0,1,3,0,0,0
"2734088",1,0,1,0,0,2,1,0,2,0,0
"2734106",2,0,1,0,0,0,0,0,0,0,0
"2560406",1,0,1,5,1,2,1,0,0,0,0
"1921407",0,0,0,0,0,0,0,0,0,0,0
"2560677",0,0,0,0,0,0,0,0,0,0,0
"1918727",0,0,0,0,0,0,0,0,0,1,0
"2560094",0,0,0,0,2,0,1,0,0,0,0
"2560495",4,0,1,0,0,0,1,1,0,0,0
"1987158",0,0,0,0,0,0,0,0,0,0,0
"1983541",0,0,0,0,0,0,0,0,0,0,0
"1636270",0,0,1,0,0,0,0,1,0,0,0
"2725606",2,0,0,0,0,1,1,1,1,0,0
"948071",0,0,0,0,0,0,0,0,0,0,0
"2591033",0,0,0,0,0,0,0,0,0,0,0
"2596674",1,0,1,0,10,0,2,0,0,0,0
"2734259",1,0,0,0,0,1,0,0,0,0,0
"1982591",5,0,0,1,0,2,1,0,0,1,0
"1982592",1,0,2,2,0,2,0,1,1,1,0
"2169962",1,0,1,1,0,2,1,0,0,0,0
"2734190",1,0,0,0,0,0,0,0,1,0,0
"2734189",1,0,0,1,0,0,1,2,0,0,0
"2170216",0,0,0,0,0,0,0,0,0,0,0
"1982596",0,0,0,0,2,0,0,0,2,0,0
"2734160",2,0,1,0,0,0,1,0,0,0,0
"2734159",41,0,1,0,0,0,10,0,0,0,0
"545932",0,0,0,0,0,0,0,0,0,0,0
"1917990",2,0,1,0,0,1,0,2,0,2,0
"1918010",2,0,0,1,0,0,0,0,1,0,0
"1857843",3,0,0,0,0,1,2,1,0,1,0
"298338",0,0,0,0,0,0,0,1,0,0,0
"2732968",0,0,0,0,0,1,1,0,2,3,0
"857312",1,0,0,0,0,1,0,0,0,0,0
"2732932",0,0,0,1,3,0,0,1,0,0,0
"2732931",1,0,3,0,0,0,2,0,0,0,0
"2732694",1,0,0,2,0,0,1,0,0,0,0
"2732693",0,0,0,1,0,0,1,0,0,0,0
"2732690",3,0,0,0,1,1,0,0,0,0,0
"2732684",0,0,0,0,0,0,0,0,0,0,0
"2732937",0,0,0,1,0,1,0,0,0,1,0
"2732939",1,0,0,0,0,0,0,0,0,0,0
"2732918",0,0,0,0,0,0,0,0,0,0,0
"2732925",0,0,0,0,0,1,0,0,1,0,0
"2732913",0,0,0,0,0,0,1,0,0,2,0
"2732912",0,0,0,0,0,0,0,1,1,1,0
"1316739",0,0,0,0,0,0,0,0,0,0,0
"2733951",0,0,0,0,0,0,0,0,0,0,0
"2733942",0,0,0,1,0,1,0,0,0,0,0
"2733928",1,0,1,0,0,0,0,0,0,0,0
"2733926",1,0,0,0,0,1,0,0,0,0,0
"2733919",0,0,0,0,4,0,1,0,0,0,0
"2733904",0,0,0,0,1,0,0,0,0,0,0
"2733896",0,0,0,0,0,0,0,0,0,0,0
"2733894",0,0,0,0,0,0,0,0,0,0,0
"2560297",0,0,0,0,1,1,1,0,1,0,0
"2732017",0,0,0,0,0,1,2,2,0,1,0
"2560651",0,0,0,0,0,1,0,0,0,0,0
"2560546",0,0,0,0,0,0,0,0,0,0,0
"1527770",3,0,0,0,0,0,0,0,0,0,0
"1785960",1,0,1,0,0,0,0,0,0,0,0
"2584487",2,0,0,0,0,0,0,0,0,0,0
"1262513",0,0,0,0,0,0,0,0,0,0,0
"2731621",0,0,0,0,0,1,0,1,0,0,0
"187217",6,0,0,0,0,0,2,0,0,0,0
"2732086",4,0,0,0,0,0,0,1,0,0,0
"1920860",0,0,0,0,0,0,0,0,0,0,0
"2733975",0,0,1,0,0,0,0,0,0,0,0
"150286",0,0,1,0,0,0,0,1,1,0,0
"317878",0,0,4,0,0,0,2,0,1,0,0
"85655",1,0,0,1,0,0,0,0,0,1,0
"2282206",0,0,0,0,0,0,0,0,0,0,0
"261939",1,0,0,0,0,0,0,0,0,0,0
"1273746",1,0,0,1,1,0,1,0,2,2,0
"1454029",0,0,0,0,0,0,0,0,0,0,0
"1592094",0,0,0,0,0,0,0,0,0,0,0
"1859492",1,0,3,0,0,0,0,0,0,0,0
"2010275",0,0,0,0,0,0,0,0,0,0,0
"2005509",3,0,1,0,0,0,2,0,0,0,0
"10275",0,0,0,0,0,0,0,0,0,1,0
"40070",0,0,0,1,0,0,0,1,0,0,0
"10265",0,0,0,0,0,1,0,0,0,0,0
"10282",1,0,0,0,0,0,0,0,0,0,0
"2733296",0,0,0,0,0,0,0,0,0,0,0
"2733297",1,0,0,0,0,0,0,0,0,0,0
"10506",1,0,0,0,0,0,0,0,0,0,0
"113370",0,0,3,1,0,1,0,1,0,0,0
"1146874",0,0,0,0,0,0,0,0,0,0,0
"536079",0,0,0,1,0,0,0,0,2,0,0
"129953",0,0,0,0,0,0,0,0,0,0,0
"1146875",5,0,0,3,0,0,1,0,0,4,0
"190062",0,0,0,1,0,0,1,0,0,1,0
"32613",0,0,0,0,0,0,0,0,0,0,0
"35303",0,0,0,0,0,0,1,0,0,1,0
"1513300",0,0,0,0,0,0,0,0,0,0,0
"11271",0,0,0,1,0,0,0,0,0,1,0
"2560076",0,0,2,1,0,2,2,0,2,2,0
"186458",3,0,0,1,0,0,0,0,0,0,0
"2501972",0,0,0,0,0,0,0,0,0,0,0
"1883068",1,0,0,0,0,0,0,0,0,0,0
"1921703",0,0,0,0,0,0,0,0,0,0,0
"1435457",0,0,0,0,0,0,0,0,1,0,0
"1884456",0,0,0,0,0,0,0,0,0,0,0
"1980533",0,0,0,0,0,0,0,0,0,0,0
"1980517",0,0,1,0,0,0,2,0,1,0,0
"1299308",0,0,0,0,0,0,0,0,0,0,0
"229030",0,0,0,0,0,0,1,0,0,0,0
"1416026",0,0,0,0,0,0,0,0,1,0,0
"2030954",0,0,0,1,0,0,0,0,0,0,0
"349945",0,0,0,0,0,0,0,0,0,0,0
"1206566",0,0,0,0,0,0,0,0,1,0,0
"339419",0,0,0,0,0,0,0,0,0,0,0
"12151",0,0,0,0,0,0,0,0,0,0,0
"312273",0,0,0,0,0,1,0,0,0,0,0
"71030",0,0,0,0,0,0,0,0,0,0,0
"312008",1,0,0,0,0,0,0,0,0,0,0
"445435",0,0,0,0,0,0,0,0,0,0,0
"1324959",0,0,0,0,0,0,0,0,0,0,0
"2364281",0,0,0,0,0,1,0,0,0,0,0
"11041",1,0,0,0,0,0,0,0,1,1,0
"35279",0,0,0,0,0,0,0,0,0,1,0
"2008769",0,0,0,0,0,0,0,0,0,0,0
"39734",0,0,0,0,0,0,0,0,0,0,0
"693995",0,0,0,0,0,0,0,1,0,0,0
"325675",0,0,0,0,0,0,0,0,0,0,0
"2508223",1,0,0,0,0,0,0,0,0,0,0
"12270",0,0,0,1,0,1,0,0,0,1,0
"12258",0,0,0,0,0,0,0,0,0,0,0
"51354",0,0,0,0,0,0,0,0,0,0,0
"1821751",0,0,0,0,0,0,0,0,0,0,0
"138950",0,0,0,0,0,0,0,0,0,0,0
"2003649",0,0,0,0,0,0,0,0,0,0,0
"115232",0,0,0,0,0,0,0,0,0,0,0
"12211",0,0,0,0,0,0,0,0,0,0,0
"526119",0,0,0,1,0,0,1,0,0,0,0
"2065797",0,0,0,0,0,0,0,0,1,0,0
"282786",0,0,0,0,0,0,0,0,0,0,0
"1714367",0,0,0,1,0,0,0,0,0,0,0
"1148491",0,0,0,0,1,0,0,0,0,0,0
"10912",1,0,0,0,0,0,0,0,1,0,0
"10892",5,0,2,2,1,0,1,0,0,0,0
"10981",2,0,1,0,0,0,0,0,0,0,0
"10879",0,0,0,0,0,0,0,0,0,0,0
"2169862",0,0,0,0,0,0,0,0,0,0,0
"1923244",0,0,0,0,0,0,0,0,0,0,0
"1922770",0,0,0,0,0,0,2,0,0,0,0
"1923634",0,0,0,0,0,0,0,0,0,0,0
"1922692",0,0,0,0,0,0,0,0,0,0,0
"1923335",0,0,0,0,0,0,0,0,0,0,0
"1922696",0,0,0,0,0,0,0,0,0,0,0
"1922769",0,0,0,0,1,0,0,0,0,0,0
"1922551",0,0,0,0,0,0,0,0,0,0,0
"1922860",0,0,0,0,0,0,0,0,0,0,0
"1922547",1,0,0,0,0,0,0,0,0,0,0
"1922634",1,0,0,0,0,0,0,0,0,0,0
"1922789",0,0,0,0,0,0,1,0,0,0,0
"1923282",0,0,0,0,0,0,0,0,0,0,0
"1923687",0,0,0,0,0,0,0,0,0,0,0
"1922529",0,0,0,0,0,0,0,0,0,0,0
"1922922",0,0,0,0,0,0,0,0,0,0,0
"1923630",0,0,0,0,0,0,0,0,0,0,0
"1922377",0,0,0,0,0,0,0,0,0,0,0
"1922361",0,0,0,0,0,0,0,0,0,0,0
"1746058",0,0,0,0,0,0,0,0,0,0,0
"1608133",0,0,0,0,0,0,1,0,0,0,0
"325348",0,0,0,0,0,0,1,0,0,0,0
"172220",0,0,0,0,0,0,0,0,0,0,0
"107324",84,0,13,6,41,320,37,5,30,16,0
"153137",0,0,0,0,0,0,0,0,0,0,0
"161494",1,0,0,1,1,1,3,0,0,0,0
"447897",2,0,0,1,0,0,2,0,1,2,0
"166921",1,0,1,2,0,1,0,0,2,4,0
"1962501",4,0,1,0,1,1,0,0,1,0,0
"320432",0,0,0,0,0,0,1,0,2,0,0
"271108",0,0,0,1,0,0,1,0,0,0,0
"1046267",0,0,0,0,0,0,0,0,0,0,0
"1642929",3,0,0,0,0,0,0,0,0,1,0
"207830",0,0,0,0,0,0,0,1,0,0,0
"101850",2,0,1,0,0,0,1,2,0,0,0
"70600",0,0,0,0,0,0,0,0,0,0,0
"51313",1,0,0,0,0,0,0,0,0,0,0
"10464",1,0,0,0,0,0,0,0,0,0,0
"359919",0,0,0,0,0,0,2,0,0,0,0
"166056",0,0,1,1,0,0,1,0,0,1,0
"362830",0,0,0,0,0,0,0,0,0,0,0
"307444",0,0,0,0,0,0,0,0,0,0,0
"307454",0,0,0,0,0,0,0,0,0,0,0
"130556",0,0,1,1,0,0,1,1,2,1,0
"1233675",0,0,0,0,0,0,0,0,0,0,0
"223321",0,0,0,0,0,0,1,0,0,0,0
"71186",0,0,0,0,0,0,0,0,0,0,0
"1910929",0,0,0,0,0,0,0,0,0,0,0
"2170140",0,0,0,0,0,0,0,0,0,0,0
"1379712",0,0,0,0,0,0,0,0,0,0,0
"325455",0,0,1,0,1,0,0,1,0,0,0
"325454",0,0,0,0,0,0,0,0,0,0,0
"333938",0,0,1,0,0,0,0,0,0,0,0
"2170410",0,0,0,0,0,0,0,0,0,0,0
"185880",0,0,0,0,0,0,0,3,0,0,0
"2747321",0,0,0,0,0,0,0,0,0,0,0
"2053981",0,0,0,0,0,0,0,0,0,0,0
"1128424",0,0,0,1,0,0,0,0,0,0,0
"10484",0,0,1,0,0,0,0,0,0,1,0
"379529",1,0,0,0,0,0,1,0,0,0,0
"2493124",0,0,0,0,1,0,1,0,0,1,0
"2419666",0,0,0,0,0,0,0,0,0,0,0
"1868660",0,0,0,0,0,0,0,0,0,0,0
"1932713",0,0,0,0,0,0,0,0,0,0,0
"2023155",0,0,0,0,0,0,0,0,0,0,0
"224911",1,0,0,0,0,0,1,0,1,0,0
"258594",0,0,3,1,0,0,0,0,0,0,0
"2696058",1,0,1,1,0,0,0,0,0,1,0
"2740298",1,0,0,0,0,2,0,0,1,1,0
"375451",0,0,0,0,0,0,0,0,0,0,0
"234826",0,0,0,0,0,0,1,0,0,0,0
"1840301",0,0,2,0,0,0,0,1,0,0,0
"1840297",0,0,1,1,4,1,4,1,2,2,0
"2082385",11,0,0,0,0,0,0,0,0,0,0
"257310",0,0,0,0,0,0,0,0,0,0,0
"1247414",0,0,0,0,0,0,0,0,0,0,0
"1236608",0,0,0,0,0,0,0,0,0,0,0
"2565559",0,0,0,1,0,0,1,0,0,0,0
"453602",1,0,0,0,0,0,0,0,0,1,0
"1934254",0,0,0,0,0,0,0,0,0,0,0
"2742647",0,0,0,0,0,0,0,0,0,0,0
"2742674",0,0,0,0,0,2,1,0,0,0,0
"2773706",0,0,0,0,0,0,0,0,1,0,0
"861906",0,0,0,1,0,0,1,0,0,3,0
"2810405",0,0,0,0,0,1,0,0,0,0,0
"2675796",0,0,0,0,0,2,0,0,0,0,0
"2675790",5,0,0,0,1,2,1,0,0,1,0
"118099",1,0,1,0,0,0,0,0,0,0,0
"634503",0,0,0,0,0,1,3,0,0,0,0
"529507",2,0,2,0,1,1,0,0,0,1,0
"383749",0,0,0,0,0,0,0,1,0,0,0
"127906",1,0,0,0,0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0,0,0,0,0
"1427364",0,0,0,0,0,0,0,5,3,0,0
"197575",1,0,0,0,0,0,0,0,0,1,0
"1304890",0,0,0,0,0,0,0,0,0,2,0
"246195",0,0,1,0,1,0,1,1,1,0,0
"47874",9,0,1,0,1,3,1,0,0,2,0
"2636055",6,0,2,0,2,0,1,1,2,1,0
"29554",4,0,3,1,0,4,11,1,0,0,0
"243275",0,0,0,0,0,0,0,0,0,0,0
"160",4,0,1,2,0,0,4,4,1,0,0
"498743",1,0,0,0,0,0,0,0,1,0,0
"759914",0,0,1,1,0,2,0,1,0,0,0
"1266923",1,0,0,0,0,0,0,0,0,1,0
"1176423",0,0,0,0,0,0,0,0,0,0,0
"1701828",0,0,0,0,0,0,0,0,0,0,0
"1109713",5,0,1,1,1,2,5,1,0,2,0
"2178923",1,0,1,1,0,0,1,0,0,0,0
