"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1417228",282,266,279,424,779,578,411,362,287,236,87
"398527",294,248,254,458,586,562,288,329,254,235,74
"2654982",547,576,467,957,918,1065,657,620,444,479,113
"391038",582,496,507,802,1026,1213,601,641,487,458,108
"134537",541,552,514,698,1037,1074,650,717,443,615,123
"754502",496,545,457,761,970,1076,550,627,410,401,139
"420953",517,482,447,760,886,942,536,548,375,363,114
"1229205",544,454,449,772,989,1179,565,619,450,459,134
"169427",488,482,443,846,871,1045,549,575,441,389,97
"60548",440,432,387,680,743,969,545,547,342,341,104
"134536",419,374,360,660,733,804,486,525,390,365,94
"311231",432,390,349,603,733,852,437,603,320,339,91
"2211211",343,343,379,547,687,741,433,401,338,332,85
"169430",412,377,314,563,663,720,437,399,268,317,90
"1761016",429,364,331,600,678,737,469,372,314,313,86
"266265",415,329,356,613,708,766,410,388,331,314,93
"265293",362,347,343,453,504,529,352,378,274,267,68
"311230",217,201,207,360,441,359,260,268,171,166,51
"859655",126,82,107,127,138,150,119,98,79,90,22
"859657",15,14,17,16,29,44,15,16,17,12,4
"1394180",16,11,22,31,24,24,22,27,20,20,5
"1457195",10,5,6,9,19,13,14,10,4,12,6
"859656",9,4,5,11,14,4,8,5,9,4,4
"1262456",1,0,1,0,0,0,3,0,0,0,0
"1130829",2,0,0,0,0,0,0,0,0,0,0
"402626",129,123,133,259,311,258,199,195,130,114,50
"428406",68,101,88,157,151,147,85,104,79,62,27
"190721",526,457,503,770,1453,931,633,612,516,444,162
"105219",342,334,336,653,872,616,417,412,366,308,106
"1310165",41,28,24,61,63,69,47,29,38,34,12
"1944648",5,5,2,3,8,8,3,6,7,4,1
"1310168",0,0,0,0,2,0,0,0,4,2,0
"1416914",10,5,4,7,17,23,12,11,7,11,1
"93221",546,495,468,928,1018,959,561,670,460,431,143
"445709",507,522,454,892,1258,984,595,690,530,470,160
"2518599",355,362,357,634,873,728,435,484,384,362,114
"656178",467,359,408,710,941,702,520,472,351,351,213
"93219",388,353,379,679,930,696,391,492,314,328,110
"656179",381,330,352,635,742,648,445,478,378,357,92
"93218",368,304,349,453,691,620,383,364,325,294,77
"1891094",288,278,296,524,667,511,363,361,281,280,91
"573737",290,241,280,447,557,444,321,334,237,273,75
"93222",280,229,229,399,503,488,308,329,216,224,89
"2814653",588,571,562,917,1014,1260,663,737,501,472,129
"2705547",32,29,28,52,39,40,32,40,24,29,5
"2705548",38,24,31,33,42,60,46,18,30,17,9
"758793",616,572,506,1003,997,1135,678,764,510,476,140
"47671",570,430,594,822,1155,944,692,677,519,476,182
"2594795",335,326,311,561,1141,617,429,420,751,327,79
"882378",330,377,343,522,733,667,589,651,315,335,98
"452638",7,10,10,15,66,21,8,14,8,10,3
"556054",35,18,29,36,75,56,60,36,36,38,15
"576611",24,16,35,0,0,0,31,0,0,0,11
"1743162",29,16,16,18,82,21,17,17,5,17,3
"1743174",5,14,15,22,35,10,24,19,15,13,3
"556053",31,26,23,65,124,36,39,78,32,47,15
"2527775",15,20,28,34,80,22,23,24,11,22,6
"1835254",9,6,13,14,120,25,17,14,16,10,4
"1743168",5,12,11,12,38,20,14,10,10,14,4
"2732163",71,47,60,139,4266,112,79,124,78,41,22
"1553431",32,26,27,36,81,51,43,38,32,35,5
"2651972",13,16,18,32,127,54,22,35,28,17,5
"2268024",35,23,20,47,133,67,26,20,29,31,7
"2753607",2486,1926,2216,4571,14022,3917,2737,3972,2501,1898,514
"946333",2176,1855,1993,3542,4949,3481,2586,2820,1972,1758,454
"420662",805,621,638,1251,2118,1231,915,978,703,642,149
"2082386",759,599,663,1292,1807,1308,829,846,750,628,143
"1430884",0,0,0,1,44,0,0,1,0,0,0
"983917",2301,1910,2067,4185,5343,3726,2623,3175,2314,1909,446
"395495",1734,1296,1502,2883,3820,2651,1798,1978,1619,1330,336
"1050370",686,590,625,1107,1593,1071,764,931,691,601,179
"75379",101,80,84,160,226,153,126,99,104,97,175
"426114",89,86,115,151,200,182,148,127,110,107,27
"639200",1379,1161,1200,2572,3411,2271,1498,1740,1429,1098,321
"1658665",1426,1275,1378,3011,3356,2991,1643,2758,1394,2891,300
"2697032",1298,980,924,1631,2984,1903,1351,1283,1219,950,287
"1296669",884,620,687,1348,2231,1230,946,1084,795,684,207
"76731",752,589,649,1365,2029,1307,817,1063,760,800,198
"392593",560,427,471,944,2132,835,577,751,653,434,107
"1768242",420,300,359,811,1544,767,451,591,525,355,124
"1746199",662,561,511,934,1426,1017,739,835,615,559,189
"1697043",670,668,609,1067,1441,1121,749,905,683,541,200
"463014",785,644,687,1106,1655,1187,898,913,807,636,237
"463025",876,932,1109,2422,1794,2127,1676,1178,787,770,264
"463040",880,741,1110,2768,1869,1474,1016,1293,812,793,292
"1416806",817,676,704,1291,1587,1261,920,1050,744,711,229
"1416803",732,597,655,1125,1449,1257,809,937,672,547,210
"103855",646,489,552,870,1483,1000,645,880,590,558,213
"94624",504,536,559,1041,5116,1182,730,3065,727,495,462
"123899",464,447,408,682,1217,746,602,668,399,383,189
"1331258",397,313,377,600,979,626,439,554,351,312,125
"1208658",6,7,6,8,9,9,2,3,7,3,1
"568707",1,0,0,0,2,2,0,0,0,2,0
"35814",223,181,214,335,547,365,235,303,238,196,84
"521",0,163,198,313,553,0,228,0,0,145,0
"463024",123,96,89,139,198,154,136,152,78,100,64
"520",46,54,53,71,107,78,67,67,34,41,14
"1208660",20,14,7,18,66,33,13,14,16,14,8
"762376",391,311,357,528,870,577,450,520,336,318,252
"1167634",54,27,28,59,73,47,39,36,41,36,13
"1758194",648,562,586,1079,1639,1040,789,897,642,608,232
"1881016",626,564,644,860,14128,925,720,1584,1838,535,5717
"2282475",382,336,361,526,819,562,446,578,395,301,167
"217203",1117,895,1047,1704,2781,1826,1327,1653,4214,946,1169
"32002",1108,939,950,1493,2247,1609,1229,1395,1023,920,569
"217204",537,412,492,1892,1712,810,693,740,820,446,613
"1353889",355,353,331,578,865,579,402,457,348,328,205
"1353891",293,224,239,377,619,402,289,311,197,216,89
"72557",8,9,3,8,48,6,9,5,11,5,52
"2488560",1359,1022,1252,1915,2986,2154,1572,1494,1247,1202,370
"1940612",449,345,380,587,1167,598,465,450,373,370,117
"1437824",864,681,827,1247,1849,1431,1012,1058,891,740,303
"1851544",723,633,637,1142,1559,1155,826,1014,677,639,205
"2028345",217,195,228,351,656,392,292,353,301,191,179
"1007105",139,112,127,193,536,220,162,189,201,116,128
"2716226",69,74,61,100,218,111,68,104,117,66,44
"511",295,257,260,469,1288,463,423,401,423,252,200
"2813780",58,52,55,69,139,75,72,62,43,44,21
"323284",18,10,15,29,75,36,20,23,28,15,22
"206506",201,180,195,330,907,369,237,283,241,186,77
"1036672",116,98,103,172,421,177,130,147,191,100,41
"1247726",83,96,68,166,377,152,107,123,115,77,43
"2163011",93,103,90,149,298,155,104,132,94,106,63
"90245",19,19,23,29,113,32,25,20,20,14,4
"90244",10,11,16,17,84,27,17,20,23,7,12
"1072685",10,10,16,10,33,10,28,12,17,16,6
"643674",20,19,18,41,56,37,20,35,27,14,19
"29575",2,8,5,8,18,7,2,8,11,4,1
"1008459",3,7,1,6,41,2,2,3,6,4,0
"2652177",5,4,6,10,47,16,14,14,5,7,5
"1707785",1238,3613,1057,1874,2598,1844,1378,1731,1345,860,1150
"2769491",820,1034,865,1302,2147,1266,1144,1185,1045,740,893
"1678028",740,718,589,1108,2813,999,959,1239,1220,581,371
"1593482",720,762,651,1068,1589,1170,891,918,809,562,328
"2765360",680,643,525,937,1649,884,754,746,1104,541,341
"2709302",13,17,18,16,23,15,23,15,16,8,6
"2709303",22,24,18,24,29,17,15,15,16,12,11
"1141883",1394,3316,1218,2200,6472,2275,1596,1983,1642,1113,759
"871742",1343,1532,1001,2036,2449,1973,1390,1634,1159,955,369
"945844",1099,1126,880,1461,2271,1434,1300,1553,1162,796,2402
"864828",913,997,757,1252,1916,1230,969,1034,880,783,301
"321985",819,891,663,1055,1863,1145,881,970,838,610,292
"321983",838,938,707,1200,1876,1233,888,1032,848,686,320
"2072590",791,754,586,985,1795,1098,882,899,786,612,283
"321984",729,699,643,1138,1673,1056,845,900,742,563,275
"2045208",687,639,599,999,1671,1069,753,853,1124,594,285
"2014887",769,687,627,1128,2163,1091,808,855,774,585,278
"964",551,499,481,835,2107,894,0,679,582,459,185
"1262470",518,484,420,773,1628,858,572,589,552,445,188
"1235827",135,125,157,177,564,233,178,175,150,117,55
"1078773",22,29,21,34,74,30,30,20,28,15,6
"863372",360,286,281,494,2306,581,385,422,347,262,131
"92645",367,314,326,598,1337,572,417,444,386,286,131
"2025949",238,286,222,426,1197,438,303,333,353,245,99
"2497863",406,385,391,738,2088,774,511,572,574,352,215
"1644131",417,373,378,614,954,597,487,490,381,339,144
"1938606",178,188,158,298,487,309,217,234,220,173,86
"375286",127,130,116,228,1162,232,139,222,182,98,78
"1537274",101,88,94,146,308,168,116,83,75,63,25
"2808899",80,54,52,134,139,116,93,74,73,43,24
"1236179",51,29,42,59,199,52,60,34,44,40,11
"1349767",458,506,401,769,1613,675,489,605,608,425,228
"2590869",133,135,146,220,482,242,196,225,188,98,47
"368607",145,137,141,231,418,230,181,184,177,126,50
"29581",168,111,142,227,412,219,180,146,142,115,48
"2728020",1117,1469,873,1621,2519,1768,1182,1450,1250,877,781
"2728021",666,680,573,1128,2059,1020,858,842,890,541,289
"1005048",209,199,203,372,884,397,247,261,229,188,80
"279058",464,474,395,666,2187,762,536,593,495,377,191
"279113",464,406,380,729,1583,714,489,474,460,353,180
"2601898",994,1085,898,1692,4707,1948,1191,1349,1229,857,499
"2058624",47,39,55,71,341,84,43,57,62,43,13
"2058625",66,46,50,101,352,96,72,75,86,50,28
"401471",66,84,69,121,429,115,65,95,92,58,35
"1809410",88,86,69,153,919,142,84,134,123,76,68
"2807626",101,77,66,115,549,142,94,108,90,55,33
"556269",0,0,0,0,0,0,0,0,0,0,0
"2494234",309,231,239,430,530,398,305,347,308,257,72
"2584944",203,182,175,312,469,370,242,259,182,181,50
"40545",85,62,90,140,198,130,113,96,73,77,19
"1796652",44,35,53,104,117,82,55,40,51,38,17
"748247",1280,1112,1158,1869,2335,2123,1441,1417,1225,1184,254
"2016596",1019,776,974,1566,2125,1653,1246,1155,1077,913,276
"356837",997,872,1026,1608,2092,1723,1288,1270,1007,897,220
"2027405",848,737,879,1369,2089,1431,1089,1143,879,775,257
"198107",899,785,828,1280,1577,1362,1047,958,845,788,212
"418699",1081,845,1011,1712,2322,1742,1179,1306,1143,918,278
"2067960",821,671,810,1253,1837,1512,1009,1053,859,812,268
"41977",725,641,684,1197,2051,1215,848,915,776,688,208
"85643",1109,935,1074,1698,2167,1919,1368,1373,1277,1085,281
"2005884",1070,911,1095,1634,2366,1839,1274,1303,1135,982,255
"1134435",816,692,770,1194,1614,1418,942,917,789,638,216
"96773",506,480,529,878,1341,897,620,589,626,416,158
"44139",456,336,443,701,1128,757,522,622,482,383,133
"2184083",297,284,313,490,925,501,407,431,396,290,125
"76116",933,770,877,1378,1706,1460,1119,1149,1227,863,205
"76115",858,683,832,1199,1484,1217,913,908,796,724,191
"76114",831,610,760,1210,1352,1364,966,991,837,689,184
"404405",2035,1581,2021,3154,3620,3506,2565,2347,2281,1936,496
"1765049",144,85,162,222,386,239,171,177,185,147,60
"640081",156,107,125,193,334,246,154,205,172,138,41
"2811415",724,614,659,1225,1549,1137,854,930,715,608,164
"1735038",573,439,549,816,1410,886,667,658,623,510,148
"1565605",94,107,114,206,679,219,135,132,162,119,26
"2231055",220,233,243,413,776,440,313,399,1147,256,75
"2654218",240,197,225,388,711,446,289,316,854,209,66
"159087",392,318,358,590,971,582,423,473,1815,323,80
"1751046",101,59,92,144,342,153,113,97,97,75,31
"2732067",3224,2790,3536,6192,4120,6522,4511,3859,3007,2908,795
"2732487",2762,2365,2925,5165,3773,5495,3782,3191,2829,2504,759
"1981880",717,565,737,1253,1915,1193,835,948,787,627,183
"311182",415,284,360,628,988,672,482,448,484,356,123
"1223802",823,672,870,1531,2467,1492,1096,1094,1037,777,248
"1842540",755,656,772,1359,3517,1406,976,1049,856,691,232
"157592",546,455,520,1037,1768,1006,739,835,668,577,156
"44574",686,67,506,1463,3977,1451,582,188,3934,2070,3428
"44577",44,27,46,84,23221,60,65,98,388,70,12
"261292",49,47,53,115,17685,82,63,130,342,73,10
"153948",15,12,14,38,14494,18,9,40,155,14,1
"228410",41,52,54,98,727,78,79,118,105,60,22
"335283",35,43,30,76,346,69,53,67,62,42,23
"1444684",16,14,22,21,198,35,19,35,28,18,6
"323848",2346,592,1318,1616,1078,6278,1694,2496,3887,2049,1450
"1288494",231,209,207,334,1008,345,264,364,332,200,101
"1266925",211,217,204,267,853,346,284,369,369,200,107
"292415",1093,910,1097,1757,5659,1930,1344,1446,1180,1053,446
"1914471",763,632,804,1258,2293,1378,987,960,923,749,241
"171865",322,296,309,571,1681,639,393,492,395,300,136
"1985873",144,147,153,273,737,310,201,272,230,156,53
"2675298",41,30,20,49,180,37,38,45,48,35,10
"2715678",577,426,623,1005,1601,1080,731,729,567,486,138
"1163617",283,247,264,560,855,469,354,410,362,264,77
"580332",381,297,373,671,974,598,450,494,462,365,93
"1188319",184,139,174,313,539,299,227,242,232,169,73
"395494",138,97,107,202,584,185,157,142,133,95,32
"2559597",98,79,105,139,303,153,118,131,127,80,22
"887061",40,36,38,92,176,114,54,88,122,46,24
"582744",44,39,44,88,173,123,52,79,120,54,20
"265072",146,122,143,256,706,416,151,389,379,139,59
"2588534",36,26,26,43,699,108,45,61,66,43,13
"1662285",54,41,45,120,7847,276,53,435,428,61,12
"2588536",13,16,15,19,71,18,15,28,13,10,2
"1581557",9,5,9,18,49,13,4,24,17,7,8
"1581680",18,8,17,22,134,31,17,33,40,10,2
"2588535",8,6,3,9,37,3,14,46,12,10,3
"583345",14,16,20,50,372,33,22,56,102,16,13
"666681",17,12,15,24,198,20,31,30,42,17,2
"2641838",674,580,546,937,1313,1018,778,716,584,561,149
"1108595",492,480,485,806,1076,849,599,608,530,464,123
"536",515,465,505,764,1175,853,614,578,444,432,150
"2202141",277,269,257,444,627,480,370,330,220,249,70
"2605945",262,244,239,406,563,470,349,328,225,193,51
"1778675",80,55,60,78,231,115,63,69,52,64,12
"394935",25,40,27,44,42,48,32,31,24,19,7
"235634",41,46,35,48,138,47,59,48,32,30,8
"537",27,30,44,55,167,70,48,50,30,30,1
"1906741",722,653,797,1235,1829,1322,1015,885,704,656,184
"1009682",326,278,340,476,822,525,419,364,287,282,77
"748280",765,659,707,1044,1529,1236,985,808,673,649,162
"1537400",137,141,142,202,425,253,181,219,156,138,51
"332411",108,91,84,142,346,151,100,119,145,97,37
"1590041",94,81,77,156,274,153,113,121,113,77,22
"519081",120,99,102,143,264,138,111,126,88,87,15
"57480",548,424,500,817,1052,945,630,627,574,499,158
"1192162",474,444,522,779,1283,794,622,646,485,456,132
"557598",85,96,61,119,173,138,93,90,84,84,25
"1938604",224,214,226,362,730,378,282,327,290,200,70
"1737446",50,47,49,68,248,78,69,76,47,30,12
"2739434",63,54,68,64,185,71,78,70,54,39,14
"2739061",32,32,31,36,85,49,44,26,29,33,9
"655307",115,106,82,139,227,185,113,130,113,91,34
"641148",56,31,28,56,59,67,46,47,32,44,6
"2709396",34,34,22,40,84,36,18,34,21,27,7
"1853276",15,24,29,53,70,31,35,37,26,24,3
"267212",132,121,96,187,239,177,141,149,117,110,30
"194197",81,61,91,127,291,115,93,91,79,81,28
"607712",101,96,83,151,323,157,121,126,98,88,26
"88719",11,8,8,13,36,23,16,15,14,7,3
"1853278",65,54,65,91,252,121,93,81,57,50,13
"135720",2,1,6,2,6,3,2,3,1,2,0
"662598",3,0,2,1,5,4,0,1,4,3,0
"1386087",1,0,1,0,1,0,1,0,0,0,0
"1815583",51,46,60,70,193,100,61,78,53,57,14
"492",42,21,30,76,98,66,50,50,35,31,14
"28091",47,28,35,50,109,55,48,33,35,33,8
"490",30,28,25,40,84,46,34,26,25,38,2
"326522",27,24,44,52,88,48,45,40,26,29,6
"485",19,0,23,56,73,37,0,34,28,26,9
"326523",27,34,29,47,76,42,30,55,23,26,6
"489653",6,7,4,6,8,8,3,8,7,5,0
"2666100",24,26,23,37,75,41,25,26,32,17,9
"493",12,17,20,25,112,30,24,30,19,16,8
"488",42,30,36,34,102,49,47,41,25,33,7
"640030",11,16,18,38,163,25,25,32,22,16,5
"607711",14,14,16,42,80,32,24,32,20,17,12
"28449",10,7,12,25,35,29,15,27,15,19,1
"483",6,12,10,17,37,5,8,12,5,5,2
"484",15,5,12,26,13,20,18,20,21,13,3
"489",3,8,3,12,12,10,6,12,7,3,2
"2290923",854,716,873,1418,1775,1553,1042,1020,766,773,211
"682798",514,488,493,908,1362,851,660,668,595,487,150
"63",345,259,351,562,929,451,408,392,339,268,65
"96942",8,10,9,18,175,11,12,17,15,7,4
"539",83,101,80,130,272,144,106,138,114,70,27
"2528037",39,29,31,54,106,50,42,43,29,34,6
"505",44,46,44,100,126,73,56,77,48,54,11
"502",60,52,54,105,160,86,61,83,55,60,14
"504",20,32,15,29,52,23,25,29,19,32,3
"153493",22,23,31,36,71,36,35,38,33,32,9
"1196094",14,21,18,36,109,36,20,25,37,24,9
"194196",9,22,13,36,72,23,24,25,21,22,3
"641147",8,7,7,11,26,14,13,20,13,7,4
"522306",977,727,862,1372,1822,1496,1081,1040,847,854,177
"2591109",628,591,606,1075,1301,987,847,814,664,540,151
"1208921",0,1,0,3,15,0,4,2,0,2,1
"1208920",2,1,1,2,46,0,3,1,4,1,1
"233181",2,1,5,3,12,2,5,4,6,1,2
"1576550",0,3,1,2,9,1,2,4,0,2,1
"33056",0,0,4,2,8,8,2,4,3,2,0
"1208919",3,2,2,8,10,2,0,2,3,1,0
"1381133",0,0,0,0,0,0,0,0,0,0,0
"1755504",220,203,327,542,558,344,676,375,220,262,105
"1856685",296,251,383,553,629,372,939,380,250,292,99
"2725477",560,507,651,738,1083,754,1705,722,533,585,147
"2320867",433,379,548,665,1044,639,1503,648,391,466,147
"2731681",202,168,345,321,777,312,1049,605,343,282,105
"2614442",299,224,350,360,776,425,1105,397,272,342,94
"2653853",289,273,289,486,625,416,679,394,244,284,82
"1294143",255,227,285,405,1193,391,666,337,242,279,345
"2811422",251,215,303,347,572,448,595,340,222,268,74
"1930532",262,189,351,357,1339,352,1064,361,395,317,90
"2748080",204,141,208,288,576,320,501,324,203,215,83
"2054914",186,164,191,245,361,271,266,210,167,185,123
"658630",189,192,189,225,336,249,304,174,152,158,57
"1028989",197,163,171,271,402,235,347,236,167,155,70
"2724470",175,134,175,220,353,234,282,191,150,146,53
"1931241",171,140,174,234,560,208,314,206,191,172,57
"1881017",182,145,189,217,438,240,321,215,182,155,53
"2729423",173,341,157,270,325,321,288,2576,231,237,282
"2735906",141,136,258,180,444,217,485,219,651,141,62
"2706126",135,127,146,222,408,249,218,211,158,142,52
"1573704",145,123,141,184,288,214,258,179,151,109,42
"2518644",118,91,147,180,305,154,281,158,126,117,63
"2498848",126,106,144,164,278,192,209,138,133,129,33
"143813",108,105,139,201,288,176,233,180,104,130,40
"2726956",112,85,161,192,369,180,359,206,312,140,35
"2726989",147,123,143,212,331,184,233,173,128,114,56
"1573718",102,79,90,120,168,102,171,89,68,80,21
"2749999",107,125,121,159,244,177,188,128,113,117,61
"2049589",109,103,118,142,302,150,260,121,118,103,44
"1736226",154,97,133,121,343,175,185,131,158,121,218
"2320270",90,91,98,116,184,157,183,108,92,91,36
"2054919",125,108,105,116,217,168,162,127,75,94,30
"2774873",114,87,134,168,210,182,215,119,87,150,30
"1283291",93,74,92,148,222,129,127,129,82,107,36
"2201356",104,77,78,130,147,143,134,121,76,86,27
"2804761",96,79,114,156,212,158,162,124,92,100,34
"2730847",124,90,97,135,250,146,178,106,87,109,18
"1573719",106,80,88,104,176,127,126,98,73,79,26
"1649877",107,102,88,136,215,134,142,122,96,84,87
"1981174",75,58,75,132,325,94,178,123,82,79,22
"2073078",77,67,88,144,206,134,117,81,77,80,30
"2730848",72,49,78,71,139,80,113,91,55,61,21
"2823875",83,75,75,106,144,96,132,100,87,80,23
"2219057",88,52,74,96,146,110,90,79,56,61,21
"2052956",65,53,79,107,248,100,119,76,59,64,15
"658644",91,58,65,100,146,114,130,77,59,69,31
"1898684",38,43,75,56,167,82,227,91,371,50,28
"253237",40,27,61,56,176,50,169,59,188,47,18
"1611770",54,52,64,73,220,91,150,60,50,49,24
"1573712",73,63,57,91,169,98,77,65,70,46,14
"1207075",53,34,39,74,82,88,78,35,37,23,7
"1534110",49,48,62,62,137,79,77,35,48,49,14
"2590776",52,33,60,70,111,74,86,48,41,38,16
"2213057",51,54,62,59,134,80,123,69,208,52,296
"2662033",42,40,42,66,128,75,82,67,41,34,63
"2774459",74,57,63,80,131,80,82,80,53,44,17
"2025658",68,38,55,79,112,90,125,59,44,58,20
"2812000",47,44,48,65,103,72,71,56,47,34,14
"1259844",47,35,36,51,370,61,85,49,171,41,921
"1702250",59,44,40,64,122,59,88,46,47,46,4
"2587845",50,33,67,64,136,63,138,73,124,48,195
"2604941",32,31,20,40,115,46,57,30,35,31,14
"1573711",53,46,29,65,56,63,62,50,40,34,10
"1855380",55,49,31,50,63,68,48,46,22,40,13
"2479392",35,32,36,47,129,59,50,49,41,33,11
"2597770",14,17,24,33,56,48,42,28,22,30,38
"1758730",28,18,31,30,85,41,85,36,25,29,10
"1500686",47,28,27,41,42,60,64,31,23,39,6
"2559074",26,31,19,48,66,34,45,24,37,24,8
"2054915",20,15,38,32,39,43,123,25,24,19,6
"118613",34,31,40,62,50,64,57,43,48,33,12
"658629",25,25,28,32,54,59,40,36,22,24,6
"2018067",46,23,15,36,49,59,67,27,28,28,6
"1500687",19,21,24,37,59,43,58,35,30,26,15
"1573720",29,28,27,36,58,32,29,15,14,14,7
"1636610",23,18,27,19,164,32,56,38,28,22,37
"2067572",17,20,11,22,50,29,21,24,16,22,7
"2126069",33,18,15,30,52,24,31,21,22,24,8
"1827300",16,21,16,34,45,37,34,33,31,20,14
"2005388",31,27,28,33,54,47,43,28,24,29,12
"2605424",13,13,9,28,27,18,25,24,19,13,4
"1855331",10,18,16,11,53,31,21,16,1280,16,79
"676210",28,12,24,62,55,31,47,31,22,23,2
"1173283",13,28,21,33,17,23,28,15,16,9,1
"2730851",17,18,21,31,23,17,54,22,17,23,3
"2069256",8,10,9,11,35,17,18,13,13,11,171
"2045200",21,14,19,19,21,31,21,17,1155,9,69
"2169583",13,9,14,21,24,23,13,16,11,11,2
"1659194",11,18,19,24,46,19,30,17,11,16,6
"2083055",14,14,12,13,18,27,15,11,14,10,4
"76885",12,11,10,6,30,12,8,4,16,4,3
"2083054",16,4,4,19,17,14,20,15,13,8,5
"2777367",9,3,11,5,27,9,12,6,8,11,11
"2749807",16,16,13,17,38,24,22,20,12,13,6
"658643",7,8,3,10,4,17,9,9,10,1,2
"1173270",16,13,16,15,17,21,34,9,8,6,2
"658642",2,5,9,9,25,14,18,15,5,11,1
"1886807",13,3,6,10,19,7,3,7,3,6,9
"1415630",19,8,10,11,25,13,15,14,9,9,1
"69328",9,13,8,8,33,10,20,6,7,7,18
"2651048",14,7,12,15,41,12,22,7,8,11,68
"1173273",12,11,9,12,20,13,16,10,13,5,3
"2654238",14,8,9,19,21,15,10,12,8,11,7
"2662034",13,6,3,10,325,8,9,5,71,6,3026
"1173288",2,9,3,11,17,11,13,18,6,9,0
"658632",1,4,6,6,6,7,8,6,4,4,0
"2762896",14,7,8,8,35,20,27,12,1120,14,74
"1173280",5,6,5,18,10,9,11,5,4,4,2
"2083053",12,5,15,19,82,19,20,14,9,12,28
"658641",4,8,3,7,13,9,4,6,8,4,1
"2083052",14,10,8,4,57,14,39,8,23,12,127
"1173284",4,5,5,8,20,11,3,9,6,8,5
"147212",6,5,8,18,28,15,11,5,4,10,2
"2738843",10,15,8,17,24,23,12,21,7,7,3
"2587597",4,5,6,6,11,10,17,3,1,3,10
"2664899",8,9,7,25,15,8,7,7,5,17,4
"2083051",11,7,5,5,7,10,5,10,6,9,5
"1338689",6,2,2,2,12,1,1,4,8,1,23
"2545800",0,9,2,2,3,1,12,3,2,3,1
"306",2,4,2,1,4,0,2,3,6,1,3
"1495331",1,0,0,0,4,0,1,2,1,1,0
"2479393",4,1,13,4,6,5,156,0,1,0,6
"1761895",2,2,3,4,2,3,1,4,4,2,0
"2609418",0,2,2,4,8,6,1,1,4,3,0
"1523522",1,0,0,0,0,1,0,1,0,1,0
"287",1746,1433,1880,2523,4819,2580,4441,2277,1696,1644,773
"300",804,636,1023,1192,2451,1103,3107,11506,2395,1035,351
"53412",374,343,498,716,853,586,1132,566,366,427,132
"1232139",620,429,738,1221,1579,734,1610,1176,618,554,1818
"43263",561,410,712,986,7538,720,1957,4744,836,542,419
"627141",538,375,507,740,1003,777,969,634,419,481,127
"53408",335,238,315,503,614,492,602,412,238,356,75
"294",1993,1654,1842,2619,4379,2847,3316,2254,1684,1794,622
"380021",585,478,548,725,1153,765,1060,589,487,550,161
"47878",303,279,328,426,525,403,458,297,203,250,87
"76758",279,211,263,360,561,384,538,300,223,254,93
"47883",226,169,186,272,523,307,341,234,193,190,69
"200451",170,122,140,206,309,257,249,195,140,150,33
"200450",189,143,147,252,352,309,275,195,155,175,45
"47879",115,103,121,195,493,191,235,149,1010,126,37
"46679",84,72,90,145,272,122,170,97,92,86,31
"183795",124,93,118,157,13884,174,294,203,468,135,28
"76760",126,96,116,179,262,162,247,143,94,91,39
"29442",112,101,78,178,196,175,159,113,91,112,30
"78543",84,77,74,136,192,157,148,128,75,78,28
"651740",91,74,77,123,209,144,111,103,74,93,16
"129817",60,63,68,110,185,97,135,74,70,63,21
"169669",72,59,69,83,147,75,127,77,51,58,15
"75588",52,41,40,69,103,75,83,58,41,42,11
"76761",34,40,40,65,113,68,72,47,48,42,24
"75612",35,28,32,40,74,53,35,40,37,31,10
"303",2706,2301,2671,3719,16680,3826,4724,3148,3193,2422,34997
"47885",716,608,634,991,1372,990,1041,929,602,690,197
"76759",354,338,361,415,864,559,586,445,355,299,549
"47880",290,244,359,381,840,423,775,398,284,269,94
"70775",145,124,118,222,500,216,224,223,185,108,711
"2217867",38,34,33,45,81,61,80,39,30,46,32
"78327",30,37,23,49,70,42,30,37,17,23,26
"578833",3402,2737,3934,5029,9630,4887,9850,4862,5083,3566,15974
"74829",513,419,533,717,4463,805,1088,725,490,522,10364
"271420",148,136,169,259,454,216,354,219,194,181,71
"47886",41,45,31,63,95,57,105,34,36,38,20
"587753",1487,1287,1478,1900,2884,2077,2490,1503,1165,1253,412
"86185",117,89,107,185,301,168,201,122,131,103,47
"296",95,64,78,121,161,139,120,114,61,49,18
"2604832",692,266,793,6498,739,696,1258,1341,284,376,107
"251695",493,421,475,693,1331,614,786,609,484,493,195
"33069",148,130,149,215,424,201,242,187,131,112,44
"1190415",121,122,129,170,357,170,242,139,125,113,36
"36746",133,99,146,196,370,190,280,155,140,120,50
"53409",106,72,108,135,213,147,170,111,90,104,38
"251698",61,47,39,62,131,80,80,50,39,36,71
"50340",69,56,58,64,91,70,93,56,43,48,23
"251701",13,16,13,29,82,29,33,22,23,13,10
