"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"208224",14,41,27,17,36,29,3,34,29,27,15
"299767",25,23,20,21,35,26,1,34,24,25,12
"2071710",21,15,17,9,24,18,4,27,9,21,13
"2757714",18,26,25,28,23,21,0,31,6,16,16
"2724468",92,132,59,67,112,89,11,120,73,71,35
"2596949",71,113,64,59,88,90,11,134,50,55,43
"1914861",73,100,72,44,84,71,12,103,57,44,41
"2742676",29,44,28,24,40,39,2,53,20,23,27
"2742639",18,36,16,21,26,27,5,31,11,19,21
"399742",34,57,27,24,43,33,8,58,32,30,25
"2742619",14,19,8,14,22,17,0,24,9,12,7
"1166130",5,6,8,7,16,4,1,6,7,5,6
"2705458",5,13,7,3,7,10,1,12,6,8,8
"2500132",6,13,5,3,10,4,1,18,11,2,6
"1560339",11,20,9,5,6,10,1,28,7,6,11
"648691",1,2,0,1,0,1,1,0,0,0,1
"2565914",1,3,3,0,2,7,0,3,3,1,2
"1868135",1,6,1,1,3,3,0,1,1,2,4
"1827481",2,0,0,1,1,2,0,1,0,1,0
"2742673",3,2,1,3,1,2,0,2,1,4,0
"2742656",1,1,0,0,3,1,0,0,0,0,1
"2747372",0,1,1,0,2,1,0,0,0,0,0
"2051905",0,0,0,0,0,0,0,0,0,1,0
"881260",89,61,35,32,76,84,13,42,37,38,25
"2478464",28,55,25,30,48,31,5,52,12,20,27
"885040",21,44,22,20,27,34,2,38,16,21,11
"539813",1,2,2,2,12,1,0,3,2,2,3
"72407",9,10,7,3,7,11,1,12,6,7,4
"39831",3,4,4,1,2,3,0,2,3,3,3
"1328373",0,0,0,0,0,0,0,0,0,0,0
"1365186",0,0,0,0,0,0,0,0,0,0,0
"1420012",0,0,1,1,0,0,0,1,0,0,0
"548",190,290,144,126,269,246,24,290,140,123,116
"2681387",10,19,9,8,17,15,1,20,5,5,9
"2787706",6,5,1,3,3,6,0,4,3,5,0
"2675726",6,5,4,3,6,5,3,3,3,1,3
"2697371",1,2,2,0,1,1,0,3,3,1,4
"2015795",0,0,1,1,0,1,0,1,1,2,1
"2267618",1,1,0,1,0,4,0,0,0,0,0
"2675710",2,5,0,2,1,7,0,0,4,4,4
"571",147,199,94,107,164,182,17,195,119,114,92
"1134687",99,185,101,101,155,162,12,163,111,111,74
"1667327",3,3,0,5,6,6,1,9,4,3,2
"244366",73,0,0,64,0,92,9,0,0,0,0
"2026240",29,35,30,29,71,42,1,51,27,29,10
"2153354",32,49,21,29,41,36,5,41,21,19,21
"2489010",29,35,21,14,30,28,2,45,16,25,13
"2058152",10,31,18,17,25,26,1,26,15,8,12
"546",104,179,110,102,173,148,16,205,96,86,86
"67827",22,27,12,14,19,15,1,27,16,4,12
"1639133",8,8,8,7,13,13,6,10,7,5,9
"2816438",13,16,13,5,12,12,0,8,4,5,1
"57706",7,10,9,10,5,8,0,8,12,5,2
"133448",10,5,8,3,27,6,2,6,11,2,7
"1573676",46,57,40,27,60,50,7,56,34,30,25
"2742624",37,66,33,41,82,36,7,54,30,32,18
"2546350",7,19,2,11,18,18,2,19,14,6,12
"2781952",9,8,10,8,12,11,0,22,5,7,8
"1702170",0,3,0,0,4,3,0,0,2,4,2
"2742627",1,0,2,0,5,3,0,2,1,3,2
"1703250",3,1,1,2,2,3,0,0,2,2,2
"1920110",0,0,0,3,4,1,0,4,2,1,0
"2742675",2,3,2,0,0,0,0,0,0,1,0
"2742667",2,2,1,1,2,3,0,2,1,0,0
"2742626",1,0,1,0,1,4,0,0,1,3,1
"2742657",0,0,2,1,2,1,0,1,0,0,1
"2742625",5,0,1,2,6,4,0,1,2,1,1
"2742668",2,1,0,0,1,0,0,0,1,1,0
"2697370",0,0,1,1,2,0,0,0,0,0,0
"2742678",0,0,0,0,1,0,0,0,0,0,0
"637910",72,104,49,57,105,89,9,94,51,55,45
"67824",27,47,32,39,46,59,2,45,22,29,24
"1261127",18,37,22,20,38,40,3,42,28,14,29
"545",14,27,14,16,31,34,4,33,21,20,11
"2562449",16,34,17,19,33,28,2,32,29,14,14
"2653932",27,24,31,31,42,33,4,41,31,25,13
"1748967",7,6,1,3,11,4,0,4,2,5,3
"1563222",8,3,1,4,3,4,0,5,5,3,5
"1138308",12,10,10,10,13,13,1,11,8,8,4
"413498",93,140,71,81,137,102,14,151,61,76,64
"1074000",81,107,395,57,97,74,16,100,50,57,46
"1073999",74,104,61,64,98,78,9,102,37,61,43
"1159491",0,5,2,1,1,0,0,0,0,1,0
"1159613",16,9,12,11,10,15,3,19,12,9,8
"1906275",5,25,13,12,13,11,1,15,11,11,9
"2725560",42,68,42,36,71,54,9,61,44,31,33
"2492396",31,57,22,29,61,38,6,61,28,22,28
"2067958",27,32,23,20,37,52,7,41,19,19,17
"1300165",13,17,14,7,21,30,3,15,13,4,5
"1235834",9,3,4,4,6,1,3,9,6,3,7
"551989",30,44,13,21,51,38,4,54,28,22,27
"1177180",3,7,3,3,1,10,0,6,1,3,3
"497725",27,34,25,14,30,32,4,34,20,13,19
"1646340",34,32,25,26,41,25,8,45,16,24,45
"2714951",99,80,44,62,59,72,7,100,38,55,28
"2815358",47,63,55,59,54,90,5,75,51,31,27
"2282310",10,23,4,6,16,9,0,22,10,10,11
"2282309",15,21,21,7,27,15,3,21,13,25,5
"2681308",18,24,18,13,13,20,0,17,11,7,9
"2681309",4,9,1,8,5,2,1,3,2,2,4
"1920114",4,6,4,5,12,5,0,4,3,3,5
"2681307",10,30,8,15,20,6,3,21,7,7,5
"83655",116,191,93,93,149,117,15,203,79,98,69
"2822132",3,3,2,3,1,4,0,3,5,2,0
"83334",6,3,4,2,2,4,0,3,6,4,1
"696406",0,0,0,0,0,0,0,0,0,0,0
"2233553",3,0,0,0,0,0,0,0,0,0,0
"930406",0,0,1,0,0,0,0,0,0,0,1
"585034",0,0,3,0,1,0,0,1,1,0,0
"409438",2,0,2,1,0,2,1,2,1,1,0
"2048778",0,0,0,0,0,0,0,0,0,0,0
"2048781",0,0,0,0,0,0,0,0,0,0,0
"1392858",0,0,0,0,0,0,1,0,0,1,0
"2763104",13,6,8,4,0,11,0,0,0,12,0
"1045010",0,0,0,0,0,0,0,1,0,0,0
"244319",0,0,0,0,0,0,0,0,0,0,0
"1078034",1,1,0,1,0,0,0,0,1,0,0
"2810408",0,0,0,0,2,0,0,1,0,0,0
"2810404",0,1,1,1,0,0,0,0,0,2,0
"208962",33,49,23,28,46,45,6,60,27,18,35
"564",25,38,23,24,32,33,5,56,17,16,10
"1499973",22,30,16,16,20,23,4,26,12,14,16
"2044467",15,10,9,8,23,15,0,21,7,11,5
"575",55,109,47,47,100,70,6,87,49,39,25
"577",51,77,41,29,54,48,6,77,36,50,23
"54291",0,53,42,27,0,0,5,0,34,34,0
"1259973",18,23,12,11,39,26,1,17,13,9,12
"2259647",2,1,0,3,3,0,0,0,2,0,1
"61647",266,402,219,244,411,291,31,387,227,213,198
"701347",19,37,14,9,19,32,0,32,25,14,20
"59201",96,107,66,76,96,95,8,125,76,101,50
"59202",26,37,17,25,26,25,2,26,19,22,13
"59208",3,18,5,6,12,9,0,8,2,6,9
"59204",0,5,1,5,4,3,1,4,3,2,4
"59205",5,3,0,3,4,5,1,1,3,0,1
"59203",2,5,1,3,4,5,0,5,2,7,1
"41527",0,1,1,1,24,3,0,10,2,1,6
"1197719",0,3,1,0,0,0,1,1,0,0,0
"158822",198,259,162,155,298,198,26,268,147,145,128
"2545798",41,89,45,44,62,52,7,81,63,37,34
"158823",72,116,58,57,58,70,9,76,42,39,31
"61646",96,131,68,64,102,98,11,140,60,62,55
"2153385",23,41,19,16,32,17,1,20,21,20,13
"69220",28,25,6,18,16,27,2,22,14,12,11
"61648",42,54,25,40,67,45,9,54,26,34,28
"2774055",46,71,28,43,77,57,6,65,61,42,40
"51288",23,30,14,12,23,20,2,22,14,17,9
"566",86,91,67,78,114,116,17,118,62,67,53
"2579935",91,145,64,72,127,107,10,148,89,90,44
"158877",48,76,53,61,61,67,7,82,51,51,47
"1851514",57,98,61,52,76,74,9,89,53,66,41
"2479367",22,42,26,25,43,37,7,60,39,23,21
"82977",27,46,27,21,44,36,3,46,36,43,20
"146507",19,26,16,26,25,31,5,39,24,16,10
"84564",15,17,11,9,15,22,2,26,17,8,2
"1906659",3,0,7,3,6,6,0,7,7,6,5
"1906661",1,7,0,3,6,5,1,1,1,3,1
"1906657",9,10,6,11,8,7,1,7,9,4,7
"1682492",0,1,1,2,0,3,0,0,3,1,0
"472825",3,4,1,2,6,0,0,1,1,0,1
"199891",1,4,0,1,0,2,0,1,3,0,2
"1906660",0,1,1,0,2,0,0,3,0,3,0
"565",63,85,54,45,93,79,16,119,58,77,42
"1972431",37,58,28,28,53,44,2,60,19,18,19
"395631",4,7,3,2,6,3,0,4,1,2,6
"1756993",3,2,4,4,8,2,0,8,1,1,8
"563",73,97,56,72,63,77,4,110,59,47,42
"2675784",0,0,0,0,1,0,1,0,0,0,0
"2675785",1,1,1,0,0,0,0,1,0,0,0
"2675772",0,0,0,0,1,1,0,0,0,0,0
"2675775",1,0,0,0,0,1,0,0,1,1,2
"2675794",1,2,0,0,2,0,0,3,1,0,2
"2675793",2,1,4,2,5,1,0,1,2,0,0
"2675791",1,0,0,0,3,0,1,1,2,1,0
"2675789",1,3,0,2,0,4,1,4,0,0,2
"2675782",1,1,0,0,0,0,0,1,1,1,0
"2675783",0,0,0,0,0,0,0,1,0,0,1
"2675797",1,0,0,0,12,2,0,5,3,1,2
"2675795",0,0,1,1,0,0,0,0,0,0,0
"2675792",0,0,0,1,3,0,0,0,1,0,2
"2675788",1,1,0,0,0,0,0,0,0,1,1
"2675787",2,1,0,0,3,2,0,3,1,0,2
"2675786",0,2,1,1,0,0,0,1,0,0,1
"2675781",0,1,0,2,0,1,0,3,1,3,0
"2675780",0,0,0,0,1,0,0,1,2,0,0
"2675779",0,1,0,0,0,0,0,1,0,1,0
"2675778",0,0,4,1,0,1,0,1,2,0,0
"2675776",0,1,1,0,0,0,0,1,0,0,0
"1048758",22,33,23,33,33,26,3,25,13,13,0
"42897",0,0,0,0,0,2,0,0,0,0,0
"622",1,3,0,2,3,1,1,3,1,3,3
"621",1,2,3,0,1,1,0,3,0,0,0
"2487150",8,10,7,5,7,14,3,8,5,4,3
"401619",1,0,0,0,2,1,1,2,1,0,2
"428411",1,0,4,1,2,1,0,5,0,2,2
"476281",3,2,3,2,2,4,0,1,3,1,2
"911022",5,6,5,6,8,3,1,10,11,2,9
"1334564",5,4,4,3,6,3,3,7,8,6,0
"273526",9,10,5,5,6,16,2,16,0,6,3
"435998",0,0,1,1,1,2,0,7,4,1,3
"2420306",49,72,31,36,52,45,9,62,37,34,26
"104623",30,52,29,46,52,71,7,52,45,34,28
"671990",34,58,31,24,43,21,4,51,26,18,18
"2597702",32,56,41,24,62,44,4,44,23,22,13
"2033438",39,44,37,32,27,31,2,34,21,24,20
"2448483",11,10,5,3,8,11,0,19,6,7,12
"2447890",11,14,6,13,20,11,3,14,14,26,8
"2724469",1,8,3,2,1,8,1,7,2,2,7
"2773264",7,4,3,1,6,6,0,3,0,2,8
"2482769",5,9,4,5,4,4,2,4,3,3,1
"2785630",2,1,4,3,1,3,0,3,0,2,0
"1327989",9,8,3,6,3,13,0,15,6,7,4
"488142",4,7,1,4,5,5,0,6,2,1,4
"1758196",2,3,2,1,3,1,0,1,1,2,0
"2485839",2,0,1,0,2,0,0,2,2,4,1
"1154756",48,50,17,28,52,36,3,47,11,22,32
"682634",7,15,8,3,5,5,1,25,4,9,2
"1006598",0,2,1,0,2,8,0,1,0,0,0
"61652",123,168,131,106,143,198,17,157,71,111,53
"618",96,153,95,87,138,117,14,193,85,99,65
"47917",100,138,89,75,145,120,21,132,86,103,62
"2741499",67,76,41,58,87,58,5,97,42,52,23
"399741",7,10,3,4,13,9,0,10,5,4,3
"82995",36,68,28,34,65,44,6,74,47,30,27
"568817",5,6,2,1,1,4,1,10,1,2,4
"1346614",5,3,2,5,7,1,0,5,6,0,2
"137545",12,25,19,15,34,23,2,26,9,17,15
"61651",9,19,13,4,10,14,4,20,20,12,10
"300181",6,9,5,6,20,7,0,11,6,8,8
"458197",2,4,3,1,6,7,1,9,2,1,0
"1443113",2,10,4,4,1,13,2,10,5,10,3
"34053",2,6,6,0,0,1,0,4,1,3,1
"367190",10,9,9,8,25,9,0,14,4,8,8
"633",14,11,5,8,18,10,1,14,11,9,8
"632",5,4,6,6,4,2,1,10,11,6,2
"29486",33,33,15,22,32,31,5,42,19,14,20
"935293",24,23,26,32,45,28,2,34,28,21,33
"28152",11,19,14,11,16,10,2,18,9,4,4
"1453495",12,18,10,16,17,16,0,22,18,14,6
"29484",24,25,15,8,0,10,2,29,16,14,14
"349967",14,29,12,11,24,32,3,31,16,14,13
"29485",14,23,12,17,26,12,1,18,14,17,11
"263819",9,19,10,9,24,8,1,17,18,20,10
"2607663",9,17,16,7,20,11,3,11,14,15,4
"2339259",3,12,3,0,6,6,0,6,1,2,1
"349968",1,1,0,1,3,2,0,2,2,3,1
"419257",8,7,5,4,2,9,0,2,2,7,0
"1179669",3,2,3,3,3,1,2,4,0,2,1
"2126321",207,368,170,195,297,233,34,339,181,170,135
"745277",48,80,29,42,56,59,4,48,47,41,25
"1151116",3,5,1,1,0,3,0,1,1,2,2
"1805933",68,105,68,58,76,63,9,86,60,53,51
"741091",1,4,1,1,3,2,2,1,0,1,0
"2703885",8,10,6,2,11,10,2,11,2,6,7
"929813",133,172,104,126,207,148,13,189,93,124,94
"1646377",104,154,82,85,120,115,20,124,66,74,56
"41202",78,107,64,60,108,91,15,129,60,44,63
"1441930",33,48,34,16,47,44,2,55,42,16,39
"1878942",9,4,11,8,9,13,1,19,14,3,8
"2575375",77,134,49,80,107,103,6,103,59,50,62
"592316",64,93,41,80,111,93,9,95,58,63,36
"1484158",132,103,161,67,110,112,7,107,66,75,66
"2052056",58,78,40,46,64,48,10,87,41,33,40
"2490851",49,90,38,41,67,66,9,70,33,43,25
"2479547",30,21,16,25,38,36,6,38,15,22,27
"2768165",2,2,3,4,8,5,0,8,6,5,0
"2787629",6,8,9,1,13,14,3,11,5,0,5
"59814",209,311,180,194,497,222,25,302,136,174,117
"712898",3,7,5,3,5,4,3,8,3,1,2
"549",133,155,108,93,137,110,29,250,89,87,67
"932677",0,1,0,1,4,1,0,1,0,0,0
"1123863",1,1,1,1,1,2,1,0,0,0,11
"55209",63,75,55,59,120,84,11,108,43,50,52
"66271",13,11,9,2,9,5,3,11,6,9,7
"1891675",55,77,49,36,66,51,7,101,36,48,33
"1076550",35,69,23,36,89,51,4,94,47,39,34
"1235990",4,7,1,7,12,3,2,11,5,3,3
"470933",4,2,6,4,4,7,1,12,13,6,7
"1619313",82,124,92,89,120,97,18,141,67,52,67
"55211",79,114,60,65,95,72,8,98,72,51,59
"2681984",47,74,40,50,60,47,11,77,35,43,35
"2547962",14,14,8,12,13,15,2,18,15,13,9
"215689",18,16,12,17,10,23,1,26,17,2,15
"465817",60,66,39,35,49,67,4,72,27,47,24
"634500",15,30,15,20,25,21,4,26,23,24,11
"1407064",2,1,1,0,2,0,0,2,1,0,1
"716540",0,0,0,1,0,1,0,0,1,0,0
"1922217",40,55,23,29,34,29,5,44,28,21,29
"79967",9,9,7,13,9,10,1,13,7,8,4
"665914",116,183,102,133,183,136,16,166,96,102,61
"665913",104,149,89,101,182,114,13,138,102,89,80
"1458355",88,140,86,75,162,104,14,145,78,76,63
"1615494",54,107,44,46,69,86,12,108,27,48,26
"1241869",2,3,4,3,7,3,1,5,2,0,3
"118103",0,8,1,1,5,3,0,2,0,0,0
"135842",2,9,2,8,11,3,0,1,1,2,2
"1315998",5,12,9,7,1,9,0,8,5,1,3
"2315800",6,9,7,6,5,11,0,8,15,8,12
"2518979",1,0,0,0,0,1,0,0,0,0,1
"98785",1,2,0,1,0,1,0,0,0,0,1
"2518977",0,0,0,0,1,0,0,1,0,0,0
"1660043",0,0,1,0,0,0,0,2,1,0,0
"1258543",1,1,0,1,0,3,0,3,2,0,2
"1241860",0,0,2,0,1,1,0,4,4,2,0
"1241836",1,2,0,1,4,3,0,3,0,1,0
"1241834",0,1,0,1,0,0,0,0,0,2,2
"911343",2,4,1,3,1,0,0,1,0,0,0
"2518976",3,2,2,3,1,7,0,11,1,4,0
"2173854",1,0,1,1,0,2,0,1,0,2,1
"118101",0,2,0,2,0,1,0,1,4,1,7
"2495405",2,2,1,1,1,2,0,2,1,3,1
"557993",0,3,0,0,5,1,0,0,0,1,1
"1241865",2,1,2,0,2,1,0,2,0,1,2
"1241859",0,2,2,2,4,0,0,1,1,0,5
"118110",1,13,0,3,3,0,0,10,2,0,0
"1660040",0,1,0,3,2,0,2,2,5,1,1
"655384",1,0,0,1,0,0,0,0,0,1,1
"571428",2,1,0,1,2,0,0,0,0,1,0
"1878935",1,2,0,1,2,1,0,5,1,3,1
"1507522",0,2,1,5,1,0,0,0,1,3,2
"2315802",0,0,1,0,2,2,0,4,0,1,0
"1265350",1,1,0,0,3,1,0,0,1,0,0
"1921549",1,0,1,1,1,1,0,1,2,0,0
"2518980",0,1,0,0,3,1,0,1,0,1,0
"98793",0,6,0,3,1,0,0,3,0,3,0
"1241878",3,0,3,0,1,2,0,0,0,0,3
"98794",0,1,1,0,3,1,0,2,3,0,0
"98804",0,2,2,0,2,0,0,1,0,3,0
"118118",0,1,0,0,0,1,0,1,1,1,1
"261318",2,1,2,0,1,0,0,0,0,0,0
"571430",0,1,2,0,0,0,0,1,1,3,1
"1241832",2,10,1,2,1,2,0,0,0,4,0
"1241833",1,1,1,4,3,0,0,1,2,1,3
"1241884",1,0,0,4,2,1,0,0,1,3,0
"53336",26,40,21,12,28,23,5,34,14,28,16
"82987",19,43,16,24,33,46,4,33,25,23,22
"2487345",19,36,14,18,32,22,2,38,26,14,14
"36868",10,4,8,5,1,4,0,7,2,5,1
"590409",9,18,14,15,9,14,2,26,10,5,11
"1427366",7,11,7,4,9,4,3,13,7,9,6
"1224147",6,2,3,4,3,4,1,6,4,4,3
"1224153",8,7,3,5,8,9,1,9,3,2,5
"1223567",5,10,2,5,4,9,0,4,1,7,4
"1223573",4,6,2,3,4,3,0,4,3,0,2
"1224146",6,6,5,4,7,3,1,5,2,2,5
"1223569",39,47,23,24,36,40,3,54,18,40,24
"1223571",20,27,18,18,12,47,6,55,9,23,12
"561229",0,1,0,0,0,0,0,0,0,1,0
"204040",25,55,28,24,36,28,4,36,26,18,13
"1224149",23,32,22,3,18,22,5,29,12,14,11
"198628",6,14,6,3,12,9,2,16,9,1,10
"1223572",0,0,0,0,0,0,0,0,0,0,0
"579405",0,1,0,0,0,0,0,1,1,0,0
"1226343",0,3,1,0,3,0,0,2,9,0,4
"1223570",0,2,0,0,0,3,0,0,0,0,0
"1225780",1,7,0,1,1,0,0,0,3,1,1
"1089444",49,65,55,40,39,46,9,0,32,40,17
"568766",38,44,22,19,29,23,3,55,24,11,13
"2037915",3,13,3,1,7,2,1,1,4,4,1
"1224145",3,3,3,4,6,3,0,6,6,1,1
"1778540",38,59,35,41,58,40,6,72,36,29,22
"568768",39,34,26,44,63,39,4,36,23,25,28
"180957",72,79,50,53,79,61,10,105,31,43,37
"555",41,73,39,41,81,58,10,74,45,27,38
"2042057",41,58,32,53,52,36,4,48,31,28,22
"218491",9,8,4,5,5,5,2,16,2,1,1
"1905730",34,0,15,26,43,39,4,0,27,0,0
"2108399",22,35,13,18,18,22,1,35,17,17,19
"1175631",18,31,12,13,21,23,3,26,13,9,12
"2488639",34,14,16,17,17,16,6,22,15,16,10
"78398",21,22,15,11,22,30,1,18,15,18,12
"1201031",9,14,3,3,11,6,1,5,4,5,4
"2722756",94,144,68,90,111,125,8,113,80,62,63
"1109412",51,132,50,63,120,82,9,98,62,54,51
"55213",63,78,37,55,70,51,4,69,54,35,32
"1172565",72,133,58,88,105,83,13,128,57,73,58
"1082704",57,116,49,67,114,89,13,100,80,69,64
"718251",1,1,0,0,1,0,0,0,0,1,0
"93378",92,116,50,78,114,85,9,107,48,59,51
"67780",0,0,48,0,93,75,11,83,55,0,39
"1288122",4,4,2,5,1,4,1,8,2,0,1
"1578828",3,10,6,2,6,7,0,9,6,1,4
"1650654",0,1,0,0,0,1,0,0,0,0,1
"667120",1,2,0,1,0,0,0,0,0,1,0
"1453496",3,10,1,3,5,6,0,3,5,8,0
"546367",29,44,19,30,32,48,4,34,14,21,19
"1848580",0,3,4,2,2,2,0,4,1,0,2
"82983",16,16,11,13,23,22,1,25,13,16,9
"1141663",0,0,0,0,1,24,0,2,2,0,0
"158850",24,9,10,10,19,26,0,12,12,16,13
"126385",9,22,4,7,7,12,3,30,4,9,8
"333962",11,15,4,6,14,14,3,18,7,7,10
"1141660",14,9,3,8,5,9,3,9,4,4,2
"333965",11,16,6,12,10,8,0,25,10,10,6
"588",7,7,2,7,6,0,0,4,0,1,0
"2791982",0,0,0,0,0,0,0,0,0,0,0
"406818",21,14,10,21,14,20,2,25,5,7,7
"351671",32,35,18,22,31,25,3,22,28,28,16
"351679",12,17,13,14,26,18,3,17,13,9,9
"628",10,20,14,15,22,22,1,15,14,15,15
"1354304",13,20,6,13,15,12,3,13,8,12,5
"290110",14,16,8,11,9,18,1,13,16,6,12
"180434",0,0,1,1,3,0,0,0,1,0,0
"584",47,168,0,110,61,0,7,56,17,0,50
"585",21,26,19,12,27,34,1,34,23,18,13
"183417",5,3,8,2,10,9,0,9,3,4,5
"102862",6,5,2,2,5,7,0,4,1,11,0
"2697019",2,0,3,1,7,3,1,4,2,1,1
"626774",2,5,2,2,2,3,0,2,1,0,1
"1987580",4,6,0,1,0,2,0,2,1,0,0
"230089",19,19,15,13,14,22,2,18,4,14,10
"141679",13,9,7,15,28,13,1,31,13,6,22
"291112",11,21,8,12,16,7,4,11,16,6,9
"235559",4,18,8,3,13,11,1,13,12,4,0
"1231049",3,7,4,5,5,6,0,13,5,5,5
"638",8,11,2,8,14,9,1,7,5,4,12
"634113",2,1,2,1,0,2,0,2,1,1,1
"1239307",93,126,71,61,132,91,14,128,70,63,63
"2342",51,55,35,54,61,49,4,66,24,43,24
"1929246",7,7,8,3,16,4,4,9,8,8,8
"158841",67,84,34,55,79,57,9,86,47,33,37
"82985",14,22,18,16,16,24,2,25,16,19,20
"2172103",10,17,9,13,15,14,4,14,9,8,12
"2498113",15,12,11,7,16,18,1,13,6,12,4
"703",70,108,53,62,92,75,5,81,56,51,48
"1255043",690,1168,544,648,1057,768,83,969,699,531,486
"396588",579,1025,586,609,1012,801,93,994,684,506,463
"713585",572,1003,485,580,959,705,73,893,636,443,376
"396595",455,679,401,484,626,592,58,699,463,400,300
"106634",448,598,459,411,635,545,60,735,431,346,335
"1765967",443,781,434,478,712,549,45,710,478,419,343
"2792603",557,858,455,541,835,601,63,701,531,482,377
"2819280",310,514,287,276,480,316,29,387,250,229,208
"1335757",336,464,258,330,469,402,35,478,329,251,225
"2666185",276,457,274,286,468,346,42,417,265,229,167
"1260251",193,352,173,207,394,259,38,307,183,155,154
"349124",702,960,539,633,946,757,82,919,561,528,415
"1052",75,151,78,90,150,99,13,129,91,78,81
"2740807",555,1008,509,571,946,690,58,835,588,502,424
"187272",679,920,553,587,828,733,93,929,553,526,374
"421628",214,310,179,180,306,297,33,347,217,204,147
"1442136",205,287,205,191,298,222,32,292,258,196,178
"1166950",1088,1432,935,942,1318,1229,115,1531,819,682,697
"765912",1010,1493,894,894,1365,1200,110,1429,821,778,585
"765910",938,1406,831,844,1199,1106,107,1303,770,726,622
"572477",609,1033,503,600,980,705,79,933,581,470,425
"765911",532,858,451,533,876,692,73,804,518,421,395
"316276",410,661,320,376,634,440,60,579,379,299,294
"472759",67,92,57,72,102,91,5,94,55,45,48
"1814290",85,96,56,79,71,90,10,108,61,66,45
"323261",58,37,31,46,67,46,3,63,37,42,36
"105559",66,58,33,50,54,52,2,67,47,48,28
"2699430",282,410,220,294,401,365,46,449,267,223,204
"1763998",69,71,46,38,67,57,4,75,317,50,34
"2498451",15,25,17,20,25,30,3,45,1090,13,10
"2545632",23,19,14,17,38,20,1,19,23,11,19
"553981",10,14,7,13,16,7,1,12,0,11,1
"1630141",9,13,8,19,11,21,1,23,26,10,16
"1579979",616,1048,555,656,903,814,76,905,585,568,444
"2771012",407,586,349,396,548,435,43,555,345,311,273
"2795687",129,247,147,134,210,146,16,247,139,125,61
"585455",101,180,85,87,173,119,11,155,115,83,74
"1972068",560,965,485,552,868,623,93,783,588,478,387
"47960",664,1079,581,611,869,896,74,922,509,544,356
"1860122",235,410,191,278,466,306,30,381,250,198,188
"555778",98,172,79,109,173,122,10,142,98,84,90
"1548547",249,433,200,276,516,304,49,444,288,219,209
"1811807",138,225,128,163,212,133,14,213,145,101,106
"1192854",143,212,127,151,225,190,19,206,104,110,96
"2587844",553,737,449,414,624,565,70,787,435,380,366
"2773308",399,598,322,308,481,398,35,543,345,281,217
"2587849",328,497,243,286,409,420,37,438,292,303,213
"1883416",376,492,313,290,425,405,30,513,311,242,214
"2733488",292,549,279,256,409,362,47,540,274,272,220
"2733487",393,557,307,313,454,422,37,484,311,319,231
"2497861",341,531,290,288,440,406,33,500,300,253,230
"1609967",304,473,252,273,460,341,36,548,294,268,230
"2306583",300,425,267,248,370,388,38,514,256,255,200
"2730360",206,283,216,175,275,245,29,375,241,181,132
"2562282",139,169,97,138,198,141,19,173,128,107,110
"2749040",100,154,99,97,149,131,17,159,104,96,66
"2785909",106,139,89,92,132,148,15,159,113,111,79
"1504981",87,96,54,47,107,74,10,93,82,42,85
"2136172",53,76,55,49,99,68,10,79,53,47,40
"2733484",32,79,26,51,53,54,9,54,33,32,21
"1118153",57,40,35,29,54,41,8,75,33,35,19
"2014541",9,25,7,8,16,14,3,23,6,9,8
"1971364",20,27,12,13,25,15,1,18,22,23,12
"1666906",23,21,17,15,16,24,2,20,16,13,7
"1761789",10,18,12,17,20,15,2,21,14,7,9
"1346287",10,13,5,1,8,5,2,8,3,10,4
"1250400",0,0,0,0,0,0,0,0,0,0,0
"475662",587,833,473,475,702,589,67,927,420,439,342
"1897729",467,614,352,384,567,492,73,696,341,385,248
"1081866",361,462,327,316,394,378,44,553,281,238,213
"768066",336,432,272,258,405,412,41,463,293,238,224
"507626",272,384,216,231,325,298,27,447,208,217,191
"115561",149,214,155,162,226,242,21,277,154,154,105
"29571",167,287,123,131,264,188,25,237,174,131,131
"1178482",156,224,137,160,242,229,27,234,158,145,130
"29570",224,289,181,169,258,266,23,278,216,159,126
"2609667",83,107,68,86,134,101,12,144,89,72,85
"664683",47,83,30,53,62,53,3,90,51,57,59
"74661",38,49,33,31,45,53,5,49,29,34,21
"44935",21,37,27,30,26,31,4,16,18,22,23
"213554",4,8,6,4,18,9,0,5,9,3,1
"272774",6,5,4,2,11,2,0,0,3,3,4
"2686360",114,211,98,101,174,118,19,193,110,96,87
"2609415",69,100,71,57,82,84,7,98,82,68,45
"2661553",52,78,54,50,82,70,1,62,55,29,38
"2053669",1,1,1,0,2,0,0,2,1,0,0
"1055101",60,47,35,43,69,53,10,53,47,60,28
"28258",5,22,2,4,4,6,0,12,2,4,7
"376489",524,872,482,429,860,602,79,853,455,446,356
"1771309",577,826,499,499,788,638,71,827,468,481,354
