"","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1906659",3,7,11,6,3,6,6,3,6,0,7
"1906661",4,1,10,6,1,5,3,3,3,7,3
"1906657",4,9,26,8,9,7,6,8,4,10,10
"1682492",2,3,7,0,0,3,0,0,1,1,2
"472825",2,1,8,6,3,0,2,4,0,4,5
"199891",0,3,11,0,1,2,3,2,0,4,0
"1906660",0,0,4,2,0,0,1,2,3,1,2
"565",77,58,149,93,63,79,67,54,77,85,69
"1972431",34,19,96,53,37,44,29,40,18,58,49
"395631",5,1,8,6,4,3,6,2,2,7,3
"1756993",1,1,8,8,3,2,1,2,1,2,2
"563",67,59,152,63,73,77,64,52,47,97,74
"2675784",1,0,1,1,0,0,0,1,0,0,1
"2675785",6,0,2,0,1,0,2,3,0,1,1
"2675772",0,0,3,1,0,1,0,1,0,0,1
"2675775",1,1,8,0,1,1,2,1,1,0,0
"2675794",3,1,3,2,1,0,2,0,0,2,3
"2675793",2,2,1,5,2,1,3,0,0,1,3
"2675791",2,2,3,3,1,0,1,2,1,0,3
"2675789",0,0,7,0,1,4,2,0,0,3,0
"2675782",1,1,1,0,1,0,1,1,1,1,0
"2675783",1,0,1,0,0,0,0,0,0,0,1
"2675797",1,3,13,12,1,2,0,1,1,0,4
"2675795",0,0,2,0,0,0,0,0,0,0,1
"2675792",1,1,8,3,0,0,3,1,0,0,2
"2675788",0,0,2,0,1,0,0,0,1,1,0
"2675787",3,1,13,3,2,2,0,1,0,1,2
"2675786",0,0,0,0,0,0,0,0,0,2,0
"2675781",0,1,3,0,0,1,1,2,3,1,1
"2675780",0,2,1,1,0,0,2,0,0,0,0
"2675779",1,0,0,0,0,0,0,0,1,1,0
"2675778",1,2,3,0,0,1,0,1,0,0,1
"2675776",0,0,0,0,0,0,0,0,0,1,0
"1048758",11,13,37,33,22,26,0,19,13,33,14
"42897",1,0,1,0,0,2,0,1,0,0,0
"622",3,1,2,3,1,1,0,3,3,3,2
"621",1,0,0,1,1,1,0,0,0,2,0
"2487150",3,5,4,7,8,14,14,1,4,10,2
"401619",0,1,13,2,1,1,1,2,0,0,1
"428411",0,0,5,2,1,1,1,0,2,0,1
"476281",2,3,8,2,3,4,2,4,1,2,5
"911022",5,11,45,8,5,3,3,10,2,6,7
"1334564",3,8,57,6,5,3,6,2,6,4,9
"273526",8,0,11,6,9,16,9,4,6,10,4
"435998",1,4,1,1,0,2,3,3,1,0,2
"2420306",55,37,52,52,49,45,29,54,34,72,38
"104623",36,45,142,52,30,71,46,33,34,52,41
"671990",27,26,59,43,34,21,24,28,18,58,21
"2597702",34,23,66,62,32,44,37,38,22,56,43
"2033438",13,21,12,27,39,31,29,31,24,44,31
"2448483",11,6,24,8,11,11,14,10,7,10,7
"2447890",14,14,15,20,11,11,11,16,26,14,14
"2724469",3,2,5,1,1,8,5,2,2,8,3
"2773264",1,0,18,6,7,6,4,1,2,4,2
"2482769",4,3,14,4,5,4,9,1,3,9,2
"2785630",0,0,5,1,2,3,1,2,2,1,0
"1327989",7,6,12,3,9,13,13,1,7,8,7
"488142",7,2,15,5,4,5,2,9,1,7,3
"1758196",0,1,0,3,2,1,1,6,2,3,2
"2485839",1,2,6,2,2,0,1,2,4,0,1
"1154756",42,11,57,52,48,36,25,35,22,50,57
"682634",4,4,9,5,7,5,10,6,9,15,2
"1006598",0,0,6,2,0,8,2,0,0,2,3
"61652",113,71,254,143,123,198,137,101,111,168,115
"618",114,85,290,138,96,117,92,61,99,153,110
"47917",98,86,246,145,100,120,105,92,103,138,103
"2741499",81,42,138,87,67,58,44,46,52,76,60
"399741",8,5,11,13,7,9,3,3,4,10,15
"82995",53,47,108,65,36,44,40,52,30,68,40
"568817",5,1,21,1,5,4,2,3,2,6,7
"1346614",5,6,8,7,5,1,4,1,0,3,3
"137545",17,9,48,34,12,23,9,13,17,25,20
"61651",18,20,16,10,9,14,13,17,12,19,15
"300181",9,6,20,20,6,7,1,13,8,9,10
"458197",4,2,5,6,2,7,3,6,1,4,3
"1443113",6,5,3,1,2,13,6,1,10,10,4
"34053",1,1,10,0,2,1,2,0,3,6,0
"367190",5,4,26,25,10,9,6,8,8,9,13
"633",6,11,14,18,14,10,4,8,9,11,8
"632",11,11,13,4,5,2,3,4,6,4,11
"29486",27,19,79,32,33,31,22,28,14,33,36
"935293",27,28,73,45,24,28,22,13,21,23,28
"28152",12,9,33,16,11,10,10,11,4,19,11
"1453495",12,18,38,17,12,16,16,20,14,18,12
"29484",18,16,68,0,24,10,18,0,14,25,21
"349967",19,16,81,24,14,32,18,19,14,29,33
"29485",14,14,45,26,14,12,9,24,17,23,18
"263819",13,18,39,24,9,8,10,15,20,19,11
"2607663",11,14,25,20,9,11,7,12,15,17,14
"2339259",9,1,7,6,3,6,3,8,2,12,6
"349968",2,2,6,3,1,2,4,5,3,1,9
"419257",3,2,6,2,8,9,6,2,7,7,8
"1179669",4,0,1,3,3,1,3,2,2,2,3
"2126321",212,181,379,297,207,233,201,273,170,368,264
"745277",45,47,111,56,48,59,46,45,41,80,57
"1151116",0,1,3,0,3,3,0,1,2,5,3
"1805933",76,60,196,76,68,63,69,87,53,105,76
"741091",1,0,3,3,1,2,0,0,1,4,0
"2703885",3,2,26,11,8,10,3,10,6,10,9
"929813",111,93,177,207,133,148,121,124,124,172,128
"1646377",97,66,149,120,104,115,100,105,74,154,81
"41202",81,60,203,108,78,91,65,87,44,107,99
"1441930",56,42,99,47,33,44,35,24,16,48,52
"1878942",5,14,42,9,9,13,8,15,3,4,16
"2575375",87,59,153,107,77,103,76,91,50,134,92
"592316",57,58,160,111,64,93,69,71,63,93,97
"1484158",68,66,188,110,132,112,76,58,75,103,71
"2052056",53,41,177,64,58,48,50,58,33,78,72
"2490851",53,33,164,67,49,66,39,39,43,90,64
"2479547",26,15,58,38,30,36,23,35,22,21,39
"2768165",3,6,4,8,2,5,2,5,5,2,4
"2787629",3,5,8,13,6,14,6,10,0,8,8
"59814",160,136,466,497,209,222,246,211,174,311,240
"712898",8,3,13,5,3,4,6,6,1,7,6
"549",118,89,202,137,133,110,100,101,87,155,102
"932677",1,0,4,4,0,1,0,1,0,1,0
"1123863",0,0,5,1,1,2,0,0,0,1,3
"55209",69,43,173,120,63,84,71,66,50,75,51
"66271",5,6,27,9,13,5,8,4,9,11,9
"1891675",59,36,144,66,55,51,43,45,48,77,58
"1076550",51,47,97,89,35,51,30,40,39,69,75
"1235990",7,5,20,12,4,3,7,8,3,7,14
"470933",7,13,7,4,4,7,10,6,6,2,6
"1619313",91,67,242,120,82,97,70,102,52,124,117
"55211",82,72,188,95,79,72,55,76,51,114,74
"2681984",53,35,159,60,47,47,38,58,43,74,45
"2547962",19,15,21,13,14,15,14,10,13,14,15
"215689",16,17,29,10,18,23,15,7,2,16,13
"465817",51,27,94,49,60,67,60,49,47,66,49
"634500",22,23,23,25,15,21,28,19,24,30,9
"1407064",0,1,2,2,2,0,1,5,0,1,1
"716540",0,1,0,0,0,1,2,0,0,0,0
"1922217",35,28,98,34,40,29,22,34,21,55,31
"79967",12,7,71,9,9,10,7,5,8,9,5
"665914",122,96,250,183,116,136,113,144,102,183,135
"665913",145,102,218,182,104,114,102,123,89,149,149
"1458355",102,78,171,162,88,104,88,93,76,140,103
"1615494",59,27,162,69,54,86,49,39,48,107,52
"1241869",7,2,15,7,2,3,5,3,0,3,3
"118103",3,0,10,5,0,3,0,5,0,8,5
"135842",2,1,8,11,2,3,1,18,2,9,9
"1315998",4,5,7,1,5,9,8,2,1,12,6
"2315800",5,15,14,5,6,11,8,10,8,9,16
"2518979",0,0,2,0,1,1,1,0,0,0,1
"98785",2,0,4,0,1,1,0,0,0,2,0
"2518977",0,0,2,1,0,0,0,1,0,0,1
"1660043",2,1,2,0,0,0,0,1,0,0,1
"1258543",0,2,7,0,1,3,0,5,0,1,1
"1241860",3,4,2,1,0,1,1,2,2,0,1
"1241836",3,0,1,4,1,3,0,2,1,2,1
"1241834",0,0,2,0,0,0,0,1,2,1,3
"911343",1,0,5,1,2,0,0,4,0,4,2
"2518976",5,1,6,1,3,7,2,1,4,2,3
"2173854",0,0,9,0,1,2,0,0,2,0,2
"118101",4,4,4,0,0,1,1,1,1,2,11
"2495405",1,1,6,1,2,2,0,1,3,2,2
"557993",0,0,3,5,0,1,0,0,1,3,1
"1241865",3,0,8,2,2,1,0,0,1,1,1
"1241859",0,1,4,4,0,0,0,2,0,2,0
"118110",1,2,7,3,1,0,2,4,0,13,1
"1660040",0,5,6,2,0,0,0,0,1,1,0
"655384",0,0,7,0,1,0,0,0,1,0,2
"571428",0,0,6,2,2,0,0,2,1,1,0
"1878935",2,1,3,2,1,1,0,0,3,2,0
"1507522",0,1,5,1,0,0,1,2,3,2,2
"2315802",3,0,5,2,0,2,0,2,1,0,1
"1265350",1,1,3,3,1,1,2,1,0,1,1
"1921549",0,2,4,1,1,1,0,1,0,0,1
"2518980",0,0,3,3,0,1,2,4,1,1,1
"98793",0,0,3,1,0,0,0,1,3,6,6
"1241878",0,0,59,1,3,2,1,1,0,0,2
"98794",1,3,15,3,0,1,0,2,0,1,5
"98804",0,0,7,2,0,0,2,1,3,2,0
"118118",1,1,12,0,0,1,0,3,1,1,1
"261318",0,0,4,1,2,0,0,1,0,1,1
"571430",2,1,7,0,0,0,1,0,3,1,0
"1241832",4,0,3,1,2,2,1,0,4,10,1
"1241833",2,2,5,3,1,0,2,0,1,1,2
"1241884",8,1,2,2,1,1,0,0,3,0,3
"53336",20,14,61,28,26,23,22,20,28,40,33
"82987",33,25,55,33,19,46,34,23,23,43,32
"2487345",24,26,60,32,19,22,14,26,14,36,36
"36868",0,2,10,1,10,4,5,1,5,4,6
"590409",9,10,35,9,9,14,11,8,5,18,17
"1427366",6,7,56,9,7,4,10,11,9,11,8
"1224147",7,4,24,3,6,4,3,3,4,2,5
"1224153",7,3,7,8,8,9,5,6,2,7,8
"1223567",6,1,6,4,5,9,6,1,7,10,4
"1223573",1,3,4,4,4,3,4,4,0,6,2
"1224146",2,2,42,7,6,3,1,4,2,6,5
"1223569",27,18,69,36,39,40,28,33,40,47,24
"1223571",21,9,21,12,20,47,40,11,23,27,10
"561229",0,0,0,0,0,0,0,0,1,1,0
"204040",26,26,29,36,25,28,24,26,18,55,32
"1224149",20,12,14,18,23,22,25,17,14,32,18
"198628",3,9,14,12,6,9,8,8,1,14,11
"1223572",0,0,1,0,0,0,0,0,0,0,0
"579405",1,1,0,0,0,0,0,0,0,1,0
"1226343",2,9,19,3,0,0,0,1,0,3,2
"1223570",1,0,0,0,0,3,0,1,0,2,0
"1225780",1,3,3,1,1,0,3,2,1,7,2
"1089444",40,32,106,39,49,46,30,30,40,65,35
"568766",33,24,50,29,38,23,14,22,11,44,16
"2037915",3,4,7,7,3,2,2,2,4,13,6
"1224145",7,6,26,6,3,3,6,4,1,3,1
"1778540",34,36,68,58,38,40,35,27,29,59,40
"568768",32,23,201,63,39,39,30,42,25,34,40
"180957",53,31,1276,79,72,61,57,56,43,79,63
"555",75,45,168,81,41,58,38,52,27,73,52
"2042057",42,31,136,52,41,36,38,38,28,58,38
"218491",3,2,14,5,9,5,1,5,1,8,5
"1905730",0,27,0,43,34,39,0,31,0,0,0
"2108399",35,17,66,18,22,22,24,14,17,35,19
"1175631",16,13,64,21,18,23,24,14,9,31,13
"2488639",16,15,65,17,34,16,13,9,16,14,16
"78398",20,15,46,22,21,30,14,8,18,22,4
"1201031",4,4,19,11,9,6,13,3,5,14,11
"2722756",96,80,179,111,94,125,83,83,62,144,97
"1109412",82,62,265,120,51,82,61,76,54,132,91
"55213",68,54,121,70,63,51,34,48,35,78,60
"1172565",84,57,174,105,72,83,80,98,73,133,96
"1082704",85,80,146,114,57,89,73,87,69,116,105
"718251",0,0,0,1,1,0,1,3,1,1,0
"93378",84,48,133,114,92,85,72,82,59,116,73
"67780",0,55,124,93,0,75,63,66,0,0,72
"1288122",5,2,7,1,4,4,0,4,0,4,2
"1578828",6,6,6,6,3,7,3,6,1,10,1
"1650654",2,0,0,0,0,1,1,1,0,1,4
"667120",0,0,0,0,1,0,1,1,1,2,0
"1453496",6,5,5,5,3,6,1,6,8,10,9
"546367",23,14,54,32,29,48,29,25,21,44,29
"1848580",0,1,2,2,0,2,0,0,0,3,2
"82983",21,13,31,23,16,22,16,18,16,16,16
"1141663",1,2,0,1,0,24,1,0,0,0,3
"158850",12,12,29,19,24,26,14,4,16,9,11
"126385",12,4,26,7,9,12,2,8,9,22,8
"333962",12,7,37,14,11,14,7,10,7,15,13
"1141660",9,4,20,5,14,9,5,11,4,9,10
"333965",17,10,27,10,11,8,8,12,10,16,8
"588",1,0,0,6,7,0,8,4,1,7,0
"2791982",0,0,0,0,0,0,0,0,0,0,0
"406818",12,5,21,14,21,20,15,9,7,14,15
"351671",23,28,44,31,32,25,17,22,28,35,34
"351679",15,13,60,26,12,18,11,9,9,17,13
"628",14,14,0,22,10,22,6,16,15,20,22
"1354304",16,8,35,15,13,12,9,11,12,20,11
"290110",11,16,34,9,14,18,14,8,6,16,9
"180434",1,1,3,3,0,0,1,1,0,0,2
"584",0,17,0,61,47,0,0,170,0,168,0
"585",21,23,92,27,21,34,23,18,18,26,20
"183417",7,3,90,10,5,9,8,3,4,3,7
"102862",11,1,9,5,6,7,6,4,11,5,6
"2697019",1,2,2,7,2,3,1,3,1,0,6
"626774",0,1,29,2,2,3,1,1,0,5,5
"1987580",3,1,6,0,4,2,1,2,0,6,2
"230089",11,4,42,14,19,22,20,15,14,19,17
"141679",18,13,52,28,13,13,11,9,6,9,14
"291112",20,16,31,16,11,7,10,15,6,21,5
"235559",9,12,24,13,4,11,14,9,4,18,10
"1231049",6,5,29,5,3,6,9,4,5,7,15
"638",9,5,28,14,8,9,8,9,4,11,14
"634113",2,1,18,0,2,2,5,1,1,1,5
"1239307",96,70,142,132,93,91,68,92,63,126,102
"2342",39,24,74,61,51,49,47,54,43,55,63
"1929246",6,8,16,16,7,4,4,8,8,7,8
"158841",55,47,85,79,67,57,38,41,33,84,50
"82985",28,16,108,16,14,24,24,9,19,22,11
"2172103",14,9,24,15,10,14,10,11,8,17,15
"2498113",15,6,49,16,15,18,12,20,12,12,12
"703",77,56,227,92,70,75,60,55,51,108,79
"1255043",837,699,1257,1057,690,768,713,740,531,1168,848
"396588",682,684,1575,1012,579,801,612,625,506,1025,768
"713585",720,636,1112,959,572,705,608,675,443,1003,725
"396595",474,463,1053,626,455,592,447,407,400,679,539
"106634",505,431,1012,635,448,545,441,507,346,598,588
"1765967",619,478,1104,712,443,549,438,514,419,781,607
"2792603",591,531,1189,835,557,601,457,617,482,858,663
"2819280",272,250,668,480,310,316,233,340,229,514,424
"1335757",393,329,659,469,336,402,294,344,251,464,419
"2666185",338,265,678,468,276,346,259,306,229,457,377
"1260251",222,183,564,394,193,259,236,221,155,352,264
"349124",594,561,1024,946,702,757,575,690,528,960,711
"1052",111,91,194,150,75,99,93,115,78,151,122
"2740807",638,588,1190,946,555,690,549,628,502,1008,743
"187272",649,553,1196,828,679,733,575,536,526,920,655
"421628",241,217,478,306,214,297,189,231,204,310,245
"1442136",209,258,471,298,205,222,199,180,196,287,230
"1166950",1025,819,1676,1318,1088,1229,931,921,682,1432,991
"765912",1047,821,1504,1365,1010,1200,880,1026,778,1493,1122
"765910",916,770,1544,1199,938,1106,883,894,726,1406,1024
"572477",681,581,1324,980,609,705,587,681,470,1033,763
"765911",621,518,1161,876,532,692,568,562,421,858,570
"316276",426,379,797,634,410,440,394,431,299,661,469
"472759",76,55,129,102,67,91,60,54,45,92,112
"1814290",57,61,140,71,85,90,73,70,66,96,95
"323261",42,37,407,67,58,46,39,43,42,37,85
"105559",42,47,132,54,66,52,51,46,48,58,72
"2699430",283,267,512,401,282,365,279,257,223,410,287
"1763998",46,317,698,67,69,57,52,55,50,71,67
"2498451",24,1090,6678,25,15,30,10,97,13,25,37
"2545632",13,23,124,38,23,20,12,17,11,19,24
"553981",21,0,44,16,10,7,4,9,11,14,18
"1630141",11,26,126,11,9,21,16,12,10,13,21
"1579979",639,585,1409,903,616,814,622,652,568,1048,759
"2771012",421,345,904,548,407,435,386,431,311,586,541
"2795687",204,139,290,210,129,146,122,144,125,247,183
"585455",121,115,217,173,101,119,87,88,83,180,141
"1972068",680,588,1776,868,560,623,524,608,478,965,759
"47960",701,509,1152,869,664,896,731,619,544,1079,729
"1860122",266,250,710,466,235,306,274,325,198,410,370
"555778",115,98,334,173,98,122,103,95,84,172,134
"1548547",368,288,856,516,249,304,267,284,219,433,425
"1811807",167,145,373,212,138,133,141,156,101,225,184
"1192854",178,104,298,225,143,190,160,147,110,212,163
"2587844",475,435,867,624,553,565,487,550,380,737,560
"2773308",374,345,768,481,399,398,336,342,281,598,395
"2587849",346,292,589,409,328,420,296,295,303,497,369
"1883416",362,311,811,425,376,405,343,323,242,492,357
"2733488",314,274,579,409,292,362,275,304,272,549,371
"2733487",339,311,813,454,393,422,279,365,319,557,408
"2497861",355,300,803,440,341,406,288,309,253,531,373
"1609967",337,294,686,460,304,341,299,282,268,473,333
"2306583",295,256,658,370,300,388,305,297,255,425,375
"2730360",202,241,422,275,206,245,189,206,181,283,238
"2562282",134,128,326,198,139,141,101,127,107,169,159
"2749040",113,104,229,149,100,131,109,104,96,154,105
"2785909",122,113,229,132,106,148,106,74,111,139,98
"1504981",74,82,176,107,87,74,54,64,42,96,92
"2136172",67,53,127,99,53,68,42,57,47,76,85
"2733484",41,33,81,53,32,54,49,51,32,79,54
"1118153",43,33,85,54,57,41,36,63,35,40,57
"2014541",14,6,40,16,9,14,7,13,9,25,16
"1971364",27,22,75,25,20,15,16,23,23,27,27
"1666906",25,16,48,16,23,24,20,14,13,21,16
"1761789",21,14,99,20,10,15,13,11,7,18,23
"1346287",7,3,14,8,10,5,6,4,10,13,9
"1250400",0,0,0,0,0,0,0,1,0,0,0
"475662",521,420,1010,702,587,589,485,523,439,833,593
"1897729",406,341,757,567,467,492,388,432,385,614,454
"1081866",360,281,674,394,361,378,294,357,238,462,406
"768066",347,293,770,405,336,412,305,346,238,432,394
"507626",266,208,570,325,272,298,236,244,217,384,345
"115561",201,154,294,226,149,242,171,157,154,214,188
"29571",163,174,410,264,167,188,134,184,131,287,228
"1178482",179,158,381,242,156,229,165,165,145,224,221
"29570",179,216,464,258,224,266,165,189,159,289,268
"2609667",100,89,158,134,83,101,74,99,72,107,123
"664683",64,51,87,62,47,53,44,44,57,83,63
"74661",41,29,104,45,38,53,40,55,34,49,47
"44935",28,18,53,26,21,31,28,21,22,37,25
"213554",11,9,22,18,4,9,5,9,3,8,5
"272774",5,3,7,11,6,2,1,2,3,5,4
"2686360",130,110,287,174,114,118,108,150,96,211,157
"2609415",77,82,164,82,69,84,69,48,68,100,75
"2661553",51,55,123,82,52,70,52,55,29,78,65
"2053669",0,1,1,2,1,0,0,5,0,1,2
"1055101",73,47,128,69,60,53,68,62,60,47,61
"28258",7,2,2,4,5,6,3,3,4,22,3
"376489",520,455,1115,860,524,602,474,593,446,872,639
"1771309",581,468,1106,788,577,638,499,530,481,826,688
"657387",142,138,307,186,141,157,124,138,117,199,155
"698828",92,108,238,155,112,111,115,128,79,212,151
"157779",141,103,258,180,141,133,102,152,99,197,164
"290398",376,419,2141,443,327,439,316,362,236,508,457
"1883414",234,261,644,337,265,295,215,296,221,442,340
"33074",79,73,189,126,76,94,80,62,80,111,68
"91844",9,4,16,4,8,14,8,6,14,1,4
"114186",5,3,6,6,1,0,0,9,0,6,2
"2014542",415,386,1005,657,484,463,326,435,335,687,501
"1113728",3,4,5,7,2,3,0,3,10,2,6
"391936",364,368,1314,540,315,547,321,377,327,504,433
"930169",213,185,541,307,222,233,192,211,198,312,249
"1094342",196,161,450,228,193,220,152,180,161,293,210
"393595",3,5,5,2,7,8,4,1,7,5,4
"1917421",64,61,232,131,63,75,58,76,51,122,89
"1821621",249,214,487,349,259,251,197,218,166,358,289
"48076",102,94,223,116,77,106,74,103,59,131,115
"2668067",29,34,108,26,19,22,15,23,14,36,31
"400668",22,19,81,23,16,17,6,14,5,24,18
"2071621",10,23,52,23,10,8,8,8,9,18,21
"178399",30,28,73,34,19,20,25,34,18,59,49
"383750",20,19,50,32,18,20,17,14,14,33,21
"717774",15,32,71,18,10,25,22,16,7,21,19
"491952",15,14,61,19,17,20,10,10,20,19,14
"2773454",15,8,42,13,14,21,13,11,11,13,21
"491950",13,12,38,10,20,12,15,9,4,10,25
"1031538",22,35,56,26,21,27,21,17,20,29,26
"1572645",22,18,106,42,20,23,16,18,12,25,32
"1441457",17,19,42,20,35,21,18,17,11,32,26
"1249553",74,61,162,78,67,73,51,49,47,93,87
"2614693",28,32,143,44,36,56,49,47,37,69,48
"1298593",1,2,6,3,3,4,4,2,3,1,4
"1208320",1,0,13,5,2,6,3,2,1,6,4
"1278309",29,26,95,31,42,28,24,44,18,31,42
"207949",15,18,59,22,14,12,9,17,7,15,18
"1628392",175,137,332,202,174,195,162,156,123,258,171
"349521",131,115,342,193,152,176,135,145,133,234,164
"2683272",22,21,83,18,15,20,17,16,13,28,27
"2161747",223,183,457,292,177,191,169,199,133,276,231
"1336806",78,87,194,140,71,102,88,91,67,143,96
"1445510",60,63,160,68,48,59,50,58,46,77,57
"418701",97,85,320,138,106,119,77,115,62,152,129
"523791",18,24,42,24,12,23,12,12,14,23,18
"1561924",14,22,88,8,15,16,7,16,15,30,24
"914150",9,11,68,12,12,17,10,15,7,21,15
"1144748",11,9,50,20,11,7,4,8,19,17,16
"141451",46,45,176,56,44,47,29,41,26,52,48
"570277",38,40,132,72,36,26,22,24,23,31,46
"2304594",161,160,400,172,134,167,150,151,103,209,160
"2769486",167,144,317,215,148,154,115,147,109,216,132
"2488665",129,120,387,201,131,143,118,126,118,192,153
"1749259",69,64,209,88,57,65,60,52,44,99,98
"1761794",52,46,141,68,66,48,43,43,33,72,75
"1415568",72,51,195,87,57,74,53,45,46,102,71
"2547598",56,50,144,60,49,51,49,70,36,81,55
"1671721",52,48,167,64,38,46,31,41,35,68,43
"490759",35,39,86,65,38,47,27,43,41,69,46
"2603215",226,178,542,277,224,265,180,211,166,288,233
"1163748",51,28,109,48,47,68,48,34,40,34,40
"351348",48,50,131,46,46,44,44,42,37,67,55
"1420917",174,150,378,217,144,182,138,168,141,252,208
"418719",113,118,324,201,106,123,106,91,89,161,113
"1874317",120,88,299,149,77,111,98,96,64,108,138
"225937",52,42,86,48,57,51,43,38,33,61,46
"330734",28,26,76,47,21,39,21,32,16,43,23
"2267264",47,28,70,53,33,43,36,29,15,47,44
"1714845",8,12,84,7,12,7,4,9,8,12,14
"2358187",13,16,35,6,8,7,4,5,2,8,4
"1917158",1,3,7,4,1,1,0,2,3,0,0
"2058133",7,1,13,5,7,4,2,3,1,2,2
"1004787",6,4,11,1,0,5,5,4,3,6,3
"1004785",7,16,22,13,5,4,5,9,1,5,11
"529120",1,0,4,1,1,3,0,0,6,6,1
"1004788",0,1,1,1,0,0,1,4,2,0,4
"1774373",4,4,2,4,1,0,0,6,1,2,1
"1300254",1,0,0,2,1,6,0,4,1,2,4
"1858656",22,25,50,28,18,36,22,25,13,38,32
"589873",6,5,8,7,8,5,2,13,3,10,14
"715451",6,7,23,11,2,8,4,4,3,8,6
"233316",1,0,0,2,1,4,3,2,0,2,1
"287094",0,1,0,0,0,2,1,1,0,0,1
"2259620",192,169,337,192,163,206,169,144,129,224,175
"2785918",36,29,83,44,33,51,36,37,22,72,50
"2572577",24,34,96,31,27,29,16,27,16,30,27
"914153",30,38,131,49,38,45,24,32,34,52,36
"2303538",35,28,128,39,24,33,17,25,23,37,34
"2686358",9,14,41,9,14,7,10,10,10,14,12
"2686359",18,10,27,20,8,9,11,6,8,12,19
"1129794",15,15,105,22,18,23,8,20,9,17,20
"197222",20,8,39,27,10,14,10,13,15,21,24
"2489595",27,2189,2061,38,19,34,14,65,32,32,158
"1085623",23,21,44,20,16,18,7,8,13,10,19
"1526571",51,51,150,86,50,59,34,37,37,57,49
"2183582",33,58,170,69,53,76,55,43,46,82,60
"2172099",16,6,91,29,27,24,10,21,18,25,22
"1740262",21,14,86,22,16,22,10,15,5,28,28
"680279",25,34,80,21,15,24,17,14,8,29,34
"2814293",33,23,77,43,31,54,43,22,31,51,25
"2814294",22,36,67,28,24,27,27,22,21,44,33
"2814292",23,21,66,40,16,27,18,18,23,51,24
"2593655",23,20,44,17,23,20,26,10,13,26,12
"2803864",12,11,48,30,14,11,10,19,14,9,24
"2589987",12,12,44,22,20,11,4,14,12,3,12
"2590015",10,17,77,18,10,18,13,10,13,24,26
"94122",13,20,10,13,13,17,10,8,6,11,9
"2814295",19,18,27,32,19,17,21,16,16,40,20
"2059264",13,6,32,22,16,35,16,7,21,22,22
"2029986",12,17,19,14,15,19,12,10,5,14,14
"2487742",15,5,28,13,14,17,8,13,10,12,15
"2698686",10,15,24,12,6,6,5,11,4,7,14
"60480",10,12,22,7,9,5,5,5,4,9,11
"1930557",4,6,10,3,3,2,5,4,2,2,2
"2589790",4,5,10,4,2,1,2,4,1,1,1
"2575361",4,3,4,4,4,1,3,5,5,8,5
"60481",5,5,33,5,8,11,5,2,4,8,6
"2806008",5,4,14,1,4,4,0,8,0,4,6
"2593656",0,0,7,1,2,0,1,1,0,0,2
"2601269",1,0,1,1,1,0,0,0,1,1,0
"2775245",0,0,6,4,1,4,0,3,1,1,2
"351745",1,2,16,1,0,3,1,0,0,2,0
"323850",94,105,196,149,104,141,104,108,95,153,128
"1965282",80,71,172,101,60,95,52,44,56,104,76
"38313",70,81,233,84,85,110,58,94,45,129,79
"407976",1,1,6,3,4,2,1,1,2,1,4
"693971",0,0,0,0,0,0,0,0,0,0,0
"399804",3,3,4,1,2,3,2,1,1,3,3
"260364",37,44,108,71,46,42,42,35,28,52,49
"1173586",54,43,208,73,60,65,37,56,27,61,90
"326297",54,42,143,82,29,37,37,27,27,62,43
"425104",33,25,91,35,25,27,8,23,20,39,26
"318161",18,11,119,30,14,20,6,20,8,20,22
"458817",12,23,47,22,25,14,16,18,14,24,13
"2520507",19,10,154,23,11,14,8,13,12,28,5
"637905",18,7,34,17,13,12,6,19,9,15,13
"256839",10,13,32,24,16,21,9,14,6,25,19
"392500",20,16,53,24,14,21,10,23,15,32,28
"43661",15,23,53,21,13,19,15,24,19,47,35
"225848",14,22,44,23,19,17,8,14,15,22,11
"150120",15,8,55,11,4,11,8,6,5,10,7
"398579",21,12,60,29,10,15,10,14,17,22,14
"558541",21,22,61,17,14,26,17,14,8,21,20
"211586",18,15,37,7,14,24,12,11,12,32,12
"225849",13,12,65,12,19,27,26,6,12,23,15
"238836",12,9,61,17,16,8,10,8,6,13,16
"1028752",13,9,37,31,14,14,13,4,5,21,11
"2018305",12,2,46,4,5,5,3,4,2,5,5
"93973",2,2,26,1,3,6,5,8,2,11,7
"318167",9,13,17,8,7,9,4,7,7,5,4
"2588449",3,3,16,5,3,2,2,5,2,5,6
"342950",16,6,33,10,7,16,5,9,10,13,11
"2547970",11,19,61,17,7,9,7,15,7,11,9
"1709477",27,27,109,23,22,25,18,33,22,36,20
"116092",30,14,67,16,22,10,7,11,13,22,18
"2744479",6,10,34,21,12,9,2,7,5,10,18
