"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1644131",730,339,487,954,635,378,326,391,332,476,144
"1938606",296,173,217,487,313,158,163,180,138,232,86
"375286",210,98,139,1162,214,116,122,153,205,182,78
"1537274",155,63,116,308,143,94,69,85,66,107,25
"2808899",84,43,93,139,95,52,81,57,64,83,24
"1236179",55,40,60,199,79,42,49,44,32,46,11
"1349767",883,425,489,1613,806,401,416,528,487,594,228
"2590869",267,98,196,482,270,146,105,159,162,157,47
"368607",272,126,181,418,251,141,122,167,152,171,50
"29581",243,115,180,412,218,142,119,153,106,160,48
"2728020",1845,877,1182,2519,1739,873,889,1141,1171,1358,781
"2728021",1235,541,858,2059,1214,573,572,706,695,846,289
"1005048",329,188,247,884,371,203,186,224,185,255,80
"279058",765,377,536,2187,780,395,419,475,488,544,191
"279113",689,353,489,1583,673,380,410,449,413,443,180
"2601898",1465,857,1191,4707,1768,898,945,1133,1554,1319,499
"2058624",90,43,43,341,92,55,28,43,57,50,13
"2058625",80,50,72,352,84,50,49,52,61,53,28
"401471",113,58,65,429,122,69,49,66,96,69,35
"1809410",185,76,84,919,183,69,60,99,145,126,68
"2807626",137,55,94,549,152,66,76,79,86,106,33
"556269",0,0,0,0,1,0,0,0,0,0,0
"2494234",453,257,305,530,507,239,207,335,225,383,72
"2584944",322,181,242,469,420,175,166,236,155,260,50
"40545",148,77,113,198,151,90,54,88,84,74,19
"1796652",68,38,55,117,127,53,46,54,50,43,17
"748247",1821,1184,1441,2335,2437,1158,981,1375,1339,1391,254
"2016596",1435,913,1246,2125,2035,974,816,1058,924,1049,276
"356837",1443,897,1288,2092,1965,1026,840,1155,1177,1234,220
"2027405",1411,775,1089,2089,1818,879,701,960,860,1085,257
"198107",1184,788,1047,1577,1731,828,655,936,1049,999,212
"418699",1593,918,1179,2322,2075,1011,773,1060,1123,1249,278
"2067960",1251,812,1009,1837,1697,810,652,942,725,1078,268
"41977",1131,688,848,2051,1501,684,575,805,801,922,208
"85643",1821,1085,1368,2167,2775,1074,932,1228,1116,1411,281
"2005884",1564,982,1274,2366,2243,1095,851,1160,1044,1183,255
"1134435",1244,638,942,1614,1708,770,574,905,779,969,216
"96773",811,416,620,1341,1124,529,422,594,499,638,158
"44139",729,383,522,1128,970,443,327,542,425,562,133
"2184083",522,290,407,925,621,313,243,392,330,370,125
"76116",1314,863,1119,1706,2002,877,732,1013,1075,1140,205
"76115",1167,724,913,1484,1424,832,606,819,995,976,191
"76114",1176,689,966,1352,1388,760,657,839,1018,1005,184
"404405",2742,1936,2565,3620,3829,2021,1565,2202,2706,2379,496
"1765049",202,147,171,386,298,162,126,164,228,143,60
"640081",214,138,154,334,280,125,109,176,261,172,41
"2811415",1051,608,854,1549,1323,659,542,833,605,888,164
"1735038",891,510,667,1410,1031,549,420,604,711,607,148
"1565605",185,119,135,679,234,114,146,143,134,146,26
"2231055",377,256,313,776,493,243,200,267,3468,315,75
"2654218",382,209,289,711,436,225,193,280,2483,318,66
"159087",564,323,423,971,766,358,301,390,5691,372,80
"1751046",119,75,113,342,136,92,92,101,116,98,31
"2732067",4654,2908,4511,4120,7503,3536,2947,4904,2598,5302,795
"2732487",3843,2504,3782,3773,6707,2925,2504,4104,2330,4268,759
"1981880",964,627,835,1915,1431,737,553,793,718,938,183
"311182",587,356,482,988,813,360,292,389,444,400,123
"1223802",1207,777,1096,2467,1940,870,689,1076,923,1028,248
"1842540",1167,691,976,3517,1590,772,648,854,982,1010,232
"157592",808,577,739,1768,1180,520,452,695,573,817,156
"44574",4822,2070,582,3977,1299,506,274,1035,1209,99,3428
"44577",104,70,65,23221,219,46,44,46,13576,60,12
"261292",123,73,63,17685,123,53,55,64,2746,77,10
"153948",48,14,9,14494,48,14,13,9,2154,21,1
"228410",134,60,79,727,100,54,49,76,160,82,22
"335283",77,42,53,346,86,30,30,61,82,65,23
"1444684",37,18,19,198,34,22,17,16,39,23,6
"323848",12126,2049,1694,1078,1246,1318,759,486,3368,1277,1450
"1288494",651,200,264,1008,358,207,203,219,319,326,101
"1266925",816,200,284,853,290,204,170,163,402,327,107
"292415",10033,1053,1344,5659,2192,1097,4498,1375,808,1515,446
"1914471",1134,749,987,2293,1654,804,625,908,686,937,241
"171865",560,300,393,1681,724,309,257,423,358,499,136
"1985873",276,156,201,737,431,153,137,221,156,233,53
"2675298",63,35,38,180,67,20,18,49,35,42,10
"2715678",904,486,731,1601,1187,623,484,702,471,763,138
"1163617",400,264,354,855,669,264,201,348,276,357,77
"580332",549,365,450,974,813,373,273,482,377,484,93
"1188319",247,169,227,539,402,174,149,208,192,207,73
"395494",178,95,157,584,216,107,85,128,120,120,32
"2559597",133,80,118,303,187,105,70,104,539,89,22
"887061",80,46,54,176,91,38,28,46,53,37,24
"582744",81,54,52,173,86,44,50,51,58,61,20
"265072",249,139,151,706,288,143,115,157,149,200,59
"2588534",79,43,45,699,78,26,32,43,47,46,13
"1662285",86,61,53,7847,75,45,55,128,136,178,12
"2588536",27,10,15,71,26,15,11,14,16,15,2
"1581557",24,7,4,49,17,9,5,9,16,12,8
"1581680",37,10,17,134,17,17,11,10,14,24,2
"2588535",12,10,14,37,14,3,7,4,1,30,3
"583345",299,16,22,372,47,20,12,37,55,30,13
"666681",82,17,31,198,38,15,16,21,23,16,2
"2641838",933,561,778,1313,1089,546,479,668,461,778,149
"1108595",800,464,599,1076,850,485,433,585,389,573,123
"536",755,432,614,1175,793,505,417,517,365,569,150
"2202141",472,249,370,627,510,257,243,320,216,329,70
"2605945",468,193,349,563,478,239,197,272,193,340,51
"1778675",107,64,63,231,124,60,42,60,50,79,12
"394935",28,19,32,42,64,27,22,18,24,29,7
"235634",54,30,59,138,68,35,34,41,35,39,8
"537",50,30,48,167,59,44,21,29,29,48,1
"1906741",1239,656,1015,1829,1445,797,601,858,534,1000,184
"1009682",511,282,419,822,579,340,209,281,250,309,77
"748280",1214,649,985,1529,1386,707,651,748,592,712,162
"1537400",237,138,181,425,237,142,134,132,110,172,51
"332411",164,97,100,346,204,84,77,110,84,97,37
"1590041",123,77,113,274,178,77,96,89,104,90,22
"519081",188,87,111,264,164,102,78,88,86,108,15
"57480",812,499,630,1052,943,500,481,573,405,633,158
"1192162",789,456,622,1283,878,522,441,537,394,542,132
"557598",109,84,93,173,147,61,66,78,60,80,25
"1938604",361,200,282,730,456,226,192,243,226,298,70
"1737446",84,30,69,248,94,49,43,49,44,62,12
"2739434",72,39,78,185,82,68,35,61,42,67,14
"2739061",45,33,44,85,58,31,29,25,37,39,9
"655307",158,91,113,227,194,82,80,114,82,121,34
"641148",52,44,46,59,56,28,34,38,23,41,6
"2709396",54,27,18,84,47,22,18,31,18,25,7
"1853276",42,24,35,70,37,29,21,30,25,31,3
"267212",193,110,141,239,204,96,97,132,81,148,30
"194197",130,81,93,291,159,91,47,87,49,88,28
"607712",135,88,121,323,150,83,87,107,75,107,26
"88719",15,7,16,36,20,8,11,8,12,11,3
"1853278",100,50,93,252,126,65,58,108,59,77,13
"135720",4,2,2,6,3,6,3,7,3,3,0
"662598",1,3,0,5,1,2,1,3,3,0,0
"1386087",0,0,1,1,1,1,0,0,0,0,0
"1815583",78,57,61,193,78,60,45,47,51,50,14
"492",52,31,50,98,72,30,29,45,35,48,14
"28091",38,33,48,109,70,35,31,62,49,29,8
"490",38,38,34,84,68,25,17,34,28,33,2
"326522",73,29,45,88,66,44,24,29,24,39,6
"485",27,26,0,73,44,23,18,35,13,0,9
"326523",50,26,30,76,42,29,15,44,22,44,6
"489653",10,5,3,8,4,4,1,3,4,3,0
"2666100",30,17,25,75,39,23,23,24,19,27,9
"493",25,16,24,112,38,20,16,15,11,25,8
"488",50,33,47,102,36,36,31,30,19,23,7
"640030",29,16,25,163,32,18,14,19,15,17,5
"607711",37,17,24,80,28,16,16,25,17,24,12
"28449",11,19,15,35,26,12,12,14,10,11,1
"483",15,5,8,37,19,10,8,15,11,8,2
"484",24,13,18,13,11,12,12,16,9,11,3
"489",4,3,6,12,2,3,4,6,8,14,2
"2290923",1342,773,1042,1775,1633,873,709,935,640,1026,211
"682798",846,487,660,1362,954,493,454,682,455,571,150
"63",469,268,408,929,634,351,278,324,369,294,65
"96942",14,7,12,175,13,9,9,15,13,2,4
"539",185,70,106,272,186,80,83,135,86,114,27
"2528037",41,34,42,106,72,31,25,37,12,48,6
"505",77,54,56,126,127,44,53,64,37,54,11
"502",100,60,61,160,108,54,47,66,47,80,14
"504",24,32,25,52,27,15,10,30,24,22,3
"153493",33,32,35,71,41,31,25,33,28,27,9
"1196094",32,24,20,109,30,18,16,29,16,19,9
"194196",33,22,24,72,24,13,13,23,17,14,3
"641147",13,7,13,26,11,7,5,10,4,14,4
"522306",1398,854,1081,1822,1664,862,733,959,868,1091,177
"2591109",911,540,847,1301,1391,606,535,766,522,736,151
"1208921",1,2,4,15,4,0,2,4,2,2,1
"1208920",6,1,3,46,4,1,2,1,1,3,1
"233181",7,1,5,12,3,5,2,4,2,3,2
"1576550",4,2,2,9,3,1,4,3,2,7,1
"33056",5,2,2,8,2,4,3,0,1,0,0
"1208919",6,1,0,10,2,2,1,8,2,3,0
"1381133",0,0,0,0,2,0,0,0,0,0,0
"1755504",403,262,676,558,4024,327,533,300,187,262,105
"1856685",435,292,939,629,1792,383,793,249,217,256,99
"2725477",850,585,1705,1083,980,651,1111,514,408,576,147
"2320867",659,466,1503,1044,714,548,975,434,281,480,147
"2731681",954,282,1049,777,546,345,686,270,250,223,105
"2614442",470,342,1105,776,535,350,700,316,204,279,94
"2653853",463,284,679,625,513,289,601,435,202,297,82
"1294143",396,279,666,1193,487,285,470,320,180,257,345
"2811422",410,268,595,572,461,303,372,291,206,293,74
"1930532",375,317,1064,1339,450,351,706,252,194,230,90
"2748080",279,215,501,576,394,208,303,225,138,192,83
"2054914",303,185,266,361,339,191,188,212,127,181,123
"658630",328,158,304,336,319,189,225,183,121,182,57
"1028989",279,155,347,402,317,171,228,182,106,213,70
"2724470",276,146,282,353,286,175,172,170,118,163,53
"1931241",275,172,314,560,271,174,184,162,120,146,57
"1881017",303,155,321,438,270,189,188,146,216,164,53
"2729423",261,237,288,325,253,157,925,202,242,1994,282
"2735906",201,141,485,444,251,258,279,137,96,122,62
"2706126",217,142,218,408,241,146,142,159,142,176,52
"1573704",261,109,258,288,239,141,170,144,103,189,42
"2518644",189,117,281,305,225,147,173,119,71,104,63
"2498848",278,129,209,278,216,144,166,111,85,123,33
"143813",244,130,233,288,212,139,191,124,78,115,40
"2726956",227,140,359,369,211,161,277,116,99,117,35
"2726989",212,114,233,331,209,143,131,133,119,155,56
"1573718",142,80,171,168,199,90,107,99,59,75,21
"2749999",197,117,188,244,189,121,144,126,104,112,61
"2049589",139,103,260,302,188,118,180,116,98,76,44
"1736226",232,121,185,343,184,133,117,120,75,107,218
"2320270",176,91,183,184,181,98,106,88,76,139,36
"2054919",176,94,162,217,178,105,110,99,66,84,30
"2774873",159,150,215,210,175,134,166,98,65,104,30
"1283291",167,107,127,222,174,92,104,95,78,106,36
"2201356",145,86,134,147,173,78,91,82,46,88,27
"2804761",137,100,162,212,171,114,131,109,66,117,34
"2730847",165,109,178,250,158,97,109,106,59,96,18
"1573719",154,79,126,176,135,88,85,76,48,79,26
"1649877",144,84,142,215,134,88,95,98,63,106,87
"1981174",120,79,178,325,133,75,135,92,63,93,22
"2073078",153,80,117,206,132,88,98,74,51,78,30
"2730848",112,61,113,139,130,78,83,68,33,64,21
"2823875",128,80,132,144,128,75,95,83,50,90,23
"2219057",112,61,90,146,121,74,72,59,44,65,21
"2052956",115,64,119,248,120,79,80,69,33,44,15
"658644",134,69,130,146,111,65,93,86,49,64,31
"1898684",71,50,227,167,103,75,102,55,55,51,28
"253237",73,47,169,176,96,61,102,46,24,30,18
"1611770",70,49,150,220,95,64,62,54,40,52,24
"1573712",99,46,77,169,93,57,55,62,50,75,14
"1207075",78,23,78,82,93,39,42,43,38,34,7
"1534110",140,49,77,137,92,62,43,45,27,31,14
"2590776",75,38,86,111,86,60,52,66,29,56,16
"2213057",85,52,123,134,84,62,102,46,242,61,296
"2662033",94,34,82,128,82,42,55,41,39,49,63
"2774459",90,44,82,131,82,63,88,82,43,55,17
"2025658",85,58,125,112,81,55,84,55,45,47,20
"2812000",88,34,71,103,80,48,61,52,39,54,14
"1259844",109,41,85,370,79,36,77,43,33,41,921
"1702250",69,46,88,122,75,40,61,53,28,51,4
"2587845",106,48,138,136,72,67,96,42,189,52,195
"2604941",32,31,57,115,65,20,39,27,33,26,14
"1573711",86,34,62,56,61,29,52,40,27,35,10
"1855380",55,40,48,63,59,31,37,30,17,37,13
"2479392",38,33,50,129,56,36,53,33,29,26,11
"2597770",28,30,42,56,54,24,31,31,18,34,38
"1758730",52,29,85,85,51,31,43,22,18,35,10
"1500686",50,39,64,42,51,27,41,40,17,28,6
"2559074",41,24,45,66,50,19,33,27,28,16,8
"2054915",32,19,123,39,50,38,60,14,14,24,6
"118613",80,33,57,50,49,40,43,45,24,37,12
"658629",47,24,40,54,48,28,19,22,17,19,6
"2018067",40,28,67,49,48,15,39,30,22,29,6
"1500687",56,26,58,59,45,24,35,24,18,33,15
"1573720",52,14,29,58,45,27,17,23,12,15,7
"1636610",26,22,56,164,45,27,33,23,23,18,37
"2067572",31,22,21,50,44,11,18,14,14,26,7
"2126069",35,24,31,52,37,15,9,18,17,17,8
"1827300",30,20,34,45,36,16,35,29,23,28,14
"2005388",45,29,43,54,35,28,22,24,19,18,12
"2605424",30,13,25,27,34,9,10,21,14,18,4
"1855331",46,16,21,53,33,16,17,11,5,10,79
"676210",37,23,47,55,33,24,33,16,11,24,2
"1173283",20,9,28,17,31,21,10,14,11,16,1
"2730851",26,23,54,23,29,21,22,15,15,13,3
"2069256",9,11,18,35,29,9,11,8,9,22,171
"2045200",16,9,21,21,27,19,42,14,12,21,69
"2169583",20,11,13,24,24,14,22,15,16,13,2
"1659194",29,16,30,46,23,19,22,23,10,24,6
"2083055",21,10,15,18,22,12,14,11,12,19,4
"76885",47,4,8,30,21,10,6,10,15,7,3
"2083054",18,8,20,17,20,4,14,14,4,11,5
"2777367",22,11,12,27,19,11,5,11,9,6,11
"2749807",25,13,22,38,18,13,9,13,9,17,6
"658643",11,1,9,4,17,3,3,3,4,4,2
"1173270",27,6,34,17,17,16,11,10,5,5,2
"658642",11,11,18,25,17,9,9,7,3,8,1
"1886807",16,6,3,19,16,6,5,12,5,7,9
"1415630",9,9,15,25,16,10,14,9,9,4,1
"69328",11,7,20,33,16,8,15,12,7,12,18
"2651048",16,11,22,41,16,12,14,13,4,9,68
"1173273",10,5,16,20,14,9,4,13,9,2,3
"2654238",19,11,10,21,14,9,12,14,9,9,7
"2662034",13,6,9,325,14,3,33,10,15,10,3026
"1173288",15,9,13,17,14,3,11,6,10,10,0
"658632",5,4,8,6,13,6,8,5,3,3,0
"2762896",30,14,27,35,13,8,33,4,8,1,74
"1173280",10,4,11,10,12,5,5,3,1,5,2
"2083053",28,12,20,82,12,15,41,15,18,15,28
"658641",6,4,4,13,12,3,3,6,3,2,1
"2083052",20,12,39,57,12,8,16,12,3,10,127
"1173284",4,8,3,20,12,5,4,9,8,8,5
"147212",13,10,11,28,11,8,7,10,4,4,2
"2738843",18,7,12,24,9,8,8,10,4,32,3
"2587597",10,3,17,11,9,6,5,1,2,9,10
"2664899",10,17,7,15,7,7,4,8,6,9,4
"2083051",11,9,5,7,7,5,3,13,9,2,5
"1338689",6,1,1,12,6,2,5,6,0,5,23
"2545800",2,3,12,3,4,2,9,1,0,1,1
"306",4,1,2,4,4,2,0,4,0,1,3
"1495331",1,1,1,4,4,0,0,0,1,4,0
"2479393",3,0,156,6,2,13,0,3,3,1,6
"1761895",2,2,1,2,2,3,4,4,2,5,0
"2609418",2,3,1,8,1,2,3,5,2,8,0
"1523522",0,1,0,0,1,0,0,0,2,0,0
"287",2756,1644,4441,4819,2687,1880,6907,1764,1211,1744,773
"300",1429,1035,3107,2451,1841,1023,2124,829,677,2577,351
"53412",644,427,1132,853,1742,498,840,389,270,452,132
"1232139",1147,554,1610,1579,1554,738,2014,766,358,1901,1818
"43263",4027,542,1957,7538,1104,712,1421,798,884,758,419
"627141",753,481,969,1003,826,507,722,520,302,485,127
"53408",490,356,602,614,509,315,401,336,183,366,75
"294",3101,1794,3316,4379,3170,1842,2130,1858,1180,1906,622
"380021",873,550,1060,1153,852,548,706,579,382,538,161
"47878",550,250,458,525,467,328,297,312,186,271,87
"76758",398,254,538,561,422,263,300,256,188,261,93
"47883",368,190,341,523,298,186,210,178,169,160,69
"200451",248,150,249,309,262,140,169,146,99,140,33
"200450",273,175,275,352,253,147,191,146,101,164,45
"47879",156,126,235,493,233,121,182,126,106,115,37
"46679",210,86,170,272,204,90,111,113,79,88,31
"183795",233,135,294,13884,201,118,193,121,1277,140,28
"76760",183,91,247,262,197,116,142,118,186,127,39
"29442",179,112,159,196,183,78,121,97,83,130,30
"78543",154,78,148,192,176,74,112,115,67,78,28
"651740",139,93,111,209,150,77,91,95,78,100,16
"129817",100,63,135,185,111,68,79,80,55,91,21
"169669",117,58,127,147,107,69,84,72,42,49,15
"75588",57,42,83,103,81,40,69,42,41,44,11
"76761",63,42,72,113,72,40,65,46,24,36,24
"75612",60,31,35,74,60,32,21,35,19,42,10
"303",4587,2422,4724,16680,4902,2671,3540,2542,1906,3449,34997
"47885",1076,690,1041,1372,1085,634,700,602,486,724,197
"76759",587,299,586,864,636,361,398,330,269,359,549
"47880",542,269,775,840,496,359,463,271,189,309,94
"70775",287,108,224,500,270,118,169,171,114,176,711
"2217867",63,46,80,81,57,33,35,52,30,31,32
"78327",42,23,30,70,43,23,23,24,21,24,26
"578833",5158,3566,9850,9630,5435,3934,6722,3515,5689,3457,15974
"74829",742,522,1088,4463,760,533,861,522,449,495,10364
"271420",212,181,354,454,277,169,223,163,198,187,71
"47886",73,38,105,95,68,31,72,33,24,33,20
"587753",2400,1253,2490,2884,2385,1478,2264,1369,908,1317,412
"86185",212,103,201,301,170,107,116,121,93,111,47
"296",111,49,120,161,119,78,93,74,50,67,18
"2604832",579,376,1258,739,2629,793,5629,874,229,364,107
"251695",754,493,786,1331,735,475,566,483,364,479,195
"33069",197,112,242,424,247,149,176,139,90,163,44
"1190415",184,113,242,357,204,129,178,127,97,118,36
"36746",195,120,280,370,198,146,196,130,98,105,50
"53409",155,104,170,213,161,108,94,98,80,112,38
"251698",83,36,80,131,83,39,75,34,37,51,71
"50340",93,48,93,91,82,58,46,52,26,54,23
"251701",27,13,33,82,30,13,26,24,12,27,10
"2775504",10,7,8,31,10,4,7,5,3,8,0
"46257",4,2,6,7,5,2,8,0,1,2,0
"86840",2,0,0,1,4,0,1,1,1,2,0
"1392877",1034,570,1288,1180,1632,643,863,628,396,1615,197
"319939",1070,679,1844,1201,1119,716,1223,580,412,836,184
"237610",991,602,1165,1343,1079,625,849,685,451,627,195
"1301098",195,82,214,185,195,113,126,120,61,192,40
"1245526",664,348,756,987,834,421,491,405,268,474,102
"384676",319,189,312,433,298,186,196,161,119,174,90
"43306",540,288,582,642,528,307,375,387,206,356,95
"157782",452,273,463,551,436,274,307,284,189,321,112
"2599595",444,265,444,555,432,291,308,305,152,316,72
"487184",292,220,417,725,396,238,293,238,163,253,60
"104087",444,206,318,469,389,200,221,212,136,186,52
"237609",328,170,356,490,377,212,235,190,190,167,96
"216142",308,181,441,420,329,216,267,192,119,172,63
"1499686",267,174,475,486,327,227,331,191,200,210,144
"472181",307,200,328,543,326,210,211,204,133,173,77
"364197",285,145,372,585,310,183,251,166,138,131,62
"157783",315,189,375,475,309,189,230,214,126,198,53
"198618",268,139,240,382,291,158,168,156,124,148,59
"86264",7,7,6,12,6,0,8,3,3,3,3
"198620",250,131,258,428,270,164,207,167,75,141,40
"553151",177,121,241,498,253,139,134,134,144,109,40
"515393",241,159,270,320,251,184,191,149,90,160,54
"1395516",117,27,64,113,64,28,44,36,23,31,11
"797277",193,134,223,406,241,165,163,152,132,141,75
"95300",214,114,229,391,230,140,169,146,72,104,40
"702115",271,161,207,425,226,147,151,158,106,155,44
"437900",191,144,227,460,218,137,169,139,73,110,38
"1691904",182,107,345,300,217,108,199,91,89,109,44
"219572",183,97,164,249,211,108,120,104,82,112,41
"86265",187,102,133,259,207,100,122,124,90,92,23
"1148509",187,97,188,219,198,84,145,116,61,88,22
"359110",196,108,193,306,196,98,183,128,66,122,25
"1853130",198,116,157,199,193,91,151,105,67,116,35
"191390",190,114,271,235,189,132,207,102,78,110,40
"395598",194,106,156,220,183,95,123,130,81,108,30
"741155",120,73,212,208,182,84,129,64,65,69,49
"1434072",166,114,240,334,178,110,169,112,78,124,47
"244566",162,89,159,207,171,86,86,102,61,83,28
"321846",122,59,117,163,153,77,80,78,44,88,42
"46677",195,91,230,252,153,133,195,104,75,111,35
"1274359",92,69,179,203,149,71,149,61,44,81,39
"1421430",180,94,196,234,148,116,131,110,82,77,25
"2505979",126,62,129,156,144,75,73,97,66,79,16
"47884",128,84,127,268,142,102,125,87,75,83,29
"554344",96,94,504,238,133,128,287,74,55,59,42
"163011",675,63,143,209,133,81,86,75,57,64,28
"158627",105,86,132,194,130,82,81,55,56,53,24
"2774460",113,62,128,160,127,73,94,65,40,69,31
"2774461",106,53,106,214,109,50,82,48,21,29,19
"2502979",91,64,170,200,108,78,143,52,37,49,33
"1788301",84,55,128,190,105,82,64,67,47,88,25
"122355",134,61,108,165,96,70,85,73,54,78,6
"1628086",81,45,79,140,87,45,70,49,38,66,18
"53407",103,47,75,113,82,56,45,43,31,36,17
"1306993",45,13,42,65,63,31,21,25,19,27,35
"2565368",115,32,46,77,62,32,25,29,24,26,11
"1615674",39,23,42,62,42,10,33,39,13,28,8
"1785145",30,15,17,50,31,14,5,16,23,20,3
"2681983",25,13,31,32,23,20,19,8,7,4,5
"1583341",18,7,9,16,15,8,10,8,7,8,5
"2219225",12,7,5,246,8,7,11,4,4,0,1649
"1302376",6,2,7,17,8,5,9,11,6,4,2
"470150",6,2,0,4,3,3,3,0,4,1,261
"353",1120,557,1245,1215,2664,779,762,611,447,643,179
"69964",642,465,940,647,746,518,458,373,289,334,117
"354",626,415,762,780,726,450,627,416,252,440,108
"1510150",262,176,199,5082,445,162,157,185,165,218,39
"1697053",40,15,27,93,53,15,11,18,20,22,6
"2213226",12,10,9,31,12,4,11,11,14,10,8
"2785331",23,4,9,42,9,8,4,3,8,9,2
"1879049",84,59,78,185,95,60,52,76,41,82,23
"2563897",17,9,9,43,28,18,3,11,10,12,6
"2798861",26,9,3,31,21,7,12,6,10,8,3
"2004646",2,3,9,26,18,0,3,7,3,9,1
"2714110",14,9,11,25,18,5,5,14,4,17,3
"2004647",16,5,7,11,16,2,1,3,2,2,0
"1407071",8,6,8,26,15,3,8,8,5,5,8
"2601122",11,5,13,18,11,10,7,13,1,10,4
"1646498",16,7,4,44,10,4,5,5,5,6,1
"1808001",12,9,10,30,9,9,12,9,7,13,5
"1608473",11,5,7,14,8,4,3,9,5,5,4
"1758189",16,4,8,36,8,4,3,8,10,13,3
"2079596",3,3,7,4,7,1,4,3,0,2,1
"1636603",2,0,3,24,6,1,1,6,0,5,1
"2545797",5,3,4,14,6,1,14,3,3,4,0
"1827285",7,1,8,17,5,3,1,1,3,1,0
"2609668",6,4,4,10,4,2,3,0,4,4,1
"2725684",2,0,1,3,4,0,0,1,3,1,1
"2004644",6,3,0,8,3,2,3,1,3,3,1
"2743575",1,1,3,3,2,0,3,3,0,0,0
"470",41,41,109,151,53,76,35,61,20,40,21
"48296",20,20,79,47,24,17,14,46,7,22,10
"471",23,19,9,41,19,19,12,22,8,4,2
"1530123",36,7,40,40,19,28,16,11,12,10,3
"106654",12,12,17,28,10,12,6,9,7,6,1
"1785128",12,8,11,22,4,3,3,8,3,3,0
"756892",70,32,58,189,74,55,34,59,41,49,23
"1789224",16,8,24,53,62,8,6,10,6,10,3
"108981",41,20,19,156,44,21,14,21,17,22,12
"29430",24,11,18,60,35,12,11,10,11,9,5
"40214",29,0,49,0,31,15,0,0,17,0,11
"981334",2,0,1,5,2,0,3,2,0,0,1
"487316",18,13,18,59,26,13,14,19,4,12,3
"106648",17,12,25,82,25,12,14,9,14,10,3
"1046625",3,0,1,1,1,0,1,0,0,0,2
"134534",5,5,18,35,21,8,8,8,3,7,4
"202954",16,6,5,57,18,10,9,6,7,9,3
"70348",10,9,5,39,18,6,5,5,4,5,4
"1197884",5,1,3,39,16,1,2,7,2,6,0
"1879050",23,16,23,63,16,10,10,18,3,18,3
"62977",22,11,11,30,15,9,3,5,5,9,5
"70346",12,4,7,18,15,4,2,4,2,2,4
"108980",27,6,12,68,15,11,9,11,10,11,6
"2006115",10,2,15,36,14,6,4,4,3,6,3
"1871111",6,7,9,15,14,6,5,1,3,6,2
"2715163",11,3,6,35,11,10,5,9,3,10,1
"40215",17,20,28,113,10,13,7,37,74,29,5
"202956",5,10,13,19,10,6,4,4,6,5,1
"2136182",18,2,5,22,9,6,4,6,4,9,4
"436717",5,2,2,18,8,0,3,3,2,3,1
"106649",7,1,9,8,8,2,3,1,4,4,1
"2662362",11,7,2,30,7,5,6,3,5,3,0
"2715164",9,6,5,25,7,2,4,10,8,3,1
"2004650",5,2,9,5,2,7,8,9,2,3,0
"1324350",10,3,10,18,1,5,4,8,0,8,0
"1699621",18,12,11,37,21,6,8,12,8,4,2
"1028416",26,12,14,37,19,6,7,16,12,14,5
"1699623",12,1,7,26,16,8,9,5,3,2,2
"1720344",13,5,3,27,10,5,1,3,4,7,1
"1699622",8,2,3,9,10,2,5,2,3,3,0
"2772254",9,4,8,25,9,7,5,8,4,3,2
"571800",9,4,3,16,8,5,4,3,1,5,3
"349106",1,6,2,11,7,2,3,2,0,3,2
"1699624",5,2,7,15,4,6,3,6,2,4,2
"56811",0,0,0,1,4,1,1,0,0,0,1
"2733866",6,0,4,21,3,5,3,8,4,1,1
"2203895",2,1,2,11,2,1,3,1,0,5,0
"1028419",0,0,0,0,1,0,0,0,0,0,0
"256326",31,22,10,33,48,21,18,33,17,20,5
"45610",16,18,22,58,21,17,14,16,24,13,5
"259536",13,12,26,19,18,7,12,11,3,15,2
"330922",4,3,7,18,8,6,2,3,5,7,0
"34062",62,35,46,105,95,47,39,49,30,54,11
"476",20,12,7,53,21,9,9,10,2,16,2
"480",8,13,10,103,20,8,8,6,5,9,1
"34061",17,11,21,70,18,13,9,13,14,12,4
"386891",23,4,9,40,18,8,5,12,7,14,2
"478",9,9,12,31,8,5,7,12,4,9,2
"29433",2,0,3,4,6,2,3,4,1,1,2
"2283318",42,27,47,100,62,23,20,37,27,38,4
"453783",8438,3220,7279,6768,7746,5381,4123,10121,18486,8198,21875
"2290922",1860,1160,1924,3552,1754,1309,2159,1844,1508,2243,1085
"2762611",1184,711,1067,2730,1005,826,1233,877,1126,1033,1241
"2781021",295,197,255,552,290,172,334,201,199,275,205
"2781022",263,169,241,549,252,185,247,217,206,242,226
"2714936",153,110,124,370,169,94,150,171,93,152,77
"2781024",158,98,144,426,140,123,168,108,126,131,150
"2781023",152,89,130,320,114,98,141,120,87,132,109
"69",4390,2721,4125,9089,4043,2918,4069,3522,3634,3691,3152
